Hi.	Здрасти.
Don't do it!	Недейте!
Don't go in.	Не влизай.
Don't worry.	Не се тревожи.
Don't worry.	Не се тревожете.
Don't worry.	Не се притеснявай.
Don't worry.	Не се притеснявайте.
He can read.	Той може да чете.
He can read.	Той умее да чете.
He is alone.	Той е сам.
He's strong.	Той е силен.
Here we are!	Ето ни!
Here we are!	Ето ни и нас!
How are you?	Как сте?
I am coming.	Идвам.
I bought it.	Купих го.
I buy tapes.	Аз купувам касети.
I feel cold.	На него му беше студено.
I feel cold.	На нея ѝ беше студено.
I feel fine.	Чувствам се добре.
I feel fine.	Добре се чувствам.
I feel lost.	Чувствам се объркан.
I feel lost.	Чувствам се объркана.
I feel sick.	Лошо ми е.
I forgot it.	Забравих го.
I like jazz.	Аз обичам джаз.
I like math.	Обичам математиката.
I surrender.	Аз се предавам.
I surrender.	Предавам се.
I'll attend.	Ще присъствам.
I'll attend.	Аз ще присъствам.
I'll get in.	Аз ще вляза.
I'm careful.	Аз съм внимателен.
I'm curious.	Любопитно ми е.
I'm serious.	Сериозен съм.
I'm serious.	Аз съм сериозен.
I'm starved.	Умирам от глад!
I'm thirsty.	Жаден съм.
I'm thirsty.	Жадна съм.
I'm too fat.	Твърде дебел съм.
It happened.	Случи се.
It's my job.	Това ми е работата.
Let me help.	Нека помогна.
Let me help.	Дай да ти помогна.
Let me help.	Дайте да ви помогна.
Let's begin.	Да започваме!
Let's check.	Да проверим.
Let's dance.	Да танцуваме.
Let's do it!	Да го направим.
Let's do it.	Хайде да го направим.
Let's do it.	Да го направим.
Let's drink.	Да пием.
Let's hurry.	Да побързаме.
Let's hurry.	Дай да побързаме.
Let's hurry.	Давайте да побързаме.
Let's leave.	Да се махаме.
Let's relax.	Да се отпуснем.
Let's relax.	Да разпуснем малко.
Let's split.	Да се разделим.
Let's start!	Да започваме!
Let's start!	Да започваме.
Let's start.	Да започваме.
Life is fun.	Животът е забавен.
OK. I agree.	Окей, съгласен съм.
Remember it.	Запомни го.
Remember it.	Запомнете го.
She blushed.	Тя се изчерви.
Stand still!	Не мърдай!
That's cool.	Това е яко.
That's cool.	Това е готино.
That's cool.	Няма проблем.
That's life.	Това е животът.
Tom frowned.	Том се намръщи.
Tom frowned.	Том се намуси.
Tom is fast.	Том е бърз.
Wake Tom up.	Събуди Том.
Wake Tom up.	Събудете Том.
Walk slowly.	Ходи бавно.
Walk slowly.	Ходете бавно.
Was I wrong?	Не бях ли прав?
Was I wrong?	Сбърках ли?
What a pity!	Колко жалко!
What's this?	Какво е това?
Who are you?	Кой си ти?
Who are you?	Кой сте вие?
Who are you?	Коя си ти?
Who are you?	Коя сте вие?
Who are you?	Ти кой си, бе?
Who drew it?	Кой го изтегли?
Who drew it?	Кой го нарисува?
Who is that?	Кой е този?
Work slowly.	Работи бавно.
Work slowly.	Работете бавно.
You're evil.	Ти си зъл.
You're evil.	Ти си зла.
You're evil.	Вие сте зли.
You're evil.	Вие сте зъл.
You're evil.	Вие сте зла.
You're late.	Закъсня.
Am I correct?	Прав ли съм?
Am I correct?	Права ли съм?
Am I invited?	Аз поканен ли съм?
Am I invited?	Аз поканена ли съм?
Are we alone?	Сами ли сме?
Are we ready?	Готови ли сме?
Are you cold?	Студено ли ти е?
Are you done?	Свърши ли?
Are you done?	Приключи ли?
Are you nuts?	Ти изтрещя ли?
Are you sure?	Сигурен ли си?
Are you sure?	Сигурна ли си?
Are you sure?	Сигурен ли сте?
Are you sure?	Сигурна ли сте?
Are you sure?	Сигурни ли сте?
Ask Mary out.	Покани Мери на среща.
Be our guest.	Заповядай!
Be our guest.	Заповядайте!
Be quiet now.	Мълчи сега.
Be quiet now.	Млъкни.
Bear with me.	Изчакай ме да довърша, моля те.
Bear with me.	Изчакай да стигна до края.
Bring him in.	Доведете го.
Bring him in.	Доведи го.
Can you come?	Можеш ли да дойдеш?
Can you stay?	Можете ли да останете?
Can you stay?	Можеш ли да останеш?
Can you swim?	Можеш ли да плуваш?
Check it out!	Виж го!
Come help me.	Ела да ми помогнеш.
Come with us.	Ела с нас.
Count to ten.	Брой до десет.
Count to ten.	Бройте до десет.
Deal with it.	Преглътни го.
Did you call?	Ти ли се обади?
Do it for me.	Направи го заради мене.
Do it for me.	Направи го за мене.
Do it for me.	Направи го вместо мене.
Do you drink?	Пиеш ли?
Drive safely.	Карай внимателно.
Drive safely.	Карайте внимателно.
Drive slowly.	Карайте бавно.
Drive slowly.	Карай бавно.
Good evening.	Добър вечер.
He loved her.	Той я обичаше.
He loves her.	Той я обича.
He was brave.	Той беше смел.
He was wrong.	Той сгреши.
Here you are.	Ето къде си.
How dare you!	Как смееш!
How dare you!	Как си позволяваш!
I almost won.	За малко не спечелих.
I am curious.	Любопитно ми е.
I cried, too.	И аз плаках.
I don't know.	Не зная.
I don't mind.	Нямам против.
I don't mind.	Нямам нищо напротив.
I missed you.	Липсвахте ми.
I missed you.	Липсваше ми.
I understand.	Разбирам.
I understand.	Аз разбирам.
I'll sue you.	Ще те съдя.
I'll sue you.	Ще ви съдя.
I'm eighteen.	Аз съм на осемнайсет.
I'm so happy.	Толкова съм щастлив.
I'm starving.	Умирам от глад!
I'm ticklish.	Аз имам гъдел.
It felt nice.	Беше приятно.
It was Tom's.	Беше на Том.
It'll happen.	Ще се случи.
It's an omen.	Това е поличба.
It's for Tom.	Това е за Том.
It's raining.	Вали дъжд.
It's raining.	Вали.
It's snowing.	Вали сняг.
It's too big.	Прекалено е голямо.
It's too hot.	Твърде е горещо.
It's unusual.	Странно е.
Jump over it.	Прескочи го.
Keep digging.	Продължавайте да копаете.
Let's listen.	Да послушаме.
Let's not go.	Хайде да не ходим.
Let's review.	Да преговорим.
Let's switch.	Да се сменим.
Let's try it.	Да пробваме!
Life is hard.	Животът е труден.
Mary came in.	Мери влезе.
Mary is tall.	Мери е висока.
My eyes hurt.	Болят ме очите.
My eyes hurt.	Очите ме болят.
My eyes itch.	Дразнят ми очите.
No one knows.	Никой не знае.
Please leave.	Моля, напуснете.
Please leave.	Моля те, върви си.
See you soon!	Доскоро!
See you soon.	Ще се видим скоро.
See you then.	Ще се видим тогава.
Shame on you.	Засрами се.
Shame on you.	Засрамете се.
She may come.	Тя може да влезе.
Should we go?	Да тръгваме?
Show me that.	Покажи ми това.
Show me that.	Покажете ми това.
Speak softly.	Говори тихо.
Stop whining.	Престани да хленчиш.
Take it down.	Свали го.
Take it easy.	Успокой се.
Take it easy.	Дай по-полека.
Tell Tom why.	Кажи на Том защо.
Thanks again.	Благодаря още веднъж.
That's Tom's.	Това е на Том.
That's Tom's.	Това е Томово.
That's crazy.	Това е откачено.
That's cruel.	Това е жестоко.
This is true.	Това е истина.
Tom found it.	Том го намери.
Tom found it.	Том я намери.
Tom found it.	Том я е намерил.
Tom found it.	Том го е намерил.
Tom got an A.	Том получи шестица.
Tom hates it.	Том мрази това.
Tom is a kid.	Том е дете.
Tom is a pig!	Том е свиня!
Tom is awake.	Том е буден.
Tom stutters.	Том заеква.
Tom, wake up.	Том, събуди се.
Tom, wake up.	Том, събуждай се.
Try it again.	Пробвай го пак.
Try it again.	Опитай това пак.
Unbelievable!	Невероятно!
Unbelievable!	Не може да бъде!
Wake up, Tom.	Събуди се, Том.
Wake up, Tom.	Събуждай се, Том.
Welcome home.	Добре дошъл у дома.
What a loser!	Какъв нещастник!
What a loser!	Егати лузъра!
What a shame!	Колко жалко!
What is that?	Какво е това?
What is this?	Що е то?
Won't you go?	Няма ли да отидеш?
Won't you go?	Не би ли отишъл?
You are late.	Закъсня.
You are late.	Вие закъсняхте.
You are late.	Закъсняхте.
You're cruel.	Ти си жесток.
You're cruel.	Ти си жестока.
You're cruel.	Вие сте жестоки.
You're cruel.	Вие сте жесток.
You're cruel.	Вие сте жестока.
You're cruel.	Жестоки сте.
You're cruel.	Жестока сте.
You're cruel.	Жесток сте.
You're drunk.	Пиян си.
You're drunk.	Пияна си.
You're wrong.	Грешиш.
Am I approved?	Одобрен ли съм?
Am I included?	Аз включен ли съм?
Am I included?	Аз включена ли съм?
Any questions?	Някакви въпроси?
Are they cops?	Те ченгета ли са?
Are they cops?	Те куки ли са?
Are they cute?	Симпатични ли са?
Are they cute?	Сладки ли са?
Are they dead?	Мъртви ли са?
Are they gone?	Отидоха ли си?
Are they here?	Тук ли са?
Are you alive?	Жив ли си?
Are you alive?	Жива ли си?
Are you alive?	Живи ли сте?
Are you alone?	Сам ли си?
Are you alone?	Сама ли си?
Are you armed?	Въоръжен ли си?
Are you armed?	Въоръжена ли си?
Are you armed?	Носиш ли оръжие?
Are you dying?	Умираш ли?
Are you going?	Ще ходиш ли?
Are you going?	Отиваш ли?
Are you going?	Тръгваш ли?
Are you happy?	Щастлив ли си?
Are you happy?	Щастлива ли сте?
Are you happy?	Щастлив ли сте?
Are you happy?	Щастливи ли сте?
Are you happy?	Щастлива ли си?
Are you lying?	Лъжете ли?
Are you lying?	Лъжеш ли?
Are you tired?	Уморен ли си?
Are you tired?	Изморени ли сте?
Ask Tom again.	Питай Том отново.
Ask an expert.	Попитай някой специалист.
Ask an expert.	Поискай експерт.
Can you drive?	Можеш ли да караш?
Can you drive?	Можеш ли да шофираш?
Check, please.	Сметката, моля.
Do cats dream?	Котките сънуват ли?
Don't be late.	Не закъснявай.
Don't be late.	Не закъснявайте.
Don't come in.	Не влизай.
Don't get fat.	Недей да напълняваш.
Don't go, Tom.	Не ходи, Том.
Don't go, Tom.	Недей да ходиш, Том.
Don't go, Tom.	Не си тръгвай, Том.
Don't hang up!	Не затваряй!
Don't push me.	Не ме бутай.
Don't push me.	Не ме бутайте.
Everyone dies.	Всички умират.
Everyone dies.	Всеки умира.
Flowers bloom.	Цветята цъфтят.
Get some rest.	Отдъхни си.
Get your coat.	Вземи си палтото.
Get your coat.	Вземете си палтото.
Hang on a sec.	Чакай малко.
He came first.	Той дойде пръв.
He can't read.	Той не може да чете.
He drank beer.	Той пи бира.
He felt tired.	Той се почувства уморен.
He lied to us.	Той ни излъга.
He shot at me.	Той стреля по мен.
He shot at me.	Той стреля в мен.
He talks fast.	Той говори бързо.
Hold on a sec.	Задръж за малко.
Hold on tight.	Дръж се здраво.
Hold on to me.	Дръж се за мене.
How about you?	Ами ти?
How about you?	Какво ще кажете вие​​?
How did it go?	Как мина?
I believe you.	Аз ти вярвам.
I believe you.	Вярвам ти.
I believe you.	Вярвам ви.
I believe you.	Вярвам на вас.
I cried today.	Аз плаках днес.
I cried today.	Днес плаках.
I did it once.	Направих го веднъж.
I did it once.	Аз го направих един път.
I did my best.	Направих каквото можах.
I don't agree.	Не съм съгласен.
I forgot them.	Забравих ги.
I had to stop.	Трябваше да спра.
I hate French.	Мразя френския.
I hate flying.	Мразя да летя.
I like French.	Обичам френския.
I like French.	Харесвам френския.
I like movies.	Обичам филмите.
I like sports.	Обичам спортовете.
I like tennis.	Аз обичам тениса.
I love French.	Обичам френския.
I love movies.	Обичам филмите.
I made coffee.	Направих кафе.
I made dinner.	Приготвих вечеря.
I must go now.	Сега трябва да си ходя.
I own a yacht.	Притежавам яхта.
I said I'd go.	Казах, че ще отида.
I think I can.	Мисля, че мога.
I tricked you.	Преметнах те.
I tricked you.	Изиграх те.
I tricked you.	Прецаках те.
I wasn't busy.	Не бях зает.
I wasn't busy.	Не бях заета.
I'll buy this.	Ще купя това.
I'll eat here.	Аз ще ям тук.
I'll take one.	Ще взема едно.
I'm a tourist.	Аз съм турист.
I'm an orphan.	Аз съм сирак.
I'm dangerous.	Опасен съм.
I'm dangerous.	Опасна съм.
I'm dangerous.	Аз съм опасна.
I'm dangerous.	Аз съм опасен.
I'm home, Tom.	Прибрах се, Том.
I'm home, Tom.	Вкъщи съм, Том.
I'm not blind.	Не съм сляп.
I'm on a diet.	На диета съм.
I'm very busy.	Много съм зает.
Is that yours?	Това твое ли е?
Is that yours?	Това ваше ли е?
Is that yours?	Това Ваше ли е?
It is raining.	Вали дъжд.
It is raining.	Вали.
It was unjust.	Беше несправедливо.
It works well.	Работи добре.
It's a secret.	Тайна е.
It's business.	Това е бизнес.
It's business.	Това е работа.
It's happened.	Случвало се е.
It's improved.	Подобрило се е.
It's only Tom.	Само Том е.
It's too loud.	Звукът е прекалено висок.
It's too loud.	Прекалено шумно е.
It's very big.	Много е голям.
It's very big.	Много е голямо.
Let me see it.	Дай ми да го видя.
Let me see it.	Дай да го видя.
Let me see it.	Нека да го видя.
Let me try it.	Дай да опитам.
Let's ask him.	Да го питаме.
Let's ask him.	Дай да го питаме.
Let's ask him.	Дайте да го питаме.
Let's ease up.	Да се поотпуснем малко.
Let's go away.	Да се махаме.
Let's hope so.	Да се надяваме.
Let's proceed.	Да продължаваме.
Let's proceed.	Да продължим.
Lock the gate.	Заключи портата.
My knee hurts.	Боли ме коляното.
No, thank you.	Не, благодаря.
Now keep calm.	Сега спокойно.
Now you do it.	Сега ти го направи.
Pass it to me.	Подай на мене.
Pass it to me.	Подай ми го на мене.
Pass it to me.	Подай ми я на мене.
People change.	Хората се променят.
Put on a robe.	Сложи си халат.
Read it to me.	Прочети ми го.
Read it to me.	Прочети ми я.
Read it to me.	Прочетете ми го.
Read it to me.	Прочетете ми я.
See you later.	До скоро.
Shake my hand.	Стисни ми ръката.
Shake my hand.	Разклати ми ръката.
She can't ski.	Тя не може да кара ски.
She hated him.	Тя го мразеше.
She is French.	Тя е французойка.
She was young.	Тя беше млада.
She's dieting.	Тя е на диета.
Show it to us.	Покажете ни го.
Show it to us.	Покажи ни го.
Shut the door.	Затвори вратата.
Speak clearly.	Говори ясно.
Speak clearly.	Говорете ясно.
Speak quietly.	Говори тихо.
Stand at ease!	Свободно!
Start writing.	Започни да пишеш.
Stay in there.	Стой вътре.
Stay in there.	Стойте вътре.
That one's OK.	Този е ок.
That one's OK.	Тази е ок.
That one's OK.	Това е ок.
That's a book.	Това е книга.
That's a copy.	Това е копие.
That's a fake.	Това е менте.
That's a fake.	Това е фалшиво.
That's enough.	Това стига.
That's enough.	Достатъчно е.
That's enough.	Толкова стига.
They are busy.	Те са заети.
They fixed it.	Те го поправиха.
They fixed it.	Те го оправиха.
They're early.	Подранили са.
They're early.	Те са подранили.
Today was fun.	Днес беше забавно.
Tom did do it.	Том наистина го направи.
Tom felt fine.	Том се почувства добре.
Tom got a job.	Том си намери работа.
Tom had a gun.	Том имаше оръжие.
Tom had a son.	Том имаше син.ю
Tom has a dog.	Том има куче.
Tom has a gun.	Том има оръжие.
Tom has a job.	Том има работа.
Tom has a map.	Том има карта.
Tom has to go.	Том трябва да си отиде.
Tom has to go.	Том трябва да отиде.
Tom is a monk.	Том е монах.
Tom is absent.	Том отсъства.
Tom was brave.	Том беше смел.
Tom was fired.	Том беше уволнен.
Tom was fired.	Том бил уволнен.
Tom was wrong.	Том сгреши.
Wait a moment.	Изчакай за момент.
Wait a moment.	Почакай за момент.
We should eat.	Предлагам да ядем.
We'll rebuild.	Ще го възстановим.
We'll rebuild.	Ще възстановим нещата.
We've arrived.	Стигнахме.
We've arrived.	Пристигнахме.
Were you shot?	Простреляха ли те?
What happened?	Какво стана?
What is a UFO?	Какво е НЛО?
When do we go?	Къде да отидем?
When do we go?	Къде отиваме?
When was that?	Кога беше това?
Who's thirsty?	Кой е жаден?
Whose is this?	Това на кого е?
You are early.	Подранил си.
You are early.	Подранила си.
You are early.	Подранили сте.
You don't say.	Не може да бъде.
You don't say.	Ами!
You look pale.	Изглеждаш блед.
You should go.	Трябва да тръгваш.
You'll see it.	Ще го видиш.
You're joking!	Шегуваш се!
You're joking!	Вие се шегувате!
Act like a man.	Дръж се като мъж.
Am I intruding?	Прекъсвам ли ви?
Apples are red.	Ябълките са червени.
Are there kids?	Има ли деца?
Are these real?	Тези истински ли са?
Are they alive?	Живи ли са?
Are they armed?	Въоръжени ли са?
Are we sinking?	Потъваме ли?
Are you afraid?	Страх ли ви е?
Are you asleep?	Спиш ли?
Are you coming?	Идваш ли?
Are you coming?	Идвате ли?
Are you crying?	Плачеш ли?
Are you famous?	Известен ли си?
Are you famous?	Известна ли си?
Are you scared?	Страх ли те е?
Are you scared?	Страх ли ви е?
Are you stupid?	Ти идиот ли си?
Aren't you Tom?	Ти не си ли Том?
Aren't you Tom?	Вие не сте ли Том?
Ask my friends.	Питай приятелите ми.
Ask my friends.	Помоли приятелите ми.
Be careful now.	Внимавай.
Be careful, OK?	Внимавай, окей?
Birds lay eggs.	Птиците снасят яйца.
Both are alive.	И двамата са живи.
Can I help you?	Мога ли да ви помогна?
Can I help you?	Мога ли да ти помогна?
Can I see that?	Може ли да го видя?
Can I see that?	Може ли да я видя?
Can I see that?	Може ли да погледна това?
Can I sit down?	Може ли да седна?
Catch the ball.	Хвани топката.
Coffee, please.	Едно кафе, моля.
Coffee, please.	Едно кафе, ако обичате.
Do as you like.	Постъпи както искаш.
Do as you like.	Прави каквото щеш.
Do you like it?	Харесва ли ти?
Do you love me?	Обичаш ли ме?
Don't back off.	Не отстъпвай.
Don't back off.	Не отстъпвайте.
Don't cry, Tom.	Не плачи, Том.
Don't get lost.	Не се губи.
Don't touch it.	Не го пипай.
Eat more fruit.	Яж повече плодове.
Eat more fruit.	Яжте повече плодове.
Get me a drink.	Донеси ми нещо за пиене.
Get on the bus.	Качи се в автобуса.
Get on the bus.	Качете се в автобуса.
Get out of bed!	Ставай от леглото!
Give it a rest.	Я стига.
Go talk to Tom.	Ходи говори с Том.
Go to the park.	Иди в парка.
Go to the park.	Идете в парка.
Go wake Tom up.	Иди събуди Том.
Go wake Tom up.	Идете събудете Том.
Happy New Year!	Честита Нова година!
Happy New Year!	Честита Нова Година!
He is a doctor.	Той е доктор.
He is a doctor.	Той е лекар.
He's in prison.	Той е в затвора.
Here is a book.	Ето тук една книга.
His head ached.	Главата го болеше.
Hold Tom tight.	Дръж Том здраво.
How can I help?	Как да помогна?
How can I help?	Как мога да помогна?
I am too short.	Твърде ниска съм.
I am too short.	Твърде нисък съм.
I borrow money.	Аз вземам пари назаем.
I don't see it.	Не го виждам.
I drank coffee.	Аз пих кафе.
I drank coffee.	Пих кафе.
I feel a draft.	Усещам течение.
I feel at ease.	Чувствам се спокоен.
I feel at ease.	Чувствам се спокойна.
I feel for you.	Съчувствам ти.
I gave up hope.	Престанах да се надявам.
I got divorced.	Разведох се.
I have no clue.	Нямам представа.
I have no idea.	Нямам представа.
I have no idea.	Нямам идея.
I have no kids.	Аз нямам деца.
I have nothing.	Аз нямам нищо.
I have the key.	Ключът е у мене.
I have to know.	Трябва да знам.
I have to know.	Трябва да зная.
I have to rest.	Трябва да си почивам.
I have to wait.	Трябва да чакам.
I hear it's OK.	Казват, че ставало.
I hope it's OK.	Дано е ок.
I hope it's OK.	Дано да върши работа.
I hope it's OK.	Дано да става.
I love parties.	Обичам партита.
I love parties.	Обичам купони.
I made cookies.	Приготвих бисквити.
I may know Tom.	Може да познавам Том.
I need my coat.	Палтото ми трябва.
I need my coat.	Сакото ми трябва.
I often travel.	Аз често пътувам.
I often travel.	Често пътувам.
I speak French.	Говоря френски.
I teach French.	Преподавам френски.
I was impolite.	Бях груб.
I'd like to go.	Бих искал да отида.
I'll come, too.	И аз ще дойда.
I'll find work.	Ще си намеря работа.
I'll see to it.	Ще се погрижа за това.
I'll stay home.	Ще си остана вкъщи.
I'll teach Tom.	Аз ще науча Том.
I'll teach Tom.	Аз ще уча Том.
I'll treat you.	Ще те черпя.
I'm a busy guy.	Аз съм зает човек.
I'm a musician.	Аз съм музикант.
I'm a musician.	Музикант съм.
I'm against it.	Аз съм против.
I'm an atheist.	Аз съм атеист.
I'm behind him.	Аз съм зад него.
I'm mad at you.	Бесен съм ти.
I'm quite busy.	Доста съм зает.
I'm quite busy.	Доста съм заета.
I'm so ashamed.	Толкова ме е срам.
I'm thirty now.	Сега съм на трийсет.
I'm unemployed.	Безработен съм.
I'm unemployed.	Безработна съм.
I'm unemployed.	Аз съм безработен.
I'm unemployed.	Аз съм безработна.
I'm very happy.	Много съм щастлив.
I'm very happy.	Аз съм много щастлива.
I've forgotten.	Забравих.
I've forgotten.	Аз забравих.
I've seen that.	Виждал съм го това.
Is this French?	Това френски ли е?
Isn't it black?	То не е ли черно?
It was amusing.	Беше забавно.
It was my idea.	Идеята беше моя.
It will happen.	Ще се случи.
It's all right.	Всичко е наред.
It's dangerous!	Опасно е!
It's hot today.	Днес е горещо.
It's too large.	Прекалено е голямо.
It's unnatural.	Неестествено е.
It's up to you.	От теб зависи.
It's very cold.	Много е студено.
It's your book.	Твоята книга е.
It's your home.	Това е твоят дом.
It's your loss.	Ти губиш.
It's your move.	Ти си на ход.
It's your turn.	Твой ред е.
Leave it to me.	Остави на мен.
Leave it to me.	Остави го на мен.
Leave me alone!	Остави ме!
Leave me alone!	Оставете ме!
Let's continue.	Да продължаваме.
Let's continue.	Да продължим.
Let's hurry up.	Да побързаме.
