Come in.	მობრძანდით
I'm a member of the tennis club.	მე ამ ტენის კლუბის წევრი ვარ.
Tom is a teacher, too, isn't he?	ტომიც მასწავლებელია, არა?
I'm cold. May I close the window?	მცივა. შეიძლება ფანჯარა დავხურო?
No one should desert his friends.	არავინ არ უნდა მიატოვოს თავისი მეგობარი.
Our meeting was quite accidental.	ჩვენი შეხვედრა შემთხვევითი იყო.
Over 30 people committed suicide.	30-ზე მეტმა ადამიანმა თავი მოიკლა.
The mail is delivered once a day.	წერილი ბარდება დღეში ერთხელ.
Tom is Mary's neighbor, isn't he?	ტომი მარის მეზობელია, არა?
I found the book very interesting.	ამ წიგნმა ძალიან დამაინტერესა.
I saw a beautiful waterfall there.	მე იქ ლამაზი ჩანჩქერი დავინახე.
Yesterday was Sunday, not Saturday.	გუშინ იყო კვირა, შაბათი კი არა.
He never hears what I'm trying to say.	არასოდეს არ ისმენს რისი თქმაც მინდა.
A man on horseback came along the path.	ცხენზე შემჯდარმა კაცმა ჩამოგვიარა.
I don't know whether it is true or not.	არ ვიცი სიმართლეა თუ ტყუილი.
We caught a lot of fish this afternoon.	ამ შუადღეს ბევრი თევზი დავიჭირეთ
What is this animal called in Japanese?	ამ ცხოველს იაპონურად რა ქვია?
He must have gone to see his old friend.	ალბათ თავისი ძველი მეგობრის სანახავად წავიდა.
Tom had trouble resolving the situation.	ტომს უჭირდა სიტუაციის გამოსწორება.
What is your ultimate goal in your life?	რა არის შენი ცხოვრების მიზანი?
You will never get bored in her company.	მის კომპანიაში არასოდეს მოიწყენ.
I'll give this apple to whoever wants it.	ამ ვაშლს ვისაც უნდა იმას მივცემ.
The new store is going to open next week.	ახალი მაღაზია მომავალ კვირას გაიხსნება.
I don't want to go outside this afternoon.	სახლიდან გასხვლა არ მინდა ამ საღამოს.
Mary wasn't one of the most popular girls.	მარი ერთ-ერათი ყველაზე პოპულარული გოგო იყო.
Our school has twenty-four classes in all.	ჩვეს სკოლას ჯამში აქვს ოცდაოთხი კლასი.
Mary was not one of the most popular girls.	მარი ერთ-ერათი ყველაზე პოპულარული გოგო იყო.
I don't want to work under these conditions.	მე მუშაობა არ მინდა ასეთ პირობებში.
I only have toast and coffee in the morning.	დილაობით მხოლოდ ტოსტს და ყავას მივირთმევ.
I vowed that I would never speak to her again.	მე დავიფიცე, რომ არასოდეს აღარ დაველაპარაკები.
The coffee at this restaurant isn't very good.	ყავა ამ რესტორანში არაა ძალიან კარგი
I was absorbed in a book and didn't hear you call.	წიგნმა "ჩამითრია" და შენი ხმა ვერ გავიგე.
The police took immediate action to deal with the riot.	პოლიციამ დაუყოვნებლივი ქმედება მიიღო, აჯანყებასთან გასამკლავებლად.
We agreed to refrain from smoking while we are at work.	ჩვენ შევთანხმდით, რომ სამსახურში თავს შევიკავებდით მოწევისაგან.
Present-day Japan is going down the route to self destruction, isn't it?	დღესდღეობით იაპონია მიდის თვითგანადგურების გზაზე, არა?
Tom is having trouble coping with the fact that his son committed suicide.	ტომს უჭირს გაუმკლავდეს ფაქტს, რომ მისმა შვილმა თავი მოიკლა.
The bear left no stone unturned in his search for fat bugs under the rocks.	დათვმა არცერთი ქვა არ დატოვა ამოუტრიალებელი მსუქალი ხოჭოების ძებნისას.
A woman wrote 30 books about how to become happy, and then committed suicide.	ქალმა 30 წიგნი დაწერა იმაზე, თუ როგორ გავხდეთ ბედნიერი, და შემდეგ თავი მოიკლა.
