Run!	Loop!
Who will win?	’Keen winnt?
Are you crazy?	Büst du mit ’n Dummbüdel kloppt?
Are you happy?	Büst du blied?
Are you happy?	Büst du tofreden?
Are you tired?	Büst du mööd?
Can you skate?	Kannst du skaten?
Don't give up!	Geev man nich op!
Feed the bird!	Foder den Vagel!
Get a haircut.	Laat di de Hoor snieden.
He killed him.	He hett em ümbröcht.
He's your son.	He is dien Söhn.
Help yourself.	Bedeen di.
How old is he?	Wo oold is he?
I am American.	Ik bün Amerikaansch.
I am a Muslim.	Ik bün Muslim.
I am a Muslim.	Ik bün Moslem.
I am in Paris.	Ik bün in Paris.
I am new here.	Ik bün nee hier.
I believe you.	Ik glööv di.
I have a book.	Ik heff en Book.
I have sinned.	Ik heff sünnt.
I like apples.	Ik mag geern Appels.
I lost my key.	Ik heff mien Slötel vergeten.
I owe you one.	Ik bün di een schüllig.
I own a horse.	Mi höört en Peerd to.
I see a house.	Ik seh en Huus.
I want coffee.	Ik will Kaffe.
I'm a student.	Ik bün Student.
I'm an artist.	Ik bün en Künstler.
I'm exhausted.	Ik bün kaputt.
I'm important.	Ik bün wichtig.
I'm on my way.	Ik bün op ’n Weg.
I'm tired now.	Ik bün nu mööd.
Is he correct?	Hett he recht?
It is raining.	Dat regent.
It is too hot.	Dat is to hitt.
It's all over.	Nu is de Aven ut.
It's fall now.	Dat is nu Harvst.
Lock the gate.	Sluut dat Door dicht.
My back hurts.	Mien Puckel deit weh.
She helps him.	Se helpt em.
She hired him.	Se hett em instellt.
She wants him.	Se will em.
She was brave.	Se weer dapper.
Speak clearly.	Snack düüdlich.
That can't be.	Dat kann nich wesen.
That's a boat.	Dat is en Boot.
That's a tree.	Dat is en Boom.
That's my cat.	Dat is mien Katt.
The war ended.	De Krieg weer toenn.
The war ended.	De Krieg güng toenn.
This is Japan.	Dat hier is Japan.
This is my CD.	Dat is mien CD.
What happened?	Wat is passeert?
Where are you?	Woneem büst du?
Who said that?	’Keen hett dat seggt?
You are drunk!	Du büst duun!
You look good.	Du süst good ut.
You look sick.	Du süst krank ut.
You need this.	Du bruukst dit.
You're pretty.	Du büst smuck.
Are you hungry?	Hest du Hunger?
Close the door.	Maak de Döör dicht.
Close the gate.	Maak dat Door dicht.
Come back home.	Kaam trügg na Huus.
Come back soon.	Kaam bald wedder.
Dinner's ready.	Avendeten is trech.
Do tigers purr?	Snurrt Tigers?
Don't complain.	Jabbel nich.
Don't complain.	Jammer nich.
Don't say that.	Segg dat nich.
Everybody lies.	Elkeen lüggt.
Happy New Year!	Proost Neejohr!
He learns fast.	He lehrt gau.
He lives alone.	He leevt alleen.
He went abroad.	He güng na ’t Butenland.
He worked hard.	He deed hart arbeiden.
He's no doctor.	He is keen Dokter.
How deep is it?	Wo deep is dat?
How much is it?	Wat köst dat?
How much is it?	Woveel köst dat?
I am Hungarian.	Ik bün Ungaar.
I bike to work.	Ik föhr mit ’t Rad na Arbeid.
I did it alone.	Ik heff dat alleen maakt.
I dislike eggs.	Ik mag Eier nich geern.
I drink coffee.	Ik drink Kaffe.
I have a dream.	Ik heff en Droom.
I like mahjong.	Ik mag Mahjong.
I need a stamp.	Ik bruuk en Breevmark.
I need friends.	Ik bruuk Frünnen.
I own this car.	Dat Auto höört mi to.
I wasn't drunk.	Ik weer nich duun.
I'll come back.	Ik kaam wedder.
I'm a free man.	Ik bün en free Mann.
I'm a nice guy.	Ik bün en netten Keerl.
I'm eating now.	Ik eet jüst.
I'm going back.	Ik gah trügg.
I'm not crying.	Ik ween nich.
I'm not hiding.	Ik versteek mi nich.
I'm used to it.	Ik bün dat wennt.
It was a mouse.	Dat weer en Muus.
It's brand new.	Dat is splinternee.
It's hot today.	Dat is hitt vondaag.
Keep listening.	Höör wieder to.
Now I remember.	Nu weet ik wedder.
Open your eyes.	Maak dien Ogen apen.
Shall we dance?	Schöölt wi dansen?
She choked him.	Se hett em wörgt.
She fooled him.	Se hett em narrt.
She helped him.	Se hett em hulpen.
She hugged him.	Se hett em drückt.
She kicked him.	Se hett em peddt.
She kissed him.	Se hett em küsst.
She misses him.	Se misst em.
She trusts him.	Se vertroot em.
That is a boat.	Dat is en Boot.
That is a ship.	Dat is en Schipp.
That's a table.	Dat is en Disch.
That's chicken.	Dat is Hohn.
That's rubbish.	Dat is Tüdelkraam.
That's the law.	Dat is dat Gesett.
The man is old.	De Mann is oold.
The roof leaks.	Dat Dack leekt.
They're inside.	De sünd binnen.
This annoys me.	Dat argert mi.
This is broken.	Dat is kaputt.
This is simple.	Dat is eenfach.
This was a lie.	Dat weer en Löög.
Try this candy.	Prööv disse Snökeree.
Wash your face.	Wasch di dat Gesicht.
We're students.	Wi sünd Studenten.
What a big dog!	Wat ’n groten Hund!
What do I need?	Wat bruuk ik?
Where were you?	Woneem weren ji?
Who's this guy?	’Keen is disse Fent?
Who's this guy?	’Keen is dissen Keerl?
You're correct.	Du hest recht.
A fish can swim.	En Fisch kann swemmen.
Are these yours?	Sünd dat dien?
Are you married?	Büst du verheiraadt?
Black suits you.	Swart steiht di.
Can you help me?	Kannst du mi helpen?
Do you know her?	Du kennst ehr?
Do you know him?	Kennst du em?
Do you remember?	Kannst du di besinnen?
Do you think so?	Meenst du dat?
Don't look back.	Kiek nich trügg.
Don't tell lies.	Vertell keen Lögen.
Enjoy your meal!	Goden Aptiet!
He began to cry.	He füng an to wenen.
He began to run.	He füng dat Rennen an.
He can run fast.	He kann hart lopen.
He has ten cows.	He hett teihn Keih.
He has two cats.	He hett twee Katten.
He is a teacher.	He is Schoolmeester.
He just arrived.	He is jüst ankamen.
He seems hungry.	He sütt hungerig ut.
He waved at her.	He hett ehr towunken.
He's over forty.	He is över veertig.
Her father died.	Ehr Vader is doodbleven.
How old are you?	Wo oold büst du?
I don't want it.	Ik will dat nich.
I get her point.	Ik verstah, wat se meent.
I have brothers.	Ik heff Bröder.
I have no money.	Ik heff keen Geld.
I have to hurry!	Ik mutt mi spoden!
I have two cars.	Ik heff twee Autos.
I know them all.	Ik kenn jem all.
I live in Japan.	Ik leev in Japan.
I love to dance.	Ik dans geern.
I need a hammer.	Ik bruuk en Hamer.
I need the keys.	Ik bruuk de Slötels.
I paid the bill.	Ik heff de Reken betahlt.
I see his house.	Ik seh sien Huus.
I speak Swedish.	Ik snack Sweedsch.
I want to sleep.	Ik will slapen.
I was not drunk.	Ik weer nich duun.
I wish you luck.	Ik wünsch di Glück.
I'd like a soda.	Ik harr geern en Bruus.
I'll do my best.	Ik will mien best doon.
I'll pay for it.	Ik betahl dat.
I'm a bit tired.	Ik bün en beten mööd.
I'm a masochist.	Ik bün en Masochist.
I'm able to run.	Ik kann lopen.
I'm almost done.	Ik bün al meist trech.
I'm an engineer.	Ik bün Inschenör.
I'm coming back.	Ik kaam trügg.
I'm helping you.	Ik help di.
Is it important?	Is dat wichtig?
Is this a river?	Is dat en Stroom?
It is necessary.	Dat is nödig.
It snowed a lot.	Dat hett veel sneet.
It's a new book.	Dat is en neet Book.
It's lunch time.	Dat is Middagtied.
It's warm today.	Dat is hitt vondaag.
Jesus loves you.	Jesus hett di geern.
Keep the change.	Beholl dat Wesselgeld.
Leave it closed.	Laat dat dicht.
Let's turn back.	Laat uns trügggahn.
Life isn't fair.	Dat Leven is nich gerecht.
My dog is white.	Mien Hund is witt.
Put on your cap.	Sett dien Mütz op.
Put on your cap.	Do dien Mütz op.
Say no to drugs.	Segg Nee to Drogen.
She forgave him.	Se hett em vergeven.
She is stubborn.	Se is en Stievkopp.
She lives alone.	Se leevt alleen.
She scolded him.	Se schell em ut.
Spanish is easy.	Spaansch is licht.
Summer has come.	De Sommer is dor.
Tell me a story.	Vertell mi en Dööntje.
That is a table.	Dat is en Disch.
That is her car.	Dat is ehr Auto.
That is his car.	Dat is sien Auto.
The lake is big.	De See is groot.
This book's new.	Dit Book is nee.
This is a horse.	Dit is en Peerd.
This is a hotel.	Dit is en Hotel.
This is my book.	Dat is mien Book.
This is my desk.	Dit is mien Schrievdisch.
Tom is a Muslim.	Tom is Muslim.
Tom is a priest.	Tom is Preester.
We are students.	Wi sünd Studenten.
We're all happy.	Wi sünd all blied.
What did he say?	Wat hett he seggt?
Where is my car?	Woneem is mien Auto?
Where's the zoo?	Woneem is de Zoo?
Why are we here?	Worüm sünd wi hier?
Why did you cry?	Worüm hest du weent?
Why is she here?	Worüm is se hier?
You're a racist.	Du büst en Rassist.
Are they friends?	Sünd se Frünnen?
Are you a wizard?	Büst du en Töverer?
Are you free now?	Hest du nu Tied?
Can you find her?	Kannst du ehr finnen?
Come and help us.	Kaam un help uns.
Do you feel sick?	Föhlst du di süük?
Do you trust her?	Vertroost du ehr?
Does it look bad?	Sütt dat slimm ut?
Give me the book.	Geev mi dat Book.
He has long hair.	He hett lang Hoor.
He is his friend.	He is sien Fründ.
He likes oranges.	He mag geern Appelsienen.
He played tennis.	He deed Tennis spelen.
He screams a lot.	He schreet veel.
How did he do it?	Woans hett he dat daan?
I am a foreigner.	Ik bün en Butenlandschen.
I am from Russia.	Ik bün ut Russland.
I am not a witch.	Ik bün keen Hex.
I am very hungry.	Ik heff düchtig Hunger.
I bought the car.	Ik heff dat Auto köfft.
I can't eat meat.	Ik kann keen Fleesch eten.
I can't help you.	Ik kann di nich helpen.
I don't allow it.	Ik verlööv dat nich.
I don't know her.	Ik kenn ehr nich.
I don't know him.	Ik kenn em nich.
I don't know you.	Ik kenn di nich.
I don't like tea.	Ik mag nich geern Tee.
I don't like you.	Ik mag di nich.
I found my shoes.	Ik heff mien Schoh funnen.
I have a big dog.	Ik heff en groten Hund.
I have a grenade.	Ik heff en Granaat.
I have few books.	Ik heff nich veel Böker.
I have to go now.	Ik mutt nu weg.
I hear something.	Ik höör wat.
I need more time.	Ik bruuk mehr Tied.
I see your house.	Ik seh dien Huus.
I swim every day.	Ik swemm elk Dag.
I will shoot him.	Ik warr em doodscheten.
I'm 25 years old.	Ik bün 25 Johr oold.
I'm here for you.	Ik bün för di dor.
I'm on your side.	Ik stah op dien Sied.
I'm still single.	Ik bün noch jümmer Single.
Is the work done?	Is de Arbeid daan?
It costs 2 euros.	Dat köst twee Euro.
It needs washing.	Dat mutt wuschen warrn.
It was very cold.	Dat weer temlich koold.
It's hot in here.	Dat is hitt hier binnen.
It's monkey meat.	Dat is Apenfleesch.
Let's have a try.	Laat uns dat versöken.
My eyes are blue.	Mien Ogen sünd blau.
My sunburn hurts.	Mien Sünnbrand deit weh.
No one likes war.	Nüms mag Krieg.
She attacked him.	Se hett em angrepen.
She defeated him.	Se hett em ünnerkregen.
She has dry hair.	Se hett dröög Hoor.
She is very wise.	Se is temlich wies.
She smiled sadly.	Se deed trurig griemeln.
She talked a lot.	Se hett veel snackt.
She waved at him.	Se deed em winken.
Sit at the table.	Sett jo an den Disch.
Tell Dad to come.	Segg Papa, dat he kamen schall.
The book's white.	Dat Book is witt.
The box is empty.	De Kassen is leddig.
The box is empty.	De Schachtel is leddig.
The man is naked.	De Mann is naakd.
The man is right.	De Mann hett recht.
The well ran dry.	De Born is dröögfullen.
The well ran dry.	De Pütt is dröögfullen.
The well ran dry.	De Sood is dröögfullen.
They are singers.	Se sünd Singers.
They had no food.	Se harrn nix to eten.
They thanked God.	Se hebbt Godd dankt.
This man is dead.	Disse Mann is dood.
This tastes good.	Dat smeckt good.
Try it once more.	Versöök dat noch eens wedder.
What did you say?	Wat hest du seggt?
What should I do?	Wat schall ik doon?
What's the cause?	Wat is de Oorsaak?
Where's the bank?	Woneem is de Bank?
Whose turn is it?	’Keen is an ’e Reeg?
Why did you quit?	Worüm hest du ophöört?
You are children.	Ji sünd Kinner.
You look so pale.	Du süst so bleek ut.
You missed a lot.	Du hest veel verpasst.
You're in my way.	Du büst mi in ’n Weg.
Your car is fast.	Dien Auto is gau.
Advance two steps.	Gah twee Schreed vör.
Cows give us milk.	Keih geevt uns Melk.
Do you believe me?	Glöövst du mi?
Do you drink wine?	Drinkst du Wien?
Do you have money?	Hest du Geld?
Do you have paper?	Hest du Poppeer?
Do you like music?	Magst du Musik?
Do you need money?	Bruukst du Geld?
Do you want money?	Wullt du Geld?
Do you want to go?	Wullt du gahn?
Do you wish to go?	Wullt du gahn?
Earth is a planet.	De Eer is en Planeet.
He can't help you.	He kann di nich helpen.
He does not smoke.	He smöökt nich.
He had a headache.	He harr Koppwehdaag.
He had three sons.	He harr dree Söhns.
He has a headache.	He hett Koppwehdaag.
He has seven sons.	He hett söven Söhns.
He is still alive.	He leevt noch jümmer.
He is still angry.	He is noch jümmer argerlich.
He killed himself.	He hett sik sülvs ümbröcht.
He lives in Kyoto.	He wahnt in Kyoto.
He ran five miles.	He lööp fiev Mielen.
He sat next to me.	He seet blangen mi.
He sat on the bed.	He seet op ’t Bedd.
He told the truth.	He seed de Wohrheid.
He turned the key.	He hett den Slötel ümdreiht.
He's from Georgia.	He is ut Georgia.
He's from Georgia.	He is ut Georgien.
He's not a doctor.	He is keen Dokter.
He's not an idiot.	He is keen Döösbaddel.
How did you do it?	Woans hest du dat daan?
I am coming today.	Ik kaam vondaag.
I am from Ecuador.	Ik bün ut Ecuador.
I didn't hear you.	Ik heff jo nich höört.
I do not feel sad.	Ik bün nich trurig.
I don't want meat.	Ik will keen Fleesch.
I forgot her name.	Ik heff ehren Naam vergeten.
I forgot his name.	Ik heff sien Naam vergeten.
I had an accident.	Ik heff en Unfall hatt.
I have a daughter.	Ik heff en Dochter.
I have a headache.	Ik heff Koppwehdaag.
I have a passport.	Ik heff en Pass.
I have brown hair.	Ik heff bruun Hoor.
I have many discs.	Ik heff veel Platten.
I know how to ski.	Ik kann Ski föhren.
I sat next to him.	Ik seet blangen em.
I stand corrected.	Ik nehm allens trügg.
I will go on foot.	Ik gah to Foot.
I wrote that book.	Ik heff dat Book schreven.
I'm able to speak.	Ik kann snacken.
I'm always hungry.	Ik bün jümmer hungerig.
I'm not a student.	Ik bün keen Schöler.
I'm not a student.	Ik bün keen Student.
I'm still thirsty.	Ik bün jümmer noch dörstig.
I'm taking a bath.	Ik baad.
Is that your book?	Is dat dien Book?
Is that your room?	Is dat dien Kamer?
It has cooled off.	Dat is afköhlt.
It is a small dog.	Dat is en lütten Hund.
It is windy today.	Dat is vondaag winnig.
It's already late.	Dat is al laat.
It's my brother's.	Dat höört mien Broder to.
It's not my fault.	Dat is nich mien Schuld.
It's now or never.	Nu oder gornich!
It's our pleasure.	Dat is uns en Freid.
Let's go this way.	Laat uns hier langs gahn.
Let's take a rest.	Laat uns verpuusten.
My uncle is angry.	Mien Unkel is füünsch.
Say it in English.	Segg dat op Engelsch.
She always smiles.	Se smüüstert jümmer.
She began to sing.	Se füng an to singen.
She can't stop me.	Se kann mi nich ophollen.
She cooks for him.	Se kaakt för em.
She has long hair.	Se hett lang Hoor.
She heard him cry.	Se hett em wenen höört.
She is her friend.	Se is ehr Fründin.
She is his friend.	Se is sien Fründin.
She loves singing.	Se singt geern.
She made him rich.	Se möök em riek.
She smiled at him.	Se smüüster em an.
She threw him out.	Se hett em rutsmeten.
She tried to swim.	Se versöch to swemmen.
She went with him.	Se is mit em gahn.
Termites eat wood.	Termiten freet Holt.
That boy is smart.	Disse Jung is plietsch.
That boy is smart.	De Jung is klook.
That cat is brown.	De Katt is bruun.
That is your book.	Dat is dien Book.
That's a pheasant.	Dat is en Fasaan.
The cat is eating.	De Katt fritt.
The earth rotates.	De Eer dreiht sik.
The lemon is sour.	De Zitroon is suur.
The man ate bread.	De Mann hett Brood eten.
The market is big.	De Markt is groot.
The room was warm.	De Kamer weer warm.
There is your bag.	Dor is dien Tasch.
They missed a lot.	Se hebbt veel verpasst.
This car is black.	Dit Auto is swart.
This is my friend.	Dat is mien Fründ.
This is my sister.	Dat is miene Süster.
Tom is my brother.	Tomás is mien Broder.
We don't have tea.	Wi hebbt keen Tee.
We don't know her.	Wi kennt ehr nich.
We need your help.	Wi bruukt dien Hülp.
We saw them leave.	Wi hebbt jem gahn sehn.
What is happiness?	Wat is Glück?
What was going on?	Wat weer loos?
When do we arrive?	Wannehr sünd wi dor?
Where do you work?	Woneem arbeidst du?
Where've you been?	Woneem weren ji?
Who was Mona Lisa?	’Keen weer Mona Lisa?
Yesterday was hot.	Güstern weer ’t hitt.
You are a bit fat.	Du büst en beten besett.
You are my father.	Du büst mien Vader.
You are my mother.	Du büst miene Moder.
You can't stop me.	Du kannst mi nich ophollen.
You have no taste.	Du hest keen Smack.
You made an error.	Du hest en Fehler maakt.
Your house is big.	Ehr Huus is groot.
Your time is over.	Diene Tied is vörbi.
All apples are red.	All Appels sünd rood.
All sugar is sweet.	All Sucker is sööt.
Did you get a beer?	Hest du en Beer kregen?
Do as he tells you.	Do, wat he di seggt.
Does it hurt a lot?	Deit dat dull weh?
Does your dog bite?	Bitt dien Hund?
He OD'd on cocaine.	He hett en Överdosis Kokain nahmen.
He can't stay long.	He kann nich lang blieven.
He disliked school.	He müch de School nich.
He had an accident.	He harr en Unfall.
He has a white cat.	He hett en witte Katt.
He is just a child.	He is bloot en Kind.
He is not a doctor.	He is keen Dokter.
He is very careful.	He is temlich vörsichtig.
He sat on the bank.	He seet op de Bank.
He was getting old.	He deed bilütten oold warrn.
He weighs 70 kilos.	He wiggt söventig Kilo.
He works at a bank.	He arbeidt in ’e Bank.
He works at a bank.	He arbeidt bi de Bank.
He works very hard.	He arbeidt temlich hart.
He's a little pale.	He is en beten bleek.
He's coming closer.	He kummt neger.
How do you do that?	Woans deist du dat?
How much is a room?	Woveel köst en Kamer?
I am from Columbia.	Ik bün ut Columbia.
I can't exclude it.	Ik kann dat nich utsluten.
I did this for you.	Ik heff dat för di daan.
I didn't know this.	Dat heff ik nich wüsst.
I didn't want that.	Ik wull dat nich.
I don't have a cat.	Ik heff keen Katt.
I don't have money.	Ik heff keen Geld.
I don't like sushi.	Ik mag keen Sushi.
I don't understand.	Ik verstah nich.
I don't understand.	Dat verstah ik nich.
I don't understand.	Ik begriep dat nich.
I handed him a map.	Ik heff em en Koort geven.
I know his address.	Ik kenn sien Adress.
I know what he did.	Ik weet wat he daan hett.
I know you're rich.	Ik weet, dat du riek büst.
I like being alone.	Ik bün geern alleen.
I live in the city.	Ik leev in ’e Stad.
I lost my identity.	Ik heff mien Identität verloren.
I sat up all night.	Ik heff de ganze Nacht waakt.
I want my own room.	Ik will en egen Kamer.
I want to kiss you.	Ik will di küssen.
I woke up too late.	Ik bün to laat opwaakt.
I'm a good teacher.	Ik bün en goden Lehrer.
I'm a little tired.	Ik bün en beten mööd.
I'm from Singapore.	Ik kaam ut Singapur.
I'm not a magician.	Ik bün keen Töverer.
I'm not going back.	Ik gah nich trügg.
I'm very tired now.	Ik bün nu temlich mööd.
I've cut my finger.	Ik heff mi in ’n Finger sneden.
Is this book yours?	Is dat dien Book?
It is Monday today.	Vondaag is Maandag.
It is dark outside.	Dat is buten düüster.
It was nearly noon.	Dat weer binah Middag.
It was pitch-black.	Dat weer stockdüüster.
It was pitch-black.	Dat weer stickendüüster.
It was pitch-black.	Dat weer pickdüüster.
It's not important.	Dat is nich wichtig.
It's snowing today.	Dat sneet vondaag.
It's time to sleep.	Dat is Tied to slapen.
It's too expensive.	Dat is to düür!
It's too expensive.	Dat is to düür.
Italy is in Europe.	Italien is in Europa.
Knowledge is power.	Weten is Macht.
Listen, all of you.	Höört to, ji all.
Look! She's coming!	Kiek! Se kummt!
My parents are old.	Miene Öllern sünd oold.
My wife cooks well.	Miene Froo kaakt good.
Nothing is missing.	Fehlt nix.
Owls hunt at night.	Ulen jaagt bi Nacht.
Please take a seat.	Gah man sitten.
Shall we stop soon?	Wüllt wi bald opholen?
She does not smoke.	Se smöökt nich.
She has seven sons.	Se hett söven Söhns.
She heard him sing.	Se hett em singen höört.
She is helping him.	Se helpt em.
She is kind to him.	Se is fründlich to em.
She is kissing him.	Se küsst em.
She listens to him.	Se höört em to.
She needs our help.	Se bruukt uns Hülp.
She speaks Russian.	Se snackt russ’sch.
She threatened him.	Se deed em drohn.
She's from Somalia.	Se is ut Somalia.
She's my godmother.	Se is mien Vaddersche.
She's only a child.	Se is man en Kind.
Stay where you are.	Bliev wo du büst.
That's interesting.	Dat is intressant.
That's unimportant.	Dat is nich wichtig.
The baby is asleep.	Dat Baby slöppt.
The boy eats bread.	De Jung itt Brood.
The clock is wrong.	De Klock geiht verkehrt.
The dog looks sick.	De Hund sütt krank ut.
The dog seems sick.	De Hund sütt krank ut.
The dress is green.	Dat Kleed is gröön.
The ice is melting.	Dat Ies smült.
The paper is white.	Dat Poppeer is witt.
The summer is over.	De Sommer is vörbi.
The table is green.	De Disch is gröön.
The woman is naked.	De Froo is naakd.
These are my books.	Dat sünd miene Böker.
These aren't words.	Dat sünd keen Wöör.
They've fooled you.	Se hebbt di narrt.
This can't be true.	Dat kann nich wohr wesen.
This soil is moist.	De Bodden is fuchtig.
Those are my books.	Dat sünd miene Böker.
Today is a hot day.	Vondaag is dat hitt.
Turn off the light.	Maak dat Licht ut.
Watching TV is fun.	Feernsehn kieken maakt Spaaß.
Water is important.	Water is wichtig.
We can't afford it.	Wi köönt dat nich tügen.
We do not know her.	Wi kennt ehr nich.
We do not know him.	Wi kennt em nich.
We have to act now.	Wi mööt nu wat doon.
We ran in the park.	Wi löpen in ’n Park.
We're almost there.	Wi sünd al meist dor.
What are you doing?	Wat maakst du?
What are you doing?	Wat deist du?
What's the problem?	Wat is dat Probleem?
When's the wedding?	Wannehr is de Hochtied?
Where are we going?	Wo gaht wi hen?
Where is your room?	Woneem is dien Kamer?
Where's the bakery?	Woneem is de Bäckeree?
Who allowed him in?	’Keen hett em rinlaten?
Who do you talk to?	Mit ’keen snackt du?
Who's your teacher?	’Keen is dien Schoolmeester?
Whose food is this?	’Keen sien Eten is dit hier?
Whose is that book?	’Keen sien Book is dat?
Why are you crying?	Worüm weent ji?
Why are you crying?	Worüm weenst du?
Why are you so mad?	Worüm büst du so wöterig?
Why are you so sad?	Worüm sünd ji so trurig?
Will it rain today?	Schall dat vondaag Regen geven?
You made a mistake.	Du hest en Fehler maakt.
You've overdone it.	Du hest dat överdreven.
All I have is books.	Allens, wat ik heff, sünd Böker.
Anybody can do that.	Elkeen kann dat doon.
Are you the prophet?	Büst du de Profeet?
Change your clothes.	Treck di wat anners an.
Did I miss anything?	Heff ik wat verpasst?
Do you have a child?	Hest du en Kind?
Does your head hurt?	Deit di dien Kopp weh?
Don't open the door.	Maak de Döör nich apen.
Don't slam the door.	Bums de Döör nich.
Everything is ready.	Allens is trech.
Get her out of here.	Bring ehr weg.
He did it for money.	He hett dat för Geld maakt.
He did not want war.	He wull keen Krieg.
He didn't know that.	He wüss dat nich.
He has enough money.	He hett noog Geld.
He has two Picassos.	He hett twee Picassos.
He is always joking.	He jökelt jümmer rüm.
He knows everything.	He weet allens.
He's afraid of dogs.	He is bang vör Hunnen.
He's always on time.	He is jümmer niep mit de Tied.
He's the oldest son.	He is de öllst Söhn.
His shoes are brown.	Siene Schoh sünd bruun.
How do magnets work?	Woans funkschoneert Magneten?
How do you feel now?	Wo föhlst du di nu?
How much will it be?	Woveel köst dat?
I am a fast swimmer.	Ik bün en gauen Swemmer.
I am a teacher, too.	Ik bün ook Schoolmeester.
I am going to sleep.	Ik gah slapen.
I arrived too early.	Ik bün to froh ankamen.
I built a new house.	Ik heff en neet Huus boot.
I can come at three.	Üm dree kann ik kamen.
I can see the light.	Ik kann dat Licht sehn.
I can't find my key.	Ik kann mien Slötel nich finnen.
I dreamed about you.	Ik heff von di dröömt.
I eat with my hands.	Ik eet mit mien Hannen.
I forgot about that.	Dat heff ik vergeten.
I have a dictionary.	Ik heff en Wöörbook.
I have many friends.	Ik heff veel Frünnen.
I have to leave now.	Ik mutt nu weg.
I have to leave now.	Ik mutt nu loos.
I haven't eaten yet.	Ik heff noch nich eten.
