Who?	Tko?
How strange!	Kako čudno!
I apologize.	Ispričavam se.
I was dizzy.	Bio sam ošamućen.
I was dizzy.	Vrtilo mi se.
I'm curious.	Znatiželjan sam.
I'm thirsty.	Hoću piti.
I'm thirsty.	Žedan sam.
I'm thirsty.	Žedna sam.
Money talks.	Novac govori.
Nobody died.	Nitko nije umro.
Plants grow.	Biljke rastu.
Please sing.	Pjevaj, molim te.
Tom blushed.	Tom se zacrvenio.
Tom frowned.	Tom se namrštio.
Tom is cute.	Tom je zgodan.
Tom is down.	Tom je dolje.
We know him.	Znamo ga.
We know him.	Znamo ju.
Who is next?	Tko je sljedeći?
Who is that?	Tko je to?
Be realistic!	Budi realan!
How annoying!	Kako iritantno!
How annoying!	Kako naporno!
I don't know.	Ne znam.
I have a gun.	Ja imam pištolj.
I have a gun.	Imam pištolj.
I understood.	Razumijem.
I won't swim.	Neću plivati.
It was night.	Bila je noć.
Ladies first.	Dame prve.
Please leave.	Molim te, odlazi.
Someone came.	Netko je došao.
Stop smoking.	Prestani pušiti.
This is nice.	To je lijepo.
We have wine.	Imamo vino.
Who are they?	Tko su oni?
Are you happy?	Jesi li sretan?
Are you happy?	Jesi li sretna?
Check, please.	Račun, molim.
Everyone dies.	Svatko umire.
Flowers bloom.	Cvjeta cvijeće.
Give him time.	Daj mu vremena.
Help yourself.	Posluži se.
How old is he?	Koliko je star?
I had an idea.	Imao sam ideju.
I looked away.	Skrenuo sam pogled.
I looked away.	Skrenula sam pogled.
I love grapes.	Volim grožđe.
I love grapes.	Ja volim grožđe.
I'm a tourist.	Ja sam turist.
Speak clearly.	Govori jasno.
Stop worrying.	Prestani se brinuti.
They sat down.	Oni su sjeli.
They sat down.	Sjeli su.
What nonsense!	Kakva besmislica!
Whose is this?	Čije je ovo?
You're stupid.	To si glup.
You're stupid.	Ti si glupa.
You're stupid.	Glup si.
You're stupid.	Glupa si.
You're stupid.	Glupi ste.
Are you crying?	Plačeš li?
Cows give milk.	Krave daju mlijeko.
He has a beard.	Ima bradu.
I am very tall.	Jako sam visok.
I didn't do it.	Nisam to ja učinio.
I like to walk.	Meni se sviđa pješačiti.
I'm in a hurry.	Žurim.
I've got a son.	Dobio sam sina.
It's unplugged.	Nije uključeno.
It's unplugged.	Nije uštekano.
Listen closely.	Slušaj pažljivo.
Listen closely.	Pažljivo slušaj.
Louder, please.	Glasnije, molim.
Stop grumbling.	Prestani gunđati.
Summer is over.	Ljeto je gotovo.
They quarreled.	Posvađali su se.
Ticket, please.	Kartu, molim.
Tom was humble.	Tom je bio ponizan.
Watch yourself.	Pazi na se.
We're to blame.	Krivica je naša.
You have to go.	Moraš ići.
You smell good.	Mirišeš lijepo.
Behave yourself.	Pristojno se ponašaj.
Congratulations!	Čestitam!
Drive carefully.	Vozi pažljivo.
Give Tom a call.	Nazovi Toma.
He's well built.	Dobro je građen.
Here's your bag.	Evo tvoje torbe.
I have two cats.	Imam dvije mačke.
I'm able to ski.	Ja znam skijati.
I'm able to ski.	Znam skijati.
Is he a teacher?	Je li on učitelj?
It's really hot.	Zaista je vruće.
Keep the change.	Zadržite ostatak.
Merry Christmas!	Sretan Božić!
Mom, I'm hungry.	Mama, gladan sam.
She disappeared.	Nestala je.
This is a hotel.	To je hotel.
This might hurt.	Ovo bi moglo boljeti.
Today is Monday.	Danas je ponedjeljak.
Tom disappeared.	Tom je nestao.
Tom is a rapper.	Tom je reper.
Tom is no angel.	Tom nije anđeo.
What time is it?	Koliko je sati?
Who bought this?	Tko je kupio ovo?
You startled us.	Prepao si nas.
You startled us.	Prepala si nas.
You startled us.	Prepali ste nas.
You're new, huh?	Novi si, huh?
You're so smart.	Ti si tako pometan.
Your time is up.	Tvoje vrijeme je isteklo.
Anybody knows it.	To svatko zna.
Can you run fast?	Možeš li trčati brzo?
Do you live here?	Živiš li ovdje?
Gardening is fun.	Vrtlarenje je zabavno.
Give Tom a drink.	Daj Tomu piće.
Here is your bag.	Evo tvoje torbe.
How embarrassing!	Kakva sramota!
How is your life?	Kako ti ide u životu?
I agree with you.	Slažem se s vama.
I don't envy her.	Ne zavidim joj.
I don't envy him.	Ne zavidim mu.
I don't exercise.	Ne vježbam.
I found my shoes.	Našao sam svoje cipele.
I had to see you.	Morao sam te vidjeti.
I had to see you.	Morala sam te vidjeti.
I know your name.	Znam tvoje ime.
I locked my bike.	Zaključao sam bicikl.
I love this song.	Volim ovu pjesmu.
I made a mistake.	Napravio sam jednu grešku.
I trust religion.	Vjerujem religiji.
I want you to go.	Hoću da odeš.
I'm not a doctor.	Ja nisam liječnik.
I'm proud of you.	Ponosan sam na tebe.
Is that your car?	Je li to tvoj automobil?
It can't be true.	To ne može biti istina.
Make your choice.	Odluči se.
Maybe Tom forgot.	Možda je Tom zaboravio.
No pain, no gain.	Bez muke nema nauke.
She is no beauty.	Ona nije ljepotica.
That makes sense.	To ima smisla.
The box is empty.	Kutija je prazna.
This is evidence.	Ovo je dokaz.
This is the norm.	To je norma.
Tom has a guitar.	Tom ima gitaru.
Tom is Mary's ex.	Tom je Maryn bivši.
What do you like?	Što voliš?
What do you want?	Što voliš?
What woke you up?	Što te je probudilo.
Will you join us?	Hoćeš li nam se pridružiti?
You can't buy me.	Ne možeš me kupiti.
You may be right.	Mogao bi imati pravo.
You may go there.	Možeš ići tamo.
Champagne, please.	Šampanjac, molim.
Come and sit down.	Dođi i sjedni.
Do you want bread?	Hoćeš li kruha?
Don't shout at me.	Ne viči na mene.
Don't shout at me.	Ne deri se na mene.
Everybody laughed.	Svi su se smijali.
He cannot stop us.	On nas ne može zaustaviti.
He killed himself.	Ubio se.
I admit I'm wrong.	Priznajem da sam u krivu.
I can't be bribed.	Ne mogu se podmititi.
I don't want meat.	Ne želim meso.
I hate mosquitoes.	Mrzim komarce.
I like this music.	Sviđa mi se ova glazba.
I want a new bike.	Hoću novi bicikl.
I wanted to do it.	Htio sam to napraviti.
I'm not your baby.	Ja nisam tvoje dijete.
It cannot be true.	To ne može biti istina.
It isn't a threat.	To nije prijetnja.
Life is beautiful.	Život je lijep.
Silence is golden.	Šutnja je zlato!
That won't happen.	To se neće dogoditi.
The house is cold.	Kuća je hladna.
Think about death.	Razmisli o smrti.
This is delicious.	Ovo je ukusno.
Tom is a mechanic.	Tom je mehaničar.
Tom's comfortable.	Tomu je ugodno.
We met last night.	Noćas smo se sreli.
We need more eggs.	Trebamo više jaja.
What's the number?	Koji broj?
Where do you live?	Gdje stanuješ?
Which tooth hurts?	Koji te zub boli?
Who's that maniac?	Tko je taj luđak?
Who's that maniac?	Tko je taj manijak?
Why are you alone?	Zašto ste sami?
You are a teacher.	Ti si učitelj.
You stole my idea.	Ukrao si mi ideju.
You stole my idea.	Ukrala si mi ideju.
You stole my idea.	Ukrali ste mi ideju.
You work too hard.	Radiš previše.
Your house is big.	Tvoja kuća je velika.
Your house is big.	Vaša kuća je velika.
Could this be love?	Je li moguće da je ovo ljubav?
Did Tom eat dinner?	Je li Tom jeo večeru?
Do you really know?	Da li zaista znaš?
Does it taste good?	Je li fino?
Easy come, easy go.	Kako došlo, tako prošlo.
I can do it myself.	Mogu to i sama!
I can do it myself.	Mogu sama.
I feel like crying.	Plače mi se.
I have one brother.	Imam jednog brata.
I just took a bath.	Tek sam se okupao.
I like that answer.	Sviđa mi se taj odgovor.
I need more coffee.	Trebam još kave.
I should do it now.	Trebao bih to učiniti sada.
I want a boyfriend.	Želim dečka.
I'm angry with you.	Ljutim se na tebe.
I've already tried.	Već sam pokušao.
I've already tried.	Već sam pokušala.
It is Monday today.	Danas je ponedjeljak.
She cannot stop us.	Ona nas ne može zaustaviti.
She is very pretty.	Ona je veoma lijepa.
Something happened.	Nešto se dogodilo.
That can't be true.	To ne može biti istina.
That's really good.	To je zaista dobro.
The coffee is cold.	Kava je hladna.
This can't be true.	To ne može biti istina.
Tom drives a truck.	Tom vozi kamion.
Tom enjoys fishing.	Tom uživa u ribolovu.
Tom has to be here.	Tom mora biti ovdje.
Tom is my roommate.	Tom je moj cimer.
Tom lifted the box.	Tom je podignuo kutiju.
We need more flour.	Trebamo više brašna.
What are you doing?	Što radiš?
Where's the coffee?	Gdje je kava?
Where's the museum?	Gdje se nalazi muzej?
Who's your teacher?	Tko je tvoj učitelj?
Why can't you come?	Zašto ne možeš doći?
You are very brave.	Vrlo si hrabar.
You can study here.	Možeš učiti ovdje.
You look very pale.	Izgledaš vrlo blijedo.
You taught us that.	Ti si nas to naučio.
You taught us that.	Ti si nas to naučila.
You taught us that.	Vi ste nas to naučili.
Can you reach those?	Možeš li ih dohvatiti?
Do you speak French?	Govoriš li francuski?
Has Tom gone insane?	Je li Tom poludio?
He is clever indeed.	Stvarno je pametan.
He was born in Ohio.	Rodio se u Ohiu.
How old is your car?	Koliko je star tvoj auto?
I don't read novels.	Ne čitam romane.
I don't read poetry.	Ne čitam poeziju.
I don't take bribes.	Ne primam mito.
I feel like singing.	Pjeva mi se.
I have to go to bed.	Moram ići u krevet.
I like your glasses.	Sviđaju mi se tvoje naočale.
I want you to guess.	Želim da pogađaš.
I want you to guess.	Želim da pogodiš.
I want your opinion.	Želim tvoje mišljenje.
I will be back soon.	Uskoro se vraćam.
I'm not judging you.	Ne sudim te.
Let the games begin.	Neka igre počnu!
Please accompany me.	Molim te pođi samnom.
Please accompany me.	Molim te otprati me.
Please accompany me.	Molim te radi mi društvo.
She gave up smoking.	Prestala je pušiti.
She held her breath.	Držala je dah.
She stopped smoking.	Prestala je pušiti.
She stopped to talk.	Prestala je govoriti.
She studies English.	Ona studira engleski.
She's my first love.	Ona je moja prva ljubav.
Technology can help.	Tehnologija može pomoći.
That cannot be true.	To ne može biti istina.
That's a nice shirt.	To je lijepa košulja.
The bell is ringing.	Zvoni zvono.
They didn't know me.	Nisu me znali.
They recognized Tom.	Prepoznali su Toma.
They're good people.	Oni su dobri ljudi.
Tom has no siblings.	Tom nema braće ni sestara.
Tom is already here.	Tom je već tamo.
We didn't play well.	Nismo dobro igrali.
What did you answer?	Što si odgovorio?
What do you suggest?	Što ti predlažeš?
When will you leave?	Kada odlaziš?
Where is the museum?	Gdje se nalazi muzej?
Where were you born?	Gdje si rođena?
Who bought you this?	Tko ti je kupio ovo?
Who is your teacher?	Tko je tvoj učitelj?
Why are we laughing?	Zašto se smijemo?
Why are we laughing?	Zašto se mi smijemo?
You can come in now.	Sad možeš doći.
You have three cats.	Imate tri mačke.
You sound surprised.	Zvučiš začuđeno.
You sound surprised.	Zvučite začuđeno.
All we need is water.	Sve što trebamo je voda.
Are your hands clean?	Jesu li ti ruke čiste?
Can you speak French?	Govoriš li francuski?
Did you bring coffee?	Jesi li donio kavu?
Did you bring coffee?	Jesi li donijela kavu?
Do you have any news?	Imaš li novosti?
Do you study English?	Učiš li engleski?
Have you finished it?	Jesi li završio?
He says he will come.	On kaže da će doći.
He was badly wounded.	Bio je strašno ranjen.
How deep is the lake?	Koliko duboko je to jezero?
How much is this tie?	Koliko košta ta kravata?
How old is this book?	Koliko je stara ova knjiga?
I am afraid of death.	Ja se bojim smrti.
I bought an old lamp.	Kupio sam staru lampu.
I brought you coffee.	Donio sam ti kavu.
I brought you coffee.	Donijela sam ti kavu.
I feel like vomiting.	Povraća mi se.
I have good eyesight.	Imam dobar vid.
I just had breakfast.	Upravo sam dovršio doručak.
I need a larger room.	Trebami veća soba.
I never saw his face.	Nisam mu nikad vidio lice.
I think you're right.	Mislim da si u pravu.
I was kidding before.	Šalio sam se prije.
I'll be glad to come.	Biti će mi drago doći.
I'm feeling fine now.	Osjećam se dobro sada.
It's scary down here.	Strašno je ovdje dolje.
Mary had a face-lift.	Mary je napravila face-lift.
May I speak with Tom?	Smijem li pričati s Tomom?
May I use your phone?	Mogu li se poslužiti tvojim telefonom?
My skirt is too long.	Moja suknja je predugačka.
She's very beautiful.	Ona je veoma lijepa.
Sign above this line.	Potpiši se iznad ove crte.
Sign above this line.	Potpišite se iznad ove crte.
Sumatra is an island.	Sumatra je otok.
That makes it easier.	Sad je jednostavnije.
That makes it easier.	To ga čini jednostanijim.
They are good people.	Oni su dobri ljudi.
This must be changed.	To se mora promijeniti.
Those are nice pants.	To su lijepe hlače.
Those are nice shoes.	To su lijepe cipele.
Tom broke the window.	Tom je polupao prozor.
Tom didn't answer me.	Tom mi nije odgovorio.
Tom is a connoisseur.	Tom je znalac.
Tom is gaining on us.	Tom nas sustiže.
Tom isn't very happy.	Tom nije baš zadovoljan.
Tom may have seen it.	Tom je možda to vidio.
Tom wasn't very good.	Tom nije bio jako dobar.
We tried to stop Tom.	Pokušali smo zaustaviti Toma.
When are you leaving?	Kada odlaziš?
When's your birthday?	Kada je tvoj rođendan?
Where's your head at?	Gdje ti je glava?
Why are you so smart?	Zašto si tako pametan?
Why are you so smart?	Zašto si tako pametna?
Women like attention.	Žene vole pozornost.
You look happy today.	Izgledaš sretno danas.
You sound very young.	Zvučiš veoma mlad.
Your answer is right.	Tvoj odgovor je točan.
Your answer is wrong.	Tvoj odgovor je netočan.
Do you know them both?	Znaš li ih oboje?
Eat whatever you like.	Jedite što hoćete.
He gets a good salary.	On dobro zarađuje.
He is a heroin addict.	On je ovisnik o heroinu.
He is washing the car.	On pere auto.
He knows who they are.	Tko zna tko su oni.
He looked quite tired.	Izgledao je prilično umorno.
I admire your courage.	Volim tvoju hrabrost.
I don't have a ticket.	Nemam kartu.
I go to school by bus.	Ja idem u školu autobusom.
I go to school by bus.	Idem u školu autobusom.
I have an old bicycle.	Imam stari bicikl.
I have to go to sleep.	Moram ići spavati.
I like playing tennis.	Volim igrat tenis.
I never liked biology.	Nikad nisam volio biologiju.
I never liked biology.	Nikad nisam voljela biologiju.
I was hardly prepared.	Nisam baš bio spreman.
I'm leaving it to you.	Ostavljam ti to.
Is your watch correct?	Je li tvoj sat točan?
Like father, like son.	Kakav otac, takav sin.
Nobody understands me.	Nitko me ne razumije.
Pass the salt, please.	Možeš li mi dodati sol?
She always works hard.	Ona uvijek marljivo radi.
She decided not to go.	Odlučila je da ne ide.
She is very beautiful.	Ona je veoma lijepa.
She left her children.	Napustila je svoju djecu.
That smells delicious.	To miriše ukusno.
That's a nice sweater.	To je lijep džemper.
The situation is dire.	Situacija je hitna.
They already have one.	Već imaju jedno.
They already have one.	Već imaju jednog.
They already have one.	Već imaju jednu.
They already have one.	Već imaju jedan.
We need more potatoes.	Trebamo više krumpira.
We need more tomatoes.	Trebamo više rajčica.
We watch TV every day.	Gledamo televiziju svaki dan.
Where are your things?	Gdje su tvoje stvari?
Who will come with me?	Tko ide sa mnom?
Why do you want a dog?	Zašto želiš psa?
You deserve the prize.	Zaslužuješ nagradu.
You underestimate Tom.	Podcjenjuješ Toma.
You'll never be alone.	Nikada nećeš biti sam.
Better late than never.	Bolje ikad nego nikad.
Did Tom give it to you?	Je li ti to Tom dao?
He knocked at the door.	Kucao je na vrata.
I don't have any money.	Nemam novaca.
I have to go to school.	Moram ići u školu.
I should exercise more.	Trebao bih vježbati više.
I was in the mountains.	Bio sam na planinama.
I went to the hospital.	Otišao sam u bolnicu.
I'll be back next week.	Vratit ću se sljedeći tjedan.
I'm soaked to the bone.	Promočio sam do kože.
I've worn out my shoes.	Iznosio sam svoje cipele.
Is this where Tom sits?	Je li ovo mjesto gdje Tom sjedi?
It rained hard all day.	Čitav dan je kiša pljuštala.
It's impossible to fix.	Nemoguće je popraviti.
Just follow your heart.	Jednostavno slijedi svoje srce.
Mind your own business!	Gledaj svoje poslove!
My cholesterol is high.	Moj kolesterol je visok.
My hair is light brown.	Moja kosa je svjetlosmeđa.
My shirt isn't dry yet.	Moja majica još nije suha.
Rabbits have long ears.	Kunići imaju duga uha.
She is afraid of death.	Ona se boji smrti.
The weather stayed bad.	Vrijeme ostaje loše.
There's no one missing.	Jedan nedostaje.
They're digging a hole.	Oni kopaju rupu.
This may hurt a little.	Ovo će možda malo zaboliti.
This rose is beautiful.	Ova ruža je lijepa.
Tom has a great memory.	Tom ima odlično pamćenje.
Tom is walking his dog.	Tom šeta svoga psa.
Tom remained skeptical.	Tom je ostao skeptičan.
Tom, we have a problem.	Tome, imamo problem.
We live in the suburbs.	Mi živimo u predgrađu.
When do you want to go?	Kada želiš ići?
Where do you live, Tom?	Zašto živiš, Tome?
Why can't animals talk?	Zašto životinje ne mogu pričati?
You should know better.	Trebao bi znati bolje.
Your cake is delicious.	Tvoja torta je ukusna.
Your plan sounds great.	Tvoj plan zvuči odlično.
Are you afraid of death?	Bojiš li se smrti?
Do you have news for me?	Imaš li za mene vijesti?
Do you like this blouse?	Sviđa li ti se ta majica?
Do you live in the city?	Živite li u gradu?
Don't you like swimming?	Zar ne voliš plivanje?
He concentrated on that.	Koncentrirao se na to.
He is a man of his word.	On je čovjek u kojeg se možeš pouzdati.
How can I be of service?	Kako mogu biti od pomoći?
I can't believe my eyes.	Ja ne mogu vjerovati mojim očima.
I can't believe my eyes.	Ne mogu vjerovati mojim očima.
I don't really watch TV.	Ne gledam baš televiziju.
I have a mild pain here.	Imam blagu bol ovdje.
I said I'd wait for you.	Rekao sam da ću te čekati.
I said I'd wait for you.	Rekla sam da ću te čekati.
I suppose you're hungry.	Predpostavljam da si gladan.
I took a picture of her.	Slikao sam ju.
I want to check out now.	Provjeriti ću sad.
I wasn't looking at Tom.	Nisam gledao u Toma.
I wasn't looking at Tom.	Nisam gledala u Toma.
I will love you forever.	Zauvijek ću te voljeti.
It must be hard for you.	To ti mora biti vrlo teško.
It was an easy decision.	To je bila laka odluka.
Let's go out for a walk.	Ajmo van na šetnju.
Mary is a married woman.	Mary je udana žena.
Mary is a retired nurse.	Mary je umirovljena medicinska sestra.
My car is in the garage.	Moj auto je u garaži.
Of course it isn't true.	Naravno da to nije točno.
Of course it's not true.	Naravno, to nije točno.
Of course, Tom is wrong.	Naravno, Tom je u krivu.
She doesn't like soccer.	Ona ne voli nogomet.
Sorry for all the typos.	Isprike na greškama.
That isn't funny at all.	To nije uopće smiješno.
The cup is on the table.	Šalica je na stolu.
The sun is about to set.	Sunce će uskoro zaći.
The toy store is closed.	Trgovina igračaka je zatvorena.
This is why I fired him.	Zato sam ga otpustio.
Tom is working too hard.	Tom previše radi.
Tom said you were happy.	Tom je rekao da si sretan.
Tom walks like a zombie.	Tom hoda kao zombi.
Tom walks like a zombie.	Tom hoda poput zombija.
Tom won't pass the test.	Tom neće položiti ispit.
Tom's French is perfect.	Tomov francuski je savršen.
Tom's dog attacked Mary.	Tomov pas je napao Mary.
We do have some options.	Mi imamo neke mogućnosti.
We do have some options.	Mi imamo neke opcije.
We don't need this here.	Nama to ovdje ne treba.
What time are you going?	U koje vrijeme ideš?
Will you turn on the TV?	Hoćete li uključiti TV?
Will you turn on the TV?	Hoćeš li uključiti tv?
Write your address here.	Napiši svoju adresu ovdje.
You can swim, can't you?	Znaš plivati, zar ne?
You told me that before.	Rekao si mi to prije.
You told me that before.	Rekla si mi to prije.
Are you going to help me?	Hoćeš li mi pomoći?
Could you leave us alone?	Možeš nas ostaviti na miru?
Curiosity killed the cat.	Znatiželja je ubila mačku.
Did you know that before?	Jesi li znao to prije?
Did you know that before?	Jesi li znala to prije?
Do you plan to stay long?	Planirate li dugo ostati?
Do you want pepper on it?	Želiš li papra na tome?
He came back from Canada.	Vratio se iz Kanade.
He is good at gymnastics.	Gimnastika je njegova jaka strana.
He looked after the baby.	Brinuo se za dijete.
He tried to kill himself.	On se pokušao ubiti.
I can't find my suitcase.	Ne mogu naći svoj kofer.
I counted to two hundred.	Brojala sam do dvjesto.
I counted to two hundred.	Brojao sam do dvjesto.
I have few English books.	Imam malo engleskih knjiga.
I just finished doing it.	Upravo sam ga dovršio.
I just finished doing it.	Upravo sam je dovršio.
I met your dad yesterday.	Sreo sam tvog oca jučer.
I met your dad yesterday.	Sreo sam tvog tatu jučer.
I met your dad yesterday.	Srela sam tvog tatu jučer.
I'll tell Tom to do that.	Reći ću Tomu da to učini.
It's like summer outside.	Vani je poput ljeta.
May I ask a favor of you?	Mogu li te pitati za uslugu?
Nobody can open the door.	Nitko ne može otvoriti vrata.
She rejected my proposal.	Odbila je moj prijedlog.
These are very old books.	To su vrlo stare knjige.
This is my email address.	Ovo je moja e-mail adresa.
Today is a beautiful day.	Danas je lijep dan.
Tom didn't give it to me.	Tom mi nije to dao.
Tom drinks a lot of beer.	Tom pije puno pive.
Tom had dinner with Mary.	Tom je večerao s Mary.
Tom has changed his name.	Tom je promijenio svoje ime.
Tom hasn't been indicted.	Tom nije bio osuđen.
Tom is my oldest brother.	Tom je moj stariji brat.
Tom says I have charisma.	Tom kaže da sam karizmatičan.
Tom visited us yesterday.	Tom nas je jučer posjetio.
Tom was forced to resign.	Tom je bio prisiljen dati ostavku.
Tom was wrong about that.	Tom je bio u krivu o tome.
Tom went instead of Mary.	Tom je otišao umjesto Mary.
We should get a new lamp.	Trebamo nabaviti novu svjetiljku.
What does your father do?	Što radi tvoj otac?
Will ten thousand yen do?	Hoće li deset tisuća yena biti dovoljno?
Can I use your dictionary?	Mogu li uzeti tvoj rječnik?
Death is similar to sleep.	Smrt je slična snu.
Do you have any vacancies?	Imate li slobodnih soba?
Do you watch TV every day?	Gledaš li televiziju svaki dan?
Everyone loves that place.	Svi vole to mjesto.
Father bought me the book.	Otac mi je kupio tu knjigu.
He was afraid of the dark.	Imao je strah mraka.
He's sleeping like a baby.	On spava ko beba.
He's sleeping like a baby.	Spava ko beba.
His story may not be true.	Njegova priča možda nije istinita.
How much is this umbrella?	Koliko je ovaj kišobran?
I have to do what's right.	Moram učiniti što je ispravno.
I notice things like that.	Primjećujem takve stvari.
I think Tom could do that.	Mislim da bi Tom mogao to napraviti.
I think Tom could do that.	Ja mislim da bi Tom mogao to napraviti.
I think Tom could do that.	Ja mislim da bi Tom mogao to obaviti.
I think Tom could do that.	Ja mislim da bi Tom mogao to učiniti.
I thought that was my job.	Mislio sam da je to moj posao.
I thought that was my job.	Mislila sam da je to moj posao.
I'm going to leave school.	Napustit ću školu.
It isn't very interesting.	To nije veoma zanimljivo.
It's raining hard tonight.	Pada kiša noćas.
Mary is Tom's twin sister.	Mary je Tomova sestra blizanka.
My mobile has been stolen.	Moj mobitel je ukraden.
Nothing is wrong with you.	Sve je u redu s tobom.
She looks like her mother.	Ona sliči na majku.
Someone stole Tom's money.	Netko je ukrao Tomov novac.
That house belongs to him.	Ta kuća pripada njemu.
The reason doesn't matter.	Uzrok nije važan.
The young man is a doctor.	Mladi čovjek je liječnik.
Their flowers smell sweet.	Njihovo cvijeće slatko miriše.
They don't pay you enough.	Oni te ne plaćaju dovoljno.
Things changed after that.	Stvari su se promijenile nakon toga.
This is today's newspaper.	Ovo su današnje novine.
Tom already knew about it.	Tom je već znao o tome.
Tom asked Mary for advice.	Tom je pitao Mariju za savjet.
Tom became rich overnight.	Tom je postao vrlo bogat preko noći.
Tom can touch the ceiling.	Tom može taknuti strop.
Tom can't play the guitar.	Tom ne može svirati gitaru.
Tom gave me several books.	Tom mi je dao nekoliko knjiga.
Tom is always daydreaming.	Tom uvijek sanjari.
Tom is highly intelligent.	Tom je vrlo inteligentan.
Tom is teaching me French.	Tom me uči francuski.
Tom left before I arrived.	Tom je otišao prije nego sam došao.
Tom left before I arrived.	Tom je otišao prije nego što sam došao.
Tom shooed the flies away.	Tom je otjerao muhe.
Tom still looks surprised.	Tom još uvijek izgleda iznenađeno.
Tom wants his money today.	Tom želi svoj novac danas.
Tom was eating a sandwich.	Tom je jeo sendvič.
Tom went out to buy bread.	Tom je otišao kupiti kruh.
What you did helped a lot.	Ovo što si učinio je pomoglo mnogo.
What're you talking about?	O čemu pričaš?
What's the Wi-Fi password?	Koja je šifra Wi-Fi-ja.
When did you buy that hat?	Kada si kupio taj šešir?
Who discovered the island?	Tko je otkrio taj otok?
Why don't we share a room?	Zašto ne bismo dijelili sobu?
Why should you suspect me?	Zašto bi sumnjao u mene?
You are tired, aren't you?	Umoran si, zar ne?
You must control yourself.	Moraš se kontrolirati.
Do we need to wait for you?	Trebamo li te čekati.
Each of them has a bicycle.	Svaki od njih ima bicikl.
Every ship needs a captain.	Svaki brod treba kapetana.
Fill out this form, please.	Molim, ispunite taj formular.
He has gone out for a walk.	Izašao je u šetnju.
He held the trophy up high.	Visoko je podignuo trofej.
He made me happy yesterday.	Jučer me usrećio.
He's watching the Olympics.	On gleda olimpijadu.
I don't belong to any club.	Ne pripadam nijednome klubu.
I want to live in the city.	Želim živjeti u gradu.
I wonder what Tom is up to.	Pitam se što Tom namjerava učiniti.
I'll stay at home tomorrow.	Sutra ću ostati kod kuće.
I'm breast-feeding my baby.	Dojim svoje dijete.
I'm looking for my brother.	Pali ste niz stube.
I'm sure you did your best.	Siguran sam da si učinio najbolje što si mogao.
Is there life before death?	Ima li života poslije smrti?
Let me in or I'll tell Tom.	Pusti me unutra ili ću reći Tomu.
Let's get something to eat.	Idemo nešto pojesti.
My clock needs to be fixed.	Treba popraviti moj sat.
Next Thursday is a holiday.	Sljedeći četvrtak je praznik.
Really? I didn't know that.	Stvarno? Nisam znao.
Really? I didn't know that.	Stvarno? Nisam znala.
Several people were killed.	Nekoliko ljudi je ubijeno.
Several people were killed.	Ubijeno je nekoliko ljudi.
That was a good experience.	Ovo je bilo ugodno iskustvo.
