Help!	Uhupai!
I am Chinese.	Yoho tulun Sina.
I can't move.	Au oku kogura.
I don't know.	Au ku koilo'.
I don't know.	Au oku koilo.
I have a dog.	Kitasu oku.
I let Tom go.	Poongoyon ku i Tom.
I understand.	Orotian oku.
I want to go.	Sionggoi oku.
I'm a doctor.	Yoku nopo nga mongugusap.
I'm unafraid.	Au orosian ku.
That's a lie.	Oudut.
That's crazy.	Oulau dilo.
Try it again.	Umbalai po kaagu.
What is that?	Nunu lo hodi?
Are you a fan?	Iya mononokodung?
Are you crazy?	Noulau ko' no?
Are you crazy?	Mulau ko' nodii?
Are you happy?	Otood ko' dii?
Are you there?	Hino ko dii?
Are you tired?	Nohuyan ko' no?
Can I ask who?	Milo' oku monguhot isai dii?
Can I go next?	Milo' oku mongoi do kawagu?
Can I have it?	Milo' oku mokianu dilo?
Can I join in?	Milo' oku tumanud?
Can Tom do it?	Milo' i Tom maan diti?
Can we go now?	Milo' tokou mongoi baino?
He hugged her.	Guminapus yau disido.
Help yourself.	Maai do sondiri.
I already ate.	Nakaakan oku no.
I believe you.	Otumbayaan ku diya.
I can see you.	Okito oku diya.
I hate French.	Asanaan oku do Poransis.
I hate coffee.	Araatan oku do kupi.
I have a cold.	Osogitan ku ih.
I have to try.	Umbalan ku no koti.
I know French.	Koilo' oku mimboros Poransis.
I like French.	Orohian oku do Poransis.
I like to eat.	Orohian oku do mangakan.
I love French.	Muhang oku do boros Poransis.
I nearly died.	Osomok moti patayon ku.
I want a bath.	Sipodsu oku.
I'll miss you.	Lumangad oku diya.
I'm a student.	Yoku nopo nga susumikul.
It might rain.	Rumasam matu.
Keep it quiet.	Pakadaada.
Look up there.	Tingaha hodi.
Love is crazy.	Mulau nopo lisih.
Owls are cute.	Odoromot o puok.
She hated him.	Araatan sido disio.
Stay a moment.	Oruhai bogia.
Tom got a job.	Nakaanu i Tom do karaja.
Tom had a dog.	Haro i Tom do tasu.
Tom looked up.	Tumingaha i Tom.
Tom said that.	Binoros di Tom ilo.
Tom sat alone.	Osongulun i Tom do mirikau.
Was Tom alone?	Osongulun i Tom?
Watch closely.	Antangai.
We're parents.	Komolohingan tokou.
What happened?	Nokuro dii?
Where are you?	Honggo ko' dii?
Where are you?	Hinonggo ko dii?
Who helps her?	Isai monguhup isido?
You can do it.	Obuli ba' iya!
A beer, please.	Onuai oku do biir.
Are you hungry?	Witilon ko' no?
Can I be there?	Milo' oku mongoi id hilo?
Can I call you?	Milo' oku lumohou dika?
Can I have one?	Milo' oku onuai lo tiso?
Can I help you?	Milo' oku monguhup diya?
Can I see, too?	Milo' oku mongintong pogi?
Can I talk now?	Milo' oku moboros baino?
Can I use this?	Milo' oku momoguno diti?
Can this be it?	Koontok ti?
Can we come in?	Milo' tokou moi suang?
Can we do that?	Milo' tokou maan dilo?
Can we go home?	Milo tokou muli walai?
Can we join in?	Milo' tokou tumanud?
Can we keep it?	Milo' tokou popo'opi ti?
Can we make it?	Milo' tokou mangan diti?
Close the door.	Tanabai ilo totobon.
Did you see it?	Kokito ko ti?
Do you love me?	Koupus ko' nangku doho?
Foxes eat hens.	Mangakan i tompu do golupo.
Happy New Year!	Kotobian do Toun Wagu!
I don't get it.	Au oku orotian.
I hate karaoke.	Araatan oku do karaoke.
I have no idea.	Aiso no toilaan ku.
I made that up.	Maan oku dilo.
I speak French.	Mimboros oku do Poransis.
I study French.	Minsingilo oku do boros Poransis.
I teach French.	Monuduk oku do boros Poransis.
I was a doctor.	Yoku nopo nga i dukutur.
Is she married?	Nakasawo isido no?
Is that French?	Boros Poransis lo?
Is this edible?	Kaakan iti?
It's a new day.	Tadau wagu no.
It's hot today.	Alasu no baino.
Let's end this.	Maai no awi ti.
No one cheated.	Au isai oudut.
Please help me.	Uhupai oku.
Smoke appeared.	Noimbulai no lisun.
They hated Tom.	Araatan iyolo di Tom.
Tom cut school.	Mogidu i Tom mantad do sikul.
Tom misses you.	Lumangad i Tom dika.
Tom will share.	Maan i Tom ndo poilang.
Tom, don't die.	Tom, kada patai.
We have failed.	Au kalantoi tokou.
Why do you ask?	Nokuro tu minuhot nu dii?
Am I ever wrong?	Nasala' oku?
Are my ears red?	Aragang tolingo ku?
Are we all here?	Haro ko' toinsanan hiti?
Are we done yet?	Nokoompus tokou no?
Are we safe now?	Au tokou noontok?
Are you married?	Nakasawo ko' no?
Bring me my bag.	Owito barait ku.
Call the police.	Lohowo pulis.
Can I be honest?	Milo' oku maan do otulid?
Can I have this?	Milo' oku mokianu diti?
Can I order now?	Milo' oku mambarai baino?
Can I order one?	Milo' oku mambarai lo tiso?
Can I park here?	Milo' oku popotimpak korita ku hiti?
Can I sit there?	Milo' oku mirikau lo hodi?
Can I stay over?	Milo' oku magandad?
Can I trust Tom?	Milo' oku mumboyo di Tom?
Can I work here?	Milo' oku kumaraja hiti?
Can it be fixed?	Milo' mongundar?
Can we eat this?	Milo' tokou mangakan ti?
Can we save Tom?	Milo' tokou manampasi i Tom?
Can we sit here?	Milo' tokou mirikau hiti?
Can you help me?	Milo' ko' monguhup doho?
Can you see Tom?	Kokito ko' di Tom?
Cats catch mice.	Monimpad tungau do biik.
Congratulations!	Bayahan!
Did you miss me?	Langadon ko' nangku doho?
Do you know her?	Kotutun ko' disido?
Do you know him?	Kotutun ko' dau?
Do you remember?	Kosorou ko' po?
Drink something.	Poginum no.
Funny, isn't it?	Aramai kio?
How old are you?	Piro tumur nu?
How old are you?	Piro toun nu?
I can do it now.	Milo' oku maan baino.
I can get us in.	Milo' oku mongoruhang dahai.
I can't see you.	Au oku kokito diya.
I don't see him.	Au oku okito disio.
I have to hurry!	Maan oku do tosikap kio.
I have two cats.	Duo no kitungau ku.
I live in Japan.	Kinoiyonon ku hilo'd Gipun.
I never met Tom.	Au oku nokoumbal nokoruba di Tom.
I recognize him.	Kotutun oku kaka dau.
I want a friend.	Mokiambalut oku.
I want to sleep.	Manu oku modop.
I will kill you.	Mamatai ku ndo diya.
I'm a bit crazy.	Mulau oku tokuri.
I'm not a robot.	Yoho okon ko robot.
Is Tom infected?	Noroliu i Tom?
It isn't locked.	Au nokokunsi ilo.
It's cold today.	Osogit do baino.
Jesus loves you.	Guminawo i Yesus kumaa diya.
Let's stop here.	Kanou tumingkod hiti.
Maybe it's true.	Otopot matu.
Merry Christmas!	Kotobian Tadau Kirismas!
Nice seeing you!	Sonong kopiruba diya!
The sky is blue.	Obulou ilo tawan.
They're interns.	Minsingiloh iyolo.
Tom got a puppy.	Haro duku i Tom.
Tom looked down.	Luminuung i Tom.
Tom was cheated.	Nowudutan di Tom.
Walking is nice.	Mimpanau nopo nga osonong montok kolidasan.
We all like you.	Muhang yahai diya.
We all love you.	Guminawo yahai diya.
We study French.	Minsingilo' tokou mimboros Poransis.
We're very fast.	Osikap tomod tokou.
What's going on?	Nokuro dii?
What's its name?	Isai ngaran dau?
Who betrayed us?	Isai minogolimut dahai?
You look stupid.	Basug nodi kokitanan nu.
You're so weird.	Suai ko dii.
A cab is waiting.	Nokorikot no tiksi.
Are they in love?	Miupus iyolo?
Are you doing OK?	Osonong-sonong ko' ih?
Are you going in?	Mongoi ko' suang?
Are you my enemy?	Ika no pisangod ku?
Are you on board?	Mungkayut ko' no?
Are you on drugs?	Sosooyon ko' no?
Are you open now?	Mongiwang ko' baino?
Are you too cold?	Nosogitan nu dii?
Are you too warm?	Alasu tomod ko' no?
Are you two busy?	Atangkangau kou goduo?
Are you up there?	Hino ko' id sawat?
Be there at noon.	Kada lihuai id dangadau kio.
Bring it in, Tom.	Owito hiti oi Tom!
Bring it on, Tom.	Umbalai bogia Tom!
Bring me my cane.	Owito sukud ku.
Bring them to me.	Owito iyolo montok doho.
Can I go surfing?	Milo' oku mintong do intornit?
Can I have three?	Milo' oku onuai do tolu' dilo?
Can I trust them?	Milo' oku lumansan diolo?
Can Tom go first?	Milo' i Tom mongoi gulu?
Can this be true?	Otopot iti?
Can we bring Tom?	Milo' tokou mongowit i Tom?
Can we come, too?	Tokou nga milo' korikot?
Can we go inside?	Milo' tokou moi suang?
Can we help them?	Milo tokou monguhup diolo?
Can we leave now?	Milo tokou mongiduan baino?
Can we talk here?	Milo' tokou moboros hiti?
Can we trust you?	Milo' tokou otumbayaan dika?
Can you help Tom?	Milo' ko moi uhup di Tom?
Can you see that?	Kokito ko' dilo?
Can you see them?	Kokito ko' diyolo?
Close the window.	Tanabai ilo liligaon.
Give me that jar.	Onuai oku dilo kakanan.
He has long hair.	Kitobuk isido tanaru.
He speaks French.	Koilo' yau mimboros Poransis.
I am a bit crazy.	Mulau oku tokuri.
I bet it was Tom.	Nokokito do Tom kangku daa.
I came to say hi.	Hiti oku mamarait "kopiwosian".
I came yesterday.	Norikot oku kosodop.
I can do it, too.	Yoku nga milo' nogi maan dilo.
I can get you in.	Milo' oku poposuang dika.
I don't think so.	Mada oku dii.
I hate chemistry.	Araatan oku do kimia.
I love gardening.	Orohian oku do mananom.
I need your help.	Mokiuhup oku mantad dika.
I sell umbrellas.	Papadagang oku do payung.
I'm Tom's nephew.	Yoku nopo nga manangaman Tom.
I'm full of hope.	Alansan oku kopio.
I'm not a doctor.	Yoku okon gia mongugusap.
I'm not so happy.	Au oku ounsikahan kopio.
Is this your car?	Ilo hodi korita nu?
Let me take this.	Onuan ku diti.
Nice to meet you.	Tabi pintutunan kio.
See you tomorrow.	Kopiruba id suab kio.
Share it with me.	Mai gia poilang oku.
Share it with us.	Mai gia piuhupan kumaa dahai.
That's the issue.	Iri no kobolingkangan.
The jar is empty.	Aiso nunu hodi suang do kakanan.
Tom is a planner.	I Tom nopo nga gompomonsoi.
Tom will find us.	Ihumon i Tom ndo dahai.
We know all this.	Nokoilo yahai dilo ngawi.
We share a dream.	Misompuru tokou doid tipi tokou.
What can you see?	Nunu o tokito nu?
What did you buy?	Nunu binoli nu?
What did you say?	Nu gia kanu?
What do you want?	Nu pokionuan nu?
Where did Tom go?	Hinonggo tongoyon di Tom?
Where did you go?	Honggo tongoyon nu?
Where is my seat?	Hombo o tirikohonon ku?
You helped Mommy?	Nouhup ko' di yama?
A heavy rain fell.	Asapou no rasam.
Am I welcome here?	Milo' oku kinorikatan hiti?
Ammonia is a base.	Ammonia nopo nga tadon dau.
Are they all nuts?	Noulau iyolo ngawi?
Are we going home?	Muli tokou do nangku id walai?
Are we in trouble?	Kobolingkangan tokou?
Are you a student?	Iya susumikul?
Are you bored yet?	Nababas ko' po?
Are you busy here?	Atangkangau ko' hiti?
Are you home, too?	Ika nga id walai?
Are you hurt, Tom?	Norualan nu dii oi Tom?
Are you in danger?	Koligagaanan ko' dii?
Are you my doctor?	Ika nopo nga mongugusap ku?
Are you out there?	Hino ko' id labus?
Are you ready now?	Nokosodia ko' baino?
Are you really OK?	Au ko' kukuro kopio gia?
Are you sure, Tom?	Kopio gia, Tom?
Are you too tired?	Nohuyan ko' no?
Be honest with me.	Poboroso do otulid kumaa doho bogia.
Be quick about it.	Sikapai bogia.
Bring Tom in here.	Owito i Tom hiti.
Buy me some candy.	Pobolio' moomis kumaa doho.
Can we get closer?	Milo' tokou mongoi insomok?
Do you like music?	Orohian ko' do loyuk?
He's now studying.	Minsingilo isio po baino.
Her eyes darkened.	Tuminuong mato disido.
How can we get in?	Ingkuro no tokou milo' monuang?
I bathe every day.	Momodsu oku do monikid tadau.
I bet I can guess.	Noilaan oku dilo sundait.
I can do the math.	Milo' oku maan do pongintobon.
I can go by train.	Milo' oku sumakai do koritapui.
I can make a call.	Milo' oku monolipoun.
I can't afford it.	Au oku asaga.
I share your idea.	Maan oku piuhupan do sorohon nu.
I want this puppy.	Manu oku dilo hodi duku.
I was happy there.	Otood oku hilo.
I'll be in my car.	Sumakai oku id korita do tinu.
I'll be on my own.	Maan oku sondiri do tinu.
I'm not very well.	Au oku osonong kopio.
I'm working on it.	Maai ku po ti.
It's an infection.	Rolihan ilo.
It's easy for you.	Osinang montok diya.
Keep an eye on it.	Intang-intangan kio.
Keep away from me.	Insodu oku.
Please forgive me.	Ompunai oku.
She hates carrots.	Araatan sido do lubak taragang.
She hates running.	Araatan sido do manangkus.
She may be French.	Tulun yau Poransis kanto.
Spiders spin webs.	Monurug o korut do lawa.
Stay with us, Tom.	Iyono' maya tokou oi Tom.
That won't happen.	Au koontok lo.
There is one less.	Au nabagal songulun.
They spoke French.	Mimboros iyolo Poransis.
They're listening.	Mokinongou iyolo.
Tom is a bad cook.	I Tom nopo nga mongongonsok dit au osonong.
Tom is quite tall.	Aranggou i Tom do tokuri.
Tom speaks French.	Mimboros i Tom do Poransis.
Two beers, please.	Onuai oku duo biir.
We are who we are.	Itokou nopo nga nunu miiso tokou.
We can both do it.	Milo' kito maan ti.
We can look it up.	Milo' tokou mogintong lo.
We're not staying.	Au tokou miiyon hiti.
What does it mean?	Nu komoyon ti?
What is happiness?	Nunu o kataadan?
What is your name?	Isai ngaran nu?
Where do you live?	Honggo ko' poingiyon?
Who can I talk to?	Isai oku milo' monongkiboros?
Who speaks French?	Isai mimboros Poransis?
Why are you alone?	Nokuro ko' songulun nodi?
Will you marry me?	Kotorimo ko' nangku doho manansawo?
You and I are men.	Kusai kito.
You are a teacher.	Iya nopo nga mongingia'.
You are beautiful.	Olundus ko no.
You are my friend.	Iya nopo nga tambalut ku.
You are one of us.	Ika nga puru-puru tokou.
You like everyone.	Orohian ko' di tulun ngawi.
You make me happy.	Insasamadan ko' doho.
A child is missing.	Natagak no tanak.
A lot has happened.	Ogumu ontokon ti.
Am I being foolish?	Noudutan ku dii?
Am I too demanding?	Sumonsog oku nodi?
Are you badly hurt?	Norualan nu dii?
Are you blaming me?	Monondos ko' doho?
Are you both drunk?	Naawuk ikoyu no?
Are you guys crazy?	Noulau ikoyu?
Are you guys ready?	Nokosodia kou no?
Are you hungry yet?	Witilon ko' po?
Are you mocking me?	Mangasab ko' nangku doho?
Are you really Tom?	Ika nopo nga Tom kopio gia?
Are you scared now?	Modosi ko' baino?
Are you still busy?	Atangkangau ko' po?
Are you two hungry?	Witilon duo kou no?
Are your eyes open?	Ungkalat ko'?
Boy that was close.	Atukoi, oruhai po nga nasip au kaantak i.
Bring Tom with you.	Poruhango i Tom maya dika.
Buy low, sell high.	Pobolio do uwai gatang, poinsawato' do dagang
Can I borrow yours?	Milo' oku molos mantad dika?
Can I question Tom?	Milo' oku monguhot di Tom?
Can Tom be trusted?	Milo' otumbayaan kaka i Tom?
Can we afford that?	Kasaga' tokou maan dilo?
Can we afford this?	Kasaga' tokou maan diti?
Can we get started?	Milo' tokou tumimpuun?
Can we go upstairs?	Milo tokou mindakod?
Can you and I talk?	Milo' kito maan pibarasan?
Come and sit by me.	Kaino mirikau maya doho.
Do you like apples?	Manu ko' do apol?
Do you remember me?	Kosorou ko' nangku doho?
Go and have a look.	Ongoi intong.
Go and talk to Tom.	Ongoi ponongkiboros i Tom.
Go back to bed now.	Ongoi odop baino.
He called for beer.	Olohou yau tu manu do biir.
How big will it be?	Songkuro ginayo lo?
How can I help Tom?	Ingkuro no oku milo' monguhup Tom?
How can I stop Tom?	Ingkuro no oku mogodu Tom?
I admire Tom a lot.	Arayou oku do togumu kaka Tom.
I ate way too much.	Godoot oku no kopio.
I can help you out.	Milo' oku monguhup dika.
I can live with it.	Milo' oku tumilombus diti.
I can pay you back.	Milo' oku popoguli do barayan kumaa dika.
I can see that now.	Okito oku dilo baino.
I can speak to Tom.	Milo' oku moboros montok Tom.
I have a job to do.	Haro no toguagon ku.
I have two nephews.	Duo no kimononginan ku.
I have two nephews.	Duo no kimanangaman ku.
I was busy all day.	Atangkangau oku no monikid tadau.
I'll be at my desk.	Hiti oku do mija' ku.
I'll work with Tom.	Kumaraja oku miampai di Tom.
I'm an old man now.	Olohing oku do baino.
I've been infected.	Nokoroliu oku no.
Is Tom your nephew?	I Tom gia manangaman nu?
It is of great use.	Osonong ilo kogunaan.
It was in this box.	Haro id suang do kaban.
It's not important.	Au tagal i.
It's time to party.	Maso do karamaian.
Let's see who wins!	Intangai po isai nopo kamanang!
Love is everything.	Haro lisih, haro nunu.
Please take a bath.	Ongoi podsu.
Thank you for that.	Kotoluadan tu manahak lo.
Thank you for this.	Kotoluadan tu manahak ti.
That was different.	Suai ilo.
The earth is round.	Obulugu ilo pomogunan.
This boy is my son.	I tanak ti nopo nga tanak ku.
Tom is rarely late.	Apagau i Tom a'adahan.
Tom studies French.	Minsingilo' i Tom do boros Poransis.
Tom teaches French.	Monuduk i Tom do boros Poransis.
Tom wanted revenge.	Mumang i Tom do posulian.
Tom, are you there?	Oi Tom, hino ko dii?
We all cried a lot.	Mihad-ihad oku kopio.
We all have to die.	Matai tokou kama.
We came to see you.	Rumikot tokou miruba dika.
We can rely on Tom.	Milo' tokou kotumbaya i Tom.
We can take a hint.	Milo' tokou monoromo.
We can talk to Tom.	Milo' tokou moboros kumaa Tom.
We went to a movie.	Minoi yahai intong do wayang.
We were all asleep.	Koodop tokou ngawi.
We were very tired.	Ohuyan tomod tokou ih.
We're all infected.	Norolihan tokou i.
Well, now you know.	Ba, nokoilo' ko' baino.
What am I here for?	Nunu pokionuan ku hiti?
What are you doing?	Nu mangan nu?
When can I move in?	Soira milo' oku kondaliu?
When can I see Tom?	Soira oku koruba di Tom?
Where are you from?	Hinonggo tadon nu?
Why are you crying?	Nokuro tu mihad ko' dii?
Why is sweat salty?	Nokuro tu oosin o tumos?
You are in my seat.	Ika id tirikohon ku.
You are in my spot.	Hiti ko id wayaan ku.
You are very brave.	Katama ko' tomod.
You can do it, too.	Ika nga milo' maan nogi.
You can let go now.	Milo' ko' mogidu baino.
You're still young.	Omulok ko' po.
All I can do is try.	Nunu kawasa ku nopo nga mongumbal.
Allow me to explain.	Maai oku daa popoilo'.
Answer me right now.	Onuai simbaran kumaa doho baino.
Anybody want a beer?	Isai manu moginum?
Anyone can see that.	Kokito isai-isai dilo hodi.
Are they all strong?	Agaras iyolo ngawi?
Are they still here?	Kakal iyolo po hiti?
Are those new shoes?	Kasut wagu lo hodi?
Are those your bags?	Barait nu lo hodi?
Are we nearly there?	Osomok tokou id hilo?
Are you about ready?	Poingintai ko' no?
Are you almost here?	Korikot ko' hiti do tinu?
Are you being funny?	Maan ko' kotumpirak?
Are you coming back?	Muli ko' tiinu?
Are you coming, Tom?	Oi Tom, korikot ko' tinu?
Are you from Boston?	Mantad ko' id Boston?
Are you going along?	Tumalib ko' lo hodi?
Are you guys crying?	Mihad ikoyu?
Are you kids hungry?	Oi tanganak, witilon ikoyu?
Are you on Facebook?	Haro Pisbuk nu?
Are you on vacation?	Moi ko' hino tombuluyon?
Are you really sure?	Kopio gia?
Are you still alone?	Osongulun ko' po?
Are you still dizzy?	Oinggolou ko' po?
Are you that stupid?	Basug ko' dii?
Are you two related?	Kopiirad ikoyu?
Are you watching me?	Mongintong ko' nangku doho?
Bring your tool box.	Owito pakakas nu.
Can someone help me?	Haro isai milo' monguhup doho?
Can we do something?	Milo' tokou mangan?
Can we speak French?	Milo' tokou mimboros Poransis?
Don't you hate that?	Au ko araatan doho?
Everybody looked up.	Tuminingaha toinsanan.
French is difficult.	Apagon no boros Poransis.
Get a ticket for me.	Onuai do tikit montok doho.
Get back in the van.	Ongoi sakai id suang korita bin.
Go and look for Tom.	Ongoi pogihum i Tom.
He can help you out.	Milo' yau monguhup dika.
He seems to be sick.	Sumakit iyau dii.
He's as big as I am.	Agayo yau miagal doho.
How bad could it be?	Songkuro rinaat diti?
How bad is Tom hurt?	Okuro-kuro da kogonitan i Tom?
How bad is the pain?	Okuro-kuro daa toruol lo?
How can I forget it?	Poingkuro no olingan ku dilo?
How can I reach Tom?	Ingkuro oku kagampot id Tom?
How can I trust you?	Poingkuro oku lumansan dika?
How can Tom do that?	Ingkuro no maan i Tom dilo?
How can Tom do this?	Poingkuro ma i Tom maan diti?
How can we help Tom?	Inkuro ma tokou monguhup i Tom?
How can we help you?	Inkuro ma tokou monguhup dika?
I always take a bus.	Asaru oku sumakai do bas.
I am right for once.	Insan nopo katapatan ku.
I asked Tom to stop.	Nokosunud oku kumaa Tom ula'.
I broke up with Tom.	Tumongkiad oku maya i Tom.
I came by to say hi.	Moi oku rikot hiti om tumabi.
I can come in early.	Milo' oku korikot do osopung.
I can deal with Tom.	Milo' oku mongumbal maya Tom.
I can get you there.	Milo' oku mongintong dika id hino.
I can seal the leak.	Milo' oku popotopot do lawas.
I can still do that.	Milo' oku po maan dilo.
I can take Tom home.	Milo' oku koruhang Tom id walai.
I can wait out here.	Milo' oku mangandad hiti.
I do not understand.	Au oku karati.
I eat a lot of meat.	Ogumu oku mangakan do tonsi.
I have a dictionary.	Kikamus oku.
I have to leave now.	Mugad oku do baino.
I know this is hard.	Noilaan ku diti apagon.
I love Chinese food.	Orohian oku do taakanon Sina.
I make €100 a day.	Naawi oku nodi do soginumu hatus Yuro sangadau.
I must be on my way.	Mongoi oku koti.
I share his opinion.	Tumanud oku do kopoilaan dau.
I will be back soon.	Gulion ku kawagu kio.
I wish you'd listen.	Alansan no daa korongou ko.
I wonder who she is.	Isai isido lo dii?
I'd be OK with that.	Osonong-sonong oku no dilo.
I'd be glad to help.	Maha oku daa monguhup.
I'll be good to Tom.	Maan oku awasi kumaa Tom bo.
I'll be happy to go.	Ounsikahan oku nung mongoi.
I'll be out of town.	Mogidu oku mantad watas kakadayan do tinu.
I'll buy Tom a beer.	Bolian ku do biir kumaa Tom.
I'm at a truck stop.	Hiti oku id pangadadan do lori.
I'm blind, not deaf.	Yoho ih bolou, okon gia ih bosuk.
I'm thinking of you.	Momusorou oku dika.
Is any of this real?	Haro ti otopot?
Is any of this true?	Otopot doiti?
Is everybody hungry?	Louson tian toinsanan?
Is that a yes or no?	Ohoo toi ko' amu?
It bothers me a lot.	Naantakan ngawi kumaa doho.
It'll be a long day.	Alaid tadau-adau do tinu.
It's a fact of life.	Iri no koposion.
It's all new for me.	Wagu lo ngawi kangku daa.
It's time to get up.	Posik no.
Jesus answered them.	Suminimbar i Yesus diolo.
Keep an eye on them.	Intang-intangai kaka iyolo kio.
Let's try something.	Umbalai bogia.
Look at what I made.	Intangai wonsoyon ku ti.
Look, I'll show you.	Intangai, pokitonon ku ndo diya.
She's in a bad mood.	Au osonong habar disido.
Take a few days off.	Onuai do undorong tokuri.
Thank you for lunch.	Kotoluadan do manahak taakanon.
Thank you for today.	Kotoluadan do baino.
That's where I live.	Ilo hodi no tiyonon ku.
That's where I work.	Hiti no pakarajaan ku.
The computer is new.	Wagu ilo kompiuto.
There's a lot to do.	Ogumu moti maan dilo.
This belongs to you.	Iti nopo nga dika.
This novel bores me.	Apa'asan iti buuk basaan doho.
Tom has a black dog.	Haro i Tom do oitom tasu.
Tom is a bad person.	I Tom nopo nga tulun taraat.
Tom made an apology.	Minokiampun i Tom.
We all have a price.	Haro no gatang dahai.
We can get you help.	Milo' tokou monguhup dika.
We can help Tom now.	Milo' yahai monguhup Tom baino.
We can make it work.	Milo' tokou poimpanau lo.
We haven't lost yet.	Au yahai napalid po.
We need three rooms.	Manu yahai tolu bilik.
We'll be on our way.	Poimpanau tokou kio.
What are they up to?	Nunu mangan diolo?
What are you saying?	Nunu kanu di?
What can I tell Tom?	Nunu popoilo' oku kumaa Tom?
What can I tell you?	Poingkuro ma popoilo' tiya?
What should I bring?	Nunu apatut o owitan ku?
What time is it now?	Jam kopiro dinondo?
When can we see Tom?	Soira milo' tokou miruba i Tom?
When did you buy it?	Mantad hombo pinomolian nu dino?
When will you leave?	Soira hibokon nu?
Where are you going?	Honggo tongoyon nu?
Where can I find it?	Nonggo oku mongihum lo hodi?
Where can I wash up?	Hinonggo oku milo' momoug?
Where were you born?	Hinonggo kinosusuon nu?
Who can stop us now?	Isai mogodu tokou baino?
Who is your teacher?	Isai mongingia' nu?
Whose fault is that?	Isai nopo kasala diri?
Why am I still here?	Nokuro kakal po hiti oku?
Why are you at home?	Nokuro ko' mangandad id walai?
Why are you in town?	Nokuro ko' id watas kakadayan?
Why are you with me?	Nokuro ko' koruhang maya doho?
Why bring it up now?	Nokuro tu mongowit do baino?
Why did you do that?	Nokuro ko' maan do miagal diti?
Will I have to move?	Apatut ko popoundaliu dilo?
You are out of step.	Aiso no orikatan nu.
You can rely on Tom.	Milo' ko' kotumbaya i Tom.
You can talk to Tom.	Milo' ko' moboros montok Tom.
You can use my help.	Milo' ko' mokiuhup mantad doho.
You'd be good at it.	Osonong no maan nu dilo.
All things must pass.	Sansagan do ngawi katalib di otopot.
All three men smiled.	Mirak-irak i tolu maman.
Are those my glasses?	Soromin mato' ku lo hodi?
Are we starting soon?	Sumonu tokou toi?
Are you finished yet?	Naawi ko' no?
Are you freaking out?	Kotigog ko' dii?
Are you getting this?	Nakaanu ko' diti?
Are you leaving soon?	Humibok ko' tinu?
Are you open tonight?	Mongiwang ko' baino?
Are you still hungry?	Witilon po tian nu?
Are you their mother?	Ika nopo nga tidi diolo?
Are you unhappy, Tom?	Au ko' otood, Tom?
Are you walking home?	Muli ko' no?
Are your bags packed?	Norotop no barait nu?
Birds fly in the sky.	Tumulud o tombolog hilo'd tawan.
Bring those men here.	Owito ilo tongulun hiti.
Can I ask what it is?	Milo' oku monguhot nunu iti?
Can I start tomorrow?	Milo' oku tumimpuun id suab?
