Call home!	Киле шӑнкӑравла.
This always makes me laugh.	Ҫак япала мана яланах култарать.
You look very nice tonight.	Ҫак каҫ эсӗ аван курӑнатӑн.
You're not listening to me.	Эсӗ мана илтместӗн.
He said that he didn't know.	Вӑл хӑй пӗлменни пирки тесе каларӗ.
I'm not very good at French.	Францире мана пит лайӑхах мар.
Do you think I look like Tom?	Санӑн шухӑшупа эпӗ Том пек?
Don't forget your toothbrush.	Хӑвӑн шӑл щёткуна манса ан кай.
Everybody at school hates me.	Мана шкулта пурте кураймаҫҫӗ.
I go to school every morning.	Ирсерен шкула ҫӳретӗп.
She is not as patient as you.	Вӑл сан пекех чӑтӑмлӑ мар.
He asked his friends for help.	Вӑл юлташӗсенчен пулӑшу ыйтрӗ.
He asked his friends for help.	Вӑл юлташӑсене пулӑшма ыйтрӗ.
She is a good English speaker.	Вӑл лайӑх акӑлчанла калаҫаканӗ.
Tom doesn't have enough money.	Томӑн урӑх укҫа ҫук.
Tom lives and works in Boston.	Том Бостонра пурӑнать та ӗҫлеть.
Do you want something to drink?	Мӗн те пулин ӗҫетӗн и?
Every mistake made me stronger.	Кашни йӑнӑш мана вӑйлантарать.
He is suffering from toothache.	Шӑл ыратнипе аптӑрать.
He stopped to put on his shoes.	Пушмак тӑхӑнмашкӑн чарӑнчӗ.
I don't know what I should say.	Мӗн каламалла пӗлместӗп.
I just wanted to see you again.	Эпӗ сана курасшӑнччӗ кӑна.
I just wanted to see you again.	Эпӗ сана курасшӑнччӗ анчах.
I just wanted to see you again.	Эпӗ сире курасшӑнччӗ анчах.
I just wanted to see you again.	Эпӗ сире курасшӑнччӗ кӑна.
I'm a little worried about Tom.	Томшӑн кӑшт куллянтӑм.
Tom gave Mary some good advice.	Том Машука пӗр лайӑх сӗнӳ пачӗ.
Tom never came out of his coma.	Том комаран нихӑҫан та тухман.
I ate quesadillas for breakfast.	Ирхи апата касатилла ҫирӗм.
I want to go back to my cubicle.	Эпӗ хамӑн пӳлӗме таврӑнасшӑн.
I'll show you where we can hide.	Эпир кӑҫта пытанма пултарнине сана кӑтартатӑп.
She is good at speaking English.	Вӑл акӑлчанла лайӑх калаҫать.
Tom has no interest in politics.	Тома политикӑ кӑсӑклантармасть.
Why do you speak French so well?	Мӗншӗн эсӗ Французла ҫав терри лайӑх калаҫатӑн?
I don't have any pictures of you.	Манӑн санпа пӗр фото та ҫук.
I've just arrived at the station.	Эпӗ станцине ҫитрӗм анчах.
This information is confidential.	Ҫак пӗлӳ конфитенциаллӑ.
This information is confidential.	Ҫак информаци конфиденциаллӑ.
Tom knows what I'm talking about.	Эп каланине Том пӗлет.
You shouldn't lend Tom any money.	Сан Тома кивҫен укҫа памалла мар.
I shouldn't have touched anything.	Пӗр япалана та тӗкӗнмелле марччӗ ман.
Onions can be used in many dishes.	Сухан нумай апатра усӑ кураҫҫӗ.
She likes the design on the plate.	Ӑна савӑт капӑрлӑхе килӗшрӗ.
This is obviously a waste of time.	Ку, чӑннипе, вӑхӑт ҫухатни анчах.
This is obviously a waste of time.	Ку, чӑннипе, вӑхӑт ҫухатни кӑна.
I don't think she can speak French.	Вӑл французла калаҫать тесе шутламастӑп.
I love you and I want to marry you.	Эпӗ сана юрататӑп та сана кача тухасшӑн.
I love you and I want to marry you.	Эпӗ сана юрататӑп та манпа авлантарасшӑн.
I'll accompany you to the hospital.	Сыватӑша сана леҫсе яратӑп.
Sorry for calling you at this hour.	Ҫак вӑхӑтра сире шӑнкӑравланӑшӑн каҫарӑр.
We can do this if we work together.	Эпир пӗрле ӗҫлесен ҫак ӗҫе тӑваятпӑр.
You don't have to go to work today.	Санӑн паян ӗҫе каймалла мар.
I don't have anything to say to Tom.	Тома каламалли сӑмах ҫук.
He has good reason to get very angry.	Хытӑ ҫилленмешкӗн унӑн лайӑх сӑлтав пур.
I know him by name, but not by sight.	Эпӗ уна ятран пӗлетӗп, анчах та сӑнлан пӗлместӗп.
Everyone except Tom was wearing a tie.	Томсӑр пуҫне пурте галстук тӑхӑнса ҫӳренӗ.
I heard Tom laughing in the next room.	Том тепӗр пӳлӗмре кулнине илтетӗп.
I sleep with two quilts in the winter.	Хӗлле эпӗ икӗ утиялпа ҫывӑратӑп.
I have something important to tell you.	Санпа калаҫмашкӑн пӗр ҫивӗч калаҫу пур.
Humans were never meant to live forever.	Ҫын ӗмӗрепе пурӑнаймасть.
The novel has sold almost 20,000 copies.	Романӑн 20'000 яхӑн копи сутӑннӑ.
A family is the smallest unit of society.	Ҫемье социумӑн чи пӗчӗк пайӗ.
My uncle is a veteran of the Vietnam War.	Кукка Вйетнам вӑрҫи ветеранӗ.
I never expected Tom to get out of prison.	Эп Том тӗрмерен тухнине пач кӗтменччӗ.
What would you do if you were in my place?	Манӑн вырӑнта пулсассӑн мӗн тӑвӑтӑр ха?
He showed me his collection of butterflies.	Вӑл мана хӑйӗн лӗпӗш пуххи кӑтартрӗ.
I think this sweater will look good on you.	Ман шутпа ку сӑхман санӑн ҫинче чипер курӑнӗ.
The plane took off at exactly nine o'clock.	Вӗҫмек шӑп тӑхӑр сехетре тухса вӗҫсе кайрӗ.
There's a problem there that you don't see.	Эсӗ курман проблем пур.
Tom told me you're the best lawyer in town.	Том каланӑ тӑрӑх эсӗ хулари чи лайӑх саккунҫӑ.
According to the radio, it'll rain tomorrow.	Радиона кура ыран ҫумӑр пулать.
I don't like to sit too close to the screen.	Экрана ҫивӑх ларма юратмастӑп.
They sold out their whole stock of bicycles.	Хӑйсен мӗн пур янтӑ велосипед сутса пӗтерчӗҫ.
She has known him since they were very young.	Вӗсем питӗ ҫамрӑк пулнӑ чух вӑл уна палатччӗ.
Inhaling diesel exhaust is bad for our health.	Дисӗл каяшӗсемпе сывлама сывлӑхшӑн сиенлӗ.
Tom finished doing his homework before dinner.	Том каҫхи апатчченех килти ӗҫӗ туса пӗтерчӗ.
Don't scold her. She's too young to understand.	Ан ятласам уна. Вӑл ытла ҫамрӑк ха ӑнланма.
Kelantan is one of the states in West Malaysia.	Келанттан Анӑҫ Малайси штачӗсенчен пӗрри.
Please tell Tom I'll call again tomorrow morning.	Тархасшӑн эпӗ Тома ыран ирхине тепре шӑнкӑравлатӑп тесе калӑр.
She was happy to be introduced to him at the party.	Паттинче унпа паллашнӑран вӑл питӗ савӑннӑчӗ.
I called a guy I know in the FBI and requested help.	ФБРтан пӗр паллакан ачана шӑнкӑравласа пулӑшу ыйтрӑм.
The next morning, the snowman had completely melted.	Тепӗр кунне юр кӗлетки ирӗлсех кайрӗ.
Excuse me, but could you show me the way to the station?	Каҫарсам, станцие ҫул кӑтартаймастӑр и?
Tom didn't tell you about what happened to Mary, did he?	Том сана Машукпа мӗн пулнӑ пирки каламарӗ вӗт, ҫапла и?
If you leave now, you'll be in Boston by tomorrow evening.	Паян тухсассӑн Бостона ыран ҫитӗн.
The boss told Tom that he had to wear a suit and tie to work.	Босс Тома ӗҫе костӳмпа галстук тӑхӑнма каласа хушрӗ.
You can't sit here if you're not going to play poker with us.	Пирӗнпе покер вылямастӑр пулсан, кунта ан ларӑр.
