Hi.	سلام۔
Let's try it.	چلو اسے ازماتے ہیں۔
Life is hard.	زندگی مشکل ہے۔
Life is hard.	زنگی پھولوں کا سیج نہیں۔
Tom saw Mary.	ٹام نے مریم کو دیکھا۔
Tom's scared.	ٹام ڈرا ہوا ہے۔
Tom's strong.	ٹام طاقتور ہے۔
Do it at once.	اسے فورا٘ کرو۔
Don't be long.	زیارہ دیر نہ لگانا۔
Don't be long.	جلدی واپس آنا۔
Don't call me.	مجھے کال مت کرنا۔
Hi, everybody.	سب کو سلام۔
I had an idea.	مجھے ایک آئڈیا آیا تھا۔
I like coffee.	مجھے کافی پسند ہے۔
I like sports.	مجھے کھیل پسند ہے۔
I love movies.	مجھے فلمیں پسند ہے۔
It won't work.	یہ کام نہیں کرے گا۔
Tom hates you.	ٹام تم سے نفرت کرتا ہے۔
Tom hates you.	ٹام آپ سے نفرت کرتا ہے۔
Tom's strange.	ٹام عجیب ہے۔
Tom's trapped.	ٹام پھنسا ہوا ہے۔
You all right?	تم ٹھیک ہو؟
Eat everything.	سب کھائو۔
Eat everything.	سب کھا لو۔
Happy New Year!	نیا سال مبارک۔
He respects me.	وہ میری عزت کرتا ہے۔
I am a student.	میں ایک طالب علم ہوں۔
I dislike eggs.	مجھے انڈے پسند نہیں
I hate working.	مجھے کام کرنے سے نفرت ہے۔
I have no idea.	مجھے کوئی اندازہ نہیں ہے ۔
I like to swim.	مجھے تیراکی پسند ہے۔
I'm still busy.	میں ابھی بھی مصروف ہوں۔
What do you do?	تم کیا کرتے ہو ؟
You can't swim.	تم تیراکی نہیں کر سکتے۔
You can't swim.	تمہیں تیراکی نہیں آتی۔
You can't swim.	آپ کو تیرنا نہیں آتا۔
You can't swim.	تمہیں تیرنا نہیں آتا۔
You've changed.	تم بدل گئے ہو۔
Close your book.	کتاب بند کرو۔
How is it going?	کيسا چل رہا ہے ؟
It looked cheap.	وہ سستا لگتا تھا۔
It's lunch time.	یہ ظہرانے کا وقت ہے۔
It's lunch time.	یہ دوپہر کے کھانے کا وقت ہے۔
Leave it behind.	چھوڑ دو اسے۔
Let's thank Tom.	آئو ٹام کا شکریہ ادا کرے۔
She looked away.	اس نے نظریں جھکا لی۔
She looks young.	وہ کافی جوان دکھ رہی ہے۔
This is too big.	یہ بہت بڑا ہے۔
This is too big.	یہ بہت زیارہ ہے۔
We should do it.	ہمیں یہ کرنا چاہئیے۔
We weren't cold.	ہمیں ٹھنڈ نہیں لگ رہی تھی۔
You look stupid.	تم بیواقوف لگ رہے ہو۔
A cab is waiting.	ٹیکسی انتظار کر رہی ہے۔
Does that matter?	کیا کوئی فرق پڑتا ہے؟
Don't lose heart.	حوصلہ مت کھونا۔
Don't lose heart.	مایوس نہ ہونا۔
He's a smart boy.	وہ عقلمند لڑکا ہے۔
I don't know her.	میں اُس ( لڑکی ) کو نہیں جانتا ۔
I hate that book.	مجھے نفرت ہے اُس کتاب سے۔
I have asked him.	میں نے اس سے پوچھ لیا ہے۔
I want some cake.	مجھے کیک چاہیئے
I want some milk.	مجھے دودھ چاہئیے۔
I'm in the house.	میں گھر میں ہوں۔
I'm in the house.	میں گھر پہ ہوں۔
I've lost my key.	میری چابی گم ہو گئی ہے۔
Is everything OK?	کیا سب کچھ ٹھیک ہے؟
What do you make?	آپ کیا بناتے ہو ؟
You got hit hard.	تمہیں بڑی زور کی لگی ہے۔
You got hit hard.	آپ کو بڑی زور کی لگی ہے۔
You may sit here.	تم یہاں بیٹھ سکتے ہو۔
You may sit here.	آپ یہاں بیٹھ سکتے ہے۔
You must tell me.	تمہیں مجھے بتانا ہوگا۔
You must tell me.	تم مجھے بتائو۔
You must tell me.	تم مجھے یہ بتائو۔
You're realistic.	تم حقیقت پسند ہو۔
You're realistic.	آپ حقیقت پسند ہے۔
A heavy rain fell.	کافی تیز بارش ہوئی۔
Are you all right?	کیا تم ٹھیک ہو؟
Do you want money?	تمہیں پیسے چاہیئے؟
Do you want money?	آپ کو پیسے چاہیئے؟
Don't look for me.	مجھے تلاش مت کرنا۔
He won everything.	اس نے سب کچھ جیت لیا۔
Hey, look at this.	یہ دیکھو۔
How are you doing?	تم کیسے کر رہے ہو ؟
How does Tom feel?	ٹام کی اب طبیعت کیسی ہے؟
I couldn't refuse.	میں انکار نہ کر سکا۔
I couldn't refuse.	میں انکار نہ کر سکی۔
I don't know that.	وہ مجھے نہیں معلوم ۔
I like your scarf.	مجھے تمہارا سکارف پسند آیا ہے۔
I like your scarf.	مجھے تمہارا سکارف اچھا لگا ہے۔
I took a week off.	میں نے ایک ہفتے کی چھٹی لے لی ہے۔
I tried to escape.	میں نے بھاگنے کی کوشش کی۔
I'll be back soon.	میں جلد ہی واپس آ جائو گا۔
I'll be back soon.	میں جلدی داپس آجاؤنگا ۔
I'm a new student.	میں نیا سٹوڈنٹ ہوں۔
I'm enjoying this.	مجھے مزہ آرہا ہے۔
I've been foolish.	میں ہی بیواقوف تھا۔
I've been foolish.	میری کم عقلی تھی۔
It's your bedtime.	تمہارے سونے کا وقت ہو گیا ہے۔
Long time, no see.	تمھیں ملے ہوئے عرصہ ہو گیا ہے۔
Nothing scares me.	مجھے کسی بھی چیز سے ڈر نہیں لگتا۔
Prices are rising.	قیمتیں بڑھ رہی ہیں۔
Send it to me now.	مجھے ابھی فورا بھیجو۔
She went that way.	وہ اس طرف گئی ہے۔
Sign here, please.	برائے مہربانی، یہاں دستخط کرے۔
The book is white.	کتاب سفید ہے۔
The fire went out.	آگ بجھ گئی۔
Tom looks unhappy.	ٹام ناخوش لگ رہا ہے۔
Tom looks unhappy.	ٹام خوش نہیں لگ رہا۔
Tom ordered pizza.	ٹام نے پیزہ آرڈر کیا۔
What should I say?	مجھے کیا کہنا چاہیے؟
When are you free?	تم فارغ کب ہو گے؟
When are you free?	آپ فارغ کب ہوں گے؟
Which tooth hurts?	کونسے دانت میں درد ہے؟
Woods burn easily.	لکڑی آرام سے جل جاتی ہے۔
You're a good boy.	تم ایک اچھے بچے ہو۔
A child is missing.	ایک بچہ گُم ہو گیا ہے۔
A guard is outside.	ایک محافظ باہر ہے۔
A lot has happened.	کافی کچھ ہو گیا ہے۔
Am I seeing things?	کیا یہ میرا وہم ہے؟
Are you in a hurry?	کیا تم جلدی میں ہو؟
He is not a doctor.	وہ ڈاکٹر نہیں ہے۔
He lied to my face.	اس نے میرے منہ پہ ہی جھوٹ بولا۔
I agreed to buy it.	میں نے خریدنے کے لئیے حامی بھری۔
I am doing my best.	میں اپنی پوری کوشش کر رہا ہوں۔
I can confirm this.	میں اس کو ثابت کر سکتا ہوں۔
I'll be right back.	میں ابھی واپس آجاؤنگا ۔
I'll take Tom home.	میں ٹام کو گھر لے جاتا ہوں۔
I'll take Tom home.	میں ٹام کو گھر لے کے جا رہا ہوں۔
I'm afraid of dogs.	مجھے کتوں سے ڈر لگتا ہے۔
I'm from Singapore.	میں سنگاپور سے ہوں۔
It's not practical.	یہ کارآمد نہیں ہے۔
She won everything.	اس نے سب کچھ جیت لیا۔
Take a sip of this.	یہ پیو۔
The ice is melting.	برف پگھل رہی ہے۔
The tree fell down.	درخت گر گیا۔
Turn off the light.	روشنی کو بند کر دیں۔
Turn off the light.	روشنی کو بند کر دو۔
We all cried a lot.	ہم سارے کافی زیادہ روئے۔
We're having lunch.	ہم ظہرانہ کھا رہے ہیں۔
What are you doing?	تم کیا کر رہے ہو ؟
What could he mean?	اس کا مطلب کیا ہو سکتا ہے؟
Get a ticket for me.	میرے لئیے بھی ایک ٹکٹ لینا۔
He did the opposite.	اس نے الٹا کیا۔
How did you find me?	تم نے مجھے ڈھونڈا کیسے؟
How did you find me?	آپ نے مجھے ڈھونڈا کیسے؟
I agree to his plan.	میں اس کے پلین سے متفک ہوں۔
I eat a lot of meat.	میں کافی زیادہ گوشت کھاتا ہوں۔
I have to go to bed.	میں سونے کیلئے بستر پر لیٹ چکا ہوں
I must have lost it.	میرا دماغ خراب ہو گیا ہے۔
I'd like to go, too.	میں نے بھی جانا ہے۔
It's a fact of life.	یہ زندگی کی حقیقت ہے۔
It's a mess in here.	یہاں گند مچا ہوا ہے۔
It's a real bargain.	یہ اچھا سودا ہے۔
It's already eleven.	گیارہ بج گئے ہے۔
It's never too late.	ابھی بھی دیر نہیں ہوئی۔
It's very hot today.	آج بہت گرمی ہے۔
Let me go just once.	مجھے صرف ایک دفعہ جانے دے۔
Let's try something.	چلو کچھ نہ کچھ کرنے کی کوشش کرتے ہیں۔
Love your neighbors.	امنے ہمسایوں سے بہترین سلوک کرو۔
She has many faults.	اس میں کافی خامیاں ہے۔
Take a few days off.	چند دن کی چھٹی لے لو۔
The house is vacant.	یہ گھر خالی ہے۔
They are my friends.	وہ میرے دوست ہیں۔
They are my friends.	وہ میری سہلیاں ہیں۔
We have a job to do.	ہمیں یہ کام کرنا ہے۔
You have three cats.	آپ کے پاس تین بلیاں ہیں۔
You have three cats.	تمہارے پاس تین بلیاں ہیں۔
A piano is expensive.	پیانو کافی مہنگا ہے۔
Do you want a ticket?	تمھیں ٹکٹ چاہیے؟
Don't make a mistake.	غلطی نہ کرنا۔
Don't make a mistake.	کوئی غلطی نہ کرنا۔
Give me a day or two.	مجھے کچھ دن دو۔
Go ahead and ask Tom.	ٹام سے پوچھ لو۔
He lived a long life.	اس نے ایک لمبی زندگی گزاری۔
He lives comfortably.	وہ سکون سے رہ رہا ہے۔
He lives comfortably.	وہ ایک آرامدہ زندگی گزار رہا ہے۔
I am weighing myself.	میں اپنا وزن کر رہا ہوں۔
I am weighing myself.	میں اپنا وزن کر رہی ہوں۔
I had a heart attack.	مجھے دل کا دورہ پڑا تھا۔
I have a debt to pay.	مجھے ایک قرض چکانا ہے۔
I tell you the truth.	میں تمھیں سچ بتا رہا ہوں۔
I'm allergic to fish.	مجھے مچھلی سے الرجی ہے۔
I'm the one to blame.	قصور میرا ہے۔
I'm the one to blame.	الزام مجھے دیا جائے۔
I've had a lousy day.	بہت بڑا دن گزرا آج۔
It is in the kitchen.	وہ باورچی خانے میں ہے۔
It tastes great, too.	اس کا ذائقہ بھی بہت اچھا ہے۔
It was all a big lie.	وہ ایک جھوٹ تھا۔
My head is exploding.	میرا سر پھٹ رہا ہے۔
Please choose wisely.	برائے مہربانی، دھیان سے فیصلہ کی جیئے گا۔
She is bad at sports.	وہ کھیلوں میں کافی بڑی ہے۔
She is herself again.	وہ پھر سے پہلے جیسی ہو گئی ہے۔
She'll probably come.	ممکن ہے کہ وہ آجائے گی۔
Take a look at these.	یہ دیکھو۔
Take a look at these.	یہ دیکھیں۔
Take a look in there.	اس کے اندر دیکھو۔
Take a look in there.	وہاں دیکھو۔
The dish smells good.	کھانے کی خوشبو بہت اچھی ہے۔
The roses smell good.	گلابوں کی خوشبو بہت اچھی ہے۔
They aren't my books.	یہ میری کتابیں نہیں ہیں۔
Tom had a great time.	ٹام نے اچھا وقت گزارا۔
Tom is a wealthy man.	ٹام ایک امیر آدپی ہے۔
Tom knocked him down.	ٹام نے اسے نیچے گرا دیا۔
Tom won't let you go.	ٹام تمھیں جانے نہیں دے گا۔
We're not against it.	ہم اس کے مخالف نہیں ہیں۔
What did he do today?	اس نے آج کیا کیا؟
What did he do today?	انہیوں نے آج کیا کیا؟
Who are those people?	یہ لوگ کون ہے؟
Will I get well soon?	کیا میں جلدی ٹھیک ہو جائو گا؟
Will I get well soon?	کیا میں جلدی ٹھیک ہو جائو گی؟
He got 90% in English.	اس کے انگریزی میں ۹۰ فیصد آئے ہے۔
He got 90% in English.	اس کے انگریزی میں ۱۰۰ میں سے ۹۰ مارکس آئے ہے۔
He has gone to London.	وہ لندن چلا گیا ہے۔
He has gone to London.	وہ لندن جا چکا ہے۔
He went into the bank.	وہ بینک کے اندر گیا۔
How long did you stay?	کتنی دیر آپ نے قیام کیا تھا؟
I agree with his idea.	میں اس کے خیال سے اتفاق کرتا ہوں۔
I agree with his idea.	میں ان کے خیال سے اتفاق کرتا ہوں۔
I don't remember that.	مجھے یہ نہیں یاد۔
I walked about 1 mile.	میں کوئی ۱ میل چلا۔
I'm a college student.	میں کالج میں پڑھتا ہوں۔
I'm a college student.	میں کالج میں پڑھتی ہوں۔
I'm a college student.	میں جامعہ میں پڑھتا ہوں۔
I'm a college student.	میں جامعہ میں پڑھتی ہوں۔
I'm a college student.	میں سٹوڈنٹ ہوں۔
It was real hard work.	بہت محنت والا کام تھا یہ۔
Keep your eyes peeled!	اپنی آنکھیں کھلی رکھنا۔
Show me another watch.	مجھے ایک اور گھڑی دکھائو۔
Show me another watch.	مجھے ایک اور گھڑی دکھائے۔
There'll be a problem.	مسلہ ہو جائے گا۔
Those are their books.	وہ ان کی کتابیں ہیں۔
Tom broke his glasses.	ٹام کی عینک ٹوٹ گئ۔
What did she do today?	اس نے آج کیا کیا؟
What did she do today?	انہیوں نے آج کیا کیا؟
What he did was wrong.	اس نے جو کیا وہ غلط تھا۔
Where do you all live?	تم سارے کہاں رہتے ہوں؟
Don't feed the animals.	جانوروں کو کھانا نہ ڈالے۔
Give me a call tonight.	مجھے آج رات کال کرنا۔
He always studies hard.	وہ بہت محنت کے ساتھ پڑھتا ہے۔
He cannot have said so.	وہ یہ کہ ہی نیں سکتا۔
He employed a new maid.	اس نے ایک نئی کام والی رکھ لی۔
He employed a new maid.	اس نے ایک نئی نوکرانی رکھ لی۔
He had a strange dream.	اسے ایک عجیب خواب آیا۔
He had a strange dream.	اس نے ایک عجیب خواب دیکھا۔
I can't do this to Tom.	میں ٹام کے ساتھ یہ نہیں کر سکتا۔
I can't do this to Tom.	میں ٹام کے ساتھ یہ نہیں کر سکتی۔
I have a terrible pain.	مجھے بہت بڑی درد ہو رہی ہے۔
I know you like coffee.	مجھے پتہ ہے کہ تمہیں کافی پسند ہے۔
I know you like coffee.	میں جانتا ہوں کہ تمہیں کافی پسند ہے۔
I know you like coffee.	میں جانتا ہوں کہ آپ کو کافی پسند ہے۔
I prefer the black one.	میری ترجیح سیاہ والا ہے۔
I prefer the black one.	میں سیاہ والے کو ترجیح دوں گا۔
I prefer the black one.	میں سیاہ والے کو ترجیح دوں گی۔
I seem to have a fever.	مجھے لگ رہا ہے کہ بخار ہے۔
I was in the mountains.	. میں پہاڑوں پر تھا.
Is it a recent picture?	یہ ایک حالیہ تصویر ہے؟
My heart began to race.	میرا دل تیزی سے دھڑکنے لگا۔
My pants are too short.	میری پتلون بہت چھوٹی ہے۔
My pen has been stolen.	میرا پین چوری ہو گیا ہے۔
Tom can fix the heater.	ٹام ہیٹر ٹھیک کر سکتا ہے۔
Tom can fix the heater.	ٹام ہیٹر کی مرمت کر سکتا ہے۔
Tom doesn't like chess.	ٹام کو شطرنج پسند نہیں ہے۔
Tom is only a beginner.	ٹام ابھی اناڑی ہے۔
Tom is only a beginner.	ٹام نے ابھی ابتدا کی ہے۔
We can open the window.	ہم کھڑکی کھول سکتے ہیں۔
We have to act quickly.	ہمیں جلدی سے کچھ کرنا ہوگا۔
Weren't they satisfied?	وہ مطمئن نہیں ہوئے تھے کیا؟
Who are you going with?	تم کس کے ساتھ جا رہے ہو؟
Who are you going with?	تم کس کے ساتھ جا رہی ہو؟
Who are you going with?	آپ کس کے ساتھ جا رہے ہے؟
Who are you going with?	آپ کس کے ساتھ جا رہی ہے؟
Who did you meet there?	تم وہاں کس سے ملے تھے؟
Who left the door open?	دروازہ کون کھلا چھوڑ گیا تھا؟
You don't look so good.	تم کافی بیمار لگ رہے ہو۔
You don't look so good.	تم اچھے نہیں لگ رہے۔
You may or may not win.	تم شاید جیتو شاید نہ جیتو۔
You need to study more.	تمھیں زیادہ پڑھنا چاہئیے۔
You shouldn't eat here.	تمہیں یہاں نہیں کھانا چاہئیے۔
All the boxes are empty.	سارے ڈبے خالی ہیں۔
Are you falling for Tom?	کیا تمہیں ٹام سے پیار ہو رہا ہے؟
Bring me the dictionary.	مجھے لغت لا کے دو۔
Come on, answer quickly.	جلدی جواب دو۔
He readily agreed to it.	وہ فورا مان گیا۔
He sometimes loses hope.	وہ کبھی کبھار امید کھو دیتا ہے۔
He turned down my offer.	اس نے میری پیشکش ٹھکرا دی۔
He turned down my offer.	انہوں نے میری پیشکش ٹھکرا دی۔
I do not have much time.	میرے پاس زیادہ وقت نہیں ہے۔
I know that you're rich.	مجھے پتا ہے کہ تم امیر ہو۔
I know that you're rich.	مجھے پتا ہے کہ آپ امیر ہے۔
I know that you're rich.	میں جانتا ہوں کہ تم امیر ہو۔
I know that you're rich.	میں جانتا ہوں کہ آپ امیر ہے۔
I saw him play baseball.	میں نے اسے بیس بال کھیلتے ہوئے دیکھا۔
I saw tears in his eyes.	مجھے اس کی آنکھوں میں آنسو نظر آئے۔
I'll return immediately.	میں فوراً لوٹ آؤنگا ۔
I'm on the eighth floor.	میں آٹھویں منزل پر ہوں۔
I'm seeing them tonight.	میں انہیں آج مل رہا ہوں۔
Is that black bag yours?	کیا وہ کالا بیگ تمہارا ہے؟
Is that black bag yours?	کیا وہ کالا بیگ آپ کا ہے؟
It wouldn't surprise me.	مجھے حیرانی نہیں ہو گی۔
She helped me willingly.	اس نے اپنی مرضی سے میری مدد کی۔
She is a stranger to me.	وہ ( لڑکی ) میرے لئے اجنبی ہے ۔
She really looks pretty.	وہ واقعی بہت خوبصورت لگ رہی ہے۔
That's the right answer.	یہ بلکل صحیح جواب ہے۔
The weather became warm.	موسم تھوڑا گرم ہو گیا۔
Tom and I are both busy.	ٹام اور میں دونوں ہی مصروف ہیں۔
Tom kept his mouth shut.	ٹام نے اپنا منہ بند رکھا۔
Who lives in this house?	اس گھر میں کون رہتا ہے؟
A river divides the town.	ایک دریا قصبے کو دو حصوں میں تقسیم کرتی ہے۔
Each player did his best.	ہر کھلاڑی نے اپنی بھرپور کوشش کی۔
He caught me by the hand.	اس نے میرے ہاتھ کو تھام لیا۔
He caught me by the hand.	اس نے مجھے میرے ہاتھ سے پکڑ لیا۔
He doesn't live far away.	وہ زیادہ دور نہیں رہتا۔
He is lying on the bench.	وہ بینچ پہ لیٹا ہوا ہے۔
He wanted to be a farmer.	وہ ایک کسان بننا چاھتا تھا۔
His car is two years old.	اس کی گاڑی دو سال پرانی ہے۔
His car is two years old.	ان کی گاڑی دو سال پرانی ہے۔
How many teams are there?	کتنی ٹیمیں ہیں؟
How well do you know Tom?	تم ٹام کو کتنی اچھی طرح جانتے ہو؟
I am taking tomorrow off.	میں کل چھٹی کر ریا ہوں۔
I can't fight any longer.	میں اور زیادہ نہیں لڑ سکتا۔
I don't know what to say.	مجھے نہیں پتا کیا کہنا ہے ۔
I don't want to miss you.	میں تمہیں مس نہیں کرنا چاہتا۔
I have no time for games.	میرے پاس کھیل کود کے لئیے وقت نہیں ہے۔
I owe ten dollars to her.	میں نے اس کے دس ڈالر دینے ہے۔
I owe ten dollars to her.	میں نے اس کو دس ڈالر واپس کرنے ہے۔
I received an invitation.	مجھے دعوت نامہ ملا ہے۔
I spent 10 dollars on it.	میں نے اس پہ ۱۰ ڈالڑ خرچ کیئے ہے۔
I taught him how to swim.	میں نے اسے تیرنا سکھایا۔
I taught him how to swim.	میں نے اسے تیراکی سکھائی۔
I traveled around Europe.	میں نے پورے یورپ کا سفر کیا۔
I wonder if he will come.	پتہ نہیں وہ آئے گا کہ نہیں۔
I wonder if he will come.	پتہ نہیں وہ آئِں گے کہ نہیں۔
I'll get Tom to help you.	میں ٹام کو تمہاری مدد کے لئیے بھیجتا ہوں۔
Lincoln won the election.	لنکلن الیکشن جیت گیا۔
Please refer to page ten.	صفحہ نمبر دس سے رجوع کرے۔
Please speak more loudly.	برائے مہربانی تھوڑا اونچا بولے۔
Please speak more loudly.	برائے مہربانی تھوڑا سا اونچا بولے۔
Please speak more loudly.	اونچا بولو۔
Please speak more loudly.	آواز اونچی کرو۔
Please speak more loudly.	زور سے بولو۔
She pushed the door shut.	اس نے دروازہ کو دھکا دے کر بند کیا۔
They have three children.	ان کے تین بچے ہے۔
This is a dead-end alley.	یہ گلی آگے سے بند ہے۔
This will take some time.	اس میں تھوڑا وقت لگے گا۔
This will take some time.	اس میں تھوڑا وقت درکار ہے۔
Tom and Mary are engaged.	ٹام اور مریم کی منگنی ہوگئی ہے۔
Tom came over last night.	ٹام رات کو گھر آیا تھا۔
Tom hopes Mary won't die.	ٹام امید کر رہا ہے کہ مریم نہیں مرے گی۔
Tom hopes Mary won't die.	ٹام کو امید ہے کہ مریم نہیں مرے گی۔
Tom hopes Mary won't die.	ٹام کو امید ہے کہ مریم فوت نہیں ہو گی۔
Tom is wasting resources.	ٹام قیمتی وسائل کا ضیاع کر رہا ہے۔
Tom is wasting resources.	ٹام قیمتی وسائل کو ضائیع کر رہا ہے۔
Tom swears like a sailor.	ٹام بہت گالیاں دیتا ہے۔
Tom would never hurt you.	ٹام کبھی تمہیں دکھ نہیں دے گا۔
What are you going to do?	تم کیا کرو گے؟
What are you going to do?	آپ کیا کریں گے؟
What happened to the Jag?	جیگ کو کیا ہوا ہے؟
When should I come again?	میں دوبارہ کب آئو؟
Who designed that museum?	وہ عجائب گھر کس نے ڈیزائن کیا ہے؟
You can come at any time.	تم کسی وقت بھی آ سکتے ہو۔
You can come at any time.	آپ کسی وقت بھی آ سکتے ہے۔
Drink less and sleep more.	پیو کم اور سو زیادہ۔
Everyone in Cuba likes it.	کیوبا کے سب لوگوں کو پسند ہیں۔
French bread is delicious.	فرانسیسی ڈبر روٹی بہت مزیدار یے۔
He came straight up to me.	وہ سیدھا میرے پاس آیا۔
How late is the bank open?	بینک کتنی دیر تک کھلا ہے؟
I am trying my level best.	میں اپنی پوری کوشش کر رہا ہوں۔
I play football every day.	میں فٹ بال روزانہ کھیلتا ہوں۔
I play football every day.	میں فٹ بال روزانہ کھیلتی ہوں۔
I suppose that's possible.	میرا خیال ہے یہ ممکن ہے۔
I'll call her immediately.	میں اسے ابھی فون کرتا ہوں۔
I'll explain the incident.	میں اس واقعے کو تفصیل سے سمجھاتا ہوں۔
I'll explain the incident.	میں اس واقعے کو تفصیل سے سمجھاتی ہوں۔
I'll lend you my notebook.	تم میرا دجسٹر لے جانا۔
Is she staying at a hotel?	کیا وہ ہوٹل میں قیام کر رہی ہے؟
It is a brand new product.	یہ ایک بالکل نیا پڑوڈکٹ ہے۔
Open your book to page 59.	اپنی کتاب صفحہ نمبر ۵۹ پہ کھولو۔
Roll up your right sleeve.	اپنی دائیں آستین کو اوپر چڑھائو۔
She had no one to turn to.	اس کے پاس کوئی بھی نہیں تھا جس کے پاس وہ جاتی۔
That'll put you in danger.	یہ آپ کو خطرے میں مبتلا کر سکتا ہے۔
That'll put you in danger.	یہ تم کو خطرے میں مبتلا کر سکتا ہے۔
That's just the way it is.	بس یہ اسی طرح ہے۔
The girl broke into tears.	وہ لڑکی رونے شروع ہو گئی۔
They are more intelligent.	وہ زیادہ ذہین ہے۔
They missed a good chance.	انہوں نے ایک اچھا موقعہ گنوا دیا۔
This is a daily newspaper.	یہ اخبار روزنامہ ہے۔
Tom handed a note to Mary.	ٹام نے مریم کو ایک نوٹ پکرایا۔
Tom leads the soccer team.	ٹام فٹبال ٹیم کو لیڈ کرتا ہے۔
Tom pretended he was sick.	ٹام نے بیمار ہونے کا ڈرامہ کیا۔
We visited our old school.	ہم اپنے پرانے سکول ہو کے آئے۔
Where did you buy flowers?	تم نے پھول کہاں سے خریدے؟
Where did you buy flowers?	آپ نے پھول کہاں سے خریدے؟
You can't have everything.	تمہیں سب کچھ نہیں مل سکتا۔
You can't have everything.	تم سب کچھ حاصل نہیں کر سکتے۔
You have a beautiful name.	بہت خوبصورت نام ہے تمہارا۔
You seem pretty busy here.	تم یہاں کافی مصروف لگ رہے ہو۔
You're wrong in this case.	اس معاملے میں تم غلط ہو۔
You're wrong in this case.	اس معاملے میں آپ غلط ہے۔
Are you drinking green tea?	کیا تم گرین ٹی پی رہے ہو؟
Are you drinking green tea?	کیا تم گرین ٹی پی رہی ہو؟
Are you drinking green tea?	کیا آپ گرین ٹی پی رہے ہے؟
