Turn left.	Vira á esquerda.
Are you talking to me?	Falas comigo?
Do you have some milk?	Ten vostede algo de leite?.
He started a new life.	El comezou unha nova vida.
I don't have any pens.	Non teño ningún bolígrafo.
I don't need anything.	Non preciso nada.
I need it by tomorrow.	Necesítoo para mañá.
She always works hard.	Ela sempre traballa moito.
She is afraid of dogs.	Ela tenlle medo aos cans.
Tom got off the plane.	Tom baixou do avión.
We have two daughters.	Temos dúas fillas.
Are you speaking to me?	Falas comigo?
I knew he would accept.	Sabía que el aceptaría.
This is not a sentence.	Isto non é unha frase.
You can swim, can't you?	Sabes nadar, non si?
A year has twelve months.	Un ano ten doce meses.
He dressed up as a woman.	Vestiuse coma unha muller.
I can't accept this gift.	Non podo aceptar este agasallo.
The snow has disappeared.	A neve desapareceu.
These books are very old.	Estes libros son moi vellos.
He always tells the truth.	El sempre di a verdade.
He took poison by mistake.	El tomou veleno por erro.
I'm waiting for the train.	Estou agardando o tren.
One plus two equals three.	Un máis dous é igual a tres.
The bedrooms are upstairs.	Os dormitorios están enriba.
Tom finally ate something.	Tom finalmente comeu algo.
Who painted this painting?	Quen pintou ese cadro?
He shaved his mustache off.	Afeitou o bigote.
He told her about his plan.	Faloulle a ela do seu plan.
I can easily touch my toes.	Podo tocar doadamente os meus dedos dos pés.
The eagle is king of birds.	A aguia é a raíña das aves.
What did you do last night?	Que fixeches onte pola noite?
Beijing is bigger than Rome.	Pequín é máis grande ca Roma.
I don't know where he lives.	Non sei onde reside.
I wish you were close to me.	Ogallá estiveses preto de min.
The bucket was full of water.	O caldeiro estaba cheo de auga.
The bucket was full of water.	O balde estaba cheo de auga.
He is the man you can rely on.	El é o home no cal ti podes confiar.
He plays the guitar very well.	El toca moi ben a guitarra.
He slept with the window open.	El durmiu coa fiestra aberta.
I know you're going to say no.	Sei que vas dicir non.
She insisted on her innocence.	Ela insistiu na súa inocencia.
The food isn't very good here.	A comida de aquí non é moi boa.
That was an unforgivable error.	Ese foi un erro imperdoábel.
There's no reason to be afraid.	Non hai por que ter medo.
Children often swim in the lake.	Os rapaces a menudo nadan no lago.
Have you read today's paper yet?	Liches xa o xornal de hoxe?
I'm going to put a stop to this.	Vou deter isto.
Please come as soon as possible.	Por favor, ven tan axiña como sexa posíbel.
Tom doesn't want to go home now.	Tom non quere ir para casa agora.
I was too tired to go on working.	Eu estaba demasiado canso para continuar traballando.
She turned away and began to cry.	Ela virouse e comezou a chorar.
The smell of food made me hungry.	O olor da comida deume fame.
The traffic light changed to red.	O semáforo mudou a vermello.
All the apple trees were cut down.	Todas as maceiras foron pinchadas.
He is still too young for the job.	El aínda é moi novo para este traballo.
To make money one must want money.	Pra facer cartos, un primeiro ten que desexa-los cartos.
We found a nail stuck in the tire.	Atopamos un cravo espetado no pneumático.
A cat came out from under the desk.	Un gato saíu de abaixo do escritorio.
A cat came out from under the desk.	Un gato saíu de embaixo do escritorio.
Tell me how you solved the problem.	Cóntame como solucionaches o problema.
As soon as she comes, we will begin.	Axiña que ela chegue, habemos comezar.
You should have accepted his advice.	Debiches acepta-lo seu consello.
If he comes, tell him to wait for me.	Se vén, dille que agarde por min.
My parents want me to study medicine.	Os meus pais queren que estude medicina.
She stirred the milk into her coffee.	Ela mesturou o leite co café.
Do you need me to give you some money?	Precisas que che dea algo de cartos?
I have two brothers and three sisters.	Teño dous irmáns e tres irmás.
She reads the newspaper every morning.	Ela le o xornal cada mañá.
An eye for an eye, a tooth for a tooth.	Ollo por ollo, dente por dente.
December is the last month of the year.	Decembro é o último mes do ano.
Nobody told me what time I should come.	Ninguén me dixo cando tiña que vir.
The soldiers resisted the enemy attack.	Os soldados resistiron o ataque do inimigo.
Who is the man who was talking with you?	Quen é o home que falaba contigo?
He stood by me whenever I was in trouble.	El estivo ao meu carón sempre que eu tiña problemas.
Someone must have left the water running.	Alguén debeu deixa-la auga a correr.
They stopped their game and stared at me.	Eles detiveron o seu xogo e ollaron en fite para min.
The United States became a nation in 1776.	Os Estado Unidos convertéronse nunha nación en 1776.
We are going to visit our aunt next Sunday.	O domingo que vén iremos visita-la nosa tía.
There is a TV remote control under the couch.	Hai un mando a distancia debaixo do sofá.
We are always exposed to some kind of danger.	Sempre estamos expostos a algún tipo de perigo.
Write your name and address on this envelope.	Escribe o teu nome e enderezo neste sobre.
I'm getting off the train at the next station.	Báixome do tren na próxima estación.
In Japan, the new school year begins in April.	No Xapón o ano novo escolar comeza en abril.
The trouble with him is that he is not punctual.	O seu problema é que non é puntual.
If you go to the movies, take your sister with you.	Se vas ao cine, leva a túa irmá.
She enjoyed herself very much at the party yesterday.	Ela divertiuse moito na festa de onte.
This is the first airplane to land at the new airport.	Este é o primeiro avión a desembarcar no novo aeroporto.
Country life is very peaceful in comparison with city life.	A vida no campo é moi tranquila en comparación coa vida na cidade.
When you're done with the book, put it back where you found it.	En rematando co libro, volve pólo onde o atopaches.
Thousands of candles illuminated the church during the ceremony.	Milleiros de candeas alumaban a igrexa durante a cerimonia.
