Who am I?	مەن كىم ؟
I'm doing it for you.	سىزنى دەپ قىلىۋاتمەن؟
I'm doing it for you.	سىز ئۈچۈن قىلىۋاتىمەن.
The window is closed.	دېرىزە تاقاق.
We loved one another.	بىز بىر بىرىمىزنى ياخشى كۆرەتتۇق.
Why did you buy this?	بۇنى نېمىشقا سېتىۋالدىڭىز؟
He can read and write.	ئۇ ئوقۇيالايدۇ ۋە يازالايدۇ.
He crossed the street.	ئۇ كوچىنى كېسىپ ئۆتتى .
He has too many books.	ئۇنىڭ نۇرغۇن كىتابلىرى بار.
I had a strange dream.	غەلىتە بىر چۈش كۆردۈم.
I've changed the plan.	مەن پىلاننى ئۆزگەرتتىم
I've decided to leave.	مەن چوقۇم ئايرىلىمەن
It wasn't interesting.	قىزىقارلىق ئەمەستى.
Nothing's changed yet.	تېخىچە ھېچنىمە ئۆزگەرگىنى يوق.
She has a good figure.	ئۇنىڭ غۇنچىدەك بويى بار.
She refused his offer.	ئۇ ئۇنىڭ تەكلىپىنى رەت قىلدى.
Thanks for calling me.	ماڭا تېلېفون قىلغىنىڭىزغا رەھمەت.
There was an accident.	ۋەقە يۈز بەرگەن ئىدى.
Tom told Mary his age.	توم مارىيەگە يېشىنى ئېيتىپ بەردى.
We should do our best.	بىز تىرىشچانلىق كۆرسىتشىمىز كېرەك.
We'll soon be leaving.	پات يېقىندا كېتىمىز.
I don't understand you.	مەن سىزنى چۈشەنمەيمەن.
I'm really tired today.	بۈگۈن بەك ھېرىپكەتتىم.
Tom told Mary to study.	توم مارىيەگە ئوقۇ دېدى.
What do you mean by it?	ئۇنىڭ بىلەن سەن نېمە دېمەكچى؟
Don't touch the flowers.	گۈللەرگە تەگمە .
He abused the privilege.	ئۇ ھوقۇقىنى قالايمىقان ئىشلەتتى.
I can't do it that fast.	مەن ئۇنى ئۇنداق ئىتتىك قىلالمايمەن.
I don't like spicy food.	. ئاچچىق يېمەكلىكىنى ياقتۇرمايمەن
I lost my job on Monday.	مەن خىزمىتىمدىن دۈشەنبە كۈنى ئايرىلىپ قالدىم.
I promised Tom I'd wait.	مەن تومنى ساقلاشقا قۇشۇلغان
Is it safe to stay here?	بۇ يەردە تۇرۇش بىخەتەرمۇ؟
She kept silent all day.	ئۇ پۈتۈن كۈن جىمىپ قالدى.
Someone is watching you.	بىرى ساڭا قاراۋاتىدۇ.
That has always been so.	ئۇ ئەزەلدىن شۇنداق.
The hawk caught a mouse.	بۈركۈت بىر چاشقاننى تۇتىۋالدى.
Tom told Mary not to go.	توم مارىيەگە بارمىغىن دېدى.
We cut our living costs.	تۇرمۇش چىقىمىمىزنى قىستۇق.
What is your occupation?	كەسپىڭىز نېمە؟
Where should I put this?	بۇنى نەدە قويىمەن؟
Do you want some of this?	بۇنىڭدىن بىرئاز لازىممۇ؟
He admitted his mistakes.	ئۇ خاتالىقىنى ئېتىراپ قىلدى.
He may have lost his way.	ئۇ يولدا ئېزىپ قالغان ئوخشايدۇ.
He taught himself French.	ئۇ ئۆزىگە ڧرانسۇزچە ئۆگەتتى.
I didn't need to do that.	ماڭا ئۇنداق قىلىشىمنىڭ لازىمى يوق
It's a complex algorithm.	بۇ مۇرەككەپ ئالگورىزىم.
Tom thought only of Mary.	توم مارىيەنىلا ئويلايتى.
Twelve is an even number.	ئون ئىككى جۇپ سان.
Your cup is on the table.	ئىستاكانىڭىز ئۈستەل ئۈستىدە.
Everyone looked surprised.	ھەممەيلەن ھەيران قاپتۇ.
How are you feeling today?	بۈگۈن كەيپىياتىڭىز قانداقراق؟
I don't work here anymore.	مەن ئەمدى بۇيەردە ئىشلىمەيدىغان بولدۇم
I used to be a coal miner.	مەن بۇرۇن كۆمۈر كان ئىشچىسى ئىدىم
I usually get up at eight.	دائىم سائەت سەككىزدە ئورنۇمدىن تۇرىمەن.
It's nearly three o'clock.	ھازىر سائەت ئۈچ بولاي دېدى.
The young lady wants this.	ئۇ ياش ئايالغا بۇ لازىم.
What do you do on Sundays?	سەن يەكشەنبىدە نېمە ئىش قىلىسەن؟
He was crossing the street.	ئۇ كوچىنى كېسىپ ئۆتۈۋاتاتتى.
I cooked breakfast for you.	مەن سىزگە ناشتىلىق تەييارلاپ برەي
I'll be back for you later.	كېيىنچىرەك سىز بىلەن كۆرۈشكىلى كېلىمەن.
Tom tied Mary to the chair.	توم مارىيەنى ئورۇندۇققا باغلاپ قويدى.
When are we going to do it?	ئۇنى قاچان قىلىمىز؟
You were hurt, weren't you?	سىز يارلانغان ،شۇنداقمۇ؟
He left the last page blank.	ئۇ ئەڭ ئاخىرقى بەتنى قۇرۇق قويدى.
I don't remember you at all.	مەن سىزنى پەقەتلا ئەسلىيەلمىدىم.
I just saw something moving.	مەن ھېلىلا بىر نەرسىنىڭ مېدىرلىغىنىنى كۆردۈم.
I want to go to see a movie.	مەن كىنو كۆرگىلى بارماقچى.
They're eating their apples.	ئالمىلىرىنى يەۋاتىدۇ.
This rug has a nice pattern.	بۇ گىلەمنىڭ نۇسخسى چىرايلىقكەن.
Tom looked at me and smiled.	توم ماڭا قاراپ كۈلۈمسىرىدى.
Tom threatened to kill Mary.	توم مارىيەگە ئۆلتۈرۋېتىمەن دەپ تەھدىت سالدى.
What do you do for a living?	نېمە كەسىپ بىلەن شۇغۇللىنىسىز؟
You've already told me that.	سىز ئۇنى ماڭا ئاللىقاچان دەپ بولغان.
A ship is moored at the pier.	بىر كېمە پىرىستاندا توختۇتۇلغان.
Few people speak my language.	مېنىڭ تىلىمدا ئاز كىشىلەر سۆزلەيدۇ.
He loves you as much as I do.	ئۇسېنى مەندەك ياخشى كۆرىدۇ.
He speaks as if he were rich.	ئۇ ئۆزى بايدەكلە گەپ قىلىدۇ.
He was opposed to monopolies.	ئۇ مونوپۇللۇققا قارشى تۇردى.
My mother knows Tom's mother.	مېنىڭ ئاپام تومنىڭ ئاپىسىنى تونۇيدۇ.
Tell Tom what you want to do.	نېمە ئىش قىلماقچى ئىكەنلىكىڭىزنى تومغا ئېيتىڭ.
The teacher sat on the chair.	ئوقۇتقۇچى ئورۇندۇقتا ئولتۇردى.
Tom told Mary not to be late.	توم مارىيەگە كېچىكىپ قالما دېدى.
Did you play tennis yesterday?	تۈنۈگۈن چويلا توپ ئوينىدىڭىزمۇ؟
He often eats fish for dinner.	ئۇ دائىم تامىقىغا بىلىق يەيدۇ.
He revealed the secret to her.	ئۇ سىرنى ئۇنىڭغا ئاشكارلاپ قويدى.
He would be glad to hear that.	ئۇ ئۇنى ئاڭلىسا خۇش بولىدۇ.
His father failed in business.	ئۇنىڭ دادىسى سودىدا مەغلۇپ بولدى.
I have my own bedroom at home.	ئۆيدە ئۆزەمنىڭ ياتىقى بار.
I must finish this work first.	مەن ئاۋۋال ماۋۇ ئىشىمنى پۈتتۈرۋىلىشىم كېرەك.
I want something hot to drink.	قىززىقراق بىرنەرسە ئىچكىم بار.
It was yesterday that he died.	ئۇ تۈنۈگۈن ئۆلۈپتىكەن.
The baby isn't crying anymore.	بوۋاق يىغلىمايۋاتىدۇ.
The satellite is now in orbit.	سۈنئىي ھەمرا ھازىر ئوربىتىدا.
Tom thought he would help out.	توم ئۇنىڭ ياردەم قىلىشىنى ئويلىدى.
What's cooking in the kitchen?	ئاشخانىدا نېمە تاماق ئېتىلىۋاتىدۇ؟
He admitted that he was guilty.	ئۇ ئۆزىنىڭ گۇناھكارئىكەنلىكىنى ئېتىراپ قىلدى.
He has a lot of original ideas.	ئۇنىڭ بىرمۇنچە خاس ئىدىيىلىرى بار.
I accidentally poisoned myself.	مەن بىخەستەلىكىمدىن ئۆزۈمنى زەھەرلەپ قويدۇم
I don't speak a word of French.	مەن فرانسۇزچىدىن بىر ئېغىزمۇ سۆزلىيەلمەيمەن.
I have the right to speak, too.	مېنىڭمۇ سۆز قىلىش ھوقۇقۇم بار.
I used a knife to cut the cake.	مەن تورتنى كېسىشكە پىچاق ئىشلەتتىم.
Look at yourself in the mirror.	ئەينەكتىن ئۆزۈڭگە قاراپ باق.
Tom needed money from the bank.	تومغا بانكىدىن پۇل ئېلىش زۆرۈر بولۇپقالدى.
Tom told Mary his phone number.	توم مارىيەگە ئۆزىنىڭ تېلېفون نومۇرىنى دەپ بەردى.
How long has he lived in London?	ئۇ لوندۇندا قانچە ئۇزۇن تۇرغان؟
I am accustomed to working hard.	ياخشى ئىشلەشكە كۆنۈپ قاپتىمەن.
Let's go out before it gets hot.	ھاۋا ئىسسىشتىن بۇرۇن سىرتقا چىقايلى.
Only adults may watch that film.	ئۇ فىملىمنى پەقەت چوڭلارلا كۆرسە بولىدۇ.
She has a wonderful personality.	ئۇنىڭ مىجەزى ئېسىل.
Soon I have to go get a haircut.	ھېلىلىلا چاچ ياساتقىلى بارمىسام بولمايدۇ.
The bill amounts to 500 dollars.	تالۇننىڭ سوممىسى 500دوللار
What are you doing up this late?	بۇنچە كەچتە نېمە ئىش قىلىۋاتىسىز؟
What's the meaning of this word?	بۇ سۆزنىڭ مەنىسى نىمە؟
You'd better not argue with Tom.	سىز ياخشىسى توم بىلەن تاكاللاشماڭ.
I'll not make that mistake again.	ئۇ خاتالىقنى قايتا قىلمايمەن.
She has a very enviable position.	ئۇنىڭ ئورنى كىشىنىڭ ھەۋىسىنى كەلتۈرىدۇ.
This is not a cat. This is a dog.	بۇ مۈشۈك ئەمەس. بۇ ئىت.
You must make your own decisions.	ئۆزۈڭنىڭ قارارىنى ئۆزۈڭ چىقىرىشىڭ كېرەك.
You should prepare for the worst.	سەن ئەڭ ناچار ئەھۋالغا تەييارلىق قىلىشىڭ كېرەك.
He must have abused the privilege.	ئۇ چوقۇم ھوقۇقىنى قالايمىقان ئىشلەتتى.
I don't know any more than you do.	سىزدىن ئارتۇق بىلمەيمەن.
I don't know any more than you do.	سىز بىلگەنچىلىك بىلمەيمەن.
I usually get up at eight o'clock.	دائىم سائەت سەككىزدە ئورنۇمدىن تۇرىمەن.
Tom told Mary he wanted a divorce.	توم مارىيەگە ئاجىرشىدىغانلىقىنى ئەيتتى.
Unexpected results were announced.	كۈتۈلمىگەن نەتىجىلەر ئۇقتۇرۇلدى.
Who was the telephone invented by?	تېلېفون كىم تەرپىدىن كەشىپ قىلىنغان؟
Who was the telephone invented by?	تېلېفوننى كەشىپ قىلغان كىم؟
Would you like to leave a message?	ئۇچۇر قالدۇرامسىز؟
He killed himself by taking poison.	ئۇ زەھەر ئىچىپ ئۆلىۋالدى.
It was nothing less than a miracle.	ئۇ ھەقىيقەتەن مۆجىزە ئىدى.
Learning a foreign language is fun.	چەتئەل تىلى ئۆگۈنۈش مەنىلىك.
Muhammad Ali was an American boxer.	مۇھەممەد ئەلى بولسا ئامېرىكىلىق بوكسىيورچى ئېدى.
Teaching English is his profession.	ئېنگىلىز تىلى ئوقۇتۇش ئۇنىڭ كەسپى.
Tom certainly did an excellent job.	توم ھەقىقەتەن قالتىس ئىش قىلدى.
Tom told Mary an interesting story.	توم مارىيەگە قىزىقارلىق ھېكايىدىن بىرنى ئەيتىپ بەردى.
Tom told Mary not to be late again.	توم مارىيەگە يەنە كېچىكىپ قالما دېدى.
Tom told Mary not to study so hard.	توم مارىيەگە ئۇنچىلىك بەك تىرشىپ ئوقۇما دېدى.
We'll have a barbecue at the beach.	دېڭىز ساھىلىدا قاقلىغان گۆش يەيمىز.
You are responsible for the result.	ئاقىۋىتىگە سىز سەۋەبچى.
I have nothing particular to do now.	مېنىڭ ھازىر قىلغۇدەك ئالاھىدە ئىشىم يوق.
I tried to stop that from happening.	مەن بۇنداق ئىشنىڭ يۈزمەرمەسلىكىنى كۆزلەۋاتىمەن
If you eat so much, you'll get sick.	كۆپ يېسەڭ ئاغىرىپ قالىسەن.
Production has remarkably increased.	ئىشلەپچىقىرىش كۆرىنەرلىك ئاشتى.
She looked at herself in the mirror.	ئۇ ئەينەكتىن ئۆزىگە قارىدى.
She stirred her coffee with a spoon.	ئۇ قوشۇق بىلەن قەھۋەسىنى قوچۇدى.
Tell me something that I don't know.	ماڭا مەن بىلمەيدىغان بىر نەرسە سۆزلە.
Tom looked at himself in the mirror.	توم ئۆزىگە ئەينەكتىن قارىدى.
Tom threw Mary's book into the fire.	توم مارىيەنىڭ كىتابىنى ئوتقا تاشلىۋەتتى.
Tom told Mary not to go there alone.	توم مارىيەگە ئۇ يەرگە يالغۇز بارمىغىن دېدى.
Tom told Mary not to play with fire.	توم مارىيەگە ئوت بىلەن ئويناشما دېدى.
Toronto used to be called Fort York.	تورونتونى فورت يورك دەپ ئاتاش ئادەت بولۇپ قالدى.
We can't see each other for a while.	بىز بىر بىرىمىز بىلەن خېلى ۋاقىتقىچە كۆرشەلمەيمىز.
I don't get paid as much as I'd like.	ئۆزۈمگە لازىملىق ھەققە ئېرىشەلمىدىم
I want to spend all my time with you.	بارلىق ۋاقتىمنى سەن بىلەن ئۆتكۈزمەكچىمەن.
Mary looked at herself in the mirror.	مەرىيە ئەينەكتىن ئۆزىگە قارىدى.
Please stop asking so many questions.	ئۇنداق كۆپ سۇئاللارنى سوراشنى توختۇتۇڭ.
There were many children in the room.	ئۆيدە نۇرغۇن بالىلار بار.
Tom swore that the drugs weren't his.	توم زەھەرلىك چېكىملىكنىڭ ئۇنىڭ ئەمەسلىكىگە قەسەم قىلدى.
Would you please look over my report?	مېنىڭ دوكىلاتىمغا بىر قاراپ باقسىڭىز بوپتىكەن؟
Children cry because they want to eat.	كىچىك بالىلار تاماق يېمەكچى بولغانلىقى ئۈچۈن يىغلايدۇ.
He was sent abroad as a correspondent.	ئۇ چەتئەلگە ئالاھىدە خادىم قىلىپ ئەۋەتىلدى.
I have often been asked that question.	ئۇ سۇئالنى باشقىلار مەندىن دائىم سورايدۇ.
If I were you, I'd go home right away.	سېنىڭ ئورنىڭدا مەن بولغان بولسا دەرھال ئۆيگە قايتاتتىم.
The people deprived him of his rights.	كىشىلەر ئۇنىڭ ھوقۇقىنى تارتىۋالدى.
Tom lives about three hours from here.	توم بۇ يەردىن 3 سائەتلىك يىراقلىقتا تۇرىدۇ.
Tom told Mary all about his childhood.	توم مارىيەگە بارلىق بالىلىقتىكى ئىشلارنى ئەيتىپ بەردى.
How do you usually spend your weekends?	ئادەتتە سىز دەم ئېلىش كۈنلىرىڭىزنى قانداق ئۆتكۈزىسىز؟
I am not any more foolish than you are.	مەن ئەمدى سەندەك ئەخمەق ئەمەس.
I need to get some medicine for my dad.	دادامغا بەزى دورىلارنى ئېلىشىم كېرەك.
The sale prices are written in red ink.	سېتىلىش باھالىرى قىزىل سىياھ بىلەن يېزىلغان.
Your examination results are excellent.	سىناق نەتىجىڭىز قالتىس.
Your examination results are excellent.	ئىمتاھان نەتىجىڭىز قالتىس.
He was standing at the side of the road.	ئۇ يولنىڭ ياقىسىدا تۇراتتى.
I don't have as much money as you think.	مەندە سەن ئويلىغاندەك ئۇنچىلىك كۆپ پۇل يوق.
The building is one hundred meters high.	بۇ بىنانىڭ ئېگىزلىكى 100مېتر.
Tom apologized to Mary for his rudeness.	توم مارىيەدىن ئۆزىنىڭ قوپاللىقى ئۈچۈن ئەپۇ سورىدى.
Can I please have something hot to drink?	قىززىقراق بىر نەرسە ئىچسەم بولامدۇ؟
He denied knowing anything of their plan.	ئۇلار پىلانىنى ماڭا بىلدۈرۈشنى رەت قىلدى.
I came across your brother on the street.	مەن سېنىڭ ئوغۇل قېرىندىشىڭ بىلەن كوچىدا ئۇچۇرشۇپ قالدىم.
I hoped to have finished it by this week.	ئۇنىڭ مۇشۇ ھەپتىدە تاماملىنىشىنى ئۈمىت قىلىمەن.
I worked as a piano tuner for many years.	مەن نۇرغۇن يىللاردىن بۇيان پىيانىنو ئوقۇتقۇچىلىقى قىلىۋاتىمەن
I've read the book Tom was talking about.	مەن توم دېگەن كىتابنى ئوقۇدۇم.
Tom has never visited an Islamic country.	توم ئەسلا بىرەر ئىسلام ئۆلكىسىگە بېرىپ باقمىدى.
Where were you when Tom needed your help?	تومغا سىزنىڭ ياردىمىڭىز كېرەك بولغاندا سىز قەيەردە ئېدىڭىز؟
I ran into an old friend at Tokyo Station.	مەن توكيو بېكىتىدە بىر دوستۇم بىلەن ئۇچۇرشۇپ قالدىم.
She won first prize in the speech contest.	ئۇ نۇتۇق مۇسابىقىسىدە بىرىنچى بولدى.
The quarrel left an unpleasant aftertaste.	تالاش-تارتىش خاپىچىلىق بىلەن ئاياغلاشتى.
Tom didn't want to tell Mary the sad news.	توم مارىيەگە قايغۇلۇق خەۋەرنى ئېيىتقىسى كەلمىدى.
Tom didn't want to tell Mary the sad news.	توم بۇ قايغۇلۇق خەۋەرنى مارىيەگە دېگىسى كەلمىدى.
Tom thought Mary's offer was unreasonable.	توم مارىيەنىڭ قويغان باھاسىنى مۇۋاپىق ئەمەس دەپ ئويلىدى.
He was sent on a special mission to Europe.	ئۇ ئالاھىدە ۋەزىپە بىلەن ياۋرۇپاغا ئەۋەتىلدى.
Let's make Valentine's Day chocolate today.	بۈگۈن ئاشىق-مەشۇقلار بايرىمى شاكىلاتى ياسايلى.
We're having some guests over this evening.	بۈگۈن كەچ بەزى مېھمانلار كېلىدۇ.
He encouraged his son to do something great.	ئۇ ئوغلىنى چوڭراق بىر ئىش قىلىشقا ئىلھاملاندۇردى.
Is it OK if we don't go to Costco this time?	بۇ قېتىم بىز كوستكوغا بارمىساق بولامدۇ؟
Lips that touch liquor shall not touch mine.	ھاراققا تەگكەن لەۋلەر ماڭا تەگمىسۇن.
The point of this pencil isn't sharp enough.	بۇ قېرىنداشنىڭ ئۇچى تازا ياخشى ئۇچلانماپتۇ.
We had a lecture on environmental pollution.	بىز مۇھىت بۇلغىنىشى توغۇرلۇق بىر لىكسىيە سۆزلىدۇق.
I'm sure your efforts will result in success.	ئىشىنىمەنكى،تىرىشچانلىقىڭىزنىڭ نەتىجىسى غەلبىلىك بولىدۇ.
Is there anything else you would like to eat?	يەنە باشقا بىر نەرسە يېيىشنى خالامسىز؟
It is foolish of you to believe such a thing.	ئۇنداق نەرسىگە ئىشەنگىنىڭ سېنىڭ ئەخمەقلىقىڭ.
They are looking at themselves in the mirror.	ئۇلار ئۆزىگە ئەينەكتىن قاراۋاتىدۇ.
You must put an end to this foolish behavior.	سەن بۇ ئەخمىقانە قىلىقنى تاشلىشىڭ كېرەك.
Your success is the result of your hard work.	غەلبىڭىز جاپالىق تىرىشچانلىقىڭىزنىڭ نەتىجىسى.
Can I rely on you to be here on time tomorrow?	مەن سىزنىڭ ئەتە دەل ۋاقتىدا مۇشۇ يەردە بولىشىڭىزغا ئىشەنسەم بولامدۇ؟
Let me know immediately if you have a problem.	مەسىلىگە يولۇقسىڭىز ماڭا دەرھال دەڭ.
When I was a child, I believed in Santa Claus.	مەن كىچىك ۋاقتىمدا روژىستىۋا بوۋايغا ئىشىنەتتىم.
Generally speaking, men are stronger than women.	ئومۇمەن ئەيىتقاندا، ئەرلەر ئاياللاردىن كۈچلۈك.
Tell Tom I don't want to eat at that restaurant.	تومغا ئەيتىپ قويۇڭ،مەن ئۇ تاماقخانىدا تاماق يېمەيمەن.
There is nothing more important than friendship.	دوستلۇق ھەممىدىن مۇھىم.
This will be one of the best memories of my life.	بۇ ھاياتىمدىكى ئېسل خاتىرىلەر بولۇپ قالغۇسى.
What's the difference between lions and leopards?	شىر بىلەن قاپلاننىڭ پەرقى نېمە؟
The temperature here is higher than that of Tokyo.	بۇ يەرنىڭ تېمپىراتورسى توكيونىڭكىدىن يۇقىرى.
Christianity and Islam are two different religions.	خىرىستىيان ۋە ئىسلام دېنى ئىككىسى ئىككى خىل دېن.
Christianity and Islam are two different religions.	خىرىستىئان دىنى بىلەن ئىسلام دىنى ئوخشىمايدىغان ئىككى دىن. (ئىسلام ھەق، خىرىستىئان دىنى باتىل.)
Don't worry about my dog. He won't do you any harm.	ئىتىمدىن ئەنسىرمەڭ ،ئۇ سىزگە ھېچقانداق زېيان يەتكۈزمەيدۇ.
I thought for sure you would stay in Japan forever.	مەن چوقۇم دەپ ئويلايمەنكى سەن ياپۇنىيەدە مەڭگۈ قالىسەن.
Soon after he arrived, he received surprising news.	ئۇ كېلىپ ئۇزاق ئۆتمەي ھەيران قالارلىق خەۋەر تاپشۇرۋالدى.
Tom thought that Mary was hiding something from him.	توم مارىيەنىڭ ئۆزىدىن بىر نەرسىنى يوشۇرۋاتامدىكى دەپ ئويلىدى.
Tom told Mary and her children an interesting story.	توم مارىيە بىلەن ئۇنىڭ باللىرىغا قىزىقارلىق ھېكايىدىن بىرنى ئەيتىپ بەردى.
You know this isn't the way we should be doing this.	سەنمۇ بىلىسەن بۇنى قىلىشنىڭ يولى بۇ ئەمەس.
It wasn't easy for me to write this letter in French.	بۇ خەتنى فرانسۇزچە يېزىشىم ئاسانغا توختىمىدى.
Can you take notes for me during the professor's talk?	پروففىسۇرنىڭ نۇتقىنى خاتىرلىۋالامسەن؟
They think that Tom followed Mary home and killed her.	ئۇلارچە ،توم مارىيەنىڭ ئۆيىگىچە ئەگىشىپ بېرىپ ئۇنى ئۆلتۈرۋەتكەن دەپ ئويلايدۇ.
Her absence went unnoticed until the end of the meeting.	يىغىن ئاياقلاشقىچە ھېچكىم ئۇنىڭ كەلمىگەنلىكىگە دىققەت قىلمىدى.
Teachers often buy school supplies with their own money.	مۇئەللىملەر دائىم مەكتەپ بويۇملىرىنى ئۆز پۇلىغا ئالىدۇ.
Tom was the first one to recognize Mary's musical talent.	مارىنىڭ مۇزىكا تالانتىنى تۇنجى بولۇپ تونۇغان كىشى تومدۇر.
Why don't you do something useful and get me some coffee?	بىرەر پايدىلىق ئىش قىلىپ ماڭا قەھۋە ئېلىپ بەرسىڭىز قانداق؟
Apart from a few mistakes, your composition was excellent.	ئازىراق خاتالىقنى ھېسابقا ئالمىغاندا ،ماقالىڭىز ئېسىل چىقىپتىكەن.
He concealed the file in what he thought was a safe place.	ئۇ بىخەتەر دەپ ئويلىغان ئورۇنغا ھۆججەتنى يوشۇرۇپ قويدى.
How many times a day do you look at yourself in the mirror?	ئۆزۈڭنى كۆرۈش ئۈچۈن كۈندە قانچە قېتىم ئەينەككە قارايسەن؟
He anonymously donated a large sum of money to the Red Cross.	ئۇ نۇرغۇن پۇلنى قىزىل كىرىست جەمىيتىگە نامىسىز ئىئانە قىلدى.
The lives of most people are determined by their environment.	كۆپ ساندىكى كىشىلەرنىڭ ھاياتى ئۇلار تۇرغان مۇھىت تەرىپىدىن بەلگىلىنىدۇ.
You should make sure of the facts before you write something.	بىر نەرسە يېزىشتىن بۇرۇن ئۇ پاكىتلارنى مۇئەييەنلەشتۈرۈشۈڭ كېرەك.
Tom and Mary blamed themselves for everything that went wrong.	توم بىلەن مارىيە قىلىپ قويغان خاتالىقلىرىنى ئۆزلىرىدىن كۆردى.
We're on strike because the company hasn't improved our wages.	شىركەت مۇئاشىمىزنى ئۆستۈرمىگەنلىكتىن ئىش تاشلاۋاتىمىز.
British and Japanese cars have steering wheels on the right side.	ئەنگىلىيە ۋە ياپۇنىيە ماشىنىلىرىنىڭ رولى ئوڭ تەرەپتە .
My family is still working, so they can't go to Texas right away.	ئائىلەمدىكىلەر ئىشلەۋاتقان بولغاچ دەماللىققا تېكساسقا بارالمايدۇ.
It is very difficult to persuade people to change their life style.	كىشىلەرنى تۇرمۇش ئۇسۇلىنى ئۆزگەرتىشكە ئۈندەش ناھايىتى قېيىن.
