Help!	Sakóru!
Do whatever's required.	Gáwan mu ing anggáng kaylángan.
Do you know the answer?	Bálu me ing pakíbat?
Do you think I'm crazy?	King palagé mu mamuláng ko?
Do you think Tom knows?	King palagé mu bálu nang Tom?
He is good at handball.	Byása ya king handball.
He isn't alone anymore.	Éne mágdilídíli.
He said he could do it.	Agyú na kanú ngána.
He's young and healthy.	Anák ya pâ ampóng masantíng ya katáwan ya.
He's young and healthy.	Anák ya pâ ampóng masantíng ya mabúlas ya.
I am off duty tomorrow.	Alá kung óbra búkas.
I can't authorize that.	Éku malyáring paintulútan itá.
I don't have any money.	Alá kung péra.
I don't like it either.	Éke múrin burî.
I don't speak Japanese.	Éku byásang Apón.
I just want to hug you.	Burí raká mung kawlán.
I know it's impossible.	Bálu kung imposíbli itá.
I know it's impossible.	Bálu kung e malyári itá.
I make lunch every day.	Aldó-aldó kung máglútung paugtwán.
I said leave Tom alone.	Sábi ku paburén me i Tom.
I spoke with my family.	Pékisabyán ke ing pamilyá ku.
I was in the mountains.	Atyú ku king kabundúkan.
I was in the mountains.	Atyú ku king kabundúkan kaníta.
I wish I was in Boston.	Burí ku sâ atyú ku Boston.
Is it a recent picture?	Báyu yang letráto?
It doesn't surprise me.	Éku mágtaká.
Look out of the window.	Tandó ka king áwang.
Oh, don't be like that.	Ay, éka makanyán.
She is a famous singer.	Métung yang sikát a mágkantá.
She is younger than me.	Mas anák ya késa káku.
Should we wait for you?	Panáyan daká?
Thanks for the support.	Salámat king sáup.
Thanks for the support.	Salámat king supórta.
The clock is defective.	Atín yang diperénsya ing riló.
The matter was settled.	Méyarégla na ing pisásabián.
They burned themselves.	Sílab da ing saríli da.
They continued walking.	Sindú da ing pámaglákad.
They continued working.	Sindú da ing pámagóbra.
They're waiting for it.	Pánáyan de.
This is what'll happen.	Iní ing malyári.
Tom is deaf in one ear.	Maklák ya king métung a balugbúg i Tom.
Tom is still at school.	Atyú pa king iskwéla i Tom.
Tom is watching TV now.	Mánalbé yang TV i Tom ngéni.
Tom is watching TV now.	Lálbe yang TV i Tom ngéni.
Tom made three changes.	Atlú lang pámagbáyu deng géwa nang Tom.
Tom seems discontented.	Balámu e kunténtu i Tom.
Tom will never do that.	Éna gáwan Tom itá.
We are doing something.	Atíng keng gagáwan.
We don't know just yet.	E mi pa bálû.
What was the violation?	Nánu ing pámaglabág?
What's your son's name?	Nánu ya lágyu ing anák mung laláki?
Why don't you like Tom?	Ot éme burí i Tom?
You can't possibly win.	Éka malyáring sumambút.
You have changed a lot.	Maragúl ing minaliwá kéka.
You won't believe this!	Ému paniwalán iní!
You won't believe this!	Éyu paniwalán iní!
You're a strong person.	Masikán kang táu.
All my friends like you.	Burí raká ngan deng kálugúran ku.
Don't forget the ticket.	Éme kakálingwán ing tíket.
He asked me where to go.	Kitnán náku nung núkarín muntá.
He called a taxi for me.	Pénaus nákung táksi.
He is eager for success.	Sabík yang magtagumpé.
He was blind from birth.	Bulág ya kabaít na.
How did Tom manage that?	Makanánu nang ápalyáring Tom itá?
I asked Tom to call you.	Pépayáus daká kang Tom.
I asked for grape juice.	Ményad kung katás ning úbas.
I can't do this anymore.	Ékuná agyúng gáwan iní.
I know Tom isn't guilty.	Bálu kung alá yang kasalánan i Tom.
I want Tom to read this.	Burí ku básan neng Tom iní.
I want to see you smile.	Burí rakáng ákit a títíman.
I want to talk with Tom.	Burí keng pakísabián i Tom.
I want you to follow me.	Burí kung tukyán mukú.
I'm Tom's new secretary.	Yáku ing báyu nang sekrétaryang Tom.
I'm at a loss for words.	Éku bálû nung nánung sabián ku.
I've got to do this now.	Kaylángan keng gáwan iní ngéni.
I've never flown before.	Éku pa mékasulagpó.
Is my explanation clear?	Malíno ing kákung pámag-ispliká?
Is my explanation clear?	Malíno ing kákung kapatágan?
It's no longer that way.	Éna makanyán.
It's time for the truth.	Panaún na pára king katutuán.
My room has two windows.	Adwá ya áwang ing kwártu ku.
My room is always clean.	Pané yang malínis ing kwártu ku.
Now, take a deep breath.	Sigí, mangísnáwa kang malámam.
That doesn't seem right.	Balámu e ustú itá.
That was the scary part.	Itá ing dákeng mákatákut.
The news made him happy.	Mésayá ya king balítâ.
They entered cautiously.	Pakákalále lang línub.
They looked down on him.	Mábabá la pagláláwe kayá kaníta.
Tom didn't kill anybody.	Alá yang péte i Tom.
Tom doesn't have a home.	Alá yang tuknángan i Tom.
Tom got a bargain price.	Mékámura ya i Tom.
What kind of man was he?	Nánu yang klásing táu?
Who are you waiting for?	Ninúng pánáyan mu?
Workers lost their jobs.	Mílakó la óbra deng mágobra.
You never said anything.	Alá kang sinábi.
"Tom's crying." "I know."	"Kíkyak ya i Tom." "Bálu ku."
A glass of water, please.	Manyád nákung métung a básung danóm?
Can't you go by yourself?	Éka makápuntáng dilí mo?
Did I say I was finished?	Sinábi kung yarí náko?
Do you believe in ghosts?	Mániwála ka karéng máglagé?
Few people have two cars.	Dítak la mung táung makí adwáng kótsi.
He doesn't have a sister.	Alá yang kapatád a babái.
He has nobody to consult.	Alá yang kutnanán.
He was happy being a Jew.	Masayá ya king pánga-Húdyu na.
I can't live without you.	Éku kumabyé nung alá ka.
I don't know what I know.	Éku bálu nung nánung bálu ku.
I don't want 2013 to end.	Éke buríng mayári ing 2013.
I had some calls to make.	Atin kung kaylangang ausan.
I'll call you back later.	Awsán daká king teléponú kaybát.
I'll tell you everything.	Sabián ku ngan kéka.
I'm ready for a vacation.	Makasadyá nákung magbakasyún.
In a word, life is short.	King makúyad a salítâ, makúyad ing bye.
Let's look in the closet.	Lumáwe ta king malatíng silíd.
My prayers were answered.	Mípakíbatán la reng pangadí ku.
No one's going to see us.	Aláng manákit kékatámu.
Should I call the doctor?	Máus kung dóktor?
Some people never listen.	Éla mákiramdám deng áliwang táu.
Take a taxi to the hotel.	Mag-táxi ka papuntá king hotél.
That's what I've ordered.	Yan ing inórder ku.
The babies are screaming.	Mángulísak la reng bíngut.
The book is on the table.	Atyú king bábo lamésa ing librú.
The window was wide open.	Mábusní ya ing áwang.
They continued searching.	Sindú da ing pámanintún.
This car runs on alcohol.	Ing alcohol ing mágpagána king kótsing iní.
Tom certainly was polite.	Taganáng magálang ya i Tom.
Tom didn't recognize her.	Éne ákilálang Tom.
Tom doesn't like me much.	Énáku makáing buríng Tom.
Tom had a company to run.	Atín yang kumpanyáng pánibalán i Tom.
Tom is out of the office.	Aláyu king upisína i Tom.
Tom turned off the music.	Pitdá neng Tom ing músika.
We didn't talk yesterday.	Éke mísabi nápun.
We didn't talk yesterday.	E kamí mísabi nápun.
What are you looking for?	Nánung páyntunán mu?
Who turned off the light?	Nínung mématda king sulû?
Why don't we order pizza?	Ot e támu mag-order pizza?
You can drive, can't you?	Makápagmanéu ka, e warî?
Aren't you going to dance?	Éka tumérak?
Can we really afford that?	Agyú táyá pin yan?
Did you get Tom's message?	Ikwá me ing mensáhi nang Tom?
Did you get Tom's message?	Ikwá ye ing mensáhi nang Tom?
He said, "Leave me alone."	"Lakwán mukúng díli ku," ngána.
I have a fear of the dark.	Tátákut ku king madalumdúm.
I have no home to live in.	Alá kung baléng tuknangán.
I knew I'd seen it before.	Bálu ku nang ikít ku ne.
I left my shoes at school.	Likwán ko reng sapátus king iskwéla.
I neither drink nor smoke.	Éku míminúm o sísindî.
I walk twenty miles a day.	Lálákad kung adwáng púlung mílya aldó'ldo.
I'm sure you're very busy.	Sigúrádu kung dakál ka gagáwan.
I'm sure you're very busy.	Sigúrádu kung taganáng okúpádu ka.
It is still light outside.	Masálá pa king kilwál.
It rained hard last night.	Minurán masikán nabéngi.
Maybe I could go with you.	Sigúru malyári kung makiyagnán kéka.
She has psychic abilities.	Atín yang kagíwan a "psychic".
That's what everyone says.	Itá ing sasabyán ning bálang métung.
The cook broiled the meat.	Ningnáng ne ning kusinéru ing kárni.
Today is Independence Day.	Aldó ning Katimawán ngéni.
Tom accepted Mary's offer.	Tinggáp neng Tom ing alúk nang Mary.
Tom did an incredible job.	Mákapágmulálâ ing óbrang géwa nang Tom.
Tom escaped from his cell.	Tínakas ya i Tom king kayáng sélda.
Tom is allowed to do that.	Makí paintúlut i Tom a gáwan itá.
Tom knows what this means.	Bálu nang Tom ing kabáldúgan na níti.
Tom went back to his seat.	Míbálik ya i Tom king luklúkan na.
We had Tom paint the wall.	Pépapintúra miyá kang Tom ing dingdíng.
We had Tom paint the wall.	Pépapintúra miyá kang Tom ing padér.
We haven't tried that yet.	E miyá pa síbúkan yan.
We're looking for Tom now.	Páyntunán miyá i Tom ngéni.
What do you like about it?	Nánung burí mu kayá?
What do you want me to do?	Nánung burí mung pagawá káku?
Who are you talking about?	Nánung pányabyán mu?
Who are you talking about?	Nánung pányabyán yu?
Yesterday was my birthday.	Aldó kung kébaytán nápun.
You can tear the box open.	Malyári meng gisyán ing kahún ba yang ibusnî.
You will do no such thing.	Éka gáwang antí kanyán.
Can you predict the future?	Agyú mung ulán ing payntungúlan?
Can you wait about an hour?	Makápanáya kang mangá métung a óras?
Do all of you speak French?	Byása ko ngang magsalítang Pransés?
Do we have to pay anything?	Atín támung kaylángang bayáran?
Do you want me to call Tom?	Burí mukúng awsáng Tom?
Don't give up your day job.	Éme tatábílî ing óbra mu neng aldó.
Eternal love doesn't exist.	Aláng lugúd king aláng anggá.
Friends do things together.	Agnán-agnán la karéng gagáwan da deng mikálugúran.
Have you seen this already?	Ikít muné iné?
Hurry up, or we'll be late.	Lagwá mu, mitawlí támu.
I came here to play soccer.	Mintá ku kéni bang mamyálung soccer.
I have to wake Tom up soon.	Kaylángan ku neng gisíngan i Tom pinándit.
I know it's important work.	Bálu kung maúlagáng óbra itá.
I need a cup of hot coffee.	Kaylángan ke ing métung a tása ning mapáling kapé.
I think we've eaten enough.	King palagé ku ustú na ing péngan támu.
I thought you were serious.	Baláku siryósu ka.
I was up all night reading.	Kabúkas kung makágising a mámásâ.
I'll certainly talk to Tom.	Taganáng pakisabyán ke i Tom.
I'm not sure if Tom saw it.	Éku sigurádu nung ikít neng Tom.
I'm not talking about that.	Aliwá itá ing ámanwán ku.
It was really embarrassing.	Taganáng mákaríne.
Maybe they'll come for you.	Sigúru dakítan daká.
Perhaps you should get one.	Sigúru dápat kang kumáng métung.
She decided to be a doctor.	Migpasyá yang magdóktor.
She decided to be a doctor.	Migdisisyún yang magdóktor.
She is a well-known singer.	Métung yang bantúg a mágkantá.
She is a well-known singer.	Métung yang kabálítan a mágkantá.
She is a well-known singer.	Métung yang bunyíng mágkantá.
Stay with Tom for a moment.	Abáyan me ságulî i Tom.
