Who?	Hvem?
It's hailing.	Det hagler.
It's perfect.	Det er perfekt.
It's snowing.	Det snør.
Look at that!	Se på det!
Look it over.	Se gjennom det.
Our eyes met.	Våre øyne møttes.
Speak softly.	Snakk lavere.
That is mine.	Det er mitt.
That's right!	Det stemmer!
Tom is naive.	Tom er naiv.
Tom said yes.	Tom sa ja.
Tom's crying.	Tom gråter.
Tom's so old.	Tom er veldig gammel.
Wait in here.	Vent her inne.
We liked Tom.	Vi likte Tom.
Who's hungry?	Hvem er sulten?
You're right.	Du har rett.
Are they tall?	Er de høye?
Are you blind?	Er du blind?
Are you crazy?	Er du gal?
Are you ready?	Er du klar?
Are you tired?	Er du trøtt?
Can you drive?	Kan du kjøre?
Does this fit?	Passer denne?
Don't look up.	Ikke se opp.
Don't respond.	Ikke svar.
Guess who won.	Gjett hvem som vant.
He shot at me.	Han skjøt mot meg.
He's studying.	Han studerer.
How about you?	Hva med deg?
I can't do it.	Jeg kan ikke gjøre det.
I can't sleep.	Jeg får ikke sove.
I dislike Tom.	Jeg liker ikke Tom.
I enjoy chess.	Jeg liker sjakk.
I have a cold.	Jeg er forkjølet.
I play tennis.	Jeg spiller tennis.
I see someone.	Jeg ser noen.
I support Tom.	Jeg støtter Tom.
I was at home.	Jeg var hjemme.
I wasn't told.	Jeg fikk ikke beskjed.
I'm a redhead.	Jeg har rødt hår.
I'm a teacher.	Jeg underviser.
I'm a veteran.	Jeg er veteran.
I'm different.	Jeg er annerledes.
I'm not bossy.	Jeg er ikke sjefete.
I'm not brave.	Jeg er ikke modig.
I've found it.	Jeg har funnet det.
It had snowed.	Det hadde snødd.
It isn't mine.	Den er ikke min.
It isn't mine.	Det er ikke mitt.
It seems easy.	Det ser lett ut.
It seems easy.	Det ser enkelt ut.
It was spooky.	Det var nifs.
It's all over.	Alt er over.
It's happened.	Det har skjedd.
It's not mine.	Den er ikke min.
It's not mine.	Det er ikke mitt.
Love is blind.	Kjærlighet gjør blind.
My head hurts.	Jeg har vondt i hodet.
No, thank you.	Nei takk.
See you again.	Vi sees!
She is crying.	Hun gråter.
She likes him.	Hun liker ham.
She loves him.	Hun elsker ham.
Shut the door.	Lukk døren.
Shut the door.	Lukk døra.
Speak clearly.	Snakk tydelig.
Speak quietly.	Snakk lavere.
Take a shower.	Ta deg en dusj.
Tastes differ.	Smaker er forskjellige.
That can't be.	Det kan ikke være sant.
That's a doll.	Det der er en dukke.
That's a risk.	Det er en risiko.
This is a DVD.	Dette er en DVD.
Tom is crying.	Tom gråter.
We admire you.	Vi beundrer deg.
We got robbed.	Vi ble ranet.
We need money.	Vi trenger penger.
When's dinner?	Når er det middag?
Who helps her?	Hvem hjelper henne?
Whose is this?	Hvem sin er dette?
You'll go far.	Du vil komme langt.
You're joking!	Du tuller!
You're joking!	Du spøker!
You're stupid.	Du er dum.
Are you coming?	Kommer du?
Are you crying?	Gråter du?
Both are alive.	Begge to er i live.
Can I go first?	Kan jeg gå først?
Can I help you?	Kan jeg hjelpe deg?
Can you cancel?	Kan du kansellere?
Cats are smart.	Katter er smarte.
Close the door.	Lukk døren.
Close the door.	Lukk døra.
Come back soon.	Kom snart igjen.
Do it your way.	Gjør det på din måte.
Do you love me?	Elsker du meg?
Does this hurt?	Gjør dette vondt?
Don't be angry.	Ikke vær sint.
Everybody lies.	Alle lyver.
Good afternoon.	God ettermiddag.
Happy New Year!	Godt nytt år!
He came by bus.	Han kom med bussen.
Here is a book.	Her er en bok.
I am in London.	Jeg er i London.
I drink coffee.	Jeg drikker kaffe.
I have friends.	Jeg har venner.
I like castles.	Jeg liker slott.
I need a stamp.	Jeg trenger et frimerke.
I study abroad.	Jeg studerer utenlands.
I walked alone.	Jeg gikk alene.
I want to live.	Jeg vil leve.
I want to play.	Jeg vil leke.
I'll go by car.	Jeg tar bil.
I'm a free man.	Jeg er en fri mann.
I'm an atheist.	Jeg er ateist.
I'm going back.	Jeg går tilbake.
I'm not biased.	Jeg er ikke partisk.
I'm not famous.	Jeg er ikke berømt.
I'm on holiday.	Jeg er på ferie.
I'm on holiday.	Jeg har ferie.
I'm used to it.	Jeg er vant til det.
I'm vegetarian.	Jeg er vegetarianer.
Is he sleeping?	Sover han?
It makes sense.	Det henger på greip.
It will happen.	Det vil skje.
It's cold here.	Det er kaldt her.
It's on page 3.	Det står på side 3.
Leave it to me.	Overlat det til meg.
Leave it to me.	Jeg tar hånd om det.
Let us go home.	La oss gå hjem.
Make it happen.	Få det til å skje.
May I help you?	Kan jeg hjelpe deg?
May I use this?	Kan jeg bruke denne?
Money is power.	Penger er makt.
She is a nurse.	Hun er sykepleierske.
She is out now.	Hun er ute nå.
She was crying.	Hun gråt.
Sorry I'm late.	Beklager at jeg er sen.
That isn't Tom.	Det er ikke Tom.
That's my seat.	Det er mitt sete.
That's not Tom.	Det er ikke Tom.
This is a joke.	Dette er en vits.
This is a test.	Dette er en test.
Tom has my car.	Tom har bilen min.
Tom hates Mary.	Tom hater Mary.
Tom is our son.	Tom er vår sønn.
Tom was crying.	Tom gråt.
We aren't late.	Vi er ikke sene.
We forgive you.	Vi tilgir deg.
What do you do?	Hva gjør du?
What do you do?	Hvilket yrke har du?
What do you do?	Hva jobber du med?
Who broke this?	Hvem ødelagte denne?
Who's confused?	Hvem er forvirret?
You are stupid.	Du er dum.
You can't stop.	Du kan ikke slutte.
You have to go.	Du må gå.
You look tired.	Du ser trøtt ut.
You may go now.	Du kan dra nå.
You're my type.	Du er min type.
Are you guys OK?	Går det bra med dere?
Are you kidding?	Du tuller?
Are you over 18?	Er du over 18?
Are you serious?	Seriøst?
Are you serious?	Er du seriøs?
Call my husband.	Ring mannen min.
Call the doctor.	Ring legen.
Call the police!	Tilkall politiet!
Can you show me?	Kan du vise meg?
Congratulations!	Gratulerer!
Did I scare you?	Skremte jeg deg?
Do you have one?	Han du en?
Don't be stupid.	Ikke vær dum.
Don't get angry.	Ikke bli sint.
Enjoy your meal!	Nyt måltidet ditt.
He can run fast.	Han kan løpe fort.
He has a hat on.	Han har på seg hatt.
He is a teacher.	Han er lærer.
He quit smoking.	Han sluttet å røyke.
He's my brother.	Han er min bror.
Here is the map.	Her er kartet.
How about 12:45?	Hva med 12:45?
How big you are!	Så stor du er!
How can that be?	Hvordan kan det være?
How's the apple?	Hvordan smaker eplet?
I can't do that.	Jeg kan ikke gjøre det.
I have two cars.	Jeg har to biler.
I have two cats.	Jeg har to katter.
I like your car.	Jeg liker bilen din.
I read his book.	Jeg leste boken hans.
I study English.	Jeg studerer engelsk.
I was a teacher.	Jeg var lærer.
I wasn't honest.	Jeg var ikke ærlig.
I'm about ready.	Jeg er nesten klar.
I'm not finicky.	Jeg er ikke pirkete.
I'm not finicky.	Jeg er ikke kresen.
Is she a doctor?	Er hun en lege?
It has happened.	Det har skjedd.
It might happen.	Det kan skje.
It's a dead end.	Det er en blindvei.
It's incredible.	Det er utrolig.
It's pretty new.	Den er ganske ny.
It's time to go.	Det er på tide å gå.
It's time to go.	Det er tid for å gå.
It's warm today.	Det er varmt i dag.
Lemons are sour.	Sitroner er sure.
Let me help you.	La meg hjelpe deg.
Let's talk here.	La oss snakke her.
Look at the sky.	Se på himmelen.
Mary is my wife.	Maria er kona mi.
Merry Christmas!	God jul!
Might I come in?	Kan jeg komme inn?
Mom, I'm hungry.	Mamma, jeg er sulten.
My father walks.	Faren min går.
My shoes squeak.	Skoene mine piper.
My throat hurts.	Jeg har vondt i halsen min.
Open the window.	Åpne vinduet.
She's assertive.	Hun er påståelig.
She's depressed.	Hun er deprimert.
She's no singer.	Hun er ingen sanger.
That's not mine.	Den er ikke min.
That's not mine.	Det er ikke mitt.
The car is blue.	Bilen er blå.
The dog is dead.	Hunden er død.
The dog is ours.	Hunden er våres.
The sky is blue.	Himmelen er blå.
They don't care.	De bryr seg ikke.
They don't help.	De hjelper ikke.
They drove home.	De kjørte hjem.
They held hands.	De holdt hverandre i hendene.
They hugged Tom.	De ga Tom en klem.
They're talking.	De snakker.
This is awesome.	Dette er fantastisk.
This isn't mine.	Dette er ikke mitt.
Tom denied that.	Tom nektet på det.
Tom denied this.	Tom nektet på det.
Tom got furious.	Tom ble rasende.
Tom had a knife.	Tom hadde en kniv.
Tom is insolent.	Tom er uforskammet.
Tom is off duty.	Tom har fri.
Tom missed Mary.	Tom savnet Mary.
Tom read novels.	Tom leste romaner.
Tom told us why.	Tom fortalte oss hvorfor.
We already know.	Det vet vi allerede.
We are his sons.	Vi er sønnene hans.
We are students.	Vi er studenter.
We have bananas.	Vi har bananer.
We were in love.	Vi var forelsket.
We were invited.	Vi var invitert.
What time is it?	Hvor mye er klokka?
What's the time?	Hvor mye er klokka?
When can we eat?	Når kan vi spise?
When will we go?	Når skal vi gå?
Who are you all?	Hvem er dere?
You cannot lose.	Du kan ikke tape.
You got the job.	Du fikk jobben.
You look strong.	Du ser sterk ut.
You look stupid.	Du ser dum ut.
Your time is up.	Tiden er ute.
Are you sleeping?	Sover du?
Come eat with us.	Kom, spis med oss.
Do you live here?	Bor du her?
Do you want fish?	Vil du ha fisk?
Don't look at me.	Ikke se på meg.
Enough is enough.	Nok får være nok.
Have a good trip.	God tur.
Have a nice trip.	God tur.
He can swim fast.	Han kan svømme fort.
He doesn't smoke.	Han røyker ikke.
He had no hat on.	Han hadde ikke hatt på.
He likes animals.	Han liker dyr.
He likes oranges.	Han liker appelsiner.
He looks his age.	Han ser like gammel ut som han er.
He's a biologist.	Han er biolog.
He's about to go.	Han skal til å gå.
He's about to go.	Han er i ferd med å gå.
He's still alive.	Han lever fortsatt.
Here is your bag.	Her er baggen din.
Hey, what's this?	Hei, hva er dette?
How was the play?	Hvordan var skuespillet?
I also like cake.	Jeg liker også kake.
I am eating rice.	Jeg spiser ris.
I am not a witch.	Jeg er ikke en heks.
I can bake bread.	Jeg kan bake brød.
I couldn't speak.	Jeg kunne ikke snakke.
I dislike coffee.	Jeg liker ikke kaffe.
I don't eat meat.	Jeg spiser ikke kjøtt.
I gave Tom a hug.	Jeg ga Tom en klem.
I had a flu shot.	Jeg fikk influensa-vaksine.
I hate chemistry.	Jeg hater kjemi.
I have a big dog.	Jeg har en stor hund.
I have questions.	Jeg har spørsmål.
I know your name.	Jeg vet navnet ditt.
I like languages.	Jeg liker språk.
I like that flag.	Jeg liker det flagget.
I like your dogs.	Jeg liker hundene dine.
I lost my camera.	Jeg har mistet fotografiapparatet mitt.
I lost my camera.	Jeg har mistet fotoapparatet mitt.
I lost my camera.	Jeg mistet kameraet mitt.
I made it myself.	Jeg laget det selv.
I must warn them.	Jeg må advare dem.
I play in a band.	Jeg spiller i et band.
I swim every day.	Jeg svømmer hver dag.
I want you to go.	Jeg vil at du går.
I wasn't careful.	Jeg var ikke forsiktig.
I won't be ready.	Jeg vil ikke være klar.
I'm a bank clerk.	Jeg er bankansatt.
I'm a vegetarian.	Jeg er vegetarianer.
I'm an architect.	Jeg er en arkitekt.
I'm not a doctor.	Jeg er ikke lege.
I'm proud of you.	Jeg er stolt av deg.
Is this your DVD?	Er dette din DVD?
Is this your car?	Er dette din bil?
Isn't it obvious?	Er det ikke opplagt?
Isn't that crazy?	Er ikke det sprøtt?
It happened here.	Her skjedde det.
It just happened.	Det har akkurat skjedd.
It still happens.	Det skjer fortsatt.
It's a good deal.	Det er et bra tilbud.
It's just a game.	Det er bare et spill.
It's pretty cold.	Det er ganske kaldt.
Leave them alone.	La dem være alene.
Leave them alone.	La dem være i fred.
Lower your voice.	Snakk lavere.
Make Tom go away.	Få Tom til å gå.
My eyes are blue.	Øynene mine er blå.
My feet are cold.	Jeg er kald på føttene.
No one likes war.	Ingen liker krig.
No one loves war.	Ingen liker krig.
No one will know.	Ingen får vite noe.
Nobody likes war.	Ingen liker krig.
Send me the bill.	Send meg regningen.
She is beautiful.	Hun er vakker.
She is mad at me.	Hun er sur på meg.
She is mad at me.	Hun er sint på meg.
That's pointless.	Det er meningsløst.
The storm abated.	Stormen roet seg.
There's no doubt.	Det er ingen tvil.
They aren't mine.	De er ikke mine.
They aren't rich.	De er ikke rike.
They got married.	De giftet seg.
They live nearby.	De bor i nærheten.
They're children.	De er barn.
They're teachers.	De er lærere.
This fish is big.	Denne fisken er stor.
Tom died in jail.	Tom døde i fengsel.
Tom drinks a lot.	Tom drikker mye.
Tom is in danger.	Tom er i fare.
Tom isn't asleep.	Tom sover ikke.
Tom likes to box.	Tom liker å bokse.
Tom needed water.	Tom trengte vann.
Tom quit smoking.	Tom sluttet å røyke.
Tom sells coffee.	Tom selger kaffe.
Tom shops online.	Tom handler på nettet.
Tom should be OK.	Tom er sikkert OK.
Tom studies hard.	Tom studerer hardt.
Tom swears a lot.	Tom banner mye.
Tom was my buddy.	Tom var kameraten min.
Tom went bonkers.	Tom klikket.
Tom's dog bit me.	Hunden til Tom bet meg.
Tom's not asleep.	Tom sover ikke.
Walk ahead of me.	Gå først du.
We have no water.	Vi har ikke vann.
We have two sons.	Vi har to sønner.
What woke you up?	Hva vekket deg?
What's happening?	Hva skjer?
Where is my book?	Hvor er boken min?
Where's my brush?	Hvor er børsten min?
Who wrote Hamlet?	Hvem skrev Hamlet?
You already paid.	Du har allerede betalt.
You can look now.	Du kan se nå.
You can stop now.	Du kan slutte nå.
You can't go now.	Du kan ikke dra nå.
You can't say no.	Du kan ikke si nei.
You did it again.	Du gjorde det igjen.
You did say that.	Du sa jo det.
You got the part.	Du fikk rollen.
You let Tom down.	Du skuffet Tom.
You look healthy.	Du ser sunn ut.
You made Tom cry.	Du fikk Tom til å grine.
You made me late.	Du gjorde at jeg ble sen.
You may be right.	Kanskje du har rett.
You may go there.	Du kan gå der.
You may quote me.	Du kan sitere meg.
You should sleep.	Du burde sove.
You should sleep.	Du bør sove.
You're so skinny.	Du er så tynn.
You're the enemy.	Du er fienden.
You've got to go.	Du må gå.
You've got to go.	Du er nødt til å gå.
Yours was better.	Din var bedre.
Are they American?	Er de amerikanske?
Are you all ready?	Er dere klar?
Are you all ready?	Er dere alle klare?
Are you inventive?	Er du oppfinnsom?
Can I have a bite?	Kan jeg få en bit?
Come into my room.	Kom til rommet mitt.
Crime doesn't pay.	Forbrytelser lønner seg ikke.
Do you have a pen?	Har du en penn?
Do you like music?	Liker du musikk?
Do you live there?	Bor du der?
Does she know you?	Kjenner hun deg?
Don't be like Tom.	Ikke vær som Tom.
Don't repeat that.	Ikke gjenta det.
Everyone is ready.	Alle er klare.
Give me that book.	Gi meg den boken.
He does not smoke.	Han røyker ikke.
He had no coat on.	Han hadde ikke frakk på.
He has a cold now.	Han er forkjølt nå.
He has curly hair.	Han har krøllet hår.
He has three sons.	Han har tre sønner.
He is still alive.	Han lever fortsatt.
He lives in Osaka.	Han bor i Osaka.
He ordered a beer.	Han bestilte en øl.
He raised his hat.	Han løftet hatten sin.
How are you doing?	Hvordan går det?
How should I know?	Hvordan kunne jeg vite det?
I am a lonely man.	Jeg er en ensom mann.
I am a vegetarian.	Jeg er vegetarianer.
I called the cops.	Jeg ringte politiet.
I did this myself.	Jeg gjorde dette selv.
I don't blame you.	Jeg klandrer deg ikke.
I don't blame you.	Jeg bebreider deg ikke.
I enjoy what I do.	Jeg liker det jeg gjør.
I found the money.	Jeg fant pengene.
I have a daughter.	Jeg har en datter.
I have a good job.	Jeg har en god jobb.
I have an old car.	Jeg har en gammel bil.
I know everything.	Jeg vet alt.
I like it in here.	Jeg koser meg her inne.
I like short hair.	Jeg liker kort hår.
I like these hats.	Jeg liker disse hattene.
I miss my friends.	Jeg savner mine venner.
I miss this place.	Jeg savnet dette stedet.
I need some paper.	Jeg trenger papir.
I need some sleep.	Jeg trenger litt søvn.
I need some sugar.	Jeg trenger litt sukker.
I saw your father.	Jeg så faren deres.
I still need time.	Jeg trenger fremdeles tid.
I teach geography.	Jeg underviser geografi.
I want some money.	Jeg vil ha litt penger.
I want to be safe.	Jeg vil være trygg.
I was just joking.	Jeg bare tulla.
I was just joking.	Jeg bare kødda.
I wish I was dead.	Jeg skulle ønske jeg var død!
I'll be back soon.	Jeg er straks tilbake.
I'll be back soon.	Jeg er snart tilbake.
I'll pay the bill.	Jeg tar regningen.
I'm Canadian, too.	Jeg er kanadisk også.
I'm able to speak.	Jeg kan snakke.
I'm already bored.	Jeg kjeder meg allerede.
I'm bad at sports.	Jeg er ikke flink i sport.
I'm not convinced.	Jeg er ikke overbevist.
I'm not easygoing.	Jeg er ikke omgjengelig.
I'm not giving up.	Jeg beliter meg ikke!
I'm sick of lying.	Jeg er lei av å lyge.
Is that your goal?	Er det målet ditt?
Is this seat free?	Er dette setet ledig?
Is this your bike?	Er dette din sykkel?
It happened again.	Det skjedde igjen.
It happened today.	I dag skjedde det.
It makes no sense.	Det gir ikke mening.
It's a long story.	Det er en lang historie.
It's an ugly flag.	Det er et stygt flagg.
It's not my fault.	Det er ikke min feil.
It's unbelievable.	Det er utrolig.
Keep away from me.	Hold deg unna meg.
Look at the girls.	Se på jentene.
Mary has big eyes.	Maria har store øyer.
My bag was stolen.	Bagen min ble stjålet.
My eyes are itchy.	Øynene mine klør.
My hands are cold.	Jeg er kald på hendene.
Please keep quiet.	Vennligst vær stille.
She began to sing.	Hun begynte å synge.
She is thirty-one.	Hun er 31 år.
She speaks Polish.	Hun snakker polsk.
She's unconscious.	Hun er bevistløs.
Solve the problem.	Løs problemet.
Stay here with me.	Bli her med meg.
Tell me the truth.	Fortell meg sannheten.
Thank you so much.	Takk så mye.
Thank you so much.	Tusen takk.
That house is big.	Det huset er stort.
That won't happen.	Det vil ikke skje.
The bath is ready.	Badekaret er klart.
The bus is coming.	Bussen kommer.
The dog went away.	Hunden gikk sin vei.
The sun is a star.	Solen er en stjerne.
The water is good.	Vannet er godt.
They are teachers.	De er lærere.
This book will do.	Denne boken duger.
This is my advice.	Dette er mitt råd.
This isn't a pipe.	Dette er ikke ei pipe.
This lake is deep.	Denne sjøen er dyp.
Tom did a bad job.	Tom gjorde en dårlig jobb.
Tom didn't see me.	Tom så meg ikke.
Tom died that day.	Tom døde den dagen.
Tom drove the car.	Tom kjørte bilen.
Tom is an athlete.	Tom er en atlet.
Tom is doing that.	Tom gjør det.
Tom is dozing off.	Tom holder på å sovne.
Tom is going home.	Tom skal hjem.
Tom is going home.	Tom er på vei hjem.
Tom is infuriated.	Tom er rasende.
Tom is very quiet.	Tom er veldig stille.
Tom kept his cool.	Tom holdt hodet kaldt.
Tom likes to bowl.	Tom liker å bowle.
Tom likes to fish.	Tom liker å fiske.
Tom looked lonely.	Tom så ensom ut.
Tom misses Boston.	Tom savner Boston.
Tom needs a favor.	Tom trenger en tjeneste.
Tom showed us how.	Tom viste oss hvordan.
Tom was held down.	Tom ble holdt nede.
Tom's face is red.	Toms ansikt er rødt.
We get along well.	Vi kommer godt overens.
We know who he is.	Vi vet hvem han er.
We must warn them.	Vi må advare dem.
Were you promoted?	Ble du forfremmet?
What a nice house!	For et fint hus!
What did Tom find?	Hva fant Tom?
What do I owe Tom?	Hva skylder jeg Tom?
What have we here?	Hva har vi nå her?
What should I buy?	Hva skal jeg kjøpe?
What should I buy?	Hva bør jeg kjøpe?
What year is this?	Hvilket år er dette?
Where are you now?	Hvor er du nå?
Where is my watch?	Hvor er klokken min?
Where is the book?	Hvor er boken?
Who broke the cup?	Hvem har knust koppen?
Who ordered pizza?	Hvem bestilte pizza?
Why do we need it?	Hvorfor trenger vi den?
Why do we need it?	Hvorfor trenger vi det?
Why is that wrong?	Hvorfor er det feil?
Why worry so much?	Hva er vitsen med å bekymre deg så mye?
Will you use this?	Skal du bruke denne?
Will you use this?	Skal du bruke dette?
Wood burns easily.	Trær brenner lett.
Yes. That's right.	Ja. Det stemmer.
Yesterday was hot.	Det var varmt i går.
You are in my way.	Du står i veien.
You both did fine.	Dere gjorde det bra, begge to.
You broke the law.	Du brøt loven.
You can't deny it.	Du kan ikke benekte det.
You can't do that.	Du kan ikke gjøre det.
You can't fire us.	Du kan ikke gi oss sparken.
You can't fire us.	Du kan ikke si oss opp.
You can't stop us.	Du kan ikke stoppe oss.
You did your best.	Du gjorde ditt beste.
You did your best.	Du gjorde så bra du kunne.
You did your part.	Du gjorde din del.
You got shot, Tom.	Du ble skutt, Tom.
You guys are nuts.	Dere er sprø.
You just got shot.	Du har akkurat blitt skutt.
You make me happy.	Du gjør meg glad
You make me happy.	Du gjør meg lykkelig.
You may enter now.	Du kan gå inn nå.
You may leave now.	Du kan dra nå.
You must help her.	Du må hjelpe henne.
You owe me a beer.	Du skylder meg en øl.
You two may leave.	Dere to kan dra.
You work too hard.	Du jobber for hardt.
You'll need money.	Du vil trenge penger.
You're a kind man.	Du er en snill mann.
You're a murderer.	Du er en morder.
You're just a boy.	Du er bare en gutt.
You're not my mom.	Du er ikke min mor.
You're not thirty.	Du er ikke tretti.
You've never lost.	Du har aldri tapt.
Are you busy today?	Er du opptatt i dag?
Are you in a hurry?	Har du hastverk?
Are you ready, Tom?	Er du klar, Tom?
Bring me the flute.	Gi meg fløyta.
Can I have it back?	Kan jeg få den tilbake?
Can I use your pen?	Kan jeg bruke din penn?
Can anyone hear me?	Kan noen høre meg?
Did you find a job?	Fant du en jobb?
Do you have a plan?	Har du en plan?
Do you remember it?	Husker du det?
Do you remember me?	Husker du meg?
Don't walk so fast.	Ikke gå så fort.
Everybody is ready.	Alle er klare.
Everything changed.	Alt forandret seg.
Everything is over.	Alt er over.
Get back, get back!	Tilbake, tilbake!
Give me the number.	Gi meg nummeret.
Go and wake Tom up.	Gå og vekk Tom.
He asked my mother.	Han spurte min mor.
He brushed his hat.	Han børstet hatten sin.
He disliked school.	Han likte ikke å gå på skole.
He doesn't like us.	Han liker oss ikke.
He got out his pen.	Han tok frem pennen sin.
He has a bad heart.	Han har dårlig hjerte.
He has a big mouth.	Han er stor i kjeften.
He has a long nose.	Han har lang nese.
He is a simple man.	Han er en enkel mann.
He kicked me twice.	Han sparket meg to ganger.
He lacks judgement.	Han mangler dømmekraft.
He took a week off.	Han tok en uke fri.
He weighs 70 kilos.	Han veier sytti kilo.
He went out to eat.	Han gikk ut og spiste.
He works at a bank.	Han jobber i bank.
He's a patient man.	Han er en tålmodig mann.
He's still at work.	Han er fortsatt på arbeid.
How can I help you?	Hvordan kan jeg hjelpe deg?
I admit my mistake.	Jeg innrømmer feilen min.
I don't drink wine.	Jeg drikker ikke vin.
I failed the tests.	Jeg klarte ikke prøvene.
I failed the tests.	Jeg strøk på prøvene.
I give you my word.	Du har mitt ord på det.
I give you my word.	Jeg lover.
I hate her parents.	Jeg hater foreldrene hennes.
I hate mathematics.	Jeg hater matematikk.
I hate my eyebrows.	Jeg hater øyenbrynene mine.
I have a sore head.	Jeg har vondt i hodet.
I have to meet Tom.	Jeg må møte Tom.
I have two cousins.	Jeg har to søskenbarn.
I hope you like it.	Jeg håper du liker det.
I hope you like it.	Jeg håper du liker den.
I know where he is.	Jeg vet hvor han er.
I know your father.	Jeg kjenner din far.
I lack imagination.	Jeg har dårlig fantasi.
I own a German car.	Jeg eier en tysk bil.
I saw him run away.	Jeg så ham løpe sin vei.
I sleep in my room.	Jeg sover på rommet mitt.
I swim once a week.	Jeg svømmer en gang i uken.
I think I know why.	Jeg tror jeg vet hvorfor.
I think you did it.	Jeg tror du gjorde det.
I want the details.	Jeg vil ha detaljene.
I want to eat this.	Jeg har lyst til å spise dette.
I was expecting it!	Jeg regnet med det!
I was expecting it!	Jeg forventet det!
I was just teasing.	Jeg bare terget.
