Go.	Gitmek.
Where's my sister?	Meniň uýam nirede?
Where's the beach?	Plýaž nirede?
Will you be going?	Sen gidersiňmi?
Will you be going?	Siz gidersiňizmi?
You aren't needed.	Sen gerek däl.
You can't come in.	Içeri girip bilmeýeň.
You're famous now.	Siz häzir meşhur.
Cars pollute a lot.	Ulaglar howany gaty hapalaýarlar.
Dinner was awesome.	Agşam nahary ajaýypdy.
Do I owe you money?	Men saňa pul bermelimi?
Do you like apples?	Sen almalary halaýaňmy?
Do you like apples?	Siz almalary halýarsyňyzmy?
Do you want coffee?	Kofe içesiň gelýärmi?
Do you want coffee?	Kofe içesiňiz gelýärmi?
Do you want my job?	Meniň işimi isleýärmiň?
How old's your son?	Seniň ogluň näçe ýaşynda?
I broke Tom's nose.	Men Tomuň burnuny döwdüm.
I depend on nobody.	Men hiç kime garaşly däl.
I did that for you.	Men ony seniñ üçin etdim.
I have two nephews.	Meniň iki sany oglan ýegenim bar.
I like to eat nuts.	Men mañyz iýmegi halaýan.
I live near Boston.	Men Bostonyñ ýanynda ýaşaýaryn.
I owed Tom nothing.	Meniň Toma hiçhili bergim ýok.
I saw Tom in there.	Tomy ol ýerde içeride gördüm.
I saw Tom's father.	Tomuň kakasyny gördüm.
I say what I think.	Düşünýändigini aýdýaryn.
I sure do miss Tom.	Men hakykatdan hem Tomy küýseýärin
I value my privacy.	Şahsy durmuşyma ähmiýet berýärin.
I was just reading.	Meň diňeje okap otyrdym.
I won't betray Tom.	Men Toma dönüklik etmerin.
I'm happy I waited.	Men garaşanym üçin şat.
I'm on the balcony.	Men balkonda.
Is it OK if I come?	Men hem gelip bilerinmi?
Is that too little?	Bu çyndanam kiçijikmi?
It happened before.	Bu öň bolupdy.
It seemed very odd.	Bu örän geň göründi.
It's nice and warm.	Gowy we yssy.
It's totally wrong.	Bu bütinleýin ýalňyş
Let's speak French.	Geliň fransuzça güleşeliň
Move along, please.	Dowam ediñ,haýyş.
Move out of my way.	Çekil ýolumdan.
Move out of my way.	Ýolumdan çekiliň.
My phone's ringing.	Meniň telefonym jyrlaýar.
Oh, that's a shame.	Ah, nähili utanç.
People die in wars.	Adamlar söweşlerde öldüler.
See you in an hour.	Bir sagatdan görüşýänçäk
She is a poor cook.	Ol gyz erbet nahar bişiriji.
Thanks for waiting.	Garaşanyň üçin sag bol.
Thanks for waiting.	Garaşanyňyz üçin sag boluň.
This corn is fresh.	Bu däne täze.
This is a big help.	Bu örän uly kömek.
Tom barely escaped.	Tom zordan gaçdy.
Tom died of thirst.	Tom suwsuzlukdan ýogaldy
Tom has a mustache.	Tomuň murty bar.
Tom is happy again.	Tom ýene-de şadyýan.
Tom needs to relax.	Toma dynç almak zerurdyr.
Tom was born there.	Tom ol ýerde doguldy.
Tom was unbeatable.	Tom ýeñilmezdi.
Tom will not do it.	Tom ony etjek däl
We made sure of it.	Biz munuň anygyna ýetdik.
We made sure of it.	Biz muny kesgitledik.
We're running late.	Biz gijä galýarys.
What's been stolen?	Näme ogurlanan eken?
What's been stolen?	Näme ogurlanypdyr?
What's the message?	Maglumat näme?
What's your theory?	Seniň teoriýaň näme?
What's your theory?	Siziň teoriýäňyz näme?
Where are you from?	Sen nireden?
Where's the shovel?	Hany pil?
Whose friend is he?	Ol oglan kimiň dosty?
Why is grass green?	Ot näme üçin ýaşyl?
Why is grass green?	Ot näme üçin ýaşyl bolýar?
Why is grass green?	Ot näme üçin ýaşyl reñkde?
You aren't kidding!	Sen oýun edeňok dälmi!
You aren't looking.	Sen seredip oturañok.
You drink too much.	Köp içýärsiň.
You may use my pen.	Meniň ruçkamy ulanyp bilersiň.
You may use my pen.	Meniň ruçkamy ulanyp bilersiňiz.
You seem confident.	Sen özüňe ynamly görünýärsiň.
You seem confident.	Siz özüňize ynamly görünýärsiňiz.
You're quite right.	Örän dogry.
All of us should go.	Biziñ hemmämiz gitmeli
Allow me to explain.	Maňa düşündirmäne rugsat ber.
Are you resourceful?	Sen ugurtapyjymy?
Be true to yourself.	Özüñ bilen dogruçyl bol.
Do you have a match?	Seniň otluçöpüň barmy?
Do you have a match?	Otluçöpüň barmy?
Do you have a match?	Otluçöpüňiz barmy?
Do you like ravioli?	Börek halaýarmysyň?
Do you like ravioli?	Börek halaýarmysyňyz?
Don't cry in public.	Milletiñ arasynda aglama
Don't lock the door.	Gapyny gulplama
Everyone was killed.	Hemme kişi öldürilipdi.
Get your clothes on.	Egin-başyňy geý.
Give me another one.	Maña başgasyny ber(iñ).
He bragged about it.	Bu barada öwündi.
He bragged about it.	Bu barada magtandy.
He has many talents.	Onuň (oglanyň) köp ukyby bar.
He has many talents.	Onuň (oglanyň) köp zehini bar.
He hung up his coat.	Ol onuň paltosyny asdy.
He is a mean fellow.	Ol ýaman bir adam.
Here's a short list.	Ine, gysga list.
How is that spelled?	Bu nädip ýazylýar.
I could have helped.	Kömek edip bilerdim.
I denied everything.	Men hemme aýdylany ret etdim.
I eat a lot of rice.	Men gaty kän tüwi iýýärin
I have a dictionary.	Meniň sözlügim bar.
I heard you whisper.	Men seniñ pyşyrdanyñy eşitdim
I like none of them.	Olaryñ hiç haýsyny halamaýaryn.
I may not have time.	Meniň wagtym bolman biler.
I need you here now.	Siz maňa şu wagt şu ýerde gerek.
I never wear a suit.	Men hiç haçan kostýum jalbar geýemok.
I saw Tom's picture.	Tomuň suratyny gördüm.
I saw what happened.	Näme bolandygyny gördüm.
I saw what was left.	Näme galandygyny gördüm.
I still feel strong.	Men henizem özümi güýçli duýýan.
I want to drink tea.	Men çaý içmek isleýän.
I will be back soon.	Ýakynda ýene-de gelerin.
I'd prefer red wine.	Men gyzyl wino aljak.
I'm getting thirsty.	Suwsadym.
I'm going to buy it.	Men muny satyn aljak bolýan
It has a hole in it.	Munuň deşigi bar.
It isn't hard to do.	Muny etmek kyn däl.
It might take years.	Ýyllary alyp biler.
It was a tough exam.	Synag örän kyndy.
It's 2:30 right now.	Edil häzir 2:30.
It's not that scary.	Bu oñ ýaly gorkuç däl.
Look at what we did.	Seret biz näme etdik
Look at what we did.	Seret biziñ eden zadymyza
Look at what we did.	Näme edenmize seret
Monkeys climb trees.	Maymynlar agachlara dyrmyshyarlar.
My whole body hurts.	Meniñ bütin bedenim agyrýar.
Nobody can beat Tom.	Hiç kim Tomy ýeñip bilmeýär.
People say I mumble.	Adamlar maňa samraýarsyň diýýärler.
Pitching isn't easy.	Kriket aňsat däl.
She studies English.	Iňlis dilini öwrenýär.
She studies English.	Iňlis dilini okaýar.
Tell it to the cops.	Muny polisiýa aýt.
That's good for you.	Ol seniñ üçin gowy.
That's good for you.	Berekella saña
That's really great!	Bu hakykatdanam örän gowy.
That's why Tom came.	Şol sebäpli Tom geldi.
The eagle flew away.	Bürgüt uçyp gitti.
The walls were bare.	Diwarlar ýalañaçdy.
They can't touch me.	Olar maňa degip bilmeýärler.
They drink too much.	Olar köp içýärler.
They're still alive.	Olar henizem diri.
This coffee is good.	Bu gowy kofe.
This coffee is good.	Bu kofe gowy
This is a tough one.	Bu-hä gaty kyndyr.
Tin is a soft metal.	Tin ýumuşak metal
Tom complimented me.	Tom maňa hoşamaý söz aýtdy.
Tom has proven that.	Tom ony subut etdi.
Tom is really funny.	Tom hakykatdan hem şadyýan.
Tom isn't in charge.	Tomuň mümkinçiligi ýok.
Tom lived with Mary.	Tom Mery bilen ýaşaýardy.
Tom praised his son.	Tom ogluny öwdi.
Tom waited his turn.	Tom öz gezegi ýetýänçä garaşdy.
Tom was doing drugs.	Tom narkotik ýasaýardy.
Tom was getting hot.	Tom yssylap başlady.
Tom's voice is soft.	Tomuň sesi ýumuşak.
Translate this text.	Şu teksti terjime ediň.
We need to work now.	Biziň häzir işlemegimiz gerek.
We need to work now.	Biz häzir işlemeli.
We won't need money.	Bize pul gerek bolmaz.
Were you born there?	Ol ýerdemi doguldyñ?
When can we see you?	Seni haçan görüp bileris?
Who let you in here?	Seni kim içeri aldy?
Yes, this is a wine.	Howwa, bu wino.
Yes, this is a wine.	Hawa, bu şerap.
You ran a red light.	Gyzyl reňkde geçdiň.
You're really brave.	Sen örän batyr / mertsiň.
All my stuff is here.	Hemme zatlarym şu ýerde.
Aren't you alone now?	Sen häzir ýeke dälmi?
Be quiet, all of you.	Hemmäñiz sessiz boluñ.
Be quiet, all of you.	Hemmäňiz ýumaş boluň!
Can we come tomorrow?	Biz eritir gelip bilerismi?
Could you spell that?	Sen ony aýdyp bilýäñmi?
Could you spell that?	Sen ony boguna bölüp aýdyp bilýäñmi?
Do you have the book?	Kitap sende barmy?
Do you live near Tom?	Sen Tomuň golaýynda ýaşaýarsyňmy?
Do you play baseball?	Sen baseball oýnaýañmy?
Don't eat without me.	Mensiz iýme.
Empty your briefcase.	Portfeliň boş.
Grapes grow on vines.	Uzum serap etmek ucin osdurilyar.
Have a good vacation.	Gowy dynç alyñ.
Have you fed the cat?	Sen pişigi naharladyñmy?
He lives in the city.	Ol şäherde ýaşaýar.
He married for money.	Ol pul üçin öýlendi.
He wants red glasses.	Ol gyzyl reňkli äýnek isleýär.
How is that relevant?	Şonuň nädip şuňa baglanyşygy bar?
I can't come tonight.	Bu gije gelip bilmerin.
I cooked this myself.	Men muny özüm bişirdim.
I cooked this myself.	Men muny özüm taýýarladym.
I could barely sleep.	Zordan uklap bildim.
I forgot my suitcase.	Men çemedanymy ýatdan çykarypdyryn.
I have a stomachache.	Meniň garnym agyrýar.
I have a stomachache.	Meniň içagyrym bar.
I have so much to do.	Meniñ etmage isim kan
I heard a loud noise.	Men gaty sesi esitdim
I heard a loud noise.	Men gaty gohy esitdim
I hope you'll return.	Yzyňa dolanyp gelersiň diýip umyt edýärin.
I just don't like it.	Men muny halamaýaryn.
I know what you said.	Men seniň näme diýeniňi bilýän.
I need a bigger room.	Maña ulurak otag gerek
I owe Tom an apology.	Men Tomdan öťünç soraýan
I saw Tom last night.	Düýn gije Tomy gördüm.
I saw Tom shoot Mary.	Tomuň Maryýi atandygyny gördüm.
I saw Tom's pictures.	Tomuň suratlaryny gördüm.
I saw you look at it.	Oňa seredendigiňi gördüm.
I was feeling guilty.	Men özümi günäkär gördüm.
I was plenty nervous.	Men gaty gaharlydym
I'm glad I'm not Tom.	Tom däldigime men begenýärin.
I'm here on business.	Bu ýerde iş üçin baryn
I'm in Australia now.	Men häzir Awstraliýada.
I'm tired of singing.	Men aýdym aýdyp ýadadym
I've got to stop Tom.	Men Tomy duruzmaly.
Is Tom available now?	Şu wagt boşmyka?
It was kind of funny.	Bu birhiljek gülkünçdi.
It was my first kiss.	Bu meniň ilkinji öpüşigimdi.
It's almost too late.	Diýen ýaly eýýäm giç bolupdyr
It's really gorgeous.	Bu örän owadan.
It's the third today.	Bu gün üçi.
It's time for action.	Hereket wagty.
It's too big for you.	Bu örän uly seniñ üçin.
It's too late anyway.	Şonda-da eýýäm has giç boldy.
Look at what we made.	Biziñ eden zadymyza seret
Look at what we made.	Seret biz näme etdik
Mary is Tom's mother.	Meri Tomuň ejesi.
My sons are soldiers.	Meniň ogullarym esger.
Please make your bed.	Haýyş ýatagyňy oňaryp goý.
Show us some results.	Bize netijeleri görkez.
Stop embarrassing me.	Meni utandyrmagy goý.
Straighten your legs.	Aýaklaryňyzy gönüläň.
Straighten your legs.	Aýaklaryňy gönüle.
Tell Tom I feel fine.	Toma özimi gowy duýýandygymy aýt.
Tell me you'll do it.	Maña ony edip biljekdigiñi aýt
Tell me your address.	Maña adresini aýt.
Tell the story again.	Hekaýany täzeden aýt.
Tell them who we are.	Kimdigimizi aýt olara.
Tell us what that is.	Bize munuñ nämedigini aýt.
The burglar got away.	Ogry gaçyp gutuldy.
The burglar got away.	Ogry gaçdy.
The dog looks hungry.	Güjük aç ýaly görünýär.
They are good people.	Olar oňat adamlar.
Tom beat me at chess.	Tom meni küştde ýeñdi.
Tom beat me at darts.	Tom meni dart zyñyşmakda ýeñdi.
Tom became a teacher.	Tom mugalym boldy.
Tom can take a break.	Tom arakesmä çykyp biler.
Tom changed his diet.	Tom diýetasyny üýtgetdi.
Tom gave me an apple.	Tom maňa bir alma berdi.
Tom is a born leader.	Tom dogulandan bäri başlyk.
Tom is a fast worker.	Tom çalasyn işgär.
Tom is a good reader.	Tom gowy okyjy
Tom is a good runner.	Tom gowy ylgawçy.
Tom is six feet tall.	Tom alty metr uzyn
Tom may be awake now.	Tom bekli-de şu wagt oýa.
Tom should help Mary.	Tom Merä kömek etmeli.
Tom wanted a divorce.	Tom aýrylyşmak isledi.
Tom's hands are tied.	Tomuň elleri baglaklydyr
We actually did that.	Biz aslynda muny etdik.
We watch TV together.	Biz bugün telewizor gördük.
We'll make you happy.	Biz seni bagtly ederis
We'll make you happy.	Biz sizi bagtly ederis
Where is the giraffe?	Źiraf nirede?
Where was Tom hiding?	Tom nirede bukulýardy?
Where was Tom hiding?	Tom nirede gizlenipdir?
Whose friend are you?	Kimiň dosty sen?
Whose friend are you?	Kimiň dostysyňyz?
Why do you work here?	Sen näme üçin bu ýerde işleýärsiň?
Why do you work here?	Siz näme üçin bu ýerde işleýärsiňiz?
Why would I kiss Tom?	Näme üçin men Tomy öpmeli?
You look much better.	Örän gowy görünýärsiñ.
All three of us agree.	Biziň üçimizem ylalaşýarys.
Boston is my home now.	Boston indi meniñ öýüm.
Come in here a minute.	Bir minutlyk şu ýere geläýiň
Did you get a massage?	Siz massaž etdirdiňizmi?
Did you get a massage?	Sen massaž etdirdiňmi?
I can do it in a week.	Men muny bir hepdede edibilerin.
I did nothing all day.	Men hiç zat etmedim.
I didn't kill my wife.	Men öz aýalymy öldürmedim.
I don't like politics.	Men syýasaty halamok.
I forced Tom to do it.	Men Toma muny zor bilen etdirdim
I get angry sometimes.	Meniň käwagtlar gaharym gelýär.
I have met her before.	Eýýäm onuñ bilen tanyşdym.
I have no place to go.	Meň gitmäne ýerim yok.
I have the dictionary.	Mende sözlük bar.
I have to go to sleep.	Men uklamaly.
I hope it'll be quiet.	Bu ýuwaş bolar diýip umyt edýärin.
I just bought a house.	Men öý aldym.
I owe you ten dollars.	Meniň saňa on dollar borjum bar.
I owe you ten dollars.	Meniň size on dollar bergidar.
I see a red car ahead.	Men öñde gyzyl maşyn gördüm.
I thought I'd be fine.	Men ýagşy bolaryn diýip pikir etdim.
I thought I'd be fine.	Men gowy bolaryn diýip pikir etdim.
I want to talk to him.	Meniň onuň bilen gürleşesim gelýär.
I want to visit Korea.	Men Koreýany görmek isleýärin.
I was taking pictures.	Men surata düşürip durdum.
I washed my own shirt.	Men öz futbolkamy ýuwdum.
I wish to be a doctor.	Lukman bolmak isleýärin.
I wish to be a doctor.	Doktor bolmak isleýärin.
I won't let you do it.	Men saña ony etdirmerin.
I won't stop doing it!	Etmegi taşlamajakdyryn!
I'll permit you to go.	Men saňa gitnäge rugsat berýärin.
I'm sorry you're sick.	Ýarawsyzdygyña gaty gynanýan.
I'm too tired tonight.	Men gaty ýadaw bu gije
I'm your new neighbor.	Men seniň täze goňşyň
