I try.	Padasek.
I like dogs.	Kayatko ti aso.
I like fish.	Kayatko ti lames.
I love cats.	Kaykayatak ti pusa.
I was wrong.	Nagbiddutak.
I'm kidding.	Agang-angawak laeng.
I'm so full.	Nabnabsogak la unay.
I'm talking.	Agsasaoak.
I'm thirsty.	Mawawak.
I'm winning.	Mangab-abakak.
Is Tom tall?	Natayag kadi ni Tom?
Is it yours?	Kukuam kadi?
It's Monday.	Lunes ita.
It's a fish.	Lames daytoy.
It's a fish.	Ikan daytoy.
Let's relax.	Agrelakstayo.
Let's start.	Rugiantan.
Let's start.	Rugiantayon.
Nobody came.	Awan ti simmangbay.
Release Tom.	Wayawayaam ni Tom.
Release Tom.	Bulosam ni Tom.
They got it.	Naalada.
Tom frowned.	Nagmurareg ni Tom.
Tom sweated.	Nagling-et ni Tom.
Tom teaches.	Agisursuro ni Tom.
Tom tripped.	Naipatikleb ni Tom.
Tom tripped.	Naipatublak ni Tom.
What's this?	Ania daytoy?
Who are you?	Asinoka?
A bug bit me.	Adda insekto a nangkagat kaniak.
Are you sure?	Siguradoka?
Do you smoke?	Agsigsigarilioka?
Find the cat.	Birokem ti pusa.
I don't know.	Diak ammo.
I drink milk.	Umin-inumak iti gatas.
I feel faint.	Maulawak.
I feel faint.	Kaslaak matalimudaw.
I feel giddy.	Maul-ulawak.
I want to go.	Kayatko ti mapan.
I'm a coward.	Maysaak a takrot.
I'm off beer.	Diak kayaten ti uminum iti serbesa.
Identify Tom.	Lasinem ni Tom.
Is that true?	Agpayso kadi dayta?
Let's go eat.	Intayo pay mangan.
Let's go out.	Rummuarta.
Let's go out.	Rummuartayo.
Please hurry.	Darasem.
She is quiet.	Naulimek isuna.
Stop smoking.	Agsardeng nga agsigarilio.
Sweet dreams!	Nasam-it a tagtagainep!
Tom can't go.	Saan a makapan ni Tom.
Tom hates me.	Kaguranak ni Tom.
Tom is early.	Nasapa ni Tom.
Tom survived.	Nakalasat ni Tom.
Tom survived.	Naispal ni Tom.
Tom vanished.	Nagpukaw ni Tom.
Try it again.	Padasem manen.
We need help.	Masapultayo ti saranay.
We need rain.	Masapulmi ti tudo.
We need rain.	Kasapulantayo ti tudo.
We need this.	Masapultayo daytoy.
Who survived?	Asino ti nakalasat?
Who vanished?	Asino ti nagpukaw?
You go first.	Umunaka a mapan.
You're right.	Hustoka.
Are you crazy?	Agbagtitka kadi?
Are you happy?	Naragsakka kadi?
Are you tired?	Nabannogka?
Come back, OK?	Agsublika, okey?
Do cats dream?	Agtagtagainep kadi dagiti pusa?
Do fish sleep?	Maturog kadi ti lames?
Does Tom know?	Ammo kadi ni Tom?
Dogs can swim.	Makalangoy dagiti aso.
Help yourself.	Tulungam ta bagim.
I am in Paris.	Addaak iti Paris.
I believe you.	Mamatiak kenka.
I cried today.	Nagsangitak ita nga aldaw.
I enjoy music.	Kaykayatko ti musika.
I feel better.	Medio mayat ti riknakon.
I feel better.	Nasayaaten ti riknak.
I read a book.	Nagbasaak iti libro.
I read a book.	Agbasbasaak iti libro.
Is that a cat?	Pusa kadi dayta?
It is raining.	Agtudtudo.
That's a tree.	Kayo dayta.
That's my cat.	Dayta ti pusak.
They found us.	Nasarakandakami.
Tom heard you.	Nangngegnaka ni Tom.
Tom is trying.	Ipadpadas ni Tom.
Tom succeeded.	Nagballigi ni Tom.
Tom will walk.	Magna ni Tom.
Tom will work.	Agtrabaho ni Tom.
Tom won't win.	Saan a mangabak ni Tom.
Tom's missing.	Mapukpukaw ni Tom.
We have a dog.	Adda asomi.
We need a car.	Masapultayo ti kotse.
We need a map.	Masapultayo ti mapa.
We need to go.	Masapul nga intayon.
We took a cab.	Nagtaksikami.
We're cowards.	Takrottayo.
We're starved.	Mabisbisinkamin.
We're teasing.	Agang-angawkami.
What is a UFO?	Ania kadi ti UFO?
When do we go?	Kaano a mapantayo?
Where are you?	Ayanmo?
Who asked you?	Asino ti nagsaludsod kenka?
Who asked you?	Asino ti nagdamag kenka?
Who came here?	Asino ti immay ditoy?
Who's talking?	Asino ti agsasao?
Who's thirsty?	Asino ti mawaw?
You look pale.	Aglulusiaw ti langam.
You're trying.	Padpadasem.
You're trying.	Ipadpadasmo.
Are you hungry?	Mabisinka?
Can I help you?	Ania ti maitulongko kenka?
Can this be it?	Isu ngatan daytoy?
Cats are smart.	Nasirib dagiti pusa.
Cows eat grass.	Mangmangan iti ruot ti baka.
Do you love me?	Ay-ayatennak kadi?
Don't you care?	Awan kadi bibiangmo?
Happy New Year!	Naragsak a Baro a Tawen!
He's in prison.	Adda isuna iti pagbaludan.
How do we help?	Kasano a makatulongkami?
How much is it?	Sagmamano?
I drink coffee.	Agkapkapeak.
I drink coffee.	Umin-inumak iti kape.
I enjoy movies.	Kaykayatko ti agbuya iti sine.
I feel ashamed.	Mariknak ti bainko.
I feel ashamed.	Mabainak.
I feel ashamed.	Kasla mabainak.
I feel honored.	Mapadayawanak.
I love to cook.	Kaykayatko ti aglutluto.
I pay Tom well.	Binayadak a nasayaat ni Tom.
I was coughing.	Aguy-uyekak.
I went fishing.	Napanak nagkalap.
I'm going, too.	Mapannak met.
I'm the killer.	Siak ti mammapatay.
I've done this.	Inaramidko daytoy.
It's Christmas.	Paskuan.
It's hot today.	Nagbara ita nga aldaw.
Leave me alone!	Panawannak nga agmaymaysaak!
My name is Tom.	Tom ti naganko.
She is running.	Agtartaray isuna.
The cat meowed.	Nagmiaw ti pusa.
They got tired.	Nabannogda.
They quarreled.	Nagapada.
They quarreled.	Nagrikiarda.
This is a book.	Libro daytoy.
Tom has failed.	Napaay ni Tom.
Tom hates cats.	Kagura ni Tom ti pusa.
Tom volunteers.	Nagboluntario ni Tom.
We know enough.	Ammomi unayen.
We met earlier.	Nagkitata idin.
We took a vote.	Nagbobotoskami.
What is it for?	Ania ti pakaaramatanna?
What is it for?	Para iti ania daytoy?
Where is Paris?	Sadino ti ayan ti Paris?
Who built this?	Asino ti nangaramid iti daytoy?
Who built this?	Asino ti nangbangon iti daytoy?
Who called you?	Asino ti nangawag kenka?
Who's watching?	Asino ti agbuybuya?
You have to go.	Kasapulan a pumanawkan.
You're winning.	Mangab-abakka.
Are you married?	Adda asawamon?
Bees make honey.	Dagiti uyokan ti agparparnuay iti diro.
Can you help me?	Mabalin a tulongannak?
Cats catch mice.	Agtiliw dagiti pusa iti bao.
Congratulations!	Kablaaw!
Did you miss me?	Nailiwka kaniak?
Do you eat meat?	Mangmanganka iti karne?
Do you remember?	Malagipmo?
Don't be afraid.	Dika agbuteng.
He nodded to me.	Tinung-edannak.
How did Tom die?	Kasano a natay ni Tom?
How old are you?	Mano ti tawenmon?
How tall is Tom?	Kasano katayag ni Tom?
I am very tired.	Nabannogak unay.
I don't need it.	Saanko a masapul dayta.
I feel betrayed.	Panagriknak ket naallilawak.
I feel betrayed.	Panagriknak ket naliputanak.
I have two cats.	Adda dua a pusak.
I like baseball.	Kayatko ti baseball.
I live in Japan.	Agnanaedak sadiay Japon.
I paid for them.	Imbayadak ida.
I'm a TV addict.	Naadikak iti TV.
Let me sit down.	Pagtuwagennak.
Merry Christmas!	Naragsak a Paskua!
Never forget it.	Dimo pulos liplipatan.
Please be quiet.	Pangngaasim ta agulimekka.
She adores cats.	Kaykayatanna unay ti pusa.
The cat escaped.	Nakalibas ti pusa.
These are birds.	Bilbillit dagitoy.
They won't know.	Didanto maammuan.
This is a horse.	Kabalio daytoy.
Today is Monday.	Lunes ita nga aldaw.
Tom drinks wine.	Umin-inum iti arak ni Tom.
Tom has a fever.	Adda gurigor ni Tom.
Tom has it made.	Naaramid daytoy ni Tom.
Tom has my vote.	Kukua ni Tom ti botosko.
Tom is a coward.	Maysa a takrot ni Tom.
Tom surrendered.	Simmuko ni Tom.
Tom sympathized.	Nakipagrikna ni Tom.
Tom understands.	Maawatan ni Tom.
Tom was working.	Nagtrabaho ni Tom.
Tom wasn't bald.	Saan a kalbo ni Tom.
We speak French.	Makasao kami iti Pranses.
What time is it?	Ania ti orasen?
Where's my bike?	Ayanna ti bisekletak?
Who bought that?	Asino ti nanggatang iti dayta?
Who called them?	Asino ti nangayab kadakuada?
Who called them?	Asino ti nangawag kadakuada?
Who surrendered?	Asino ti simmuko?
Who volunteered?	Asino ti nagboluntario?
Who'll be there?	Asinonto ti adda idiay?
You're a coward!	Maysaka a takrot.
You're a coward!	Takrotka!
You're a coward.	Maysaka a takrot.
You're a coward.	Takrotka!
A cab is waiting.	Adda agur-uray a taksi.
Are you in Paris?	Addaka iti Paris?
Aren't you tired?	Saanka kadi a nabannog?
Do you live here?	Agnanaedka ditoy?
Do you want kids?	Kayatmo kadi ti ubbing?
He hates spiders.	Kagurana ti lawwalawwa.
He loves fishing.	Kaykayatna ti agkalap.
How embarrassing!	Nakababain!
I agree with you.	Umanamongak kenka.
I feel empowered.	Napabilganak.
I know your name.	Ammok ti naganmo.
I own this place.	Kukuak daytoy a lugar.
I own this store.	Kukuak daytoy a pagtagilakuan.
I regret nothing.	Awan ti pagbabawyak.
I was very lucky.	Nagasatak la unay.
I wrote the book.	Sinuratko ti libro.
I'm 18 years old.	Disiotsokon.
I'm Tom's friend.	Gayyemnak ni Tom.
I'm not a doctor.	Saanak a doktor.
I'm not the boss.	Saan a siak ti boss.
I'm very popular.	Nakalatlatakak.
I'm volunteering.	Agboluntarioak.
Is this your car?	Daytoy kadi ti kotsem?
My toes are numb.	Agpipikel dagiti tangan ti sakak.
Nothing happened.	Awan ti napasamak.
Please sign here.	Agpirma ditoy.
Spiders scare me.	Mabutengak iti lawwalawwa.
The cat ran away.	Timmaray nga immadayo ti pusa.
The towel is wet.	Nabasa ti tualia.
They know I know.	Ammoda nga ammok.
They live nearby.	Agnanaedda iti asideg.
This is my child.	Daytoy ti anakko.
This is my rifle.	Daytoy ti riplek.
This isn't sugar.	Saan nga asukar daytoy.
Tom is my friend.	Gayyemko ni Tom.
Tom is my mentor.	Ni Tom ti mangisursuro kaniak.
Tom is no coward.	Saan a takrot ni Tom.
Tom relies on me.	Agtalek ni Tom kaniak.
Tom talked to me.	Nakisarita ni Tom kaniak.
Tom wasn't angry.	Saan a makaunget ni Tom.
Tom wasn't armed.	Saan nga armado ni Tom.
Tom wasn't clear.	Saan a nalawag ni Tom.
We need evidence.	Masapulmi ti pammaneknek.
We need to hurry.	Masapul a kartingantayo.
We need to hurry.	Masapul a darsentayo.
We need to leave.	Masapul a pumanawtayo.
We'll be careful.	Agan-annadkaminton.
We're undressing.	Aguk-uksobkami.
We're undressing.	Aglablabuskami.
We're undressing.	Ik-ikkatenmi dagiti badomi.
What a big truck!	Anian a nagdakkel a bagon!
What did you say?	Ania ti kinunam?
What do you have?	Ania ti adda kenka?
What do you mean?	Ania ti kayatmo a sawen?
What do you want?	Ania ti kayatmo?
What's your name?	Ania ti naganmo?
Where did Tom go?	Napanan ni Tom?
Who brought them?	Asino ti nangitugot kadakuada?
Who brought them?	Asino ti nangala kadakuada?
Who brought this?	Asino ti nangitugot iti daytoy?
Who can remember?	Asino ti makalagip?
Who could forget?	Asino ti makalipat?
You may be right.	Mabalin nga umnoka.
You should sleep.	Masapul a maturogka.
A heavy rain fell.	Nagbayakabak.
All men are equal.	Agpapada amin a tao.
Are you a student?	Estudianteka kadi?
Birds build nests.	Agaramid iti umok dagiti billit.
Come here at once.	Umayka a dagus ditoy.
Did you mean this?	Kayatmo a sawen isu daytoy?
Do you have money?	Adda kuartam?
Do you need money?	Masapulmo ti kuarta?
Do you want a job?	Kayatmo kadi ti trabaho?
Do you want to go?	Kayatmo ti mapan?
Does Tom know yet?	Ammo kadin ni Tom?
Don't you like me?	Dinak kadi kayat?
He owns this land.	Kukuana daytoy a daga.
He's a big coward.	Nameklan a takrot isuna.
He's now studying.	Agbasbasa itan isuna.
How can I compete?	Kasano a makisalipak?
I bought the book.	Ginatangko ti libro.
I can't blame you.	Saanka a mapabasol.
I couldn't fix it.	Saanko a matarimaan.
I have a headache.	Agsakit ti ulok.
I have no regrets.	Awan babawik.
I miss my friends.	Kailiwko dagiti gagayyemko.
I paid in advance.	Insakbayko ti nagbayad.
I'll pay the bill.	Bayadak ti nagastos.
I've done nothing.	Awan ti inaramidko.
It's not my fault.	Saanko a basol.
Please forgive me.	Pangngaasim ta pakawanennak.
Tell Tom to hurry.	Ibagam ken ni Tom a kartinganna.
That won't happen.	Saan a mapasamak dayta.
They drank coffee.	Imminumda ti kape.
They got addicted.	Naadikda.
They ran after us.	Kinamatdakami.
They went fishing.	Napanda nagkalap.
They were cowards.	Takrotda.
Tom is frustrated.	Naupay ni Tom.
Tom is so selfish.	Managimbubukod ni Tom.
Tom played tennis.	Nagay-ayam ni Tom iti tennis.
Tom respects Mary.	Resrespetuen ni Tom ni Mary.
Tom wasn't afraid.	Saan a mabuteng ni Tom.
We need a victory.	Masapultayo ti panagballigi.
We need more time.	Masapulayo ti ad-adu pay a panawen.
We're not cowards.	Saankami a takrot.
What is your name?	Ania ti naganmo?
Where do you live?	Pagnanaedam?
Where do you work?	Pagob-obraam?
Where's the bread?	Ayanna ti tinapay?
Where's your wife?	Ayanna ni baketmo?
Whose fault is it?	Asino ti akimbasol iti daytoy?
Whose pen is this?	Akinbolpen iti daytoy?
Whose pen is this?	Akinlapis iti daytoy?
You are beautiful.	Napintaska.
You bet I'm angry.	Napugtuam a makaungetak.
You run very fast.	Nakapaspaspaska nga agtaray.
You weren't ready.	Saanka a nakasagana.
You're disgusting!	Nakaar-ariekka!
You're the doctor.	Sika ti doktor.
A cat is not human.	Saan a tao ti pusa.
A cat scratched me.	Kinaramutannak ti pusa.
A child is missing.	Adda mapukpukaw nga ubing.
A guard is outside.	Adda guardia iti ruar.
Do you believe him?	Mamatika kadi kenkuana?
Do you like apples?	Kayatmo ti mansanas?
Do you remember me?	Malagipnak kadi?
Do you want coffee?	Kayatmo ti kape?
Don't overthink it.	Saanmo a pagpanunotan la unay.
Get me some coffee.	Yalaannak man iti kape.
Go home and change.	Agawidkan ta agpelleska.
He is about thirty.	Agtallopulona.
He is having lunch.	Mangal-aldaw isuna.
How do we find Tom?	Kasano a mabirokanmi ni Tom?
I admire Tom a lot.	Pagraemak la unay ni Tom.
I bought a Picasso.	Gimmatangak iti PIcasso.
I can't blame them.	Diak mapabasol ida.
I don't have a cat.	Awan ti pusak.
I don't understand.	Diak maawatan.
I have a job to do.	Adda obrak nga iwayatko.
I know your father.	Am-ammok ti tatangmo.
I pay Tom's salary.	Baybayadak ti sueldo ni Tom.
I wanted to scream.	Kayatko ti agikkis.
I'm bored to death.	Masikoranak la un-unay.
I'm not a magician.	Saanak a mahikero.
Is Tom a good cook?	Nalaing kadi nga agluto ni Tom?
Is this book Tom's?	Libro kadi ni Tom daytoy?
Is your room clean?	Nadalus kadi ti siledmo?
It belonged to Tom.	Kukua ni Tom.
It didn't end well.	Saan a nasayaat ti pannakalpasna.
It was pretty dark.	Nakasipsipnget.
It was really dark.	Agpayso a nasipnget.
It's fun to travel.	Naragsak ti agbiahe.
It's not Christmas.	Saan a Paskua.
Out of my way, boy.	Aglisika man, balong.
Pick me up at 2:30.	Sukunennak inton 2:30.
Please have a seat.	Agtugawka.
She bought chicken.	Gimmatang isuna iti manok.
She looked ghostly.	Kasla al-alia ti langana.
Stop wasting money.	Isardeng ti panagsayang iti kuarta.
The law is the law.	Ti linteg ket isu ti linteg.
The others laughed.	Nagkatawa dagiti dadduma.
They are wrestlers.	Gumagabboda.
Tom can't trick me.	Saannak a maallilaw ni Tom.
Tom can't use that.	Saan a maaramat ni Tom dayta.
Tom can't use this.	Saan a maaramat ni Tom daytoy.
Tom closed one eye.	Inkidem ni Tom ti maysa a matana.
Tom could be a spy.	Mabalin a maysa nga espia ni Tom.
Tom didn't find it.	Saan a nabirokan ni Tom.
Tom didn't fool me.	Saannak a linoko ni Tom.
Tom got here early.	Nasapa a simmangpet ditoy ni Tom.
Tom has to do this.	Nasken nga aramiden ni Tom daytoy.
Tom is a terrorist.	Maysa a terorista ni Tom.
Tom is catching on.	Kumamkamakam ni Tom.
Tom is early again.	Nasapa manen ni Tom.
Tom is often wrong.	Masansan a biddut ni Tom.
Tom is trying hard.	Ikarkarigatan ni Tom.
Tom isn't busy now.	Saan a makumikom ni Tom ita.
Tom isn't finished.	Saan pay a nalpas ni Tom.
Tom should go home.	Nasken nga agawid ni Tom.
Tom will love this.	Magustuan ni Tom daytoy.
Tom will need that.	Masapul ni Tom dayta.
Tom will need this.	Masapul ni Tom daytoy.
We know what to do.	Ammomi no ania ti aramidenmi.
We must be careful.	Masapul nga agan-annadtayo.
We're volunteering.	Agboluntariokami.
We've barely begun.	Karugrugimi.
We've been looking.	Agbirbirokkami.
We've been looking.	Agsapsapulkami.
We've been looking.	Agkitkitakami.
Well, now you know.	Ket, ammom itan.
What are you doing?	Ania ti ar-aramidem?
What just happened?	Ania kadi ti napasamak itay laeng?
Where are you from?	Sadino ti naggapuam?
Who's volunteering?	Asino ti agboluntario?
Why are you crying?	Apay nga agsangsangitka?
You know it's true.	Ammo nga isu ti pudno.
You won't be ready.	Saanka nga makasagana.
You're all cowards.	Takrotkayo amin.
Are there any risks?	Adda kadi pagpeggadan?
Are you on Facebook?	Addaka iti Facebook?
Didn't you tell Tom?	Saanmo kadi nga imbaga ken ni Tom?
Do you drink coffee?	Agkapkapeka?
Don't you like this?	Dimo kadi kayat daytoy?
He will be punished.	Madusa isuna.
I bought a VIP pass.	Gimmatangak iti pang-VIP a pases.
I can't fall asleep.	Saanak a makaturog.
I do not understand.	Diak maawatan.
I had a weird dream.	Nakatagtagainepak iti saan a nakapapati.
I have a dictionary.	Adda diksionariok.
I have a girlfriend.	Adda nobiak.
I have to leave now.	Masapul a pumanawakon.
I heard you singing.	Nangngeganka nga agkankanta.
I make €100 a day.	Makateggedak iti €100 iti inaldaw.
I need a dictionary.	Masapulko ti maysa a diksionario.
I own this property.	Sanikuak daytoy.
I was forced to lie.	Napilitanak a nagulbod.
I wasn't even there.	Ket no awanakto pay idiay.
I will be back soon.	Agsubliak met la a dagus.
I will be back soon.	Agsubliak a dagus.
I will be back soon.	Agsubliak met laeng.
I'm blind, not deaf.	Bulsekak, saan a tuleng.
I'm the new teacher.	Siak ti kabarbaro a mannursuro.
I'm very sleepy now.	Makaturturogak la unayen.
Is Santa Claus real?	Pudpudno kadi ni Santa Claus?
Is that a yes or no?	Wen kadi dayta wenno saan?
Should we wait here?	Aguraytayo kadi ditoy?
Sing me a love song.	Kantaannak iti maysa a samiweng ni ayat.
The ground was cold.	Diay daga ket nalamiis.
They aren't farmers.	Saanda nga mannalon.
They're like family.	Kaslada pamilia.
They're never happy.	Saanda nga agragsak.
They're nice people.	Nasayaatda a tattao.
They're normal kids.	Gagangayda nga ubbing.
They're not doctors.	Saanda a mangngagas.
They're not farmers.	Saanda a mannalon.
They're still young.	Ubbingda pay laeng.
This beer is bitter.	Napait daytoy a serbesa.
This is a nightmare.	Maysa daytoy a batibat.
This is much better.	Amang a nasaysayaat daytoy.
This is my computer.	Daytoy ti computer-ko.
Tom heard the noise.	Nangngeg ni Tom ti tagari.
Tom wasn't bluffing.	Saan a mangigkigtot ni Tom.
We have a job to do.	Adda obra a trabahuenta.
We must do it again.	Masapul nga aramidentayo manen.
We need to help Tom.	Masapul a tulonganayo ni Tom.
We're trying to win.	Ikarkarigatanmi ti mangabak.
We've already tried.	Pinadasmin.
We've been ambushed.	Inarangdakami.
We've done no wrong.	Awan ti inaramidmi nga madi.
What did you answer?	Ania ti insungbatmo?
What time is sunset?	Ania nga oras ti ilelennek diay init?
When will you leave?	Kaano a pumanawka?
Where are you going?	Papanam?
Where have you been?	Napnapanam?
Where's your weapon?	Ayanna ti igammo?
Who is your teacher?	Asino ti titsermo?
Whose fault is that?	Asino ti akimbasol iti dayta?
Whose house is this?	Akimbalay iti daytoy?
Why am I still here?	Apay nga addaak pay la ditoy?
Why are you so thin?	Apay a nakakutkuttongka metten?
Why do they do this?	Apay nga ar-aramidenda daytoy?
You'd better not go.	Nasaysayaat no saanka a mapan.
You're just cowards.	Takrotkayo laeng.
Cats have nine lives.	Siam ti biag ti pusa.
Could we take a walk?	Mabalinta ti mapan magmagna?
Do you have children?	Adda annakmo?
Do you speak Chinese?	Makasaoka iti Insik?
Do you study English?	Agad-adalka iti Ingles?
Do you study English?	Agad-adalka kadi iti Ingles?
Do you understand me?	Maawatannak kadi?
Flowers attract bees.	Agawis iti alimbubuyog dagiti sabong.
Give me a day or two.	Ikkannak iti maysa wenno dua nga aldaw.
Go back to your seat.	Agsublika iti tugawmo.
Have I convinced you?	Naallukoyka kadi?
Have a drink with me.	Aginumta.
Have a nice day, Tom.	Naimbag nga aldawmo, Tom.
He was a good friend.	Nasayaat isuna a gayyem.
I agree to your plan.	Umanamongak iti planom.
I arrived last night.	Simmangpetak idi rabii.
I didn't believe you.	Saanak a namati kenka.
I don't believe this.	Saanko a patien daytoy.
I had an early lunch.	Nasapaak a nangaldaw.
I have a debt to pay.	Adda bayadak nga utangko.
I have been in Paris.	Napanak idiay Paris.
I have no use for it.	Awan ti pangaramatak iti dayta.
I held the door open.	Linuktak ti ridaw.
I keep thirteen cats.	Adda tarakenko a sangapulo-ket-tallo a pusa.
I know what Tom said.	Ammok no ania ti imbaga ni Tom.
I love fried bananas.	Kaykayatko ti naprito a saba.
I made a paper plane.	Nagaramidak iti papel a sinan-eroplano.
I miss Tom's cooking.	Kailiwko ti luto ni Tom.
I'm Mary's boyfriend.	Siak ti nobio ni Mary.
I'm not tired at all.	Saanak met a nabannog ketdi.
I'm smarter than you.	Nalalaingak ngem sika.
It is very hot today.	Nakabarbara ita nga aldaw.
It rained for a week.	Nagtudo iti makalawas.
No one escaped alive.	Awan ti nakalibas a sibibiag.
Someone cut the rope.	Adda nangputed iti tali.
The sun is coming up.	Sumingsingisingen ti init.
They made fun of him.	Nagaangawanda isuna.
This will cost €30.	Agpateg daytoy iti €30.
Tom has a girlfriend.	Adda nobia ni Tom.
Tom is extremely shy.	Managbabain la unay ni Tom.
Tom is very reliable.	Mapagtalkan unay ni Tom.
Tom left me the keys.	Imbati ni Tom kaniak dagiti tulbek.
We should get moving.	Nasken nga aggunaytayon.
We want to do it now.	Kayatmi nga aramidenen ita.
We were all helpless.	Amintayo ket awanan kabaelan.
We'll try to do that.	Padasenmi nga aramiden dayta.
We're not terrorists.	Saankami a terorista.
We've already chosen.	Nangpilikamin.
What are you reading?	Ania ti basbasaem?
Where are the knives?	Ayanna dagiti kutsilio?
Why was Tom in there?	Apay nga adda ni Tom idiay?
Why wasn't Tom there?	Apay nga awan ni Tom idiay?
Why were they chosen?	Apay nga isuda ti napili?
Why were you yelling?	Apay nga aglalaawka?
You all look so busy.	Kasla makumikomkayo amin.
You almost missed me.	Dandani dinak nakamakam.
You always lie to me.	Kanayonka nga agulbod kaniak.
You are new students.	Kabarbarokayo nga estudiante.
You are not a coward.	Saanka a takrot.
You can't blame them.	Dimo mapabasol ida.
You could've said no.	Imbagam latta koma a saan.
You could've written.	Insuratmo koma lattan.
You have a job to do.	Adda obra nga aramidem.
You have thirty days.	Adda tallopulo nga aldawmo.
You must be new here.	Kabarbarokan sa ditoy.
You must be so proud.	Maipagpannakelmo la ketdi.
You must be thrilled.	Mapikapikka la ketdi.
You need a boyfriend.	Masapulmo ti nobio.
You need new clothes.	Masapulmo ti baro a pagan-anay.
You need to be there.	Masapul nga addaka idiay.
You said it was over.	Imbagam a nalpasen.
You said so yourself.	Sika a mismo ti nangibaga.
You said that before.	Imbagam dayta idin.
You said we could go.	Imbagam a mabalinmi ti mapan.
You three look happy.	Naragsakkayo met a tallo.
You two must be busy.	Makumikomkayo la ketdi a dua.
You were my favorite.	Sika ti paboritok.
You're a good doctor.	Nalaingka a doktor.
You're a good singer.	Nalaingka a kumakanta.
You're a nice person.	Nasingpetka a tao.
You're all they have.	Sika laengen ti adda a namnamada.
You're not one of us.	Saandaka a kadua.
You're single, right?	Awan pay asawam, saan kadi?
Are these Tom's shoes?	Sapatos kadi ni Tom dagitoy?
Are they done already?	Nalpasda kadin?
