Who?	چه کسی؟
I trusted them.	من به آنها اعتماد کردم.
I'll treat you.	من از تو مراقبت خواهم کرد..
I'm an atheist.	من خداناباور هستم.
It was so dark.	هوا خیلی تاریک بود.
It's rush hour.	الان ساعت شلوغیه.
Leave it alone.	ولش کن!
Let's watch TV.	بیا تلویزیون ببینیم.
Louder, please.	بلندتر، لطفا.
May I help you?	آیا می‌توانم تو را کمک کنم.
They quarreled.	آنها جر و بحث کردند.
Tom came alone.	تام تنها آمد.
We're not safe.	ما در امنیت نیستیم.
Well, let's go.	خیلی خوب بیا بریم.
Where is Paris?	پاریس کجاست؟
Who's confused?	کیست که نفهمید؟
You're welcome.	خواهش میکنم
You're welcome.	قابلی نداره.
Cats catch mice.	گربه ها موش ها را می گیرند.
Congratulations!	ماشاءا..، ای والله، خیلی عالی!
He lied readily.	او به آسانی دروغ گفت.
He stared at me.	او از من شروع کرد.
He walks slowly.	او به آرامی راه می رود.
Hi. How are you?	سلام، حالت چه طوره؟
I hate fighting.	من از جدال متنفّرم.
I hear the drum.	صدای طبل را می شنوم.
I hope Tom wins.	امیدوارم تام برنده شود.
I love you, too.	منم دوسِت دارم. مَنَم عاشِقِتم.
I prefer coffee.	قهوه را ترجیح می‌دهم.
I run every day.	من هر روز می دوم.
I'm an engineer.	من مهندس هستم.
I'm begging you.	از شما التماس می کنم.
I'm going to go.	می خواهم بروم.
Is it important?	آیا مهم است؟
Is this a dream?	آیا این یک رؤیاست؟
Is this a dream?	آیا این یک خیالست؟
Keep the change.	بقیه پول مال خودت!
Let's go by bus.	بگذار با اتوبوس برویم.
Life's not easy.	زندگی آسان نیست.
So far, so good.	بسیار دور بسیار خوب است.
The truth hurts.	حقیقت تلخ است.
Tom looks happy.	تام خوشحال به نظر می‌رسد.
Turn off the TV.	تلویزیون را خاموش کن.
Walls have ears.	دیوار موش دارد.
We must find it.	باید پیدایش کنیم.
What time is it?	ساعت چند است.
What's the time?	ساعت چند است.
You look sleepy.	تو خواب آلود به نظر می رسی.
Are these edible?	آیا اینها قابل خوردن هستند؟
Are you a singer?	شما یک خواننده هستید؟
Can you prove it?	آیا می‌توانی آن را اثبات کنی؟
Come sit with us.	بیا با ما بنشین.
Don't be foolish.	احمق نباش!
Don't make me go.	منو مجبور به رفتن نکن.
Have a good time.	اوقات خوبی داشته باشید.
He fascinated me.	من مجذوب او شده بودم.
He is a beginner.	او تازه کار است.
He saved my life.	او زندگی مرا نجات داد.
He threw his toy.	او اسباب بازیش را پرت کرد.
Health is wealth.	سلامتی نعمت است.
I agree with him.	با او موافقم.
I am still alone.	همچنان تنهایم.
I can't die here.	نمی توانم اینجا بمیرم.
I don't know him.	من او را نمی شناسم.
I don't think so.	من اینطور فکر نمی کنم.
I like chocolate.	من شکلات دوست دارم.
I like to travel.	دوست دارم مسافرت کنم
I missed the bus.	من اتوبوس را از دست دادم.
I never hurt Tom.	من هیچوقت تام رو اذیت نکردم.
I said I'm sorry.	من گفتم که متاسفم.
I see the target.	هدف را میبینم.
I still love you.	من هنوز دوسِت دارم. هنوزعاشِقِتم.
Is the bank open?	آیا بانک باز است؟
It is time to go.	موقع رفتن است.
It's a sunny day.	امروز روزی آفتابی است.
It's conceivable.	این قابل تصوره.
Listen carefully.	به دقت گوش کن.
No pain, no gain.	نا برده رنج گنج میسر نمی‌شود.
No place is safe.	هیچ مکانی امن نیست.
Please let me go.	لطفا به من اجازه بده بروم.
They live nearby.	آنها همین نزدیکی ها زندگی می کنند.
This book is old.	این کتاب قدیمی است.
Tom hurt himself.	تام به خودش آسیب می زند.
Tom is a fanatic.	تام یک افراطی است.
We must find Tom.	باید تام را پیدا کنیم.
What a nice idea!	چه ایده خوبی!
What's the cause?	علت چیست؟
What's the cause?	سبب چیست؟
Where are we now?	ما اکنون کجا هستیم؟
You already paid.	شما قبلاً مزد گرفتید.
You're impatient.	شما بی‌صبر هستید.
You're impatient.	شما نابردبار هستید.
You're organized.	شما مرتب هستید.
Add a little milk.	کمی شیر اضافه کن.
Don't tell anyone.	به همه نگو.
Haste makes waste.	عجله کار شیطان است.
He began to shout.	او شروع به فریاد کشیدن کرد.
He turned traitor.	او خیانتکار شد.
How was your test?	امتحانت، چطور بود؟
I agreed with her.	من با او موافقم.
I bathe every day.	من هر روز حمام می کنم.
I forgot his name.	نام او را فراموش کردم.
I have a headache.	من سردرد دارم.
I hit the jackpot.	من پول زیادی برنده شدم.
I owe you my life.	من زندگیم را به شما مدیون هستم.
I sat by his side.	من کنار او نشستم.
I saw an airplane.	من یک هواپیما دیدم.
I study at school.	من در مدرسه تحصیل می کنم.
I'm bad at sports.	من در ورزش کارکشته نیستم.
I've got blisters.	من تاول زدم.
Insure it, please.	این را بیمه کن،لطفا.
It's a tiring job.	کار خسته کننده ای است.
Life is beautiful.	زندگی زیباست.
May God bless you.	خدا به تو برکت بدهد.
May God bless you.	خدا عمرت بده!
Nobody is perfect.	هیچکس کامل نیست.
Peaches are sweet.	هلو ها شیرین هستند.
She drives me mad.	او مرا دیوانه می کند.
She fascinated me.	من مجذوب او شده بودم.
She made me hurry.	او مرا شتابزده کرد.
She married young.	او در سن پایین ازدواج کرد.
She shut the door.	او در را بست.
Tell me the truth.	به من حقیقت را بگو.
That's impossible.	آن ممکن نیست.
The doorbell rang.	زنگ در به صدا درآمد.
The food is ready.	غذا حاضر است.
The water is good.	این آب با کیفیت است.
This book is mine.	این کتاب مال من است.
Tom is fastidious.	تام ایرادگیر است.
Tom scored a goal.	تام گل زد.
Tom was terrified.	تام وحشت‌زده بود.
We dance together.	ما با یکدیگر می رقصیم.
We must find them.	باید پیدایشان کنیم.
We were impatient.	ما عجول بودیم.
What is the truth?	حقیقت چیست؟
What is your name?	اسم شما چیست؟
When was she born?	او کی متولد شده است؟
Where did they go?	آنها به کجا رفتند؟
Where is the bank?	بانک کجاست؟
Where've you been?	کجا بوده‌اید؟
Who made the doll?	چه کسی عروسک را درست کرده است؟
Why are you lying?	چرا دروغ میگی؟
You are beautiful.	تو زیبا هستی.
You are beautiful.	تو قشنگی.
You're both liars.	شما هر دو دروغگو هستید.
You're reasonable.	شما قابل قبول هستید.
Your time is over.	وقت شما تمام شد.
Always be cautious.	همیشه احتیاط کن.
Are you vegetarian?	آیا گیاه‌خوار هستید؟
Bananas are yellow.	موز زرد است.
Can I see this one?	می تونم این یکی رو ببینم؟
Can I take a break?	می توانم استراحت کنم؟
Can I use your pen?	آیا می‌توانم از خودکارت استفاده کنم؟
Come along with us.	بیا با ما برویم.
Come along with us.	بیا با ما.
Don't get me wrong.	درباره من اشتباه برداشت نکن.
Don't get me wrong.	درمورد من فکر بد نکن.
He closed the door.	او در را بست.
How's married life?	زندگی متاهلی چطور است؟
I didn't forget it.	من آن را فراموش نکردم.
I don't have a dog.	من سگ ندارم.
I don't understand.	من نمی فهمم.
I got my shoes wet.	کفش‌هایم را خیس کردم.
I have my own room.	من اتاق مختص خود دارم.
I jog twice a week.	من هفته ای دو بار پیاده روی می کنم.
I know your father.	من پدرت را می شناسم.
I need your advice.	من به مشوت شما احتیاج دارم.
I still want to go.	من هنوز می‌خواهم بروم.
I want to buy that.	می خواهم آن را بخرم.
I was born in 1972.	من در سال 1972 به دنیا آمده ام.
I've already tried.	قبلاً سعی کرده‌ام.
Ignorance is bliss.	جهل یک برکت است.
Is Tom left-handed?	آیا تام چپ دست است؟
Is everybody ready?	آیا همه آماده‌اند؟
Is something wrong?	مشکلی هست؟
Isn't it delicious?	خوشمزه نیست؟
It was really good.	واقعا خوب بود.
It wasn't my fault.	تقصیر من نبود.
Knowledge is power.	توانا بُوَد هر که دانا بُوَد.
May I speak to Tom?	می توانم با تام صحبت کنم؟
May I use this bat?	می‌توانم از این چوگان استفاده کنم؟
Real men drink tea.	مردان واقعی چای می‌نوشند.
Save your strength.	قدرتت را حفظ کن.
She has seven sons.	او هفت پسر دارد.
She has small feet.	او پاهای کوچکی دارد.
Take out the trash.	.آشغال ها رو بیرون بگذار
The baby is crying.	بچه گریه می کند.
The car was stolen.	ماشین سرقت شد.
The feud continues.	دعوا ادامه دارد.
The night was cold.	شب سرد بود.
The stars came out.	ستاره ها بیرون آمدند.
There is no choice.	انتخابی وجود ندارد.
These pens are his.	این خودکارها مال او(پسر) هستند.
Tie your shoelaces.	بند کفش ات را ببند.
Tom became serious.	تام جدی شد.
Tom has three dogs.	تام سه سگ دارد.
Tom is a real nerd.	تام یک خرخوان واقعی است.
Tom is a silly man.	تام مرد احمقی است.
Tom is belligerent.	تام ستیزه جو است.
Tomorrow is Sunday.	فردا یکشنبه است.
We don't like rain.	ما باران را دوست نداریم.
We don't like rain.	ما از باران خوشمان نمی آید.
What vile behavior!	چه رفتار زشتی
Where is her house?	خانه اش کجاست؟
Where is your room?	اتاقت کجاست؟
Where was Tom born?	تام کجا به دنیا آمده است؟
Which bag is yours?	کدام کیف مال تو است؟
Who's your teacher?	معلم شما کیست؟
Whose book is this?	این کتاب مال چه کسی است؟
Whose book is this?	این کتاب مال کیه؟
Whose book is this?	این کتاب مال چه کسیه؟
Whose book is this?	این کتاب کیه؟
Will he ever do it?	آیا هرگز او آن را انجام خواهد داد؟
You only live once.	تو فقط یکبار زندگی می کنی.
You're belligerent.	شما مخاصمه طلب هستید.
Answer the question.	به این سؤال پاسخ بده.
Do you want a drink?	آیا نوشیدنی می خواهی؟
Don't listen to her.	به حرفش گوش نکن.
Everyone's laughing.	همه می‌خندند.
Go jump in the lake.	برو بپر تو دریاچه.
Have you gone crazy?	دیوانه شده ای؟
He is a good singer.	او آوازه خوان خوبی است.
He often comes late.	او اغلب دیر می‌آید.
He reached his goal.	او به هدفش رسید.
He was very patient.	او خیلی صبور بود.
He was working hard.	او به‌شدت کار می‌کرد.
He's afraid of dogs.	او از سگ ها می ترسد.
I am afraid of dogs.	من از سگ‌ها می‌ترسم.
I am too busy to go.	آن قدر سرم شلوغ است که نمی توانم بروم.
I disagree with you.	من با تو مخالفم.
I don't like school.	من مدرسه را دوست ندارم.
I don't sleep a lot.	من زیاد نمی خوابم.
I forgot to ask him.	فراموش کردم از او بپرسم.
I love strawberries.	عاشق توت‌فرنگی‌ام.
I never trusted Tom.	من هیچ گاه به تام اعتمادی نکردم.
I think he is right.	من فکر می کنم که او درست می گوید.
I'll make you happy.	من تو را خوشبخت می کنم.
I'm as old as he is.	من به اندازه ی اون پیر(بزرگ) هستم.
I'm dying of hunger.	من دارم از گرسنگی می‌میرم.
It's free of charge.	مجانی است.
Keep going straight.	مستقیم برو.
Lead is easily bent.	سرب به راحتی خم می شود.
Mary can dance well.	ماری می تواند خوب برقصد.
My throat feels dry.	گلویم خشک شده است.
My wife is a doctor.	همسر من دکتر است.
Nobody's infallible.	هیچکس معصوم نیست.
Old habits die hard.	ترک عادت موجب مرض است.
Put on your pajamas.	پیژامه ات را بپوش.
Seeing is believing.	شنیدن کی بُوَد مانند دیدن.
She still loved him.	هنوز او را دوست داشت.
That's an old trick.	آن یک ترفند قدیمی است.
That's common sense.	این از بدیهیات است.
The wind is blowing.	باد می وزد.
They are in the way.	آنها در راهند.
They're mocking you.	آنها تو را مسخره می کنند.
They're moving away.	آنها دارند اسباب کشی می کنند.
This is a gold mine.	این یک کان زر است.
This is a gold mine.	این یک معدن طلاست..
This is their house.	این خانه آنهاست.
Time passes quickly.	زمان سریع می گذرد.
We season with salt.	ما با چاشنی نمک طعم می دهیم.
We were born to die.	ما زاده شدیم تا بمیریم.
What happened today?	امروز چه پیش آمد؟
What's the bus fare?	کرایه‌ی اتوبوس چقدر است؟
Where are you going?	کجا می روی؟
Why is Tom not here?	چرا تام این جا نیست؟
You are a good cook.	شما آشپز خوبی هستید.
You are such a liar!	چه دروغگویی هستی!
You're running late.	داری دیر می کنی.
Are you free tonight?	امشب وقتت آزاد است؟
Business is business.	حساب حساب کاکا برادر.
Dead dogs don't bite.	سگهای مرده گاز نمی گیرند.
Did you buy cat food?	آیا غذای گربه خریدی؟
Did you speak to Tom?	آیا تو با تام صحبت کردی؟
Don't eat hard foods.	غذاهای سخت نخورید.
Draw a straight line.	یک خط راست بکش.
Everyone looks tired.	همه خسته به نظر می رسند.
Everyone, say cheese.	همه بگن هلووو
Go back to your seat.	به صندلی خود برگرد.
Have it your own way.	کاری که میخواهی را انجامش بده!
He asked for my help.	او از من کمک خواست.
He asked me for help.	او از من کمک خواست.
He has many troubles.	او مشکلات زیادی دارد.
He works as a busboy.	اون به عنوان یک کمک پیشخدمت کار می‌کنه.
He's eating an apple.	او سیب می خورد.
I abandoned my plans.	برنامه‌هایم را وِل کردم.
I am a stranger here.	من اینجا غریبه ام.
I awoke from a dream.	من از خواب بیدار شدم.
I can see the target.	هدف را میتونم ببینم.
I don't see Tom much.	تام را زیاد نمی بینم.
I lost consciousness.	من هوشیاری ام را از دست دادم.
I met Tom after work.	من بعد از کار، تام را دیدم.
I met Tom after work.	من پس از کار با تام ملاقات داشتم.
I showed her my room.	اتاق‌ام را به او نشان دادم.
I showed him my room.	اتاق‌ام را به او نشان دادم.
I think Tom will win.	فکر می کنم تام برنده خواهد شد.
I think you're right.	فکر می کنم حق با توست.
I want my money back.	می خواهم پولم به من برگردانده شود.
I was bored to death.	تا حد مرگ، خسته بودم.
I was busy yesterday.	من دیروز سرم خیلی شلوغ بود.
I'll call you a taxi.	من برایت به تاکسی تلفن خواهم کرد.
I'm allergic to dogs.	من به سگ ها حساسیت دارم.
I'm very lonely here.	من اینجا خیلی تنها هستم.
It was sheer torture.	آن یک شکنجهٔ محض بود.
It's really annoying.	واقعاً آزاردهنده است.
It's really annoying.	واقعاً آزار‌دهنده است.
It's really horrible.	آن واقعاً ترسناک است.
My father grows rice.	پدرم برنج می کارد.
Nobody wants to work.	هیچ کس نمیخواهد کار کند.
Our marriage is over.	ازدواج ما به پایان رسیده است.
Resistance is futile.	مقاومت بیهوده است.
She broke into tears.	او به گریه افتاد.
She lost her handbag.	او کیف‌دستی‌اش را گم کرد.
She was working hard.	او به‌شدت کار می‌کرد.
She's beating cancer.	او با سرطان مبارزه می کند.
That's a blatant lie.	این یک دروغ آشکار است.
That's my dictionary.	این لغت نامه ی من است.
There's no wind here.	اینجا بادی نیست.
This milk tastes odd.	مزه ی این شیر غیر عادی ست.
This plant is edible.	این گیاه خوراکی است.
Tom followed me home.	تام مرا تا خانه دنبال کرد.
Tom is a real cowboy.	تام یک کابوی واقعی است.
Tom isn't here today.	تام امروز اینجا نیست.
Tom isn't interested.	تام به این موضوع علاقه مند نیست.
Tom seems very happy.	تام خیلی خوشحال به نظر می‌رسد.
Tom won't let you go.	تام نمی گذارد شما بروید.
We have two children.	ما دو بچه داریم.
We want a new carpet.	ما یک فرش نو می خواهیم.
We'll meet on Sunday.	یکشنبه ملاقات خواهیم کرد.
What's Tom's address?	آدرس تام چیست؟
When can I swim here?	چه موقع می توانم شنا کنم؟
Where is the problem?	مشکل کجاست؟
Who wrote the letter?	چه کسی این نامه را نوشته است؟
Why would I help Tom?	چرا من باید بخواهم که به تام کمک کنم؟
You should work hard.	تو باید سخت کار کنی.
Above all, be patient.	بالاتر از هر چیز این است که صبور باشی.
Are you fond of music?	آیا شما دیوانهٔ موسیقی هستید؟
Can't we just go home?	نمیشه بریم خونه?
Come here and help me.	بیا اینجا و به من کمک کن.
Did you dye your hair?	آیا تو موهایت را رنگ می کنی؟
Does Tom dye his hair?	آیا تام موهایش را رنگ می کند؟
Get down on the floor!	بخوابید روی زمین!
Go to the living room.	به اتاق نشیمن برو.
He and I are brothers.	من و او برادریم.
He came into the room.	او وارد اتاق شد.
He is washing the car.	او ماشینش را دارد می شوید.
He must be over sixty.	قطعا عمرش بالای شصت سال است.
He was prone to anger.	او در معرض خشم بود.
He's gone into hiding.	او مخفی شده است.
I am crazy about golf.	من عاشق گلف‌ام.
I am talking with Tom.	مشغول صحبت با تام هستم.
I am talking with Tom.	دارم با تام حرف می زنم.
I bought it last week.	من این را هفته پیش خریدم.
I came here yesterday.	من دیروز آمدم اینجا.
I don't even know him.	من حتی او را نمی شناسم.
I don't see Tom often.	تام را چندان زیاد نمی بینم.
I learned a new trick.	من یک ترفند نو یاد گرفتم.
I think you did great.	فکر می کنم عالی کارتون را انجام دادید.
I want to go with you.	می خواهم با تو بیایم.
I want you to go home.	از شما می خواهم به خانه بروید.
I was happy yesterday.	دیروز خوشحال بودم.
I went to the station.	من به ایستگاه رفتم.
I work even on Sunday.	من حتی روزهای یکشنبه هم کار می کنم.
I'm going to the bank.	من دارم به بانک می روم.
I'm not afraid of Tom.	من از تام نمی ترسم.
Is your watch correct?	آیا ساعتت درست است؟
Isn't that irritating?	آیا آزاردهنده نیست؟
It takes two to tango.	برای رقص تانگو دو نفر لازم است.
Like father, like son.	همانا پدر، همانا پسر.
May I eat this orange?	ممکن است به من این پرتغال را بدهی؟
Nobody understands me.	هیچکس مرا درک نمی‌کند.
Perhaps you are right.	احتمالا حق با شماست.
She asked for my help.	او از من کمک خواست.
She is afraid of cats.	او نگران گربه ها است.
She loves Tom, not me.	او(دختر) عاشق تام است، نه من
Tell me. I'm all ears.	به من بگو، من سرتاپا گوشم.
That flower is edible.	این گل خوردنی است.
This tea is very nice.	این چای بسیار خوب است.
Tom awoke at daybreak.	تام در ابتدای روز بیدار شد.
Tom awoke at daybreak.	تام هنگام طلوع بیدار شد.
Tom checked his watch.	تام به ساعتش نگاهی انداخت.
Tom faces a conundrum.	تام با یک معما مواجه است.
Tom is a sheep farmer.	تام پرورش دهنده گوسفند است.
Try some of this cake.	یک کم از این کیک امتحان کن.
We all agree with you.	ما همگی با تو موافقیم.
Where's my phone book?	دفتر تلفنم کجاست؟
Where's the president?	رئیس جمهور کجاست؟
Why do you suspect me?	چرا به من مظنون هستید؟
You'll thank me later.	تو بعدا از من تشکر خواهی کرد.
You've got to see Tom.	باید تام را ببینی.
A sponge absorbs water.	یک ابر آب را جذب می‌کند.
All I have is one book.	همه چیزی که دارم یک کتاب است.
All roads lead to Rome.	تمام راهها به رم ختم می شود.
Better late than never.	دیر رسیدن بهتر از هرگز نرسیدن است.
Can I take a break now?	می توانم الان استراحت کنم؟
Cut it into two pieces.	آن را به دو قسمت ببر.
Do I need an operation?	آیا نیاز به عمل دارم؟
Do we have to help Tom?	آیا ما مجبوریم به تام کمک کنیم؟
Do you have everything?	آیا تو همه چیز داری؟
Do you mind if I smoke?	ناراحت نمی شوی اگر که سیگار بکشم؟
Don't even think of it.	اصلاً فکرش را هم نکن.
Don't take it to heart.	این را به قلبت نزدیک نگاه ندار.
Don't tell anyone this.	به هیچ کس این را نگو.
Get a hammer and nails.	یک چکش و میخ بردار.
Hasn't anyone seen Tom?	کسی تام را ندیده است؟
He has no specific aim.	اون هیچ هدف مشخصی نداره.
He left three days ago.	او سه روز پیش از اینجا رفت.
He often appears on TV.	او اغلب بر صفحه ی تلویزیون ظاهر می شود.
He played piano by ear.	او از راه شنیدن پیانو می‌نواخت.
He went in place of me.	او به جای من رفت.
Her friend is a singer.	دوستش یک خواننده است.
Hope is not a strategy.	امید یک استراتژی نیست.
I am a very sad person.	من آدم بسیار غمگینی هستم.
I decided to try again.	تصمیم گرفتم بوباره سعی کنم.
I don't like ice cream.	بستنی دوست ندارم.
I don't like this book.	من این کتاب را دوست ندارم
I don't speak Japanese.	من ژاپنی صحبت نمی‌کنم.
I got a traffic ticket.	من یک بلیط تردد گرفته ام.
I got lost in the maze.	من در هزارتو گم شدم.
I have a dog and a cat.	من یک سگ و یک گربه دارم.
I hope it was worth it.	امیدوارم ارزشش را داشت.
I prefer coffee to tea.	قهوه را به چای ترجیح می دهم.
I spoke to my daughter.	با دخترم صحبت کردم.
I want to learn karate.	می خواهم کاراته یاد بگیرم.
I was young and stupid.	من جوان و احمق بودم.
I went there yesterday.	من دیروز به آنجا رفتم.
I'd rather go swimming.	من بیش از اندازه شنا را دوست دارم.
I'll bear that in mind.	من آن را به خاطر خواهم داشت یا مد نظر قرار خواهم داد.
I've broken my glasses.	عینکم را شکسته ام.
Is your mother at home?	آیا مادر شما در خانه است؟
It might not even work.	ممکن بود حتی کار نکند.
It was windy yesterday.	دیروز هوا بادی بود.
It won't stop bleeding.	خونریزی بند نمی آید.
Just follow your heart.	به سادگی از قلبت پیروی کن.
My father likes tennis.	پدرم تنیس دوست دارد.
No one came to help me.	هیچ کس به کمکم نیامد.
She took a deep breath.	او نفس عمیقی کشید.
Thanks for inviting me.	تشکر برای دعوت کردن من.
That's pure conjecture.	آن گمان محض است.
The boy sat on a chair.	پسر روی یک صندلی نشست.
The flowers smell good.	گل ها بوی خوبی می دهند.
They have just arrived.	آنها تازه آمده اند.
This is a pretty dress.	لباس زیباییست.
This smell disgusts me.	این بو حالم را به هم می‌زند.
Tom clenched his fists.	تام مشت هایش را گره کرد.
Tom cut the wrong wire.	تام سیم اشتباه را برید
Tom seems really happy.	تام واقعاً خوشحال به نظر می‌رسد.
We plan to go by train.	ما برنامه ریزی کردیم که با قطار بریم.
What's your blog about?	ووبلاگ شما در چه موردی است؟
Who are you talking to?	با کی حرف می زنی؟
Why not see the doctor?	چرا دکتر ندیدت؟
Will it be much longer?	آیا طولانی خواهد شد؟
You had plenty of time.	تو وقت زیادی داشتی.
You're Tom, aren't you?	شما تام هستید. این طور نیست؟
You're very perceptive.	شما بسیار گیرا هستید.
Your bag is on my desk.	کیفت بر روی میز من است.
Aren't you even curious?	آیا تو حتی کنجکاو نیستی؟
Can you make it on time?	می توانی آن را به موقع بسازی؟
Do you need an envelope?	آیا شما یک پاکت نامه می خواهید؟
Don't eat too much cake.	بیش از اندازه کیک نخور.
Don't make abrupt moves.	حرکت ناگهانی نکن.
Everyone makes mistakes.	بشر جائزالخطاست.
Everything here is mine.	هر چیزی که اینجاست مال من است.
Give me the screwdriver.	به من یک پیچ گوشتی بده.
Have you heard the news?	آیا خبر را شنیده ای؟
He abandoned his family.	او خانواده اش را ترک کرد.
He readily agreed to it.	او به آسانی با آن موافقت کرد.
He readily agreed to it.	او بی درنگ با آن موافقت کرد.
He was painfully skinny.	او به شدت لاغر بود.
He will always love her.	او همیشه وی را دوست خواهد داشت.
His mother was a singer.	مادر او یک خواننده بود.
His room is always tidy.	اتاق او همیشه مرتب است.
How do you know my name?	چطور نام مرا میدانی؟
How's the weather there?	آنجا هوا چه طور است؟
Hurry up! We'll be late.	عجله کن! دیرمان می شود.
I didn't know that song.	من آن آواز را نمی شناختم.
I didn't make a mistake.	من اشتباهی نکرده ام.
I don't understand this.	من متوجه نشدم.
I go to school at seven.	من در ساعت هفت به مدرسه می روم.
I heard it on the radio.	من این را از رادیو شنیدم.
