Run!	Chạy!
Ask any woman.	Hãy hỏi bất kỳ người phụ nữ nào.
How beautiful!	Thật đẹp làm sao!
I can't go on.	Tôi không thể tiếp tục.
I could do it.	Tôi đã có thể làm điều này.
I could do it.	Tôi đã có thể làm được.
I feel lonely.	Tôi cảm thấy cô đơn.
I hate moving.	Tớ ghét di chuyển.
I have a book.	Tôi có một cuốn sách.
I know Boston.	Tôi biết Boston.
I know Boston.	Tôi có biết Boston.
I play tennis.	Tôi chơi môn quần vợt.
I'll kill you.	Tôi sẽ giết bạn.
I'll show you.	Tôi sẽ cho bạn xem.
I'll show you.	Tôi sẽ cho bạn thấy.
Is Tom famous?	Tom có nổi tiếng không vậy?
Isn't it true?	Không đúng hả?
Isn't it true?	Điều đó không đúng ư?
It gets worse.	Tình hình trở nên xấu đi.
It gets worse.	Nó trở nên tệ hơn.
It is raining.	Trời đang mưa.
It works well.	Cái đó dùng tốt lắm.
It works well.	Dùng được lắm.
It works well.	Rất hiệu quả.
It's a weapon.	Đó là một vũ khí.
It's too easy.	Nó dễ như ăn bánh vậy.
It's very big.	To quá.
Just enjoy it.	Hãy hưởng thụ đi.
Just stay put.	Ở yên đó.
Keep in touch!	Hãy giữ liên lạc nhé.
Keep in touch!	Giữ liên lạc nhé.
Keep in touch.	Hãy giữ liên lạc nhé.
Keep in touch.	Giữ liên lạc nhé.
Leave it here.	Hãy để nó ở đây.
Let him do it.	Để anh ấy làm đi.
Let him do it.	Để nó làm đi.
Let me finish.	Để tui làm xong đã.
Let me finish.	Để tôi hoàn tất.
Let's go home.	Chúng ta về nhà thôi.
Let's go home.	Chúng ta về nhà thôi nào.
May I ask why?	Tôi có thể hỏi tại sao không?
May I go home?	Con về nhà được không?
May I go home?	Tôi có thể về nhà không?
My knee hurts.	Tôi đau đầu gối quá.
Oh, I'm sorry.	Ờ, xin lỗi nghe.
She's my type.	Cô ấy là mẫu người của tôi.
Suit yourself.	Bạn thích làm gì thì làm.
Suit yourself.	Thích làm gì thì làm.
Sweep my room.	Hãy quét phòng tôi.
Sweep my room.	Quét phòng tôi đi.
Take me there.	Hãy đưa tôi đến đó.
Take me there.	Hãy đưa tôi tới nơi đó.
They all left.	Tất cả họ đều đã rời đi.
They're drunk.	Họ đang say rượu.
They're drunk.	Họ đang say.
Time is money.	Thời gian là vàng.
Tom bought it.	Tom đã mua nó.
Tom bought it.	Tom đã mua thứ đó.
Tom bought it.	Tom đã mua cái đó.
Tom was happy.	Tom rất vui.
Tom won again.	Tom đã lại thắng một lần nữa.
We'll hide it.	Chúng tôi sẽ giấu nó.
We're too old.	Chúng tôi đã quá già.
We're too old.	Chúng ta đã quá già.
Where are you?	Bạn đang ở đâu?
Who says that?	Ai nói thế?
You know this.	Bạn biết điều này.
You look pale.	Bạn trông tái nhợt.
You may enter.	Bạn có thể vào.
You're joking!	Đang đùa đấy à!
Are you hungry?	Bạn có đói bụng không?
Did Tom object?	Tom có phản đối không?
Do as you like.	Bạn thích làm gì thì làm.
Do as you like.	Thích làm gì thì làm.
Do as you like.	Bạn thích làm gì thì làm đi!
Don't sweat it.	Đừng làm ướt nó.
Even Tom cried.	Cả Tom cũng khóc.
Go take a walk.	Hãy đi dạo một chút đi.
Go take a walk.	Bạn đi dạo một tí đi.
He lives alone.	Anh ấy sống một mình.
Here is my key.	Chìa khóa của tôi đây.
I am a shy boy.	Tôi là một thằng nhóc hay mắc cỡ.
I bike to work.	Tôi đi làm bằng xe đạp.
I didn't drive.	Tôi không lái.
I don't get it.	Tôi không hiểu.
I don't get it.	Tôi không lấy được nó.
I don't get it.	Tôi không có nó.
I got divorced.	Tôi đã ly hôn.
I got divorced.	Tôi đã li hôn.
I hate lawyers.	Tôi ghét luật sư.
I hate my life.	Tôi ghét cuộc đời mình.
I hate my life.	Tôi ghét đời mình.
I hate my life.	Tôi ghét đời tôi.
I have a dream.	Tôi có ước mơ.
I kept running.	Tôi đã tiếp tục chạy.
I like history.	Tôi thích lịch sử.
I like history.	Tôi thích môn lịch sử.
I need to rest.	Tôi cần phải nghỉ ngơi.
I owe him $100.	Tao nợ nó 100 đô la.
I want a knife.	Tôi muốn một con dao.
I want to stay.	Tớ muốn ở lại.
I'd rather not.	Tôi thà không.
I'll stay here.	Tôi sẽ ở lại đây.
It's up to you.	Tùy bạn.
Leave me alone!	Để tôi một mình.
Leave me alone!	Mặc kệ tôi đi!
Let us go home.	Chúng ta về nhà thôi.
Let us go home.	Chúng ta về nhà thôi nào.
May I kiss you?	Tôi hôn bạn được chứ?
May I kiss you?	Tôi hôn bạn được không?
May I sit here?	Tôi có thể ngồi đây được không?
Men are idiots.	Đàn ông ai cũng ngu.
Play us a tune.	Chơi một giai điệu cho chúng tôi đi.
She liked that.	Cô ấy thích nó.
She liked that.	Cô ấy thích điều đó.
She plays Bach.	Cô ấy chơi nhạc Bach.
Should I reply?	Tôi có nên trả lời không?
Should I reply?	Tao có nên trả lời không?
Their eyes met.	Ánh mắt họ chạm nhau.
They have come.	Họ đã đến.
This is on you.	Cái này tuỳ vào bạn.
Tom can't stay.	Tom không thể ở lại.
Tom can't stay.	Tom không ở lại được.
Tom isn't ugly.	Tom không xấu xí.
Tom isn't ugly.	Tom không xấu.
You lied to us.	Bạn đã nói dối chúng tôi.
You were wrong.	Bạn đã sai.
Are we finished?	Chúng ta đã xong chưa?
Are you injured?	Bạn có bị thương không?
Are you injured?	Bạn có bị thương chỗ nào không?
Are you thirsty?	Bạn có khát nước không?
Call me anytime.	Hãy gọi tôi bất cứ lúc nào.
Congratulations!	Xin chúc mừng!
Did you miss me?	Có nhớ tôi không?
Do you watch TV?	Bạn có xem TV không?
Don't come here.	Đừng đến đây.
Don't stop here.	Đừng dừng lại ở đây.
Give that to me.	Đưa nó cho tôi.
He had no money.	Anh ấy không có tiền.
He has a camera.	Nó có một máy ảnh.
He has a camera.	Nó có một máy ghi hình.
He has a camera.	Anh ấy có một máy ảnh.
He has a camera.	Anh ấy có một chiếc máy ảnh.
He has a camera.	Ông ấy có một chiếc máy ảnh.
He has ten cows.	Anh ấy đang nuôi mười con bò.
He lost his job.	Anh ấy đã thất nghiệp.
He lost his job.	Anh ấy đã trở nên thất nghiệp.
He's a good guy.	Anh ấy là người tốt.
He's a good guy.	Ông ấy là người tốt.
How old are you?	Bạn bao nhiêu tuổi?
How old are you?	Mày bao nhiêu tuổi?
I ache all over.	Tôi bị đau cả người.
I also did that.	Tôi cũng đã làm điều đó.
I could've died.	Tôi có thể đã chết.
I cycle to work.	Tôi đi làm bằng xe đạp.
I hate shopping.	Tôi ghét đi mua sắm.
I have bad news.	Tôi có tin xấu.
I have two cats.	Tôi có hai con mèo.
I like to laugh.	Tôi thích cười.
I slept all day.	Tôi đã ngủ cả ngày.
I was kidnapped.	Tớ từng bị bắt cóc.
I will miss you.	Anh sẽ nhớ em.
I will miss you.	Tôi sẽ nhớ bạn.
I will miss you.	tao sẽ nhớ mày.
I will miss you.	con sẽ nhớ mẹ lắm.
I'll buy a Ford.	Tôi định mua một chiếc xe ô tô Ford.
I'll buy a Ford.	Tôi định sẽ mua một chiếc xe hơi Ford.
I'm almost done.	Tôi sắp xong rồi.
I'm getting hot.	Tôi đang nóng.
I'm getting hot.	Tôi đang bị nóng.
I'm very afraid.	Tôi rất sợ.
I'm very choosy.	Tôi khá là kén chọn.
I'm very choosy.	Tôi là một người rất kén chọn.
I'm watching TV.	Tôi đang xem ti vi.
I'm watching TV.	Tôi đang coi ti vi.
I'm watching TV.	Tôi đang xem vô tuyến.
Is anybody home?	Có ai ở nhà không?
Is anybody home?	Có ai ở nhà không ạ?
Is anyone there?	Có ai ở đó không?
Is he satisfied?	Nó vừa lòng chưa?
Is he satisfied?	Ông ta hài lòng chưa?
Is today payday?	Hôm nay là ngày phát lương à?
Is today payday?	Hôm nay là ngày phát lương có đúng không?
It'll rain soon.	Có lẽ là trời sắp mưa.
It'll rain soon.	Chắc có lẽ trời sắp mưa rồi.
It's your party.	Nó là buổi tiệc của bạn.
Keep your seats.	Giữ ghế của các bạn.
Let's go by car.	Đi bằng ôtô nhé.
Let's go inside.	Chúng ta hãy vào trong nào.
Let's stop here.	Hôm nay chúng ta kết thúc ở đây.
Life isn't easy.	Cuộc sống không dễ dàng gì.
Life's not fair.	Cuộc đời không công bằng.
Merry Christmas!	Chúc mừng giáng sinh!
She is a doctor.	Cô ấy là bác sĩ.
She is too weak.	Nó yếu quá.
She is too weak.	Cô ấy quá yếu.
She is too weak.	Bà ấy yếu quá.
That is his car.	Đó là xe của anh ta.
There's so much.	Thế là quá nhiều.
They'll help us.	Họ sẽ giúp bọn mình
They're trapped.	Họ đang bị mắc kẹt.
This car is his.	Chiếc xe này là của ổng.
This car is his.	Chiếc xe này là của ông ta.
This car is his.	Chiếc xe này là của ông ấy.
This car is his.	Chiếc xe này là của hắn.
This car is his.	Chiếc xe này là của anh ấy.
This is my room.	Đây là phòng của tôi.
This is my wine.	Đây là rượu vang của tôi.
Those are Tom's.	Mấy thứ đó của Tom.
Tom followed me.	Tom đã đi theo tôi.
Tom is a writer.	Tom là nhà văn.
Tom is too late.	Tom quá trễ rồi.
Tom is your age.	Tom cũng bằng tuổi cậu.
Tom isn't naive.	Tom không ngây thơ.
Tom made a deal.	Tom đã đạt được một thỏa thuận.
Tom trusts Mary.	Tom tin tưởng Mary.
Tom turned pale.	Mặt Tom tái mét lại.
Tom was adopted.	Tom đã được nhận nuôi.
Tom was in pain.	Tôm bị đau.
Tom was my boss.	Tom từng là sếp của tôi.
Tom was stunned.	Tom đã bị choáng.
Tom was unlucky.	Tom đã không may mắn.
Wasn't it awful?	Không phải nó kinh khủng lắm ư?
Watch carefully.	Hãy nhìn thật kỹ.
We are teachers.	chúng tôi là giáo viên.
We came to help.	Chúng tôi đến để giúp.
We met a writer.	Chúng tôi đã gặp một ông nhà văn.
We walked a lot.	Chúng tôi đã đi bộ rất nhiều.
Where's the key?	Cái chìa khóa ở đâu?
Why is she here?	Sao cô ta lại ở đây chứ?
Why is she here?	Tại sao cô ấy lại ở đây vậy?
You look stupid.	Bạn nhìn ngốc quá.
You'll get lost.	Bạn sẽ bị lạc đấy.
You'll like Tom.	Mày sẽ thích Tom.
You're a nobody.	Bạn chẳng là ai cả.
Are they serious?	Họ có nghiêm túc không?
Call me sometime.	Lúc nào điện cho tôi nhé.
Can you help Tom?	Bạn có thể giúp Tom không?
Can you see them?	Anh có trông thấy bọn họ không?
Do what you like.	Bạn thích làm gì thì làm.
Do what you like.	Thích làm gì thì làm.
Do what you want.	Bạn thích làm gì thì làm.
Do what you want.	Thích làm gì thì làm.
Do you live here?	Bạn có sống ở đây không?
Don't be so glum.	Đừng có rầu rĩ quá như thế.
Don't touch this.	Đừng sờ vào cái này.
Have a safe trip.	Thượng lộ bình an.
Have a safe trip.	Có một chuyến đi an toàn nhé.
He broke the law.	Anh ấy đã vi phạm pháp luật.
He hates carrots.	Nó ghét cà rốt.
He hates carrots.	Ông ta ghét cà rốt.
He hates carrots.	Hắn ghét cà rốt.
He's always busy.	Anh ta luôn bận rộn.
Help me to do it.	Hãy giúp tôi việc đó.
Help me to do it.	Hãy giúp tôi làm điều đó.
Hmm, what's this?	Hừm, cái gì đây?
Hold that for me.	Cầm nó hộ mình.
Hold that for me.	Giữ nó cho mình.
How tall you are!	Bạn cao thiệt!
How's work going?	Công việc của bạn như thế nào?
How's work going?	Công việc của mày dư lào?
I don't like you.	Tôi không thích anh đâu.
I feel just fine.	Tôi cảm thấy bình thường.
I feel very cold.	Tôi cảm thấy rất lạnh.
I have some time.	Có có một ít thời gian.
I have two books.	Tôi có 2 quyển sách.
I have two books.	Tao có 2 quyển sách.
I have two books.	Tôi có hai cuốn sách.
I like pop music.	Tôi thích nhạc pop.
I like pop music.	Tôi thích nghe nhạc pop.
I like to travel.	Tôi thích đi du lịch.
I love astronomy.	Tôi yêu thích thiên văn học.
I need more time.	Tôi cần thêm thì giờ.
I planted a tree.	Tôi đã trồng một cái cây.
I told the truth.	Tôi đã nói ra sự thật.
I wasn't worried.	Tôi đã thôi lo nghĩ.
I wasn't worried.	Tôi đã không lo lắng.
I won't be going.	Tôi sẽ không đi.
I wrote the book.	Tôi đã viết cuốn sách.
I'm a journalist.	Tôi là nhà báo.
I'm an insomniac.	Tôi hay bị mất ngủ.
I'm by your side.	Tôi ủng hộ bạn.
I'm going to run.	Tớ chuẩn bị chạy.
I'm hard working.	Tôi là một người chăm chỉ.
I'm in pain here.	Tôi bị đau ở chỗ này.
I'm not a doctor.	Tôi không phải là bác sĩ.
Is Tom all right?	Tom ổn chứ?
Is Tom still mad?	Tom vẫn còn cáu à?
Is that the plan?	Kế hoạch đấy à?
Is your dog mean?	Chó nhà bạn có dữ không?
Is your dog mean?	Chó của bạn có hung dữ không?
It might explode.	Nó có thể nổ.
It's kind of hot.	Nó khá nóng đấy.
Let's have a try.	Thử xem nào.
Let's keep going.	Chúng ta đi tiếp thôi nào.
Let's keep going.	Chúng ta tiếp tục thôi nào.
My eyes are sore.	Mắt tôi đang bị đau.
My place is here.	Chỗ của tôi ở đây.
My place is here.	Chỗ của tao ở đây.
People are dying.	Người người đang chết dần.
Put the box down.	Đặt cái hộp xuống.
She seems OK now.	Hiện tại nó có vẻ ổn.
She seems OK now.	Hiện tại cô ta có vẻ ổn.
She seems OK now.	Hiện tại cô ấy có vẻ ổn.
She seems OK now.	Hiện tại chị ấy có vẻ ổn.
She seems OK now.	Hiện tại bà ấy có vẻ ổn.
Take Tom outside.	Hãy đưa Tom ra ngoài đi.
Take Tom outside.	Đưa Tom ra ngoài đi.
The battery died.	Pin chết.
The dogs are wet.	Lũ chó bị ướt sũng.
There's no limit.	Không có giới hạn.
They all love me.	Họ đều yêu tôi.
They arrested me.	Họ bắt tôi.
This doesn't fit.	Cái này không vừa.
This is gasoline.	Đây là xăng.
This will be fun.	Sẽ vui đây.
Tom bounced back.	Tom đã khỏe lại.
Tom ought to win.	Tom chắc chắn sẽ thắng.
Tom was executed.	Tom đã bị tử hình.
Try another door.	Hãy thử một cánh cửa khác.
We can do better.	Chúng ta có thể làm tốt hơn.
We can do better.	Chúng tôi có thể làm tốt hơn.
We can't give up.	Chúng ta không thể bỏ cuộc.
We can't give up.	Chúng ta không thể từ bỏ.
We can't give up.	Chúng tôi không thể bỏ cuộc.
We used to fight.	Chúng tôi từng đánh nhau.
We used to fight.	Chúng tôi từng đối đầu nhau.
We used to fight.	Chúng tôi từng cãi nhau.
What do you want?	Bạn muốn gì?
What's your name?	Tên bạn là gì?
Where can I park?	Đậu xe ở đâu vậy?
Where is my comb?	Lược của tôi đâu rồi?
Where is the dog?	Chó đâu rồi?
Where is the dog?	Con chó đâu rồi?
Where is the dog?	Chó mô rồi?
Where's the food?	Đồ ăn đâu rồi?
Where's the food?	Đồ ăn đâu?
Where's your dog?	Con chó của cậu đâu rồi?
Whose turn is it?	Đến lượt ai đây?
Whose turn is it?	Bây giờ đến lượt ai?
Words failed her.	Cô ấy đã không nói nên lời.
Write with a pen.	Anh hãy viết bằng bút mực.
You made Tom cry.	Tôi khiến Tom khóc.
You'll regret it.	Bạn sẽ hối hận về điều đó.
You're very kind.	Bạn rất tốt bụng.
A mule kicked Tom.	Một con la đã đá vào Tom.
A storm is coming.	Một cơn bão sắp đến.
A storm is coming.	Trời có vẻ sắp bão rồi.
Am I under arrest?	Tôi bị bắt à?
Are you a vampire?	Bạn có phải là ma cà rồng không?
Are you a vampire?	Bạn có phải là ma cà rồng hay không?
Are you all right?	Bạn có sao không?
Are you all right?	Bạn có làm sao không?
Are you busy, Tom?	Tom này, bạn có bận không?
Are you in a rush?	Bạn đang vội à?
Aren't you hungry?	Cậu không đói sao?
Can I pay by Visa?	Thanh toán bằng Visa được chứ?
Can you advise me?	Bạn có thể cho tôi vài lời khuyên được không?
Can you decode it?	Bạn có giải mã được cái đó không?
Can you feel this?	Bạn có cảm nhận được điều đó không?
Come on, admit it.	Thôi nào, thừa nhận đi.
Come on, hurry up.	Thôi nào, nhanh lên đi.
Did Tom know Mary?	Tom có quen Mary không?
Did Tom need help?	Tom có cần giúp đỡ không?
Do you have a car?	Bạn có ô tô không?
Does she know you?	Cô ấy có biết bạn không vậy?
Does she know you?	Cô ấy có biết bạn không?
Don't be childish.	Đừng có trẻ con như vậy.
Don't talk to Tom.	Đừng nói chuyện với Tom.
Haste makes waste.	Dục tốc bất đạt.
He arrived safely.	Anh ấy đã đến nơi an toàn.
He pushed past me.	Anh ta đẩy qua tôi.
He speaks English.	Ông ấy nói tiếng Anh.
He speaks English.	Anh ấy nói tiếng Anh.
He struck a match.	Anh ấy đã quẹt diêm.
He struck a match.	Ông ta đã quẹt một que diêm.
Hey, it's snowing.	A, có tuyết kìa!
Hold that thought.	Dừng lại đây đã.
How did you reply?	Bạn đã trả lời như thế nào?
How's your father?	Ba của bạn sao rồi?
I agreed with Tom.	Tôi đồng tình với Tom.
I am eating fruit.	Tôi đang ăn hoa quả.
I beg your pardon?	Ông có thể nói lại một lần nữa được không ạ?
I beg your pardon?	Cô có thể nói lại được không ạ?
I can't do it now.	Tôi không thể thực hiện nó lúc này.
I can't stand him.	Tôi không thể chịu được anh ta.
I can't swim well.	Tôi bơi không giỏi.
I don't eat bread.	Tôi không ăn bánh mì.
I don't swim well.	Tôi bơi không giỏi.
I have a headache.	Tôi bị nhức đầu.
I have a headache.	Tôi bị đau đầu.
I have some gifts.	Tôi có vài món quà.
I know how to ski.	Tôi biết trượt tuyết.
I like being busy.	Tôi thích bận rộn.
I like your beard.	Tôi thích bộ râu của bạn.
I must leave here.	Tôi phải rời khỏi đây.
I really like him.	Tôi thực sự thích anh ta.
I really like him.	Tôi thực sự thích cậu ta.
I said I'll do it.	Tôi đã nói là tôi sẽ làm mà.
I think Tom is in.	Tôi nghĩ là Tom đang ở bên trong.
I want a lot more.	Tôi muốn nhiều hơn.
I wasn't involved.	Tôi không liên quan.
I wasn't involved.	Tôi không có liên quan.
I went to the zoo.	Tôi đã tới vườn thú.
I'll come at once.	Tôi sẽ đến một lần.
I'll eat anything.	Tôi sẽ ăn bất cứ thứ gì.
I'll go to school.	Tôi sẽ đi học.
I'm going to swim.	Tôi sẽ đi bơi.
Is there a reward?	Có phần thưởng hay không?
Is this a problem?	Đây có phải vấn đề không?
It makes no sense.	Nó chẳng có ý nghĩa gì cả.
It's a lot of fun.	Thật vui.
It's an old piano.	Đó là một chiếc đàn piano cũ.
It's easy for Tom.	Với Tom nó chỉ là chuyện nhỏ.
It's gotten worse.	Tình hình bắt đầu trở nên tồi tệ.
It's part of life.	Nó là một phần của cuộc sống.
It's payback time.	Đã đến lúc trả đũa rồi.
It's payback time.	Đến lúc trả đũa rồi.
It's payback time.	Đã đến lúc trả thù rồi.
It's time for bed.	Đã đến giờ đi ngủ.
Keep your hair on!	Giữ tóc của bạn ở đó!
Let's not do that.	Đừng làm điều đó.
Life is too short.	Cuộc đời quá ngắn ngủi.
Please be serious.	Làm ơn nghiêm túc đi.
Prices are rising.	Vật giá đang tăng.
She likes to read.	Cô ấy thích đọc sách báo.
She sells flowers.	Cô ta bán hoa.
Sign here, please.	Vui lòng ký vào đây.
Silence is golden.	Im lặng là vàng.
Someone's singing.	Có ai đó đang hát.
Thanks a lot, Tom.	Cám ơn Tom rất nhiều.
That can't happen.	Không thể có chuyện đó.
That girl is Mary.	Cô gái kia là Mary.
That won't happen.	Điều đó sẽ không xảy ra.
That won't happen.	Điều đó sẽ không xảy ra đâu.
That's all I have.	Đó là tất cả những gì mà tôi có.
The sun is rising.	Mặt trời đang lên.
The trunk is open.	Cái va li đang mở.
The trunk is open.	Cái thùng xe hơi đang mở.
There is no limit.	Không có giới hạn.
They haven't left.	Họ chưa đi.
They went fishing.	Họ đã đi câu cá.
They were married.	Chúng nó cưới nhau rồi.
They were married.	Họ đã lấy nhau rồi.
They were married.	Họ lấy nhau rồi.
They were married.	Bọn họ đã lấy nhau rồi.
They're all dying.	Tất cả bọn họ đều đang chết dần.
This dog is white.	Con chó này màu trắng.
Tom doesn't smile.	Tom không cười.
Tom had no hat on.	Tom không đội mũ
Tom is my brother.	Tom là anh trai của tôi.
Tom is my brother.	Tom là em trai của tôi.
Tom is recovering.	Tom đang dần hồi phục.
Tom isn't resting.	Tom không nghỉ.
Tom isn't resting.	Tom không nghỉ ngơi.
Tom wants to swim.	Tom muốn đi bơi.
Tom was depressed.	Tom đã bị chán nản.
Tom was in heaven.	Tom đã ở trên thiên đường.
We don't know why.	Tôi không biết tại sao.
We gave them food.	Chúng tôi cho họ đồ ăn.
We gave them food.	Chúng tôi tặng họ thức ăn.
We know this song.	Tụi tao biết bài hát này.
We know this song.	Chúng tôi biết bài hát này.
We'll let Tom try.	Để Tom thử đi.
We're all excited.	Chúng tôi đều rất hứng thú.
What did you make?	Bạn đã tạo ra cái gì rồi ?
What'll we do now?	Chúng ta sẽ làm gì bây giờ?
Where do you live?	Bạn sống ở đâu?
Which one's yours?	Cái nào là của bạn?
Why can't he come?	Sao anh ta không đến được?
Why can't he come?	Tại sao anh ta không thể đến được?
You are beautiful.	Bạn đẹp quá.
You could help me.	Bạn có thể giúp tôi.
You should try it.	Bạn nên thử nó.
You shouldn't lie.	Cậu không nên nói dối.
You two stay here.	Hai người ở lại đây.
A cat has two ears.	Con mèo có hai cái tai.
Are you blaming me?	Anh đổ lỗi cho tôi ư?
Are you busy today?	Hôm nay ban có rãnh không?
Are you happy here?	Ở đây bạn có hạnh phúc?
Can I see that one?	Hãy cho tôi xem cái kia.
Do you play soccer?	Bạn có chơi bóng đá không?
Do you want to eat?	Đi ăn không?
Do you want to see?	Bạn có muốn xem không?
Does Tom know Mary?	Tom có biết Mary không?
Does it hurt a lot?	Có đau lắm không?
Everyone hates Tom.	Tất cả mọi người đều ghét Tom.
Everyone likes her.	Mọi người đều thích cô ấy.
Everyone likes her.	Tất cả mọi người đều thích cô ấy.
Get over here, Tom.	Qua bên này đi Tom.
He got back at six.	Anh ta quay trở lại vào lúc 6 giờ.
He returned at six.	Anh ta quay trở lại vào lúc 6 giờ.
He won't like this.	Nó sẽ không thích cái này.
He won't like this.	Anh ấy sẽ không thích cái này.
He won't like this.	Nó sẽ không ưa cái này.
He won't like this.	Ông ta sẽ không ưa cái này.
He won't like this.	Nó sẽ không thích điều này.
He won't like this.	Nó sẽ không thích việc này.
He's a patient man.	Anh ấy là một người kiên trì.
Here comes the bus!	Xe buýt đến rồi.
I can ride a horse.	Tôi có thể cưỡi ngựa.
I can ride a horse.	Tôi biết cưỡi ngựa.
I can't believe it!	Tôi không tin!
