I'm OK.	Mən yaxşıyam.
Stop the train.	Qatarı saxlayın!
Surfing is fun.	Sörfinq əyləncəlidir.
The birds sang.	Quşlar oxudular.
They were busy.	Onlar məşğul idilər.
They're guests.	Onlar qonaqdırlar.
This is a harp.	Bu arfadır.
Tom gave blood.	Tom qan verdi.
Tom hates cats.	Tom pişiklərə nifrət edir.
Tom looks sick.	Tom xəstə görünür.
Tom loves cats.	Tom pişikləri sevir.
Tom was better.	Tom daha yaxşı idi.
We had to walk.	Biz yeriməli olduq.
We've seen him.	Biz onu görmüşük.
Wipe your nose.	Burnunu sil.
You were right.	Siz haqlı idiniz.
Black suits you.	Qara sənə yaraşır.
Cats like boxes.	Pişiklər qutuları xoşlayırlar.
Close your book.	Kitabı ört.
Congratulations!	Təbriklər.
Did Tom see you?	Tom səni gördü?
Dinner's at six.	Axşam yeməyi saat altıdadır.
Do you like rap?	Rep xoşlayırsan?
Doesn't it work?	Bu işləmir?
Don't be greedy.	Görməmiş olma!
Don't be stingy.	Simic olma!
Don't be stingy.	Xəsis olma!
Don't come back.	Geri gəlmə.
Don't forget it.	Onu unutma.
Don't start yet.	Hələ başlama.
Drink your milk.	Südünü iç.
Green suits you.	Yaşıl sənə yaraşır.
He has gone out.	O gedib.
He is a teacher.	O, müəllimdir.
He's a gardener.	O bağbandır.
He's dead-tired.	O taqətdən düşüb.
Here's the bill.	Bu da hesab.
I am from Egypt.	Mən Misirdənəm.
I am from Spain.	Mən İspaniyadanam.
I am not afraid.	Mən qorxmuram.
I ate the apple.	Almanı mən yedim.
I bit my tongue.	Mən dilimi dişlədim.
I can't see Tom.	Mən Tomu görə bilmirəm.
I couldn't wait.	Gözləyə bilmədim.
I couldn't walk.	Yeriyə bilmirdim.
I couldn't walk.	Mən yeriyə bilmədim.
I didn't forget.	Mən unutmadım.
I didn't listen.	Mən qulaq asmadım.
I didn't scream.	Mən qışqırmadım.
I hate weddings.	Toylardan zəhləm gedir.
I have finished.	Mən qurtarmışam.
I have to sleep.	Mən yatmalıyam.
I have two cats.	Mənim iki pişiyim var.
I haven't eaten.	Mən yeməmişəm.
I haven't slept.	Yatmamışam.
I haven't tried.	Mən yoxlamamışam.
I just finished.	Mən elə indicə qurtardım.
I like them all.	Onların hamısından xoşum gəlir.
I live in Japan.	Mən Yaponiyada yaşayıram.
I lost interest.	Marağımı itirdim.
I saw something.	Nəisə gördüm.
I totally agree.	Mən tamamilə razıyam.
I want an apple.	Alma istəyirəm.
I want that bag.	Mən o çantanı istəyirəm.
I was a teacher.	Mən müəllim idim.
I was surprised.	Mən təəccüblənmişdim.
I wasn't joking.	Mən zarafat etmirdim.
I will continue.	Mən davam edəcəm.
I would've paid.	Mən ödəyərdim.
I'd be grateful.	Minnətdar olardım.
I'll be outside.	Mən bayırda olacam.
I'll sleep here.	Mən burada yatacam.
I'm just joking.	Mən sadəcə zarafat edirəm.
I'm not arguing.	Mən mübahisə etmirəm.
I'm not perfect.	Mən mükəmməl deyiləm.
I'm not thirsty.	Mən susamamışam.
I'm not waiting.	Mən gözləmirəm.
I'm not working.	Mən işləmirəm.
Is this a radio?	Bu radiodur?
Is this a river?	Bu çaydır?
Is this spinach?	Bu ispanaqdır?
It's just blood.	Bu sadəcə qandır.
It's not a fish.	Bu balıq deyil.
Jesus loves you.	İsa sizi sevir.
Jesus loves you.	İsa səni sevir.
Look at the cat.	Pişiyə bax.
Look at the sky.	Səmaya bax.
Money is needed.	Pul lazımdır.
Nobody was home.	Evdə heç kim yox idi.
Pass me the pen.	Qələmi mənə ver.
She calmed down.	O sakitləşdi.
She looks young.	O cavan görünür.
The car is blue.	Maşın mavidir.
The car is blue.	Maşın göydür.
The cup is full.	Fincan doludur.
The sky is blue.	Səma mavidir.
There's no salt.	Duz yoxdur.
They all hugged.	Onlar hamısı qucaqlaşdılar.
They believe it.	Onlar buna inanırlar.
They caught Tom.	Onlar Tomu tutdular.
They deserve it.	Onlar buna layiqdirlər.
They didn't run.	Onlar qaçmadılar.
They don't care.	Onların vecinə deyil.
They don't help.	Onlar kömək etmirlər.
They helped Tom.	Onlar Toma kömək etdilər.
They hugged Tom.	Onlar Tomu qucaqladılar.
They lost again.	Onlar yenə uduzdular.
They want peace.	Onlar sülh istəyirlər.
They won't care.	Onların vecinə olmayacaq.
They won't come.	Onlar gəlməyəcəklər.
They're talking.	Onlar söhbət edirlər.
Today is Monday.	Bu gün bazar ertəsidir.
Tom is a writer.	Tom yazıçıdır.
Tom is bleeding.	Tomun qanaxması var.
Tom is busy now.	Tom indi məşğuldur.
Tom is no angel.	Tom mələk deyil.
Tom is training.	Tom məşq edir.
Tom killed Mary.	Tom Merini öldürdü.
Tom tried again.	Tom yenə cəhd etdi.
Tom was with me.	Tom mənimlə idi.
Tom's very lazy.	Tom çox tənbəldir.
Turn off the TV.	Televizoru söndür.
Unlock the door.	Qapını aç!
Unlock the door.	Qapını açın!
We declared war.	Biz müharibə elan etdik.
We eat together.	Biz birlikdə yeyirik.
We never forget.	Biz heç vaxt unutmuruq.
We were talking.	Biz söhbət edirdik.
We won't forget.	Biz unutmayacağıq.
We'll know soon.	Tezliklə bilərik.
We'll stay here.	Biz burada qalacağıq.
We'll wait here.	Biz burada gözləyəcəyik.
We're all going.	Biz hamımız gedirik.
What did he say?	O nə dedi?
What scared you?	Səni nə qorxutdu?
What scared you?	Sizi nə qorxutdu?
What's the time?	Saat neçədir?
A bird has wings.	Quşun qanadları olur.
A cab is waiting.	Taksi gözləyir.
Are they friends?	Onlar dostdurlar?
Are you my enemy?	Sən mənim düşmənimsan?
Are you pregnant?	Sən hamiləsən?
Birds have wings.	Quşların qanadları olur.
Birds have wings.	Quşların qanadları var.
Did the dog bark?	İt hürdü?
Do you know them?	Onları tanıyırsan?
Eat your spinach.	İspanağını ye!
Give me an apple.	Mənə bir alma ver.
Give me one more.	Mənə birini də ver!
He is an acrobat.	O, akrobatdır.
He is dead drunk.	O, lülqənbərdir.
He is his friend.	O onun dostudur.
He is my teacher.	O mənim müəllimimdir.
He isn't perfect.	O mükəmməl deyil.
He loves animals.	O, heyvanları sevir.
He needs a towel.	Ona dəsmal lazımdır.
He used his head.	O, başını işlətdi.
He was in France.	O Fransada idi.
He was my friend.	O mənim dostum idi.
He's still alive.	O hələ sağdır.
Her hair is long.	Onun saçı uzundur.
I am against war.	Mən müharibənin əleyhinəyəm.
I am from Norway.	Mən Norveçdənəm.
I don't eat meat.	Mən ət yemirəm.
I don't know you.	Sizi tanımıram.
I don't know you.	Səni tanımıram.
I feel powerless.	Mən özümü gücsüz hiss edirəm.
I hate asparagus.	Qulançardan zəhləm gedir.
I hate computers.	Kompüterlərdən zəhləm gedir.
I have two books.	Mənim iki kitabım var.
I just opened it.	Mən bunu elə indicə açdım.
I know who he is.	Mən bilirəm o kimdir.
I like this game.	Bu oyundan xoşum gəlir.
I live in Boston.	Mən Bostonda yaşayıram.
I love Australia.	Mən Avstraliyanı sevirəm.
I sat among them.	Mən onların arasında oturdum.
I sat among them.	Mən onların arasında əyləşdim.
I think I'm sick.	Deyəsən xəstələnmişəm.
I understand Tom.	Mən Tomu başa düşürəm.
I was born there.	Mən orada doğulmuşam.
I was in the car.	Mən maşında idim.
I was very tired.	Mən çox yorğun idim.
I won't need you.	Sənə ehtiyacım olmayacaq.
I'm Tom's driver.	Mən Tomun sürücüsüyəm.
I'm a translator.	Mən tərcüməçiyəm.
I'm afraid to go.	Mən getməyə qorxuram.
I'm confused now.	Çaşıb qalmışam.
I'm losing blood.	Mən qan itirirəm.
It's a sunflower.	Bu günəbaxandır.
It's not a bribe.	Bu rüşvət deyil.
Japan is in Asia.	Yaponiya Asiyadadır.
Just follow them.	Sadəcə onları izlə.
Let me do my job.	Qoy işimi görüm!
Look at your map.	Xəritənə bax.
No one helped me.	Heç kim mənə kömək etmədi.
Open these doors.	Bu qapıları açın!
Please don't die!	Xahiş edirəm, ölmə!
Rome is in Italy.	Roma İtaliyadadır.
School is boring.	Məktəb darıxdırıcıdır.
She is a teacher.	O müəllimədir.
She is beautiful.	O gözəldir.
She likes to run.	O qaçmağı sevir.
That made me mad.	O, məni dəli etdi.
The apple is red.	Alma qırmızıdır.
The book is mine.	Kitab mənimdir.
The cat is black.	Pişik qaradır.
The dog is white.	İt ağdır.
The door is open.	Qapı açıqdır.
The salt ran out.	Duz qalmayıb.
This book is old.	Bu kitab köhnədir.
This is an apple.	Bu almadır.
This is not salt.	Bu duz deyil.
This is your dog.	Bu sizin itinizdir.
Tom didn't reply.	Tom cavab vermədi.
Tom hates school.	Tomun məktəbdən zəhləsi gedir.
Tom is no genius.	Tom dahi deyil.
Tom is sensitive.	Tom həssasdır.
Tom is very kind.	Tom çox mehribandır.
Tom noticed Mary.	Tom Mary'nin fərqinə vardı.
Tom quit his job.	Tom işdən çıxdı.
Tom winked at me.	Tom mənə göz vurdu.
We have two ears.	Bizim iki qulağımız var.
We'll meet again.	Biz yenə görüşəcəyik.
What is going on?	Nə baş verir?
Who doesn't know?	Kim bilmir?
Who was not here?	Kim burada deyildi?
Winter is coming.	Qış gəlir.
A leaf is falling.	Yarpaq düşür.
Cocaine is a drug.	Kokain narkotikdir.
Cows give us milk.	İnəklər bizə süd verirlər.
Do you have a car?	Maşının var?
Do you want a car?	Maşın istəyirsiniz?
Do you want a car?	Maşın istəyirsən?
Everyone is ready.	Hamı hazırdır.
Everyone loves me.	Hamı məni sevir.
Everyone loves me.	Məni hər kəs sevir.
Follow your heart.	Ürəyinin səsinə qulaq as.
God is everywhere.	Allah hər yerdədir.
He broke my heart.	O mənim ürəyimi qırdı.
He chewed his gum.	O saqqızını çeynədi.
He has three sons.	Onun üç oğlu var.
He hates shopping.	Onun bazarlıq etməkdən zəhləsi gedir.
He is from France.	O Fransadandır.
He is in the pink.	O çəhrayı geyinib.
He wants an apple.	O alma istəyir.
How does he do it?	O bunu necə edir?
I am afraid to go.	Mən getməyə qorxuram.
I am from Ecuador.	Mən Ekvadordanam.
I bought a cactus.	Mən kaktus aldım.
I drank the water.	Mən suyu içdim.
I have black eyes.	Mənim qara gözlərim var.
I have many discs.	Mənim çoxlu diskim var.
I have no friends.	Mənim dostum yoxdur.
I have three kids.	Üç uşağım var.
I like watermelon.	Mən qarpız xoşlayıram.
I love sunflowers.	Günəbaxanlardan xoşum gəlir.
I need an ashtray.	Mənə külqabı lazımdır.
I need some sleep.	Mənə biraz yatmaq lazımdır.
I never had a car.	Heç vaxt maşınım olmayıb.
I saved your life.	Mən sənin həyatını xilas etdim.
I saved your life.	Mən sizin həyatınızı xilas etdim.
I want to eat now.	Mən indi yemək istəyirəm.
I was watching TV.	Mən televizora baxırdım.
I went to Harvard.	Mən Harvarda getdim.
I will do my best.	Mən əlimdən gələni edəcəm.
I'll be over here.	Mən burada olacağam.
I've lost my keys.	Mən açarlarımı itirmişəm.
Is it raining now?	İndi yağış yağır?
Is it raining now?	Yağır indi?
Is this seat free?	Bu yer boşdur?
Is this your room?	Bu sənin otağındır?
It was a good day.	Yaxşı gün idi.
It's Tom's office.	Bu Tomun ofisidir.
It's a dictionary.	Bu lüğətdir.
It's dark in here.	Burada içəridə qaranlıqdır.
It's getting dark.	Hava qaralır.
Keep away from me.	Məndən uzaq dur.
My heart's aching.	Ürəyim ağrıyır.
My knife is sharp.	Mənim bıçağım itidir.
Our team is ready.	Bizim komandamız hazırdır.
Pink is for girls.	Çəhrayı qızlar üçündür.
Roses have thorns.	Qızılgüllərin tikanları olur.
She ate one apple.	O bir dənə alma yedi.
She is thirty-one.	Onun otuz bir yaşı var.
She speaks German.	O almanca danışır.
That was our plan.	O bizim planımız idi.
The black dog ran.	Qara it qaçdı.
The floor is cold.	Döşəmə soyuqdur.
The room was dark.	Otaq qaranlıq idi.
The train stopped.	Qatar dayandı.
The war continued.	Müharibə davam etdi.
The war had ended.	Müharibə sona çatmışdı.
The water is good.	Su yaxşıdır.
The water is pure.	Su safdır.
The water is pure.	Su təmizdir.
They're beautiful.	Onlar gözəldirlər.
They're not happy.	Onlar xoşbəxt deyillər.
Think about death.	Ölüm haqqında düşün.
This apple is bad.	Bu alma pisdir.
This car is black.	Bu maşın qaradır.
This dog is white.	Bu it ağdır.
This is her house.	Bu onun evidir.
This is his house.	Bu onun evidir.
This is my father.	Bu mənim atamdır.
This is my friend.	Bu mənim dostumdur.
This is your fate.	Bu sənin taleyindir.
This is your fate.	Bu sizin taleyinizdir.
This isn't silver.	Bu gümüş deyil.
Today is Saturday.	Bu gün şənbədir.
Tom broke my nose.	Tom mənim burnumu qırdı.
Tom hated spinach.	Tomun ispanaqdan zəhləsi gedirdi.
Tom is Mary's son.	Tom Merinin oğludur.
Tom is a gardener.	Tom bağbandır.
Tom is a murderer.	Tom qatildir.
Tom is big-headed.	Tom özündənrazıdır.
Tom is dead drunk.	Tom lülqənbərdir.
Tom is my brother.	Tomas mənim qardaşımdır.
Tom is not a hero.	Tom qəhrəman deyil.
Tom is reading it.	Tom onu oxuyur.
Tom is really mad.	Tom həqiqətən dəlidir.
Tom is recovering.	Tom yaxşılaşır.
Tom is recovering.	Tom sağalır.
Tom is ridiculous.	Tom gülüncdür.
Tom is the killer.	Qatil Tomdur.
Tom is the leader.	Tom liderdir.
Tom isn't in jail.	Tom həbsxanada deyil.
Tom isn't jealous.	Tom qısqanc deyil.
Tom returned home.	Tom evə qayıtdı.
Tom used his head.	Tom başını işlətdi.
Tom vomited blood.	Tom qan qusdu.
Tom wasn't moving.	Tom tərpənmirdi.
Tom will find you.	Tom səni tapacaq.
Tom will find you.	Tom sizi tapacaq.
Tom won't want it.	Tom bunu istəməyəcək.
We aren't friends.	Biz dost deyilik.
We can't find Tom.	Biz Tomu tapa bilmirik.
We don't like you.	Bizim səndən xoşumuz gəlmir.
We tried our best.	Biz əlimizdən gələni etdik.
We were both busy.	Biz ikimiz də məşğul idik.
We're against war.	Biz müharibənin əleyhinəyik.
What does it mean?	Bu nə deməkdir?
What is happiness?	Xoşbəxtlik nədir?
What's in the box?	Qutuda nə var?
Where is Room 105?	105-ci otaq haradadır?
Where's my driver?	Mənim sürücüm hanı?
Where's the vodka?	Vodka hanı?
Where's the vodka?	Vodka haradadır?
Yes, I kissed him.	Hə, onu öpdüm.
You can't stop me.	Siz məni dayandıra bilməzsiniz.
You can't stop me.	Məni dayandıra bilməzsən.
You have no heart.	Sizin ürəyiniz yoxdur.
You're the driver.	Sürücü sənsən.
You're the driver.	Sürücü sizsiniz.
You're too skinny.	Siz çox arıqsınız.
A lot has happened.	Çox şey baş verib.
All apples are red.	Bütün almalar qırmızıdırlar.
Am I too demanding?	Mən çox tələbkaram?
Are you a Buddhist?	Siz buddistsiniz?
Are you a Buddhist?	Sən buddistsən?
He has a long nose.	Onun uzun burnu var.
He is a bad driver.	O pis sürücüdür.
He is a bus driver.	O avtobus sürücüsüdür.
He is only a child.	O, tək uşaqdır.
He is thick-headed.	O kütbeyindir.
Here, take my coat.	Al, mənim paltomu götür.
I also like apples.	Mən də alma xoşlayıram.
I am from Columbia.	Mən Kolumbiyadanam.
I am from Portugal.	Mən Portuqaliyadanam.
I am not a monster.	Mən qulyabanı deyiləm.
I am not a prophet.	Mən peyğəmbər deyiləm.
I ate some spinach.	Mən bir az ispanaq yedim.
I burned my finger.	Barmağımı yandırdım.
I can go next week.	Gələn həftə gedə bilərəm.
I can't explain it.	Mən bunu izah edə bilmirəm.
I hate my eyebrows.	Qaşlarımdan zəhləm gedir.
I have a white cat.	Mənim ağ pişiyim var.
I looked around me.	Ətrafıma baxdım.
I looked around me.	Ətrafıma göz gəzdirdim.
I love butterflies.	Kəpənəkləri sevirəm.
I saw an explosion.	Mən bir partlayış gördüm.
I think I know why.	Deyəsən bilirəm niyə.
I used to hate Tom.	Mən əvvəllər Toma nifrət edərdim.
I want to kiss Tom.	Tomu öpmək istəyirəm.
I want to know why.	Bilmək istəyirəm niyə.
I want to know why.	Niyəsini bilmək istəyirəm.
I wanted red shoes.	Mən qırmızı ayaqqabılar istədim.
I was very careful.	Mən çox diqqətli idim.
I'm afraid of owls.	Mən bayquşlardan qorxuram.
I'm from Australia.	Mən Avstraliyadanam.
I'm just a teacher.	Mən sadəcə müəlliməm.
I'm sorry for this.	Buna görə təəssüf edirəm.
I've been too busy.	Mən çox məşğul idim.
I've cut my finger.	Barmağımı kəsmişəm.
Is there hot water?	İsti su var?
Is this seat empty?	Bu yer boşdur?
It helped me a lot.	Bu mənə çox kömək oldu.
It is Monday today.	Bu gün bazar ertəsidir.
It wasn't my fault.	Bu mənim günahım deyildi.
It's too dangerous!	Bu çox təhlükəlidir!
Italy is in Europe.	İtaliya Avropadadır.
Italy isn't Greece.	İtaliya Yunanıstan deyil.
Look up at the sky.	Səmaya bax.
Mars has two moons.	Marsın iki peyki var.
My heart is broken.	Qəlbim qırıqdır.
My knife is broken.	Bıçağım sınıb.
My nose is running.	Burnum axır.
My nose is too big.	Mənim burnum çox böyükdür.
Nobody wants a war.	Heç kim müharibə istəmir.
Owls have big eyes.	Bayquşların böyük gözləri olur.
Owls hunt at night.	Bayquşlar gecələr ov edirlər.
Prices are falling.	Qiymətlər düşür.
She loves children.	O uşaqları sevir.
She won't be ready.	O hazır olmayacaq.
She's a bus driver.	O, avtobus sürücüsüdür.
She's thirty-three.	Onun otuz üç yaşı var.
The baby is asleep.	Körpə yatır.
The baby is crying.	Körpə ağlayır.
The bread is fresh.	Çörək təzədir.
The dog wants meat.	İt ət istəyir.
The earth is round.	Yer kürə şəklindədir.
The ship is at sea.	Gəmi dənizdədir.
The sun is setting.	Günəş batır.
The sun is shining.	Günəş işıq saçır.
The table is green.	Stol yaşıldır.
The water was blue.	Su mavi idi.
The water was warm.	Su isti idi.
The window is open.	Pəncərə açıqdır.
There's no mistake.	Səhv yoxdur.
They didn't see it.	Onlar onu görmədilər.
They were soldiers.	Onlar əsgər idilər.
This is a hospital.	Bu xəstəxanadır.
This is from Spain.	Bu İspaniyadandır.
This is my bicycle.	Bu mənim velosipedimdir.
This is my brother.	Bu mənim qardaşımdır.
Tom broke his nose.	Tom burnunu sındırdı.
Tom cut his finger.	Tom barmağını kəsdi.
Tom has a big nose.	Tom yekə burnu var.
Tom is chewing gum.	Tom saqqız çeynəyir.
Tom is gravely ill.	Tom ağır xəstədir.
Tom is in the room.	Tom otaqdadır.
Tom salted his egg.	Tom yumurtasını duzladı.
Tom sold his house.	Tom evini satdı.
Tom was dead drunk.	Tom lülqənbər idi.
Tom's nose was red.	Tomun burnu qırmızı idi.
Water is important.	Su vacibdir.
We all have to die.	Biz hamımız ölməliyik.
We ate potato soup.	Biz kartof supu yedik.
We ate some apples.	Biz bir neçə alma yedik.
We don't like rain.	Biz yağış xoşlamırıq.
We grow wheat here.	Biz burada buğda yetişdiririk.
We were very happy.	Biz çox xoşbəxt idik.
We were very tired.	Biz çox yorğun idik.
We weren't friends.	Biz dost deyildik.
We'll be back soon.	Biz tezliklə qayıdacağıq.
We're already late.	Biz artıq geçikmişik.
What am I here for?	Mən niyə burdayam?
What am I here for?	Mən nə üçün buradayam?
When do owls sleep?	Bayquşlar nə vaxt yatırlar?
When's the wedding?	Toy nə vaxtdır?
Where are my shoes?	Mənim ayaqqabılarım haradadır?
Where is the train?	Qatar hanı?
Where is the train?	Qatar haradadır?
Where is the vodka?	Vodka hanı?
Where is the vodka?	Vodka haradadır?
Who was in the car?	Maşındakı kim idi?
Whose fault was it?	Bu kimin səhvi idi?
You aren't invited.	Siz dəvət olunmamısınız.
You broke my heart.	Ürəyimi qırdın.
You have no choice.	Sizin seçiminiz yoxdur.
You know everybody.	Sən hamını tanıyırsan.
You look very pale.	Çox solğun görünürsən.
You look very pale.	Çox solğun görünürsünüz.
