I did it.	Mı o ke.
I'll tell you what I want to do.	Eza to rê vaci ez qayıla sekera.
The cat which you found is mine.	A ké pisinga to diya a émına.
Tom stayed there for three days.	Tom ujad hirê roci mend.
You'd better not come back here.	Eke ti nêagêrî bi tîya do holêr bibo.
You'd better not come back here.	Eke ti nêagêra bi tîya do holêr bibo.
If it doesn't rain, let's go out.	Varış nê bose ma bı vıcyê teber.
Uncle Tom is my mother's brother.	Xalo Tom béra yé ma émıno.
Where is it that Tom wants to go?	O ké Tom o wazeno şıro kotiyo?
Where did you take your shoes off?	To kotid sewl ê xu veti?
Why don't you be quiet and listen?	Qandê çê şımayê bêveng nê benê u goştari nê kenê?
I want you to come with us tonight.	Ez wazena emşo tı ma ya piya bêrê.
Wait. I want to show you something.	Bêpaw. Ez wazena çi yê to bê mısna.
What did you say? I can't hear you.	To se va? Néşena aşnaw kera.
Can any of you tell me where Tom is?	Şımara ju şeno mı ré vaco Tom kotido?
How can these new technologies help?	Nê teknolojîyê neweyî senîhawa eşkenê hetkarî bikerê?
I closed my eyes and turned my head.	Mı çımê xû groti u sereyi xû tada.
I don't want to do anything tonight.	Emşo ez nê wazena çiyê bé kera.
Tom killed himself three months ago.	Tomi hiré mengi veri xu kışt.
I think Tom and Mary like each other.	Mırékı Tom u Mary péra h'eskené.
I want to know why you're doing this.	Ez qayıla bé mısa qandé çé tı yé ney kené.
Tom isn't the only one who came early.	Tom tek kes nîyo ke rew ameyo.
Tom was the only person who helped me.	Tom tek kes bi ke hetkarîya mi kerde.
I'm so hungry that I could eat a horse.	Ez hend veyşana kê şena ıstoré bura.
My father is so old that he can't work.	Qandé gırweynayén piyémı bol kokémo.
The boy and the man are drinking water.	Lacek u mêrdeko aw şımeno.
I'm ashamed to go out dressed like this.	Ez şermayaya bıvıjya teber, cınayo wunasi daya xura.
Tom expects all three of us to be there.	Tom paweno ke ma hîrê hemeyî uca de bîme.
It's been ten years since my father died.	Mergé pi é mı ra des ser'i o ravérd.
We live in a little house on Park Street.	Ma Cadeya Parkî de keyeyêko hurdî de ciwîyenîme.
I have one thousand and five hundred cows.	Hezar u panc sei mangeyi mı estê.
My father spends a lot of time on his hobby.	Pîyê mi seba hobîyanê xo wextê xo zaf xerc keno.
Tom has been in Boston visiting his parents.	Tom seba zîyaretkerdişê may û pîyê xo Boston de bi.
Do you know whether Tom is married or single?	Tı zevıcyaye yê yazi azebê?
That noise is probably going to irritate Tom.	O veng do muhtemelen narehetîye bido bi Tomî.
Would it be OK if I went to the zoo tomorrow?	Eke ez meşte şirî bi baxçeyê heywanan do problem nêbo, neke?
Don't worry. I'll look after your dog for you.	Me qehri. Qandê to ezo bewniya kutıki to.
I wasn't very hungry, so I decided to eat later.	Ez zaf vêşan nêbîya coka mi qerar da ke ez dima biwerî.
Tom is at the counter, drinking a cup of coffee.	Tom hemver de qûpayêk qehwe şimeno.
My father is two years younger than my mother is.	Piyé mı ma mı ra dı serri kıjo.
Tom tried one of the cookies that Mary had baked.	Tomî, qurabîyeyê ke Mary pewtê ra yewere ceribnê.
What do you do with your clothes when they are worn out?	Wexto ke çinayê to benê kehenî ti înan se kenî?
