Hello!	Äshazhoix!
Are you married?	Ümznäq kä ümz-yämti nyungz äsi nawx shäx?
Are you winning?	Ümznäq räq tai tälaüx khaztäz?
Call the police!	Pextax hiaz läq!
Can you help me?	Ümznäq ngiz mäx mi khärumx haü shäx?
Don't be afraid.	Naq haisawng kiq yawx.
Don't be afraid.	Naq yiaxsix kiq yawx.
Don't bother me.	Naq paqlaq.
How old are you?	Ümznäq äsak kä ümzcyu väx?
I have children.	Ngiz iz-sez tiim äsi.
I have two cats.	Iz-yaq nä mixmix kaü naix äsi.
I run every day.	Ngiz väranaiq tek yuz täkängx.
I want to dance.	Ngiz ävänumz rawx.
I want to learn.	Ngiz tälängzlaz rawx täkängx.
I'm going to go.	Ngiz äkai hawx nawx.
Look over there.	Naüx känä liix läq!
Merry Christmas!	Cyawcyi cyängz Khärisämat liiz!
Please sit down!	Kecyu mäq ngax läq!
Please sit down.	Kecyu mäq ngax läq.
What does he do?	Äpaiq kä yamlai väx shäm täläq?
Why are you sad?	Ümznäq yamtä väx dzänzbix raix tälaüx?
Are you Japanese?	Ümznäq kä Cyexpanx phan shäx?
Do you live here?	Ümznäq äyäq shäx si tälaüx?
I agree with you.	Ngiz ümznäq raix kiq räriz täkängx.
I am eating rice.	Ngiz kä dungx sia.
I am eating rice.	Ngiz kä dungx sia liiz.
I am in Rome now.	Ngiz kä ümzcyaüx Rawmaq cyezla nä.
I have been busy.	Ngiz kä mintsax vax li.
I like languages.	Ngiz phanphan bawmx-äsax rawx täkängx.
I'm proud of you.	Ngiz ümznäq mäx cyawcyi täkängx.
Nice to meet you.	Khawqriiq äyawng rähumx täkaix väx.
She smiled sadly.	Äpaiq bixshaq ma mäq naiyumz naiyix rätawx.
What did you say?	Yamlai väx nguz laüx?
What do you want?	Ümznäq yamlai rawx väx?
What do you want?	Yamlai väx ra täläq?
You should sleep.	Ümznäq äkawnx cyängz nawx.
Are you a student?	Ümznäq kä cyawngmang shäx?
Are you all right?	Ümznäq yam ra mäk khaztäz?
Do you have a car?	Ümznäq yaq nä noztoz äsi shäx?
Do you want to go?	Ümznäq äkai rawx shäx?
Do you want to go?	Ümznäq ävax rawx shäx?
I am a vegetarian.	Ngiz kä ngam-ängiq phaq mängx.
I am eating fruit.	Ngiz kä pedziz phaq.
I am not a doctor.	Ngiz kä taktawt rämängx.
I am not a doctor.	Ngiz kä tsiqshäraz rämängx.
I have a headache.	Ngiz khudzi tälawx.
It is sunny today.	Ümzcyaüx ranaiq rakiix mänäx.
Please forgive me.	Kecyu thaq, ngiz mäx map kuq vanx phä.
Please forgive me.	Kecyu thaq, ngiz mäx tälawq kuq vanx phä.
Tom can't come in.	Thawmz kä nyäp vaz dzü mäk.
What is your name?	Ümznäq mängx yamkhäx väx?
Where do you live?	Ümznäq ümbaz nä väx si tälaüx?
Why are you angry?	Ümznäq yamtä väx khiqriq raix tälaüx?
You are beautiful.	Ümznäq kä ätsawm viq.
You are my friend.	Ümznäq kä iz-kawngzti.
Do you remember me?	Ngiz tätsängx tälaüx shäx?
Do you want to eat?	Ümznäq äphaq rawx shäx?
Do you want to eat?	Ümznäq äsia rawx shäx?
I don't understand.	Ngiz räq khawn mängx.
I have two cousins.	Iz-saizvasez änaix äsi.
I have two cousins.	Nyungz-rü sez änaix äsi.
It's about to rain.	Rayunx hawx nawx.
She is helping him.	Äpaiq kä äpaiq mäx khärumx kuq tälawx.
She smiled happily.	Äpaiq khawqriiq hiax naiyumz naiyix rätawx.
What are you doing?	Ümznäq yamlai väx rätälaüx?
What are you doing?	Ümznäq yamlai väx shäm tälaüx?
Where are you from?	Ümznäq kä ümbaz väx väx?
Where does it hurt?	Ümrä baz nä väx dzi täläq?
Why are you afraid?	Ümznäq yamtä väx haisawng raix tälaüx?
Why are you afraid?	Ümznäq yamtä väx yiaxsix raix tälaüx?
Why are you crying?	Yamtä väx hawq tälaüx?
You are very brave.	Ümznäq kä koizlaz diax mänäx.
You are very brave.	Ümznäq kä äkhux viq mänäx.
Are you on Facebook?	Ümznäq thiadap Phesäbuk nä shäx?
Do you drink coffee?	Ümznäq kawzphiz nyängz tälaüx shäx?
Do you want to help?	Ümznäq äkhärumx rawx shäx?
Do you want to know?	Ümznäq äsäp rawx shäx?
Do you want to play?	Ümznäq ätädza rawx shäx?
Do you want to rest?	Ümznäq äkhing rawx shäx?
I am in Tokyo today.	Ngiz kä ümzcyaüx ranaiq Tokyo cyezla nä.
I have to leave now.	Ngiz ümzcyaüx tädawx cyängz nawx.
I will be back soon.	Ngiz äthix mi yängzvaz kängx.
Thank you for today.	Ümzcyaüx ranaiq mätux tesawra.
This is my computer.	Ärä kä iz-kubuta.
What are you eating?	Ümznäq yamlai väx phaqsiq tälaüx?
Where are you going?	Ümznäq ümbaz nä kai väx?
Who is your teacher?	Ümznäq shäraz kä yu väx?
Why are you dancing?	Ümznäq yamtä väx vänumx raix tälaüx?
Why did you call me?	Ümznäq räq ngiz yamtä väx hiaz laüx?
You have many books.	Ümznäq yaq nä laizdap pax hiax mänäx.
You look very tired.	Ümznäq mänäx niix hiax ngawx cyängz.
Do you feel OK today?	Ümznäq ümzcyaüx ranaiq ähia khaztäz?
Do you understand me?	Ümznäq ngiz mäx khawn tälaüx khaztäz?
Do you want to sleep?	Ümznäq äkawnx rawx shäx?
Does Tom know French?	Thawmz räq Färenz bawmx äsäp shäx?
I have a stomachache.	Ngiz vawkdzi.
I think you're right.	Ngiz räq tämaz kä ümznäq kä teng tawx ngawx cyängz.
It will rain tonight.	Ümzcyaüx rava ra mi yun.
My house is far away.	Iz-yäm kä lux hiax nä.
Sorry for being late.	Täyaix raix kängx khamäq äbix naq lap rawngx kiq yawx.
Thank you for coming.	Ümznäq saüxvax khamäq tesawra.
Thank you for coming.	Nämzshiq saüxvax khamäq tesawra.
Thank you for coming.	Ümznäq saüxvax khamäq kecyu äyawng.
Thank you for coming.	Nämzshiq saüxvax khamäq kecyu äyawng.
What are you cooking?	Ümznäq yamlai väx shawngzlum tälaüx?
Where is your father?	Ümz-vez ümbaz nä väx?
Where is your school?	Ümz-cyawng kä ümrä baz nä väx?
Why are you laughing?	Ümznäq yamtä väx nai siq tälaüx?
How long did you stay?	Ra ümzcyu väx si laüx?
I eat fish every week.	Ngiz cyezpat tek ngiq siq täkängx.
I have to go to sleep.	Ngiz äkawnx cyängz nawx.
They say it will rain.	Tsängxshiq räq ra mi yun nguztä nguz tawx.
Tom often wears black.	Thawmz räq kä khiasamx änyaq sam ruq diax.
Close the door, please.	Kecyu mäq, kixlü shaq läq.
Have you seen this man?	Ümznäq räq ärä vez mäx chiz laüx shäx?
I don't agree with you.	Ngiz ümznäq raix kiq räriz mängx.
I don't have any money.	Ngiz phä nä kämphaw sii shiz mänz ähüz.
I don't speak Japanese.	Ngiz Cyexpanx bawmx bawm mängx.
It was sunny yesterday.	Ümzyix ranaiq kä rakiix tawx.
Tom is a very nice boy.	Thawmz kä ähia viq vez läx.
We walked to the river.	Naizshiq tero yü nüx nä khum kiz kaix.
Where do you come from?	Ümznäq kä ümbaz väx väx?
Where do you come from?	Ümznäq ümbaz mäq väx kiz laüx?
Where do you come from?	Ümznäq ümbaz mäq väx vaz laüx?
Do you have a cellphone?	Ümznäq yaq nä mozbai fon äsi shäx?
How did you like Boston?	Bawsäton kä yamkhäx väx rawx tälaüx?
How much does this cost?	Ärä äthiiz ümzcyu väx?
I think about her often.	Ngiz äpaiq mäx yiiqhiaz yizviaz tämaz täkängx.
Mom will buy us a puppy.	Naz-nyungz räq nazshiq mäx kuxkux sez mi ri kuq.
Thank you for listening.	Bawmxtai ke khamäq tesawra.
Thank you for your help.	Khärumx ke khamäq tesawra.
This is my sister, Mary.	Ärä kä iz-naw, Meriz.
This is my sister, Mary.	Ärä kä iz-nyiz, Meriz.
He was alone in the room.	Äpaiq kä khawkz nä äpaiq hawnxhawnx li.
I can't live without you.	Ngiz ümznäq ähüz mäq si lawt mängx.
I'm sorry for what I did.	Ngiz räq yamlai väx kälawz vanx kängx kärä thunx mäx ngiz äbix lap täkängx.
Thank you for everything.	Phanräp mäx tesawra.
The book is on the table.	Laizdap kä dazra thaq nä.
What are you looking for?	Ümznäq yamlai väx rit tälaüx?
Can I take a picture here?	Ngiz äräyäq tsaixyix tem ämaix shäx?
I like learning languages.	Ngiz bawmx-äsax tälängxlax shärira rawx täkängx.
I'm sure you're very busy.	Ümznäq kä minztsax diax nguztä ngiz kamcyaw äsäp ha.
Thank you for the present.	Kawngxphiq ke khamäq tesawra.
Tom broke something again.	Thawmz räq laishizraz hali täbix baiq nawngz tawx.
Tom has been busy at work.	Thawmz kä yaqshämx rü nä mintsax yawng läx.
You are tired, aren't you?	Ümznäq äniix nawx, mäk shäx?
China is bigger than Japan.	Khe mung kä Cyexpanx mung namx mäx äyawng.
I like to walk in the rain.	Ngiz rayunx mawngx lamkhumx rawx täkängx.
I've been very busy lately.	Ümzsäq linxlinx nä saüx liz ngiz kä mintsax hiax.
This is never going to end.	Ärä kä äthum phan kä rämäk.
What are you talking about?	Ümznäq yamlai väx cyawng rat tälaüx?
What would you like to eat?	Ümznäq yamlai phaqsia rawx väx?
Can I take a picture of you?	Ngiz ümznäq tsaixyix tem ämaix shäx?
Could you send me a picture?	Ngiz mä tsaixyix tähawx kuq läq näx?
What are you thinking about?	Ümznäq yamlai väx tämaz tälaüx?
I don't want to go to school.	Ngiz laizyäm nä kiz rawx mängx.
I don't want to go to school.	Ngiz cyawng nä kiz rawx mängx.
I'm sorry for making you cry.	Ngiz ümznäq tähaw ria khamäq dzänzbix hiax.
Thank you for the suggestion.	Tämaz ähia cyawngx ke khamäq tesawra.
"Thank you." "You're welcome."	"Tesawra." "Täox täkängx."
"Thank you." "You're welcome."	"Tesawra." "Yam ra mäk."
I just don't know what to say.	Ngiz yamlai cyawngx cyängz väx säp mängx.
Tom, this is my brother, John.	Thawmz, ärä kä iz-naw.
Tom, this is my brother, John.	Thawmz, ärä kä iz-phuz.
I asked Tom what he was reading.	Ngiz räq Thawmz mäx yamlai väx phat tälaüx nguztä vai kängx.
The queen stood beside the king.	Hawkhamnyungz kä Hawkhamvez phaix nä cyap tawx.
Those who want to stay can stay.	Ähaix rawx ti thunx kä ähaix maix.
I am eating lunch with my sister.	Ngiz kä iz-naw raix minphawngz.
I'm eating dinner with my husband.	Ngiz kä iz-yämtivez raix dungx sia.
"I've been busy." "Busy doing what?"	"Ngiz kä mintsax vax li." "Mintsax! Yam shämx väx täz?"
Tom is busy now, so he can't talk with you.	Thawmz kä mintsax, käkhäx khamäq ümznäq raix räbawmx lap mäk.
Burj Khalifa is currently the tallest skyscraper in the world.	Burj Khalifa kä ümzcyaüx ümzcyaüx mungkang nä äluz pinzthum racyux kätex yäm rätawx.
