Wow!	Carai!
I also kissed Tom.	Jo també vaig petonejar en Tom.
I have an earache.	Tinc otitis.
I have black eyes.	Tinc els ulls negres.
I think he did it.	Crec que ho va fer ell.
I'm a salesperson.	Sóc venedor.
Let me have a try.	Deixa'm intentar-ho.
Nobody is perfect.	Ningú és perfecte.
She has long hair.	Ella té el cabell llarg.
Silence is golden.	Callar val tant com l'or.
Tom doesn't drink.	Tom no beu.
Why is snow white?	Per què és blanca la neu?
You need to hurry.	T'has d'afanyar.
You're a good boy.	Ets un bon noi.
All men are mortal.	Tots els homes son mortals.
Are you hungry now?	Tens fam, ara?
Are you hungry now?	Teniu fam, ara?
Are you hungry now?	Ara tens fam?
Come along with me.	Acompanya'm.
Do it by all means.	Fes-ho com sigui.
Do it by all means.	Fes-ho peti qui peti.
Everyone loves him.	Tots l'estimen.
I don't have a cat.	No tinc cap gat.
I don't want sugar.	No vull sucre.
I have lost my key.	He perdut la meva clau.
I wrote a cookbook.	Vaig escriure un llibre de cuina.
It was a nightmare.	Va ser un malson.
My mother is angry.	La meva mare està empipada.
Shut up and listen!	Calla i escolta!
Shut up and listen.	Calla i escolta!
Stay out of my way.	Fora del meu camí!
This coat fits you.	Aquest abric et queda bé.
Tom is a silly man.	En tom és un ximplet.
What's the problem?	Quin problema hi ha?
What's your secret?	Quin és el teu secret?
Europe is in crisis.	Europa està en crisi.
Everybody loves him.	Tots l'estimen.
Have a good weekend!	Bon cap de setmana!
He went to the shop.	Ell va anar a la tenda.
He'll return at six.	Tornarà a les sis.
He's the oldest son.	Ell és el fill gran.
I can see the light.	Puc veure la llum.
I want to stay here.	Vull quedar-me aquí.
I'll call him later.	Li cridaré més tard.
I've got a question.	Tinc una pregunta.
She has a white cat.	Ella té un gat blanc.
She raised her hand.	Ella va aixecar la mà.
She raised her hand.	Ella va alçar la mà.
She raised her hand.	Ella alçà la mà.
She raised her hand.	Va alçar la mà.
The bicycle is mine.	La bicicleta és meva.
They were satisfied.	Estaven satisfets.
They were satisfied.	Estaven cofois.
Where are you going?	A on vas?
Your father is tall.	Ton pare és alt.
Birds fly in the sky.	Els ocells volen pel cel.
Can he speak English?	Que parla anglès, ell?
Fish live in the sea.	Els peixos viuen al mar.
Good night, everyone!	Bona nit a tothom!
He is a good athlete.	Ell és un bon atleta.
I dislike big cities.	No m'agraden les ciutats grans.
I don't want to work.	No vull treballar.
I have two daughters.	Tinc dues filles.
I'm glad you're here.	M'alegra que estigues ací.
I'm glad you're here.	M'alegra que estigueu ací.
It is free of charge.	És gratuït.
It's a piece of cake.	Això és bufar i fer ampolles.
It's really annoying.	És realment molest.
She sent me a letter.	Ella em va enviar una carta.
Sorry for being late.	Perdó pel retard.
That's a bright idea.	És una idea brillant.
The ground seems wet.	El sòl sembla mullat.
They got off the bus.	Ells van baixar de l'autobús.
Tom always says that.	Tom sempre diu això.
Tom doesn't watch TV.	En Tom no mira la tele.
We're not the police.	No som la policia.
What if they said no?	Què si diuen que no?
Who wrote the letter?	Qui ha escrit la carta?
Who's coming with me?	Qui ve amb mi?
You can come with me.	Pots venir amb mi.
You have to help her.	Heu d'ajudar-la.
Your son is a genius.	El vostre fill és un geni.
Brad Pitt is an actor.	El Brad Pitt és un actor.
Can you all come here?	Que podeu venir aquí?
Do you have two books?	Tens dos llibres?
Does he speak English?	Que parla anglès, ell?
Does he speak English?	Parla anglès?
Does he speak English?	Ell parla anglès?
Does your mother know?	Ho sap la teua mare?
His house was on fire.	La seva casa està en flames.
I don't have time now.	Ara no tinc temps.
I have to go to sleep.	He d'anar a dormir.
I know these students.	conec aquests estudiants.
I'd like some aspirin.	Voldria una aspirina.
I'd like to go abroad.	M'agradaria anar a l'estranger.
Money opens all doors.	Els diners obren totes les portes.
She is a good swimmer.	És una bona nedadora.
Thanks for everything.	Mercès per tot.
The girl said nothing.	La nena no va dir res.
They don't seem happy.	No semblen feliços.
Those are empty words.	Són paraules buides.
We have two daughters.	Tenim dues filles.
What's wrong with you?	Què et passa?
Who built the snowman?	Qui ha fet el ninot de neu?
You should eat slower.	Has de menjar més a poc a poc.
You should've stopped.	T'hauries d'haver aturat.
You're taller than me.	Ets més alt que jo.
Can you guys come here?	Que podeu venir aquí?
Come whenever you like.	Vingui quan vulgui.
Come whenever you like.	Veniu quan vulgueu.
Come whenever you like.	Vine quan vulguis.
Does the bus stop here?	L'autobús para ací?
I didn't buy this book.	No vaig comprar aquest llibre.
I think Tom isn't home.	Crec que en Tom no està a casa.
I think he has done it.	Crec que ell ho ha fet.
I'm not angry with you.	No estic enfadada amb tu.
She gave him a present.	Ella li va donar un regal.
They will not eat meat.	No menjaran carn.
Tom wants to be famous.	Tom vol ser famós.
We have to act quickly.	Hem d'actuar ràpid.
Ask me something easier.	Pregunta'm una cosa més fàcil.
Do you have a cellphone?	Tens un mòbil?
He died three years ago.	Va morir fa tres anys.
He's better than us all.	Ell és millor que tots nosaltres.
I don't like big cities.	No m'agraden les ciutats grans.
I felt like I would die.	Sentia que em moriria.
I hope that I can do it.	Espere poder-ho fer.
I listened to her story.	Vaig escoltar la història d'ella.
I want to see the ocean.	Vull veure l'oceà.
I won't see him anymore.	No el veuré mai més.
I'll start this evening.	Començaré aquest vespre.
I'll start this evening.	Començaré esta vesprada.
I'm sure of his success.	Estic segur del seu èxit.
I've forgotten his name.	He oblidat el seu nom.
Many sailors can't swim.	Molts mariners no saben nedar,
My father quit drinking.	El meu pare va aturar de beure.
My father quit drinking.	Mon pare va deixar de beure.
She helped me willingly.	Ella em va ajudar de bon gust.
Tell me when he returns.	Avisa'm quan torni.
Tom is thirty years old.	Tom té trenta anys.
What a beautiful sunset!	Quina posta de sol més bonica!
What a beautiful sunset.	Quina posta més maca!
What a beautiful sunset.	Quina posta de sol més bonica.
Where are our umbrellas?	On estan els nostres paraigües?
Would you draw me a map?	Em faríes un mapa?
You will miss the train.	Perdràs el tren.
You're everything to me.	Tu ets tot per mi.
Can I ask some questions?	Puc fer unes preguntes?
Can your mom drive a car?	La teva mama sap conduir?
Can your mom drive a car?	Ta mare sap conduir?
Can your mom drive a car?	La teua mare sap conduir un cotxe?
Can your mom drive a car?	La vostra mare sap conduir?
Do you have a cell phone?	Tens un mòbil?
Do you have a smartphone?	Tens un mòbil?
Don't ever do that again.	No ho facis mai més.
Fire is always dangerous.	El foc sempre és perillós.
He fell and hurt his leg.	Ell es va caure i es va fer mal a la cama.
He has never played golf.	Ell no ha jugat mai al golf.
He looks like his father.	Ell s'assembla al seu pare.
He speaks five languages.	Ell parla cinc idiomes.
I can't stand that noise.	No puc aguantar aquest soroll.
I didn't know what to do.	No sabia què fer.
I don't know her address.	No sé la seva adreça.
I don't love you anymore.	Ja no t'estimo.
I made my son a new suit.	He fet un vestit nou per a mon fill.
I only have eyes for you.	Aquí no veig ningú més que tu.
I recognized him at once.	El vaig reconèixer de seguida.
I'm talking on the phone.	Parlo per telèfon.
I'm talking on the phone.	Estic parlant per telèfon.
It doesn't sound natural.	No sona natural.
It is nice and cool here.	Aquí fa fresca i s'hi està bé.
My mother is always busy.	La meva mare sempre està ocupada.
She had a strange hat on.	Ella portava un barret estrany.
This is his car, I think.	Aquest és el seu cotxe, crec.
Tom is a history teacher.	En Tom és un professor d'història.
Tom visited Mary's grave.	En Tom va visitar la tomba de la Mary.
Turn down the TV, please.	Baixa el volum del televisor.
Turn the TV down, please.	Baixa el volum del televisor.
You don't have to eat it.	Vostè no ha de menjar-ho.
I have a coat, but no hat.	Tinc un abric, però cap barret.
I like listening to music.	M'agrada escoltar música.
I like to listen to music.	M'agrada escoltar música.
I made a careless mistake.	Vaig cometre una negligència.
I'm busy, so I can't help.	Estic ocupat, no puc ajudar-te.
I'm busy, so I can't help.	Estic ocupat, no puc ajudar-vos.
I'm standing in the shade.	M'estic dret a l'ombra.
It's always been that way.	Sempre ha sigut així.
That'll put you in danger.	Això et posarà en perill.
We may be late for school.	Potser farem tard a l'escola.
What a nice sounding word!	Què bé sona aquesta paraula!
Where will you be staying?	On t'estaràs?
Where will you be staying?	On t'allotjaràs?
Where will you be staying?	On et quedaràs?
Where will you be staying?	On us allotjareu?
You agree with Tom, right?	Estàs d'acord amb Tom, oi?
You agree with Tom, right?	Esteu d'acord amb Tom, veritat?
You don't have to do this.	No has de fer-ho.
You don't have to do this.	Això no ho has de fer.
You still have to do that.	Encara tens que fer allò.
Could you tell me the time?	Em podries dir l'hora?
Do they have any good news?	Tens bones notícies?
Do you come here every day?	Véns aquí cada dia?
Do you come here every day?	Veniu ací tots els dies?
Do you have a mobile phone?	Tens un mòbil?
Do you know his birthplace?	Saps on va néixer?
I got along with everybody.	Em portava bé amb tothom.
I have to buy one tomorrow.	He de comprar-ne un demà.
I just want to be near you.	Només vull estar prop de tu.
I know he likes jazz music.	Sé que li agrada el jazz.
I'd rather do it by myself.	Prefereixo fer-lo pel meu compte.
I'm afraid I caught a cold.	Em sembla que he agafat un constipat.
It's all you can really do.	És tot el que pots fer.
It's always been like that.	Sempre ha sigut així.
She's Tom's younger sister.	És la germana petita d'en Tom.
She's Tom's younger sister.	És la germana menuda de Tom.
The bird's wing was broken.	L'ala de l'ocell estava trencada.
The bird's wing was broken.	L'ocell tenia una ala trencada.
The bird's wing was broken.	El pardal tenia una ala trencada.
There were ten eggs in all.	Hi havia deu ous en total.
There's no reason to worry.	No hi ha cap motiu per preocupar-se.
Things are not that simple.	Les coses no són tan senzilles.
This store sells old books.	Aquesta botiga ven llibres vells.
You're not a child anymore.	Ja no ets un nen.
Your opinion is irrelevant.	La teua opinió és irrellevant.
Columbus discovered America.	Colón va descobrir Amèrica.
Does Tom still have a fever?	En Tom encara té febre?
Don't you like Chinese food?	No t'agrada el menjar xinès?
France is in western Europe.	França és a l'Europa Occidental.
He plays baseball every day.	Juga al beisbol tots el dies.
He wants a watch like yours.	Vol un rellotge com el teu.
He's the one who touched me.	Ell és el que em va tocar.
I don't know if he knows it.	No sé si ho sap.
I work at a language school.	Treballo en una escola d'idiomes.
I'd like some sugar, please.	M'agradaria una mica de sucre, si us plau.
I'll be back in ten minutes.	Tornaré en deu minuts.
I'm the one who has the key.	Jo sóc qui té la clau.
Is it going to snow tonight?	Què nevarà avui al vespre?
Maybe Tom asked Mary to lie.	Potser el Tom li va demanar a la Mary que mentís.
My dog has a very long tail.	El meu gos té una cua molt llarga.
Take off your socks, please.	Sisplau, lleva't els mitjons.
Take off your socks, please.	Lleva't els calcetins, per favor.
Take off your socks, please.	Lleveu-vos els calcetins, per favor.
The evidence was against me.	L'evidència estava en contra meua.
The food was great in Italy.	El menjar va ser cosa fina a Itàlia.
They say that love is blind.	Es diu que l'amor és cec.
They work eight hours a day.	Treballen vuit hores al dia.
What are you doing tomorrow?	Què fas demà?
What is wrong with that guy?	Què li passa a aquet paio?
Where will we go afterwards?	On anirem després?
Do you know where she's gone?	Saps on ha anat ella?
Don't make me wait like this.	No em facis esperar així.
He goes to the office by car.	Va al despatx amb cotxe.
He is the manager of a hotel.	És el director d'un hotel.
He lost all the money he had.	Va perdre tots els diners que tenia.
He plays the piano very well.	Ell toca el piano molt bé.
I don't want to go to school.	No vull anar a l'escola.
I have something to tell you.	T'he de dir una cosa.
I have something to tell you.	Us he de dir una cosa.
I have something to tell you.	Tinc una cosa a dir-te.
I must have the wrong number.	Dec tenir el número equivocat.
I never get tired of talking.	No em canso mai de parlar.
I saw him tear up the letter.	El vaig veure estripar la carta.
I will get in touch with you.	Em posaré en contacte amb tu.
Japan is smaller than Canada.	El Japó és més petit que el Canadà.
She sent you her best wishes.	Ella t'envia els seus millors desitjos.
That's exactly what happened.	Això és exactament el què va passar.
The girl didn't say anything.	La nena no va dir res.
The soldier gave water to me.	El soldat m'ha donat aigua.
We killed time playing cards.	Matàvem el temps jugant a les cartes.
We must control our passions.	Hem de controlar les nostres passions.
What you think is irrelevant.	El que penses és irellevant.
Why don't you stay for a bit?	Us quedeu una estona?
Do you have medical insurance?	Teniu assegurança mèdica?
He comes here every five days.	Ve aquí cada cinc dies.
He left the book on the table.	Va deixar el llibre sobre la taula.
How many children do you have?	Quants fills tens?
I believe the choice is clear.	Crec que l'elecció està clara.
I study for 3 hours every day.	Jo estudio 3 hores cada dia.
It was cheaper than I thought.	És més barat del que em vaig pensar.
Let me know whenever you come.	Quan vinguis, fes-m'ho saber.
Most schools are closed today.	La majoria d'escoles avui estan tancades.
My dad died before I was born.	Mon pare va morir abans del meu naixement.
Nobody equals him in strength.	Ningú no li fa ombra.
Nobody equals him in strength.	Ningú no li és rival.
Only peace can save the world.	Només la pau pot salvar el món.
Our summer is short, but warm.	El nostre estiu és curt, però calorós.
She didn't tell me her secret.	Ella no em va dir el seu secret.
She is giving a party tonight.	Ella fa una festa aquesta nit.
This is a very strange letter.	Aquesta és una carta molt estranya.
Tom wants to change the world.	En Tom vol canviar el món.
Tom's arm had to be amputated.	Van haver d'amputar el braç al Tom.
Tom's arm had to be amputated.	Li van haver d'amputar el braç a Tom.
You agree with Tom, don't you?	Estàs d'acord amb Tom, no?
He is a very thoughtful person.	És una persona molt considerada.
I don't know when he will come.	No sé quan vindrà.
I don't like it when you swear.	No m'agrada que digues paraulotes.
I don't like it when you swear.	No m'agrada que digueu paraulotes.
I don't want to read this book.	No vull llegir aquest llibre.
I have breakfast every morning.	Cada dia esmorzo.
I wish I could buy that guitar.	Com voldria poder comprar aquesta guitarra.
I wish I could buy that guitar.	M'agradaria poder comprar eixa guitarra.
I wish I could buy that guitar.	Tant de bo pogués comprar aquesta guitarra.
I wish I could buy that guitar.	Tant de bo poguera comprar eixa guitarra.
I'm very glad to see you again.	Estic molt content de tornar-te a veure.
Please circle the right answer.	Encercleu la resposta correcta, sisplau.
The cows looked big and docile.	Les vaques semblaven grans i dòcils.
Was Tom in history class today?	Estava el Tom a classe d'història avui?
Why are you not in your office?	Per què no estàs a la teua oficina?
He had a firm belief in his God.	Té una creença ferma en Déu.
He is getting better bit by bit.	Ell s'està millorant poc a poc
He is getting better bit by bit.	Està millorant poc a poc.
He told me an interesting story.	M'ha contat una història interessant.
Helen Keller was deaf and blind.	Hellen Keller era sorda i cega.
I can repeat it again and again.	Puc repetir-ho vint vegades.
I caught the ball with one hand.	Vaig agafar la pilota amb una mà.
I heard him sing at the concert.	El vaig sentir cantant al concert.
I was not aware of his presence.	Jo no era conscient que ell estava al davant.
I wonder if he'll come tomorrow.	Em pregunto si vindrà demà.
I'm a professional photographer.	Jo sóc fotògraf professional.
I've still got to take my pills.	Encara haig de prendre'm les meves píldores.
Let me know when he will arrive.	Ja em diràs quan arriba.
My mother speaks little English.	La meva mare parla una mica d'anglès.
She made the same mistake again.	Ella va cometre una altra vegada la mateixa errada.
She will have a baby next month.	Ella vol tenir un fill el mes vinent.
Thanks a lot for the invitation.	Moltes gràcies per la invitació.
The food didn't taste very good.	El menjar no tenia gaire bon gust.
The food didn't taste very good.	El menjar no feia gaire bon gust.
The sun appeared on the horizon.	El Sol apareix a l'horitzont.
The sun appeared on the horizon.	El sol aparegué a l'horitzó.
The sun gives us heat and light.	El Sol ens dóna calor i llum.
The sun is larger than the moon.	El Sol és més gran que la Lluna.
This sparrow's wings are broken.	Les ales d'aquest pardal estan trencades.
This swallow's wings are broken.	Les ales d'aquesta oroneta estan trencades.
Tom is too young to drive a car.	Tom és massa jove per portar un cotxe.
Tom says he's never owned a car.	El Tom diu que mai ha tingut un cotxe.
Tom was fired for a good reason.	Tom va ser despedit per una causa justa.
You don't have to kick yourself.	No et facis mala sang.
You should've told me yesterday.	M'ho hauries d'haver dit ahir.
Your opinion is important to me.	La teua opinió és important per a mi.
Asians generally have black hair.	Els asiàtics normalment tenen el cabell negre,
Do you know who wrote this novel?	Saps qui va escriure aquesta novela?
Do you know who wrote this novel?	Sabeu qui va escriure aquesta novel·la?
Don't compare me to a movie star.	No em comparis amb una estrella de cinema.
He went skiing during the winter.	Se'n va anar a esquiar a l'hivern.
I saw the moon above the horizon.	Veig la lluna sobre l'horitzont.
My brother-in-law is a policeman.	El meu cunyat és policia.
My father died before I was born.	Mon pare va morir abans del meu naixement.
My father died before I was born.	Mon pare va morir abans que jo nasquera.
My father died before I was born.	El meu pare va morir abans de néixer jo.
The bus arrived ten minutes late.	El bus va arribar deu minuts tard.
The bus arrived ten minutes late.	L'autobús arribà deu minuts tard.
The bus arrived ten minutes late.	L'autobús va arribar amb deu minuts de retard.
The flood caused a lot of damage.	La riada va fer molt de mal.
The flood caused a lot of damage.	La inundació va fer molt de mal.
The rumor is true to some extent.	Fins a un cert punt, el rumor és cert.
Tom and Mary acted like children.	En Tom i la Mary es portaven com nens.
Tom couldn't hold back his tears.	Tom no va poder contenir les llàgrimes.
Tom couldn't hold back his tears.	Tom no podia contenir les llàgrimes.
Tom doesn't go to school anymore.	Tom ja no va a l'escola.
Tom is no longer studying French.	En Tom ja no estudia francès.
When can we see each other again?	On ens podem tornar a veure?
Are we talking about the same Tom?	Estem parlant del mateix Tom?
Are we talking about the same Tom?	Parlem del mateix Tom?
Everyone hoped that she would win.	Tothom esperava que guanyés.
He was willing to work for others.	Ell estava disposat a treballar per altres.
I burned my fingers on a hot iron.	Em vaig cremar els dits amb un ferro roent.
I burned my fingers on a hot iron.	Em vaig cremar els dits amb una planxa calenta.
I have nothing in common with her.	No tinc res en comú amb ella.
I spend money as soon as I get it.	Em gasto els diners de seguida que en tinc.
I write letters that I never send.	Escric cartes que no envio mai.
Is Flight 123 going to be delayed?	El vol 123, té retard?
Last night we worked until 10 p.m.	Ahir a la nit vàrem treballar fins a les deu.
My father retired at 65 years old.	Mon pare es va jubilar als 65 anys.
My mother knows how to make cakes.	La meva mare sap com fer pastissos.
Tell me your plans for the future.	Explica'm els teus plans per al futur.
Tell me your plans for the future.	Conta'm els teus plans de futur.
Tell me your plans for the future.	Expliqueu-me els vostres plans per al futur.
Thank you so much for inviting me.	Moltes gràcies per la invitació.
The plane took off exactly at six.	L'avió s'enlairà a les sis clavades.
There's a dictionary on the table.	Hi ha un diccionari a la taula.
Today's meeting has been canceled.	La reunió d'avui ha sigut cancelada.
We're sorry for the inconvenience.	Ens sap greu la molèstia causada.
Where's the nearest travel agency?	On és l'agència de viatges més propera?
Why don't you guys stay for a bit?	Us quedeu una estona?
Why is fishing not permitted here?	Per què està prohibit pescar ací?
Bangkok is Thailand's capital city.	Bangkok és la capital de Tailàndia.
Do you want to play tennis with us?	Vols jugar a tennis amb nosaltres?
He helped poor people all his life.	Ell va ajudar els pobres tota la seva vida.
Her husband is now living in Tokyo.	El seu marit viu a Tòkio ara.
I can't remember where I bought it.	No puc recordar on el vaig comprar.
I can't remember where I bought it.	No recorde on el vaig comprar.
I can't remember where I bought it.	No recorde on ho vaig comprar.
I can't remember where I bought it.	No recorde on la vaig comprar.
I can't remember where I bought it.	No me'n recorde d'on ho vaig comprar.
I can't remember where I bought it.	No recordo on el vaig comprar.
I heard a beautiful song yesterday.	Ahir vaig sentir una cançó bonica.
I plan to visit Boston next summer.	Planifico visitar Boston l'estiu que vé.
I thanked him for what he had done.	Li vaig agrair el que va fer.
I'd like to meet your older sister.	Voldria trobar-me amb la teva germana gran.
I'd like to meet your older sister.	M'agradaria conèixer la teva germana gran.
I'm the one who pays all the bills.	Jo sóc qui paga totes les factures.
I'm very slow at making up my mind.	Sóc molt lent a l'hora de prendre decisions.
I, too, didn't understand anything.	Jo tampoc entenc res.
Is anybody here willing to do that?	Algú està disposat a fer allò?
Is there a post office around here?	Hi ha alguna oficina postal per aquí?
Is there a post office around here?	Hi ha alguna oficina de correus prop d'ací?
Is there a post office around here?	Hi ha per ací alguna oficina de correus?
Only adults are allowed to do that.	Només els adults tenen permís per fer allò.
The door is locked at nine o'clock.	La porta es tanca amb clau a les nou.
The elevator is out of order today.	L'ascensor no funciona avui.
The lion is the king of the jungle.	El lleó és el rei de la selva.
These questions are easy to answer.	Aquestes preguntes són fàcils de respondre.
Tom couldn't find the light switch.	En Tom no podia trobar l'interruptor del llum.
We are sorry for the inconvenience.	Ens sap greu la molèstia causada.
We'll show you how to catch a fish.	T'ensenyarem com atrapar un peix.
We're not going to change anything.	No canviarem res.
What little money I had was stolen.	Els pocs diners que tenia me'ls van robar.
A lot of jobs are done by computers.	Moltes feines les fan els ordinadors.
Do you wonder why no one trusts him?	T'estranya que ningú hi confiï?
Don't go to sleep with the light on.	No et durmis amb el llum encès.
How do you say "good bye" in German?	Com es diu "a reveure" en alemany?
I can't remember which is my racket.	No recorde quina és la meua raqueta.
I don't think we can take that risk.	Crec que no podem córrer aquest risc.
I don't think we can take that risk.	Crec que no podem córrer eixe risc.
I have nothing to say to any of you.	No tinc res a dir-vos a cap de vosaltres.
I was caught in a shower on the way.	M'ha enxampat un xàfec pel camí.
I'd like to reserve a table for two.	M'agradaria reservar una taula per a dos.
Look that word up in the dictionary.	Cerca aquella paraula al diccionari.
My apartment is on the fourth floor.	El meu apartament està al quart pis.
Night is when most people go to bed.	La nit és quan la majoria de la gent se'n va al llit.
Take this medicine before each meal.	Preneu aquest medicament abans de cada àpat.
The teacher told me to study harder.	El professor em va dir que estudiés molt.
Tom may talk to Mary if he wants to.	En Tom, si vol, pot parlar amb la Mary.
Tom may talk to Mary if he wants to.	Tom pot parlar amb Mary, si vol.
Why are you taking so much medicine?	perquè prens tant de medicament?
Are you brushing your teeth properly?	T'estàs raspallant bé les dents?
Flowers die if they don't have water.	Sense aigua les flors es panseixen.
His arrogance is no longer tolerable.	La seva arrogància ja no és tolerable.
His courage is worthy of high praise.	La seva valentia mereix grans lloances.
I planted an apple tree in my garden.	He plantat un pomer al meu jardí.
I really must have my watch repaired.	He de dur el rellotge a arreglar.
I'm not sure when Tom will come back.	No estic segur de quan tornarà Tom.
I'm sick. Will you send for a doctor?	Estic malalt. Oi que avisaràs un metge?
I'm sure of winning the championship.	Estic segur de guanyar el campionat.
Please write to me from time to time.	Escriu-me de tant en tant, sí?
What are you going to eat for dinner?	Que soparàs avui?
What do you want to talk to me about?	De què vols parlar amb mi?
What languages are spoken in America?	Quins idiomes es parlen a Amèrica?
What's your opinion of Japanese food?	Quina és la teva opinió sobre el menjar japonès?
As long as there's life, there's hope.	Mentre hi ha vida, hi ha esperança.
Everyone was listening very carefully.	Tots estaven escoltant atentament.
He is three years younger than Father.	Ell és tres anys més jove que el pare.
I do not live to eat, but eat to live.	Jo no visc per menjar sinò que menjo per viure.
I don't know what has happened to him.	No sé què li ha passat.
I was the one who knocked on the door.	Vaig ser jo qui va trucar a la porta.
I'll make an exception just this once.	Faré una excepció només per aquesta vegada.
I'm the one who takes out the garbage.	Jo sóc qui treu les escombraries.
In general, men are taller than women.	En general, els homes són més alts que les dones.
Japan imports a large quantity of oil.	El Japó importa una gran quantitat de petroli.
Mary's doctor advised her to exercise.	El metge de la Mary li va aconsellar que fes exercici.
No one knows why Tom hasn't done that.	Ningú sap perquè el Tom no ho ha fet.
Please correct me if I make a mistake.	Si us plau, corregeix-me si m'equivoco.
They agreed to elect him as president.	Es van posar d'acord per triar-lo com president.
We're going to leave tomorrow morning.	Sortirem demà al dematí.
Which is larger, the sun or the earth?	Quin és més gran: el Sol o la Terra?
Why are we wasting our time with this?	Per què estem perdent el temps amb això?
Will the work be finished by tomorrow?	Estarà enllestida la feina per a demà?
You should ask Tom to do that for you.	Li hauries de demanar al Tom que ho faci per tu.
"Is she reading a book?" "Yes, she is."	"Està llegint un llibre?" "Sí."
"Is she reading a book?" "Yes, she is."	"Està ella llegint un llibre?" "Sí."
All my friends like playing videogames.	A tots els meus amics els agraden els videojocs.
Blue lines on the map designate rivers.	Les línies blaves al mapa designen rius.
How much time do you spend on Facebook?	Quant de temps passes a Facebook?
I don't know exactly when I'll be back.	No sé exactament quan tornaré a ser aquí.
I don't know whether it is true or not.	No sé si és veritat o no.
I don't think Tom was talking about me.	No crec que Tom estigués parlant de mi.
I have cookies for breakfast every day.	Cada dia menjo galetes per esmorzar.
I've been waiting for this day to come.	He estat esperant que arribi aquest dia.
In Japan there are four seasons a year.	Al Japó hi ha quatre estacions cada any.
Mathematics is important in daily life.	Les matemàtiques són importants a la vida diària.
The Japanese economy developed rapidly.	L'economia japonesa es va desenvolupar depressa.
The class was divided into four groups.	La classe es va dividir en quatre grups.
The earth is much larger than the moon.	La Terra és molt més gran que la Lluna.
They arrived late because of the storm.	Ells van arribar tard a causa de la tempesta.
They say golf is very popular in Japan.	Diuen que el golf és molt popular al Japó.
This is the best book I have ever read.	És el millor llibre que he llegit mai.
Tom is interested in French literature.	En Tom està interessat en la literatura francesa.
Tom is making great progress in French.	En Tom està progressant molt amb el francès.
Tom is sick, so he can't do that today.	El Tom està malalt, pel que no podrà fer això avui.
He fought against racial discrimination.	Va lluitar contra la discriminació racial.
I know that there was a big church here.	Sé que aquí hi havia una església gran.
I noticed that she sat in the front row.	Vaig notar que ella va seure a la fila del davant.
I was in the shower when the phone rang.	Estava en la dutxa quan ha sonat el telèfon.
President Clinton denied the accusation.	El president Clinton va negar l'acusació.
The men are wearing short sleeve shirts.	Els homes porten camises de màniga curta.
What do these dots represent on the map?	Què signifiquen aquests punts al mapa?
Will you please stop talking about food?	Podries deixar de parlar de menjar?
German is the best language in the world.	L'alemany és la millor llengua del món.
How many people are there in your family?	Quants són a la seva família?
I asked him many questions about ecology.	Li vaig fer moltes preguntes sobre ecologia.
