Good job!	خدما مليحا.
Are you going by bus or car?	تروحو فلكار ولا فطونوبيل.
I saw Tom a few minutes ago.	شفت طوم عندها شي دقايق.
My father has gone to China.	بابا راح لشِّين.
We don't know our neighbors.	ما نعرفوش جيرانّا.
I want you to read this book.	راني حابّك تقرى هاد لكتاب.
The apple has begun to decay.	هاد التّفاحا بدات ترشا.
This hat is too tight for me.	تشابونا هادي مزيرا بزاف على راسي.
I always go to school on foot.	دايما نروح لّمسيد على رجليا.
I just want to go back to bed.	راني حاب برك نولّي لفراش.
My father cut wood with a saw.	بابا قطّع لحطب بالمنشار
My sister is shorter than you.	ختي قصيرا عليك.
She left school two years ago.	خرجت ملمسيد عندها عامين.
What would you like Tom to do?	واش راك حاب ايدير طوم؟
I think Tom was born in Boston.	نضن طوم زاد في بوسطن.
I think we're going to be late.	نضن رانا رايحين نكونو متأخرين.
The ghost story was terrifying.	لحكايا تع لغول تخوف.
The ghost story was terrifying.	لحكايا تع لغول تخلع.
Are you busy tomorrow afternoon?	راك محكوم غدوا لعشيّا؟
I used to be the same age as you.	كنت قدّك.
He was sitting beside his brother.	كان قاعد قدّام خوه.
She is able to speak ten languages.	تقدر تهدر عشرا لوغات.
He seems to be aware of my feelings.	ايبان راو واعي بواش راني نحّس.
I can't imagine my life without you.	ما نقدرش نخايل حياتي بلا بيك.
I taught Tom French three years ago.	عندها تلت سنين قريت طوم لفرنسي.
After lunch we have two more classes.	مور لفطور عندنا زوج دروس.
I have not heard from her for a month.	عندي شهر ما سمعتش عليها.
I think I know what Tom is doing here.	نضن علابالي وش كان ايدير هنا طوم.
My sister always keeps her room clean.	ختي دايمن تخلِّي لبِيت ديالها نقِيا.
He went up to her and they shook hands.	دنّا ليها وخمس معاها.
Many people have made the same mistake.	بزاف ناس دارو نفس الغلطة.
It was found at the bottom of the river.	لقاوه فقاع لواد.
It was found at the bottom of the river.	لقاوها فقاع لواد.
He is slowly recovering from his illness.	راو يبرا بلعقل ملمرض ديالو.
He left the room as soon as I entered it.	غير دخلت لشّمبرا خرج.
He left the room as soon as I entered it.	غير دخلت للبيت خرج.
I don't understand a thing you're saying.	ما فهمت والوا فواش راك تقول.
The school is closed because of the snow.	لمسيد راو مغلوق علا جال التلج.
Did you see him while you were at Lambton?	شفتو كي كنت فلامبطون؟
I am not satisfied with the result at all.	ماهوش عاجبني لحال كامل بالنتيجا.
I wonder why we play tennis in miniskirts.	مانيش فاهم علاش يلعبو تينيس بلميني.
Tom is standing in the corner of the room.	طوم راو واقف فلكوانا تع اشّومبرا.
Tom is standing in the corner of the room.	طوم راو واقف فلكوانا تع لبيت.
If he studied hard, he would pass the test.	لُواكن يقرا مليح، يقدر ايجيب ليختيبار ديالو.
It's too late to do anything about that now.	طروطار درك، ما نقدرو نديرو والو.
He crushed the sheet of paper up into a ball.	كرفس الورقا أو دار بيها بولا.
I'm going to go to the doctor this afternoon.	راني رايح نروح لطبيب هاد لعشيّا.
He cared for his mother after his father died.	كان لاتي بيمّاه مور ما مات باباه.
She was born with a silver spoon in her mouth.	زادت بمغرفا تع لفضا في فمها.
I pretended not to understand what he was saying.	درت روحي مافهمتش واش كان إيقول.
I will tell him about it when he comes next time.	نقولّو عليها كيجي لمرّا لجايا.
She was ready to help him with cleaning the house.	كانت واجدا باش تعاونهم بش إينقِّيو ادّار.
I'm calling because my credit card has been stolen.	عيّطت علاخاطرش سرقولي لكارت كريدي.
If it were not for water, no living things could live.	لوكان ماكانش كاين الما، حتى حاجا ما تقدر تعيش.
The police seized a large quantity of drugs at the school.	لابوليس سيزاو كانتيتي كبيرا تع الزطلا فلمسيد.
They wanted a wedding picture in front of the Eiffel Tower.	حبو ياخدو تصويرا تع الزواج ديالهم قدام لاتوريفال.
