I slept.	நான் தூங்கினேன்.
I'll leave that to you.	நான் அதை உன்னிடம் விட்டு விடுகிறேன்
It seems she hates you.	அவள் உன்னை வெறுக்கிற மாதிரி தெரிகிறது
She got engaged to him.	அவள் அவனுக்கு நிச்சயிக்கப் பட்டாள்
She got married to him.	அவள் அவனுக்கு திருமணம் செய்து வைக்கப் பட்டாள்
She stood close to him.	அவனுக்கு நெருக்கமாக நின்றாள்
They're about to leave.	அவர்கள் கிளம்ப இருக்கிறார்கள்
This CD belongs to her.	இந்த சீடி அவளுக்குச் சொந்தமானது
We ran after the thief.	நாங்கள் திருடனுக்குப் பின்னால் ஓடினோம்
What do you plan to do?	நீ என்ன செய்யத் திட்டமிட்டிருக்கிறாய்
A square has four sides.	ஒரு சதுரத்திற்கு நான்கு பக்கங்கள் உள்ளன
Charge it to my account.	என்னுடைய கணக்கிற்கு மாற்று
Did they write a letter?	அவர்கள் கடிதம் எழுதினார்களா?
He asked us to help him.	எங்களை உதவி செய்யும்படி கேட்டான்
He is known to everyone.	அவன் ஒவ்வொருவருக்கும் அறிமுகமானவன்
He objected to our plan.	எங்களுடைய திட்டத்திற்கு எதிர்ப்புத் தெரிவித்தான்
I just want you to come.	நீ வர வேண்டுமென விரும்புகிறேன்
I want something to eat.	எனக்கு சாப்பிட ஏதாவது வேண்டும்
Is he a friend of yours?	அவர் உங்களுடைய நண்பரா?
The news quickly spread.	செய்தி வேகமாக பரவியது
I can't find it anywhere.	இது எங்கே இருக்கு என்று என்னால் கண்டுபிடிக்க முடியவில்லை.
I thought you'd be angry.	நீ கோபமாக இருப்பாய் என்று எண்ணினேன்.
Please sit here and wait.	இங்கே அமருங்கள்,தயவு செயது காத்திருங்கள்
She went out of the room.	அவள் அறையை விட்டு வெளியே சென்றாள்
Speak slowly and clearly.	மெதுவாகவும் தெளிவாகவும் பேசுங்கள்
The sky is full of stars.	வானம் முழுவதும் நட்சத்திரங்கள் இருக்கின்றன
Come and see me right now.	உடனே வந்து என்னைப் பார்க்கவும்
Do you have a lot of pens?	உன்னிடம் நிறைய பேனாக்கள் இருக்கின்றனவா?
Go and sit by your father.	போய் உன் தந்தையருகில் அமரவும்
He bought a pair of shoes.	நான் ஒரு ஜோடி காலணிகளை வாங்கினேன்
I live on the bottom floor.	நான் கீழ் தளத்தில் வசிக்கிறேன்
I sat between Tom and John.	டாமுக்கும் ஜானுக்கும் இடையில் அமர்ந்தேன்
She wore a beautiful dress.	அவள் அழகான ஆடை அணிந்திருந்தாள்
When did you come to Japan?	நீ எப்பொழுது ஜப்பான் வந்தாய்?
Most people think I'm crazy.	நிறைய மக்கள் நான் பைத்தியம் என்று எண்ணுகிறார்கள்
I suppose Tom is still alive.	டாம் இன்னும் உயிருடனிருக்கிறான் என்று எண்ணுகிறேன்.
She asked him for some money.	அவனைக் கொஞ்சம் பணம் கேட்டாள்
Tom told me about it himself.	டாம் அதைப் பற்றி அவனே என்னிடம் சொன்னான்.
Do you know when he will come?	அவன் எப்ப வருவான் என்று உனக்குத் தெரியுமா
He painted a picture of a dog.	ஒரு நாயின் படத்தை வரைந்தான்
I arrived ahead of the others.	மற்றவர்களுக்கு முன்னே நான் வந்தேன்
I know every inch of the town.	இந்த ஊரின் ஒவ்வொரு அங்குலமும் எனக்குத் தெரியும்
I'm not sharing this with Tom.	டாமிடம் நான் இதை பகிர்ந்துகொண்டு இருக்கவில்லை.
She is not afraid of anything.	அவள் எதற்கும் பயப்படுவதில்லை
The price of eggs is going up.	முட்டைகளின் விலை அதிகரித்துக் கொண்டிருக்கிறது
What is the price of this cap?	இந்த தொப்பியின் விலை என்ன?
Which of them is your brother?	இவர்களில் யார் உன்னுடைய சகோதரர்
He arrived after the bell rang.	மணி ஒலித்தப் பிறகு அவன் வந்தான்
He was not aware of the danger.	அவன் அபாயத்தை அறிந்திருக்க வில்லை
My throat hurts when I swallow.	சின்ன கேக்குத் துண்டு அவள் தொண்டையில் சிக்கிக் கொண்டது
The school looks like a prison.	இந்த பள்ளி கூடம் ஒரு சிறைச்சாலையைப் போல இருக்கிறது
I'm not sure how to answer this.	எப்படி பதில் சொல்வது என்பதில் நான் உறுதியாக இல்லை.
There's no easy way out of here.	இங்கிருந்து வெளியே செல்ல சுலபமான வழியில்லை.
Three vicious dogs attacked Tom.	மூன்று மோசமான நாய்கள் டாமை தாக்கின
Tom was in Australia a year ago.	டாம் ஒரு வருடத்திற்கு முன்னால் ஆஸ்திரேலியாவில் இருந்தார்
When did the wedding take place?	கல்யாணம் எப்பொழுது நடைப் பெற்றது
Where do you keep your passport?	நீ பாஸ்போர்ட்டைஎங்கே வைத்திருக்கிறாய்?
Because he's sick, he can't come.	அவனுக்கு உடல் நிலை சரியில்லாததனால் அவனால் வர இயலாது
Friendship requires mutual trust.	நட்புக்குத் தேவை பரஸ்பர நம்பிக்கை
He put the ring on Mary's finger.	அவன் மேரியின் விரலில் மோதிரத்தை அணிவித்தான்
She glanced through the magazine.	அவள் பத்திரிக்கையை மேலோட்டமாகப் பார்த்தாள்
Tom has been crying all afternoon.	டாம் மதியம் முழுவதும் அழுதுகொண்டேயிருக்கிறான்.
Tom has been in contact with Mary.	டாம் மேரியுடன் தொடர்பிலிருந்துருக்கிறான் அல்லது டாம் மேரியுடன் தொடர்பிலிருக்கிறான்.
I want to be a pilot in the future.	நான் எதிர் காலத்தில் ஒரு விமானியாக விரும்புகிறேன்
If Tom ran away, where could he go?	டாம் ஓடிவிட்டால், அவரால் எங்கு செல்ல முடியும்?
I had my pocket picked on the train.	இரயிலில் என்னிடம் ஜேப்படி அடிக்கப் பட்டிருந்தது
He told her something and she smiled.	அவன் அவளிடம் ஏதோ சொன்னான் மற்றும் அவள் சிரித்தாள்.
I don't like to go out when it's dark.	இருட்டாக இருக்கும் பொழுது நான் வெளியே போக விரும்புவதில்லை.
When he spoke, everyone became silent.	அவன் பேசியப் பொழுது எல்லோரும் அமைதி காத்தார்கள்
Tom drank with us until after midnight.	டாம் நள்ளிரவு வரை எங்களுடன் குடித்தார்.
She has never been in a car driven by him.	அவன் ஒட்டினக் காரில் அவள் எப்பொழுதும் இருந்ததில்லை
Tom goes to church with Mary every Sunday.	டாம் மேரியுடன் ஒவ்வொரு ஞாயிற்றுக் கிழமையும் தேவாலயத்துக்குச் செல்கிறான்.
I don't think people use that word anymore.	மக்கள் அந்த வார்த்தையைப் பயன் படுத்துவதாக எனக்குத் தெரியவில்லை
My younger sister got married in her teens.	என் தங்கை இள வயதிலேய கல்யாணம் செய்து கொண்டாள்
I wonder why Tom suggested we do that together.	ஏன் டாம் நாமிருவரும் சேர்ந்து செய்வோமென்று பரிந்துரைத்தான் என்று ஆச்சரியமடைகிறேன்.
Tom says he doesn't think he can do that by himself.	என் ஒருவனால் மட்டுமே அதை செய்ய முடியாது என்று நினைக்கிறேன் என டாம் கூறினார்
People who live in glass houses shouldn't throw stones.	கண்ணாடி வீட்டில் வசிப்பவகள் கல்லை எறியக் கூடாது
It's been a long time since I've heard anyone use that word.	ஒருவர் அந்த வார்த்தையைப் பயன் படுத்துவதைக் கேட்டு ரொம்ப நாளாகிறது
If you want your workers to be happy, you need to pay them a decent wage.	உங்களுடைய வேலையாட்கள் மகிழ்ச்சியாக இருக்க வேண்டுமென்றால் நீங்கள் கணிசமான சம்பளம் தர வேண்டும்
It's my fault that the cake was burned. I was talking on the phone and didn't notice the time.	என்னுடையத் தவறினால் கேக்கானதுக் கருகிப் போனது.தோலைப் பேசியில் பேசிக் கொண்டிருந்ததால் நேரத்தைக் கவனிக்க வில்லை
