Run!	Korri!
Would you like a dog?	Txakur bat nahiko zenuke ?
Would you like a job?	Lan bat nahiko zenuke ?
You should get ready.	Prestatu beharko zinateke.
Do you know those men?	Gizon horiek ezagutzen dituzu?
Do you like your work?	Zure lana atsegin al duzu?
Don't forget about us!	Ez ahaztu gurekin gero!
He broke his left arm.	Bere ezker besoa hautsi zuen.
He fell off the horse.	Zalditik jausi zen.
He looks like a horse.	Zaldi baten antza dauka.
I know where you live.	Badakit non bizi zaren.
I sent Tom some money.	Diru pixka bat bidali nion Tomiri
I was deceived by him.	Hark engainatu ninduen.
I've worked very hard.	Oso gogor egin dut lan
Please copy this page.	Orri hau kopiatu, mesedez
The library was empty.	Liburutegia utzik zegoen.
Tom is a student, too.	Tomek ikaslea da ere bai.
Tom is doing his work.	Tom bere lana egiten ari da.
Tom just kept singing.	Tomek abesten jarraitu zuen.
Tom just kept talking.	Tomek hitz egiten jarraitu zuen.
Tom, are you out here?	Tom, hor kanpoan zaude?
Tomorrow is a holiday.	Bihar jaieguna da.
Where are the showers?	Dutxak non dira?
Would you like coffee?	Kafea nahiko zenuke ?
You have a nice house.	Etxe polita daukazu.
Are you going with Tom?	Tomerekin zoaz?
Does the bus stop here?	Autobusa hemen gelditzen al da?
He handles horses well.	Zaldiekin ondo konpontzen da.
He won the race easily.	Lasterketa aise irabazi zuen.
I couldn't wake Tom up.	Ezin izan nuen Tom altxatu.
I couldn't wake Tom up.	Ezin izan nuen Tom esnatu.
I don't speak Japanese.	Ez dut japoniera hitz egiten.
I finally defeated Tom.	Azkenean Tom-i irabazi diot
I finally defeated Tom.	Azkenean Tom garaitu nuen.
I had a special ticket.	Ticket berezi bat daukat.
I know Tom helped Mary.	Badakit Tom Mary lagundu zuela
I know Tom helped Mary.	Badakit Tom-ek Mary lagundu zuela.
I want to see a doctor.	Mediku bat ikusi nahi dut.
I'm not angry about it.	Ez nago horregatik haserre.
It was extremely weird.	Oso arraroa izan zen.
Let's go to the picnic.	Goazen piknikera.
That was cooked in oil.	Koipean prestatu zen.
They can speak Spanish.	Gaztelaniaz badakite.
They can speak Spanish.	Espainieraz badakite.
This is a big decision.	Hau erabaki garrantzitsua da.
What inspires you most?	Zerk inspiratzen zaitu gehien ?
Where are the scissors?	Non daude artaziak?
Would you like to talk?	Hitz egitea gustatuko litzaizuke ?
Did you come here alone?	Bakarrik etorri zara?
Don't forget the ticket.	Ez ahaztu txartelik.
He will visit his uncle.	Bere osaba bisitatuko du.
His name is known to me.	Bere izena ezagutzen dut.
It's not like you think.	Ez da zuk pentsatzen duzun modukoa.
That's how Tom likes it.	Horrela gustazen zaio Tom-i.
They forgot my birthday.	Nire urtebetetzea ahaztu zuten.
Tom didn't get very far.	Tom ez zen oso urrun joan.
Tom isn't able to do it.	Tomek ezin du hau egin.
Tom isn't able to do it.	Tomek ezin du egin.
Tom likes country music.	Tomek country musika gustuko du.
Tom lives with his aunt.	Tom bere izebarekin bizi da.
Tom looks like a monkey.	Tom tximino bat dirudi.
Tom says he sings tenor.	Tomek deritzo tenor abesten duela.
What do chimpanzees eat?	Zer jaten dute tximinoak?
What do chimpanzees eat?	Zer jaten dute txinpanzeek?
What is your profession?	Zein da zure lanbidea?
Who wants hot chocolate?	Nork nahi du txokolate beroa?
Would you like anything?	Gauzaren bat nahiko zenuke ?
Would you like some tea?	Té apur bat nahiko zenuke ?
Are those Tom's children?	Haiek dira Tom-en semeak?
Are those Tom's children?	Dira horiek Tom-en umeak?
Do you know who did that?	Badakizu nork egin zuen hori?
Do you like this perfume?	Perfume hau gustatzen zaizu ?
Do you like what you see?	Ikusten duzuna gustuko duzu ?
Do you want pizza or not?	Pizza nahi duzu ala ez?
Do your parents like Tom?	Zure gurasoak gustuko ahal dute Tom?
Doing that was difficult.	Hori egitea zaila zen.
How do you like your tea?	Nola gustatzen zaizu tea ?
I don't want to help you.	Ez dizut lagundu nahi.
I forgot to feed the dog.	Txakurra elikatzeaz ahaztu nuen.
I have a pain in my neck.	Lepoko mina daukat.
I think it's time to eat.	Jateko ordua dela uste dut.
I used to try to do that.	Ni hori egitea saiatzen nintzen.
I'm glad to see you back.	Pozik nago bueltatu zarelako.
I'm going to wash my car.	Nire autoa garbituko dut.
I'm sure that isn't true.	Seguru nago hori gezurra dela.
I've never been so tired.	Ez naiz inoiz hain nekaturik egon.
Is there an app for that?	Ba dago horretarako aplikaziorik?
It's really cold in here.	Hotz handia egiten du hemen.
Let's go to the aquarium.	Goazen aquariumera
Mary is my type of woman.	Mary nire gustuko emakumea da.
My father builds bridges.	Nire aitak zubiak eraikitzen ditu.
Please lend me your book.	Utz iezadak, mesedez, hire liburua.
Please lend me your book.	Utz iezadazu, mesedez, zure liburua.
That does not make sense.	Horrek ez du zentzurik.
The cat was on the table.	Katua mahai gainean zegoen.
The rebels were executed.	Errebeldeak exekutatuta izan ziren.
These things aren't mine!	Gauza hauek ez dira nireak!
Tom doesn't like to lose.	Tom-i ez zaio galtzea gustatzen.
We don't really know Tom.	Ez dugu Tom guztiz ezagutzen.
Who did you ask for help?	Nori eskatu zenion laguntza?
Who's coming to the show?	Nor etorriko da ikuskizunera?
Aren't you three brothers?	Ez zarete hiru neba-arreba?
Do you like to drink beer?	Garagardoa edatea gustuko duzu?
Does Tom like his parents?	Gustuko ahal ditu Tomek bere gurasoak ?
Doing that was a bad idea.	Hori egitea idea txarra izan zen.
Doing that was a bad idea.	Hori egitea ideia txarra zen
Don't touch the wet paint.	Ez ukitu pintura freskoa.
Give me three more apples.	Emaidazu hiru sagar gehiago.
I'll stay here until 2:30.	Hemen geratuko naiz 2:30-ra arte.
It rains a lot in Okinawa.	Euri asko egiten du Okinawan.
Maybe Tom thinks I'm dead.	Beharbada, Tomek hilda nagoela pentsatzen du.
My mom still calls me Tom.	Nire amak oraindik Tom deitzen nau .
Thank you for your advice.	Eskerrik asko gomendioagatik.
The bird has not returned.	Txoria ez da bueltatu.
This is my favorite shirt.	Hau nire kamiseta gogokoena da.
Tom found something shiny.	Tom zerbait disdiratsu aurkitu zuen.
Tom isn't in jail anymore.	Tom ez da kartxean gehiagorik egongo.
Tom quite often gets sick.	Oso ohikoa da Tom gaixorik jartzea.
What did you think I'd do?	Zer pentsatzen zenuen nik egingo nukeela?
Who did Tom say was lying?	Nork esan zuen Tomek gezurra esaten ari zela?
Who was Tom swimming with?	Norekin zegoen Tomek igeri egiten?
Why wasn't Tom here today?	Zergatik Tomek ez zegoen gaur hemen?
Will you do that with Tom?	Hori egingo zenuke Tomerekin batera?
Would you like to do that?	Hori egitea gustatuko litzaizuke ?
Animals are afraid of fire.	Animaliak suaren beldur dira.
Animals are afraid of fire.	Piztiak suaren beldur dira.
Can you repair these shoes?	Konpondu diezaizkidazu zapata hauek?
Did you know I have a blog?	Bazenekien blog bat daukadala?
Do you still want some tea?	Oraindik ere nahi duzu te pixka bat?
Do you still want some tea?	Oraindik nahi duzu te pixka bat?
Do you still want some tea?	Jarraitzen duzu tea nahi izaten?
Does Tom know I can't swim?	Badaki Tomek ezin dudala igeririk egin?
Does Tom really want to go?	Tomek benetan joan nahi da?
Does Tom speak French, too?	Tomek frantsesez ere hitz egiten du?
He decided to quit smoking.	Erretzeari uztea erabaki zuen.
How many cars does Tom own?	Zenbat kotxeak dauzka Tomek?
I'd love to dance with you.	Gustura dantzatuko nintzateke zurekin.
I'm sure Tom could do that.	Seguru nago Tomek hori egin ahal duela.
I've never seen him before.	Ez dut bera inoiz lehenago ikusi.
Isn't that skirt too short?	Ez da gona hori motzegia?
It's just your imagination.	Haren imajinazioa besterik ez da.
It's raining cats and dogs.	Mangia jardun.
Parking isn't allowed here.	Hemen ezin da aparkatu.
She has two thousand books.	Bi mila liburu dauzka.
Thank you for your loyalty.	Eskerrik asko zure leialtasunagatik.
This is just what I wanted.	Hau da justu nahi nuena.
Tom did that intentionally.	Tomek hori egin zuen nahigabe.
Tom needs to do that today.	Tomek hori egin behar du gaur.
Who did Tom go skiing with?	Norekin joan zen Tom-ek eskiatzera.
You aren't afraid, are you?	Ez daukazu beldurrik, ezta?
You aren't afraid, are you?	Zu ez zaude beldurtuta, edo bai?
You can use the dictionary.	Hiztegia erabili dezakezu.
You must've measured wrong.	Txarto neurtu duzu, ziur.
You need to take your time.	Zure denbora hartu beharko duzu.
Your French is good enough.	Zuk nahiko ondo dakizu frantsesez.
Your French is good enough.	Zuk nahiko ondo egiten duzu frantsesez.
He doesn't know how to swim.	Ez daki igeri egiten.
He may be on the next train.	Hurrengo trenean egon daiteke.
He's staying with his uncle.	Bere osabarekin geratuko da.
How about going on a picnic?	Egingo al dugu piknik bat?
I haven't seen you for ages.	Ez zaitut aspaldian ikusi.
I know you think I'm stupid.	Badakit tuntuna naizela pentsatzen duzula
I met your father yesterday.	Zure aitarekin egon nintzen atzo.
I regularly run in the park.	Normalki parkean korrika egiten dut.
I'm going to brush my teeth.	Garbitu egingo ditut nire hortzak.
I've thought a lot about it.	Horri buruz asko pentsatu dut
No one can move the big box.	Ezin du inork kaxa handia mugitu.
Tell me all about your trip.	Zure irteerari buruz konta iezaiadazu.
This is my money, not yours.	Hau nire dirua da, ez zurea.
Tom and I did that together.	Tomek eta biok elkarrekin egin genuen.
Tom and I did that together.	Tom eta biok hori egin genuen elkar.
Tom and Mary are doing that.	Tomek eta Marik hori egiten ari dira.
Tom has lots of weird ideas.	Tomek ideia arraro asko ditu.
Tom really likes to do that.	Tomek izugarri gustuko du hori egitea.
Tom smiled when he saw Mary.	Mary ikusi ondoren Tomek irribarre egin zuen.
Tom wasn't ready to do that.	Tom ez zegoen prestatuta hori egiteko.
Tom wasn't ready to do that.	Tomek hori egiteko ez zegoen prest.
We hope Tom doesn't do that.	Espero dugu tom ez egitea hori
We hope Tom doesn't do that.	Espero dugu Tomek hori ez egitea.
What are your working hours?	Zein da zure lanordua?
Who is your favorite author?	Nor da gogokoen duzun egilea?
Do you know where the zoo is?	Ba al dakizu non den zooa?
He had a big box in his arms.	Kaxa handi bat zeukan bere besoetan.
He ran away with the diamond.	Diamantearekin ihes egin du.
I ordered a book from London.	Londresetik liburua eskatuko dut.
I will get in touch with you.	Harremanetan jarriko natzaizu.
I'm really not enjoying this.	Ez nago hau disfrutatzen.
May I borrow your calculator?	Utziko didazu kalkulagailua?
Prices seem to be going down.	Salneurriak jaisten ari direla dirudi.
There's no point going there.	Horra joateak ez dauka zentzurik.
This is a huge waste of time.	Denbora galtze izugarria da.
This is an old Scottish song.	Hau Eskoziako abesti zahar bat da.
Tom called Mary this morning.	Tomek Mary-ri deitu zion goiz honetan.
Tom caused a lot of problems.	Tomek arazo asko eragin zituen.
Tom met Mary three years ago.	Tomek Mary ezagutu zuen orain dela hiru urte.
Tom never seems to get angry.	Tom ez dirudi inoiz dagoenik haserretuta.
Tom never seems to get tired.	Tom ez dirudi inoiz nekatuta dagoenik.
Tom should've arrived by now.	Tom dagoeneko iritsia behar zuen.
Tom talked to Mary yesterday.	Tomek Mary-rekin hitz egin zuen atzo.
We were playing on the beach.	Hondartzan jolasten ari ginen.
We're sorry that it happened.	Gertatutakoaz damututa gaude.
What happened in the meeting?	Zer gertatu zen bileran?
What happened isn't a secret.	Gertatutakoa ez da sektretu bat.
What happened was a disgrace.	Ezbehar bat da gertatu zena.
What's happened to the money?	Zer gertatu da diruarekin?
What's likely to happen next?	Zer izango da hurrengoa?
You know that Tom likes cars.	Dakizunez Tom-i autoak gustatzen zaizkio.
You know that Tom likes cars.	Dakizunez Tom-i gustatzen zaizkio autoak.
You may choose what you like.	Gogoko duzuna aukera dezakezu.
You might run into Tom there.	Tomengana korriketan joan beharko zenuke.
After he ate, Tom went to bed.	Jan eta gero Tom ohera joan zen.
All that glitters is not gold.	Zulo bat ixteko, beste bat ireki
All that glitters is not gold.	Beltz guztiak ez dira ikatz
An awful thing happened today.	Gauza oso txar bat gertatu da gaur.
He dozed off in history class.	Historiako klasean lo geratu zen.
He is accustomed to hard work.	Lan gogorra egitera ohituta dago.
His name is known to everyone.	Bere izena denek ezagutzen dute.
I have an uncle who does that.	Osaba bat daukat hori egiten duela.
I think it won't happen again.	Berriro gertatuko ez dela uste dut.
I'd rather sit somewhere else.	Gustatu litzaidake beste leku batean jesartzea.
I'll be home in about an hour.	Etxean egongo naiz ordu betean.
I'll drive you to the airport.	Nik gidatuko zaitut aireporturaino.
Is it here that the bus stops?	Autobusa gelditzen den tokia hemen al da?
It's not going to be that bad.	Ez da horren txarra izango.
Many bad things have happened.	Gauza txar asko gertatu dira.
My canary was killed by a cat.	Katu batek hil zuen nire kanarioa.
Please tell me how to do that.	Mesedez, esaidazu nola egin hori.
Rome is a city worth visiting.	Roma bisitatzea merezi duen hiria da.
Something incredible happened.	Zerbait harrigarria gertatu zen.
That's not what happened here.	Halakorik ez da hemen gertatu.
That's why it hasn't happened.	Horrexegatik ez da gertatu.
There is an apple on the desk.	Sagar bat dago idazmahai gainean.
Tom died from a drug overdose.	Tom droga gaindosi batek jota hil zen.
Tom has lost the will to live.	Tom-ek bizitzeko gogoa galdu du.
Tom is a strong kid, isn't he?	Tom indartsua da, ezta?
Tom is ambidextrous, isn't he?	Tom eskuma-ezkerti da, ezta?
Tom was killed in a car crash.	Tom hil zen auto istripu batean.
Tom was thirteen when he died.	Tomek hamahiru urte zituen hil zenean
Tom wasn't sure what happened.	Tom ez zegoen ziur gertatu zenari buruz.
We've seen that happen before.	Hori gertatzea lehenago ere ikusi genuen.
What happened can't be undone.	Gertatutakoa ezin da konpondu.
Where do you buy your dresses?	Non erosi dituzu zure soinekoak?
Who is your favorite composer?	Nor da gogokoen duzun musikagilea?
You never know what'll happen.	Zer gertatuko den ezin duzu inoiz jakin.
A pine cone fell on Tom's head.	Pinaburu bat erori zen Tomen buruan.
All I know is that I was drunk.	Dakidan guztia mozkor nenbilela da.
He'll have to do without a gun.	Pistolarik gabe egin beharko du.
How do you say that in Italian?	Nola esaten da hori italieraz?
I didn't read a book yesterday.	Atzo ez nuen liburu bat irakurri.
I didn't sleep well that night.	Gau hartan ez nuen ondo lo egin.
I hope this won't happen again.	Hau berriro ez gertatzea espero dut.
I will give him another chance.	Beste aukera bat emango diot.
If anyone can do that, Tom can.	Edonork egin ahal badu, Tomek ahal du.
It won't just happen overnight.	Ez da gauean bakarrik gertatuko.
My girlfriend is a good dancer.	Nire neskalaguna dantzari ona da.
None of that actually happened.	Errealitatean ez zen halakorik gertatu.
She is not home, but at school.	Ez dago etxean, eskolan baizik.
That all happened before lunch.	Guzti hori bazkaldu baino lehen gertatu zen.
That never happened, of course.	Noski, hori ez da inoiz gertatu.
That's happening far too often.	Hori gehiegitan gertatzen ari da.
The enemy attacked us at night.	Etsaiak gauez eraso zigun.
The same thing happened Monday.	Astelehenean gauza bera gertatu zen.
Tom insisted it never happened.	Tomek inoiz ez zela gertatu insistitu zuen.
Tom is always causing problems.	Tomek beti arazoak eragiten ditu.
Tom said not to worry about it.	Tomek horretaz ez kezkatzeko esan zuen.
Tom said that he had been busy.	Tomek oso lanpeturik zebilela esan zuen.
Tom said that he was very busy.	Tomek oso lapenturik zegoela esan zuen.
Tom said you were good-looking.	Tomek erakargarri zeudela esan du.
Tom saw Mary dancing with John.	Tomek Mary Johnekin dantzatzen ikusi zuen.
Tom should've listened to Mary.	Tomek Mary entzun behar izan zuen.
Tom sleeps with his mouth open.	Tomek aho zabalik lo egiten du.
Tom slipped off his headphones.	Tomeri entzungailuak labaindu zitzaizkion.
Tom spent all day on the beach.	Tomek egun osoa igaro zuen hondartzan.
Tom went quickly up the stairs.	Tomek azkar igo zituen eskailerak.
Typhus is a contagious disease.	Tifusa gaixotasun kutsakor bat da.
We need to make a big decision.	Erabaki garrantzitsu bat egin behar dugu.
We're all going to die someday.	Guztiok hilko gara egunen batean.
What have you done with my bag?	Zer egin duzu nire poltsarekin?
What was your first pet's name?	Zein izan zen zure lehen maskotaren izena?
What was your first pet's name?	Zein izan zen zure lehenengo maskotaren izena.
Who did you want to dance with?	Norekin dantzatu nahi zenuen?
Why do you think Tom hates you?	Zergatik pentsatzen duzu Tomek gorroto zaituela?
Would you please open the door?	Irekiko zenuke, mesedez, atea?
Do you not see the problem here?	Ez duzu ikusten problemarik hemen?
Do you speak a foreign language?	Atzerriko hizkuntzarik hitz egiten duzu?
Don't let that dog come near me!	Ez utzi zakurrari niregana hurbiltzen!
Either we all go or nobody goes.	Guztiok goaz edo ez da inork joaten.
He prefers football to baseball.	Berak nahiago du futbola baseballa baino.
I don't know exactly where I am.	Ez dakit zehazki non nagoen.
I don't want to lose my deposit.	Ez dut nire gordailua galdu nahi.
I think that's what's happening.	Uste dut hori dela gertatzen ari dena.
I'll see you at the hotel later.	Gero hotelean ikusiko zaitut.
I'm here now because I love you.	Hemen nago orain maite zaitudalako.
I've already lost too much time.	Denbora asko galdu dut jadanik
It isn't easy to memorize dates.	Datak buruz ikastea ez da erraza.
It's ideal weather for a picnic.	Eguraldi ideala dago piknik baterako.
People like you are the problem.	Zu bezalako jendea da arazoa.
There's not much happening here.	Ez da aparteko ezer gertatzen hemen.
Tom and Mary are doing that now.	Tomek eta Marik hori egiten ari dira oraintxe bertan.
Tom and Mary won't go to Boston.	Tom eta Mary ez dira Bostonera joango.
Tom knew Mary needed to do that.	Tomek Mary hori egin behar zuela zekien.
Tom knew Mary shouldn't do that.	Tomek Mary hori ez zuela egin behar zekien.
Tom wanted to do that last week.	Tomek hori egitea nahi izan zuen aurreko astean.
Tom's aware of what's happening.	Tomek badaki zer gertzten ari den.
Tom's grandfather couldn't read.	Tomen aititea ezin zuen irakurri.
We're scared it'll happen again.	Berriro gertatzeko beldur gara.
What has actually happened here?	Zer gertatu da azken boladan hemen?
What's happened in the meantime?	Zer gertatu zen bitartean?
What's happening here is absurd.	Hemen gertatzen ari denak ez du zentzurik.
Would you like to dance with me?	Nirekin dantza egingo?
Your wife is a very lucky woman.	Zure emaztea zorte handiko emakumea da.
Do you want to know what I think?	Zer pentsatzen dudan jakin nahi duzu ?
He has a lot of books on history.	Historiari buruzko hamaika liburu ditu.
He returned from Holland in June.	Holandatik itzuli zen Ekainean.
Hopefully, it won't happen again.	Zorionez, ez da berriro gertatuko.
How many years did Tom work here?	Zenbat urtez lan egin du Tomek hemen?
I haven't talked to Tom all week.	Ez dut Tomekin hitz egin aste osoan.
I imagine you must be very tired.	Zuk oso nekatuta egon behar zara irudi dezaket.
I've packed my suitcases already.	Gorde egin ditut maletak iada.
She is getting better day by day.	Egunez egun hobetzen ari da.
This is a complete waste of time.	Hau denbora alferrik galtzea da.
We had lots of fun at the picnic.	Primeran pasa genuen piknikean.
You may choose any book you like.	Gogoko duzun liburua aukera dezakezu.
I don't know anything about Japan.	Ez dakit ezer Japoniari buruz.
Italy is a very beautiful country.	Italia oso herri ederra da.
My camera is different from yours.	Nire kamera zurearen desberdina da.
There is less time than I thought.	Uste nuena baino denbora gutxiago dago.
Those shoes won't do for climbing.	Oinetako horiek ez dira eskalatzeko egokiak.
Tom and I sometimes work together.	Tom eta biok batzutan elkar lan egiten dugu
Tom and Mary didn't do that alone.	Tomek eta Maryk ez zuten hori bakarrik egin.
Tom asked me what I wanted to eat.	Tom galdetu zian zer nahi nuen jateko.
We always want what we don't have.	Beti nahi dugu ez duguna.
You may choose whichever you want.	Gogoko duzuna aukera dezakezu.
You may choose whichever you want.	Nahiago duzuna aukera dezakezu.
Are you really going to drink that?	Benetan hori edango duzu?
Are you smarter than your children?	Zure semeek baino azkarrago zara?
He came by car instead of by train.	Kotxez etorri zen trenez etorri beharrean.
He likes all animals except horses.	Animalia guztiak gogoko ditu zaldiak izan ezik.
He wants to learn without studying.	Ikasi gabe jakin nahi du.
I'll try to do it as fast as I can.	Saiatuko naiz ahalik eta azkarren egiten.
Is it OK if I park my scooter here?	Ondo dago hemen nire scooterara aparkatzen badut?
My father is out in the garden now.	Aita orain kanpoan da, lorategian.
That is why he was late for school.	Horregatik heldu zen berandu eskolara.
This box is not as big as that one.	Kaxa hau ez da beste hori bezain handia.
Tom didn't know what he should say.	Tomek ez zekien zer esan beharko luke.
Tom didn't really like the concert.	Tomek ez zuen kontzertua gustoko izan.
Tom didn't want to leave his house.	Tomek ez du bere etxea utzi nahi.
Tom died in prison three years ago.	Tom kartzelan hil zen duela hiru urte.
Tom says he just wants to be happy.	Tom-ek bakarrik zoriontsu izatea nahi duela esan du.
What kind of things make you angry?	Zelako gauzak haserratsen dizute?
What makes you think Tom hates you?	Zerk eragiten dizu pentsatzea Tom gorroto dizula?
What songs are you best at singing?	Zeintzuik dira obeto abesten ditun abestiak?
Will he be able to catch the train?	Trena garaiz hartzeko gai izango ote da?
Accuracy is important in arithmetic.	Zehaztasuna garrantzitsua da aritmetikan.
Did you find out anything about Tom?	Tomi buruz zerbait aurkitu duzu?
Does Tom know we can't speak French?	Badaki Tomek guk ezin dugula frantsesez hitz egin?
I don't know what happened that day.	Ez dakit zer gertatu zen egun horretan.
I don't think what Tom said is true.	Ez dut uste Tom-ek esan duena egia dela.
I thought you said nobody liked Tom.	Ino
I was roused by the sound of a bell.	Txirrinak esnatu ninduen.
I've done everything I needed to do.	Egin behar nuen guztia egin dut.
My camera is much better than yours.	Nire kamera zurea baino askoz hobeagoa da.
