Fire!	Янгын!
Tom starts school next year.	Том киләсе ел мәктәпкә бара.
December has thirty-one days.	Декабрьдә 31 көн.
I don't want to go to school.	Мәктәпкә барасым килми.
I don't want to go to school.	Мин мәктәпкә барырга теләмим.
I'll never be able to retire.	Һич пенсиягә чыга алмаячакмын.
I'm saving up for my old age.	Картлыкка акча җыям.
Mary likes romantic comedies.	Мария романтик комедияләр карарга ярата.
My watch is ten minutes fast.	Сәгатем ун минут алда.
That's easier said than done.	Әйтүе генә җиңел ул.
The details aren't necessary.	Тәфсиле кирәк түгел.
There isn't much more to add.	Өстәрлек тагын башка нәрсә юк.
There's no cause for concern.	Борчылырга җирлек юк.
Tom doesn't get enough sleep.	Томның йокысы туймый.
Tom doesn't get enough sleep.	Томга туйганчы йокларга бирмиләр.
We always eat dinner at home.	Без һәрвакыт кичке ашны өйдә ашыйбыз.
Did I catch you at a bad time?	Уңайсызрак вакытка туры килдемме?
Did I catch you at a bad time?	Uñaysızraq waqıtqa turı kildemme?
I don't know how to thank you.	Рәхмәт яусын Сезгә!
I don't know how to thank you.	Сезгә бик рәхмәтлемен.
Nobody can solve this problem.	Беркем дә бу проблеманы чишә алмый.
She is poor, but she is happy.	Ул ярлы, әмма ул бәхетле.
The solution was quite simple.	Юкәдә икән чикләвек.
The sun rose over the horizon.	Кояш офыктан күтәрелде.
There are 31 days in December.	Декабрьдә 31 көн.
Tom forgot to do his homework.	Том өй эшләрен эшләргә оныткан.
Why are you asking about that?	Нигә син бу турыда сорашасың?
Why are you asking about that?	Нигә син моны сорыйсың?
Don't step on the broken glass.	Ватык пыялага басмагыз.
I was afraid of looking stupid.	Юләрсыман булып күренүдән курыктым.
I was afraid of looking stupid.	Yülärsıman bulıp kürenüdän qurıqtım.
She can say whatever she wants.	Ул теләсә ни сөйләр.
The tower is going to collapse.	Манара җимерелә бара.
The tower is going to collapse.	Манара ишелеп төшәчәк.
There wasn't a single survivor.	Бер генә кеше дә исән калмады.
We have the place to ourselves.	Безгә урын бар монда.
Would you like to play with us?	Безнең белән уйнарга телисеңме?
Would you like to play with us?	Безнең белән уйнарга телисезме?
Classes are starting again soon.	Озакламый дәрес яңадан башлана.
Do you think that fish can hear?	Балыклар ишетә дип уйлыйсыңмы?
I didn't talk to Tom about this.	Бу хакта Том белән сөйләшмәдем.
I listened, but I heard nothing.	Тыңладым да, бернәрсә ишетмәдем.
Let's have a drink or something.	Эчәргә берәр нәрсә алыйк әле.
Ottawa is the capital of Canada.	Оттава — Канада пайтәхете.
Tom was found dead in his study.	Томны эш бүлмәсендә үлгән килеш таптылар.
He wants to get a new dictionary.	Ул яңа сүзлек сатып алырга тели.
He wants to get a new dictionary.	Ul yaña süzlek satıp alırğa teli.
I'm the owner of this restaurant.	Мин бу ресторанның хуҗасы.
If you don't want to read, don't.	Укыйсың килми икән, укыма.
Please pardon me for coming late.	Соңга калуым өчен гафу итегез.
Please pardon me for coming late.	Соңарып килүем өчен гафу итегез.
Please pardon me for coming late.	Соңарып килүем өчен гафу ит.
Please pardon me for coming late.	Соңга калуым өчен гафу ит.
The bus arrived ten minutes late.	Автобус ун минутка соңга калып килде.
Tom has a splinter in his finger.	Томның бармагына шырпы кергән.
Tom speaks French better than me.	Том французча миннән яхшырак сөйләшә.
Tom's death was ruled a homicide.	Томның үлеме кеше үтерү нәтиҗәсе дип бәяләнде.
I didn't promise anybody anything.	Мин беркемгә бернинди вәгъдә бирмәдем.
I didn't promise anybody anything.	Мин беркемгә бернинди сүз бирмәдем.
Practically every family has a TV.	Телевизор бөтен гаиләләрдә диярлек бар.
There are many people in the park.	Паркта кеше күп.
There are no roses without thorns.	Гөлчәчәк чәнечкесез булмас.
Don't be afraid of making mistakes.	Хата ясаудан курыкма.
Don't be afraid of making mistakes.	Ялгышудан курыкма.
Don't be afraid of making mistakes.	Хаталанудан курыкма.
How can someone so rich be unhappy?	Шундый бай кеше ничек бәхетсез була ала икән?
How can someone so rich be unhappy?	Şundıy bay keşe niçek bäxetsez bula ala ikän?
How can someone so rich be unhappy?	Şundıy bay keşe niçek bäxetsez bula alsın di?
How can someone so rich be unhappy?	Шундый бай кеше ничек бәхетсез була алсын ди?
Please give me a chance to explain.	Ачыкларга мөмкинлек бирсәң иде.
Texting while driving is dangerous.	Машина йөрткәндә СМС язу куркыныч.
The pen is mightier than the sword.	Каләм кылычтан үткенрәк.
We've had a lot of rain this month.	Бу айда бездә яңгыр күп яуды.
When there's a will, there's a way.	Тырышкан табар, ташка кадак кагар.
Who would do such a terrible thing?	Мондый коточкыч нәрсәне кем эшләде икән?
I can understand you to some extent.	Мин сине азмы-күпме аңлыйм да инде.
This watch was given me by my uncle.	Бу сәгатьне миңа абыем бирде.
Watch out! There's a big hole there.	Сак бул! Биредә зур чокыр бар.
All their secrets have been revealed.	Бөтен серләре ачып салынды.
How many times a day do you kiss Tom?	Син Томны көненә ничә тапкыр үбәсең?
How many times a day do you kiss Tom?	Сез Томны көненә ничә тапкыр үбәсез?
His brother is a famous soccer player.	Аның энесе - атаклы футболчы.
His brother is a famous soccer player.	Аның абыйсы - данлыклы футболчы.
How many times a day does Tom do that?	Том моны көненә ничә мәртәбә эшли?
How many times a day does you do that?	Син моны көненә ничә мәртәбә эшлисең?
How many times a day does you do that?	Сез моны көненә ничә мәртәбә эшлисез?
If you don't want to read, then don't.	Укыйсың килмәсә, укыма.
It isn't death that I fear, but dying.	Үлемнән курыкмыйм, ләкин үләм.
It isn't death that I fear, but dying.	Ülemnän qurıqmıym, läkin üläm.
Someone could walk in here any minute.	Теләсә кайсы вакытта береп керүләре ихтимал иде.
There are a lot of people in the park.	Паркта кеше күп.
There are two zombies inside my house.	Гаиләмдә ике зомби бар.
Tom couldn't believe his good fortune.	Том үз уңышына ышанып бетә алмады.
Why don't you just relax and have fun?	Нигә бераз йомшарып ләззәтләнмисез?
Why don't you just relax and have fun?	Нигә бераз йомшарып ләззәтләнмисең?
It is pleasant to sleep under the tree.	Агач астында йоклау рәхәт.
The enemy dropped bombs on the factory.	Дошман фабриканы бомбага тотты.
This is the biggest hotel in this city.	Бу - шәһәрдә иң зур кунакханә.
Who are you and where do you come from?	Син кем һәм кайдан килдең?
How many times a day do you drink water?	Син көненә ничә тапкыр су эчәсең?
How many times a day do you drink water?	Сез көненә ничә тапкыр су эчәсез?
I've decided to give Tom another chance.	Мин Томга тагын бер мөмкинлек бирергә карар кылдым.
The bus arrived ten minutes behind time.	Автобус ун минутка соңга калып килде.
There are many galaxies in the universe.	Галәмдә бихисап галактикалар бар.
Do you want me to buy a sandwich for you?	Сиңа бер сэндвич алыйммы?
Most Hollywood movies have happy endings.	Һолливуд фильмнарының күбесе күңелле тәмамлана.
Compare the translation with the original.	Тәрҗемәне төп нөсхә белән чагыштырыгыз.
I have already finished reading this book.	Мин бу китапны укып бетердем инде.
I wish our classroom were air-conditioned.	Безнең сыйныф бүлмәсенә кондиционер куйсалар иде.
I'm so tired that I can't walk any longer.	Озаграк җәяү йөри алмавымнан бик алҗыктым.
The tea is too strong. Add a bit of water.	Чәй бигрәк каты. Су өстә бераз.
We knew that the teacher wouldn't be late.	Без укытучының соңга калмаячагын белдек.
I've been saving up to buy a new saxophone.	Яңа саксофон алырга акча җыям.
Tom tried to kiss me, but I didn't let him.	Том мине үбәргә чамалаган иде дә, мин аңардан йөз чөердем.
According to the police, no one was injured.	Полиция фикеренчә, беркем дә зыян күрмәгән.
It isn't worth the money they're asking for.	Алар сораган акчага да тормый бу.
It isn't worth the money they're asking for.	Alar sorağan aqçağa da tormıy bu.
Tom lost most of his belongings in the fire.	Том әйберләренең күбесе янгында юкка чыкты.
Tom lost most of his belongings in the fire.	Том янгында күп әйберләрен югалтты.
Tom surprised us all when he got up to sing.	Җырлап җибәреп, Том безне шаккатырды.
Tom surprised us all when he got up to sing.	Cırlap cibärep, Tom bezne şaqqatırdı.
You made the mistake on purpose, didn't you?	Син бу хатаны белә торып эшләгәнсең, әйеме?
Don't throw it away just because it's broken.	Ватык диеп, бернәрсәне ташлама.
Don't throw it away just because it's broken.	Watıq dıep, bernärsäne taşlama.
Tom said that he didn't want to be disturbed.	Том, миңа комачауламауларын телим, диде.
I heard that Tom is going to get married soon.	Том озакламый өйләнәчәк дип ишеттем.
You have to do it, whether you like it or not.	Теләгең бармы-юкмы, син моны эшләргә тиешсең.
You have to do it, whether you like it or not.	Телисеңме-юкмы, син моны башкарып чыгарга тиешсең.
I thought you were going to wear your new suit.	Яңа костюмыңны киярсең, дип уйлаган идем.
Judging from his expression, he's in a bad mood.	Кыяфәтенә караганда, аның кәефе бик начар шикелле.
Excuse me, can you tell me the way to the library?	Гафу итегез, Сез миңа китапханәгә юл күрсәтә алмассызмы?
It's not healthy to drink as much water as you do.	Син эчкән кадәр су эчү ул сәламәтлеккә файдалы түгел.
My driving instructor says I should be more patient.	Машина йөртергә өйрәтүчем, сиңа сабыррак булырга кирәк, ди.
She succeeded in crossing the Pacific Ocean by boat.	Ул Тын океанны корабка утырып гизеп чыкты.
Several gardeners look after the azaleas in the park.	Берничә бакчачы парктагы азалияләр турында кайгырта.
Excuse me, can you tell me how to get to Central Park?	Гафу итегез, Сез миңа Үзәк паркка юлны күрсәтә алмассызмы?
Could you water my plants for me while I'm on vacation?	Мин ялда булганда үсемлекләремә су сибә алырсызмы?
When are you going to pay me back the money I lent you?	Бурычка биргән акчаларымны кайчан кайтарырга җыенасың?
When are you going to pay me back the money I lent you?	Burıçqa birgän aqçalarımnı qayçan qaytarırğa cıyınasıñ?
Tom was pacing in his room, unable to calm himself down.	Тынычлана алмыйча, Том бүлмәсендә арлы-бирле йөрде.
I hear the service there is good and the food is delicious.	Мин, биредә яхшы хезмәт күрсәтәләр һәм ризыклары да тәмле, дип ишеткән идем.
I hear the service there is good and the food is delicious.	Min, biredä yaxşı xezmät kürsätälär häm rizıqları da tämle, dip işetkän idem.
Tom usually eats a hamburger in his car on his way to work.	Том гадәттә эшкә барганда машинасында бер һамбургер ашый.
Tom didn't learn how to play the guitar until he was thirteen.	Том унөч яшенә җиткәнче гитарада уйнарга өйрәнмәде.
My first job was at a travel agency, and I didn't like it much.	Беренче эшем туристлык ширкәтендә иде, һәм ул миңа бик ошап бетмәде.
My first job was at a travel agency, and I didn't like it much.	Berençe eşem turistlıq şirkätendä ide, häm ul miña bik oşap betmäde.
And now, looking back on the experience, I really learned a lot.	Ләкин хәзер, әлеге тәҗрибәне искә алганда, үземнең күп нәрсәләргә өйрәнгәнемне аңлыйм.
And now, looking back on the experience, I really learned a lot.	Läkin xäzer, älege täcribäne iskä alğanda, üzemneñ küp närsälärgä öyrängänemne añlıym.
I don't understand what you find so interesting about squirrels.	Аңлый алмыйм, бу тиеннәрнең ни кызыгын табасыздыр.
I don't understand what you find so interesting about squirrels.	Аңлый алмыйм, бу тиеннәрнең ни кызыгын табасыңдыр.
The store was so crowded that Tom and Mary lost sight of each other.	Кибеттә кеше шулкадәр күп иде, Том белән Мария хәтта бер-берсен күздән җуйдылар.
Frankly speaking, I don't think you have what it takes to become a teacher.	Дөресен генә әйткәндә, синең укытучы булырлык сәләтең дә юк.
Democracy is the worst form of government, except all the others that have been tried.	Демократия, сынап каралган башка идарә алымнарын санамасаң, иң начары.
Democracy is the worst form of government, except all the others that have been tried.	Demokratiä, sınap qaralğan başqa idarä alımnarın sanamasañ, iñ naçarı.
